MetaTest/Average/NumTrajs,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/MaxReturn,MetaTest/window-open-v1/MinReturn,MetaTest/window-open-v1/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTest/window-open-v1/MaxReturn,MetaTest/window-open-v1/StdReturn,TotalEnvSteps,MetaTest/window-open-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/window-open-v1/SuccessRate,MetaTest/window-open-v1/Iteration,MetaTest/window-open-v1/AverageReturn,MetaTest/Average/StdReturn,MetaTest/window-open-v1/TerminationRate
10,-60.54309000045773,-74.75212194695727,-45.62326325649605,-74.75212194695727,10,0.0,0.0,0,-45.62326325649605,8.350528591578646,224000,-60.54309000045773,-60.54309000045773,0.0,0,-60.54309000045773,8.350528591578646,0.0
10,-38.606563828252746,-55.48169253842645,-11.609166823505447,-55.48169253842645,10,0.0,0.0,1,-11.609166823505447,12.821969359060315,248000,-38.60656382825275,-38.60656382825275,0.0,1,-38.606563828252746,12.821969359060315,0.0
10,272.49991532145253,-103.76871461391923,2315.0489726577307,-103.76871461391923,10,0.0,0.0,2,2315.0489726577307,773.604154311079,272000,272.49991532145236,272.49991532145236,0.0,2,272.49991532145253,773.604154311079,0.0
10,9999.881685345117,-57.43726007444316,97633.66541070266,-57.43726007444316,10,0.0,0.1,3,97633.66541070266,29216.09324699955,296000,9999.88168534512,9999.88168534512,0.1,3,9999.881685345117,29216.09324699955,0.0
10,2707.5985011335215,-61.325068179957576,23734.276646708295,-61.325068179957576,10,0.0,0.0,4,23734.276646708295,7092.170278980952,320000,2707.5985011335224,2707.5985011335224,0.0,4,2707.5985011335215,7092.170278980952,0.0
10,8781.16178877537,-73.76424250513435,88255.35366038754,-73.76424250513435,10,0.0,0.1,5,88255.35366038754,26491.404452593386,344000,8781.161788775373,8781.161788775373,0.1,5,8781.16178877537,26491.404452593386,0.0
10,3401.968441438109,-71.78101161175798,34415.405109182495,-71.78101161175798,10,0.0,0.0,6,34415.405109182495,10337.825118170591,368000,3401.9684414381068,3401.9684414381068,0.0,6,3401.968441438109,10337.825118170591,0.0
10,21287.7255121601,-108.53292627728537,96098.13617134129,-108.53292627728537,10,0.0,0.3,7,96098.13617134129,33524.416669262246,392000,21287.725512160097,21287.725512160097,0.3,7,21287.7255121601,33524.416669262246,0.0
10,12335.321741370168,-88.88609729783454,82658.07102317525,-88.88609729783454,10,0.0,0.3,8,82658.07102317525,25788.749981415887,416000,12335.321741370164,12335.321741370164,0.3,8,12335.321741370168,25788.749981415887,0.0
10,15360.920436743245,-31.689276503564855,116195.03170403185,-31.689276503564855,10,0.0,0.4,9,116195.03170403185,34514.3049927299,440000,15360.92043674326,15360.92043674326,0.4,9,15360.920436743245,34514.3049927299,0.0
10,10874.900987176849,-83.62021694604273,109004.7610480784,-83.62021694604273,10,0.0,0.2,10,109004.7610480784,32709.96655235735,464000,10874.900987176854,10874.900987176854,0.2,10,10874.900987176849,32709.96655235735,0.0
10,34217.395462658846,-31.67207783539742,135382.80543237756,-31.67207783539742,10,0.0,0.7,11,135382.80543237756,53163.4320525556,488000,34217.39546265885,34217.39546265885,0.7,11,34217.395462658846,53163.4320525556,0.0
10,15123.167929881241,-120.19293348198906,82860.43830281477,-120.19293348198906,10,0.0,0.2,12,82860.43830281477,28125.729164300996,512000,15123.167929881249,15123.167929881249,0.2,12,15123.167929881241,28125.729164300996,0.0
