MetaTest/Average/StdReturn,MetaTest/peg-insert-side-v1/AverageDiscountedReturn,MetaTest/peg-insert-side-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/peg-insert-side-v1/StdReturn,MetaTest/Average/Iteration,MetaTrain/Average/Alpha,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/peg-insert-side-v1/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/peg-insert-side-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/peg-insert-side-v1/SuccessRate,MetaTest/peg-insert-side-v1/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/peg-insert-side-v1/AverageReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/AlphaLoss,MetaTest/peg-insert-side-v1/Iteration,TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTest/Average/AverageReturn
6.055403805029549,-23.779997278172715,-35.110747817816495,0.0,6.055403805029549,0,nan,-23.779997278172715,8.858083,0.0,0.0,10,-14.299241297803507,-35.110747817816495,0.0,10,-6.994746,-23.779997278172708,1.8659005,6.732091,0,224000,-14.299241297803507,-23.779997278172708
10.867325337751438,-24.722814041514788,-55.054988116758594,0.0,10.867325337751438,1,nan,-24.722814041514788,8.669855,0.0,0.0,10,-16.70315124265781,-55.054988116758594,0.0,10,-11.801741,-24.722814041514788,3.9453428,6.7235026,1,248000,-16.70315124265781,-24.722814041514788
5.810998121253238,-29.09130121118917,-40.966406497388775,0.0,5.810998121253238,2,nan,-29.09130121118917,8.514123,0.0,0.0,10,-15.399007808081114,-40.966406497388775,0.0,10,-15.511317,-29.091301211189176,5.506919,6.706994,2,272000,-15.399007808081114,-29.091301211189176
5.275232036627356,-26.582095884224866,-32.382871132592506,0.0,5.275232036627356,3,nan,-26.582095884224866,7.629753,0.0,0.0,10,-15.463138066764206,-32.382871132592506,0.0,10,-18.980253,-26.582095884224874,8.1472845,6.6869464,3,296000,-15.463138066764206,-26.582095884224874
6.289346731087843,-25.774159730484552,-31.444435542950018,0.0,6.289346731087843,4,nan,-25.774159730484552,8.085733,0.0,0.0,10,-14.680754585892227,-31.444435542950018,0.0,10,-23.738535,-25.77415973048456,9.9100275,6.6662235,4,320000,-14.680754585892227,-25.77415973048456
4.817137113963084,-23.938567498719628,-31.416879410003485,0.0,4.817137113963084,5,nan,-23.938567498719628,7.840457,0.0,0.0,10,-17.474118525783005,-31.416879410003485,0.0,10,-27.337523,-23.938567498719628,11.960115,6.6454587,5,344000,-17.474118525783005,-23.938567498719628
5.666096254901489,-24.171058577169315,-33.347304515508604,0.0,5.666096254901489,6,nan,-24.171058577169315,7.6501913,0.0,0.0,10,-16.076283857927816,-33.347304515508604,0.0,10,-31.237284,-24.171058577169326,13.596342,6.626379,6,368000,-16.076283857927816,-24.171058577169326
11.547965045942915,-25.964658916600918,-59.729401963942614,0.0,11.547965045942915,7,nan,-25.964658916600918,7.6911035,0.0,0.0,10,-18.944892038959257,-59.729401963942614,0.0,10,-35.433002,-25.96465891660092,15.140173,6.611261,7,392000,-18.944892038959257,-25.96465891660092
4.921704107800014,-23.172326631381047,-30.124872244376128,0.0,4.921704107800014,8,nan,-23.172326631381047,7.6928415,0.0,0.0,10,-14.700315133897174,-30.124872244376128,0.0,10,-38.33564,-23.172326631381047,16.258657,6.596572,8,416000,-14.700315133897174,-23.172326631381047
2.4500131942825143,-22.022522523317942,-26.524875266777308,0.0,2.4500131942825143,9,nan,-22.022522523317942,7.664331,0.0,0.0,10,-18.527809671283507,-26.524875266777308,0.0,10,-41.151173,-22.022522523317942,17.56279,6.583283,9,440000,-18.527809671283507,-22.022522523317942
6.440216843784725,-22.633861621452507,-40.675818906791626,0.0,6.440216843784725,10,nan,-22.633861621452507,7.6693864,0.0,0.0,10,-17.006861472036025,-40.675818906791626,0.0,10,-44.11504,-22.63386162145251,18.931059,6.5715265,10,464000,-17.006861472036025,-22.63386162145251
3.4277833705525453,-23.014046661434122,-29.67015778550202,0.0,3.4277833705525453,11,nan,-23.014046661434122,7.6586018,0.0,0.0,10,-18.98157726636931,-29.67015778550202,0.0,10,-46.738865,-23.014046661434115,19.858667,6.559801,11,488000,-18.98157726636931,-23.014046661434115
4.6309868585817675,-20.56620781433994,-28.56542743714999,0.0,4.6309868585817675,12,nan,-20.56620781433994,7.651597,0.0,0.0,10,-10.735258223039379,-28.56542743714999,0.0,10,-51.093773,-20.566207814339933,20.782528,6.5540986,12,512000,-10.735258223039379,-20.566207814339933
6.431939482221419,-19.164991320147184,-34.69200124469967,0.0,6.431939482221419,13,nan,-19.164991320147184,7.6451287,0.0,0.0,10,-12.190336808137792,-34.69200124469967,0.0,10,-53.14135,-19.164991320147173,22.176373,6.5439696,13,536000,-12.190336808137792,-19.164991320147173
8.899627555498181,-19.3551917568871,-41.214068789512176,0.0,8.899627555498181,14,nan,-19.3551917568871,7.6265073,0.0,0.0,10,-8.48333046488892,-41.214068789512176,0.0,10,-55.807507,-19.355191756887102,23.129412,6.5354705,14,560000,-8.48333046488892,-19.355191756887102
4.395691713472642,-18.41807698333856,-25.783160496897064,0.0,4.395691713472642,15,nan,-18.41807698333856,7.857123,0.0,0.0,10,-9.230217869238254,-25.783160496897064,0.0,10,-57.628807,-18.41807698333856,23.87189,6.5247645,15,584000,-9.230217869238254,-18.41807698333856
9.049424282691744,-16.871339047166167,-39.579555562286636,0.0,9.049424282691744,16,nan,-16.871339047166167,7.9409637,0.0,0.0,10,-6.166301797388327,-39.579555562286636,0.0,10,-60.338547,-16.871339047166163,25.145391,6.5127964,16,608000,-6.166301797388327,-16.871339047166163
10.69457511557319,-19.288253968946265,-40.67102940908852,0.0,10.69457511557319,17,nan,-19.288253968946265,7.8212695,0.0,0.0,10,-6.901708339490236,-40.67102940908852,0.0,10,-62.988132,-19.288253968946258,26.777426,6.5039077,17,632000,-6.901708339490236,-19.288253968946258
8.798705739320487,-17.9523603835358,-32.2138162301395,0.0,8.798705739320487,18,nan,-17.9523603835358,8.499571,0.0,0.0,10,-6.440020144153547,-32.2138162301395,0.0,10,-66.4754,-17.952360383535797,29.23004,6.4946427,18,656000,-6.440020144153547,-17.952360383535797
88.78735583896136,17.85818719742382,-23.99557227112354,0.0,88.78735583896136,19,nan,17.85818719742382,8.740253,0.0,0.0,10,283.25728096330147,-23.99557227112354,0.0,10,-69.98191,17.858187197423824,32.53551,6.481205,19,680000,283.25728096330147,17.858187197423824
6.908712198495812,-20.202401283970747,-32.41096389233922,0.0,6.908712198495812,20,nan,-20.202401283970747,7.690666,0.0,0.0,10,-8.428040813225339,-32.41096389233922,0.0,10,-72.76516,-20.20240128397075,42.570667,6.460243,20,704000,-8.428040813225339,-20.20240128397075
7.209193878880654,-12.428688490990519,-25.961541239432115,0.0,7.209193878880654,21,nan,-12.428688490990519,7.6710196,0.0,0.0,10,-5.038445901393681,-25.961541239432115,0.0,10,-75.094215,-12.428688490990522,77.74905,6.421857,21,728000,-5.038445901393681,-12.428688490990522
39.68391711018889,2.6202688865560506,-24.851980663974395,0.0,39.68391711018889,22,nan,2.6202688865560506,7.625349,0.0,0.0,10,104.01550464793742,-24.851980663974395,0.0,10,-75.923515,2.6202688865560475,158.55807,6.365108,22,752000,104.01550464793742,2.6202688865560475
4907.77628387498,3296.4394365700828,-37.65220407817127,0.0,4907.77628387498,23,nan,3296.4394365700828,7.624632,0.0,0.0,10,14924.45220511152,-37.65220407817127,0.0,10,-79.256714,3296.4394365700828,368.05432,6.268799,23,776000,14924.45220511152,3296.4394365700828
38.674181849832195,-72.13673749363998,-116.21599217202439,0.0,38.674181849832195,24,nan,-72.13673749363998,7.970377,0.0,0.0,10,-17.915957387906218,-116.21599217202439,0.0,10,-155.61844,-72.13673749364003,9601.05,4.6573067,24,800000,-17.915957387906218,-72.13673749364003
21.753719045285276,-84.21078916994028,-109.96151498848967,0.0,21.753719045285276,25,nan,-84.21078916994028,10.43674,0.0,0.0,10,-42.478345509345836,-109.96151498848967,0.0,10,-590.5545,-84.21078916994027,76630.59,2.2797444,25,824000,-42.478345509345836,-84.21078916994027
18.03582104375,-56.8029639088448,-78.36333137627841,0.0,18.03582104375,26,nan,-56.8029639088448,28.058516,0.0,0.0,10,-16.702560657025113,-78.36333137627841,0.0,10,-1885.5106,-56.80296390884479,270446.28,-0.9201564,26,848000,-16.702560657025113,-56.80296390884479
22.518086729460883,-62.34733028664009,-86.97703489453535,0.0,22.518086729460883,27,nan,-62.34733028664009,44.904533,0.0,0.0,10,-15.4997368522317,-86.97703489453535,0.0,10,-5656.72,-62.34733028664008,552382.94,-7.0153484,27,872000,-15.4997368522317,-62.34733028664008
21.749190444908677,-62.65691514677762,-83.0646749206294,0.0,21.749190444908677,28,nan,-62.65691514677762,68.31581,0.0,0.0,10,-22.388883373788545,-83.0646749206294,0.0,10,-14940.945,-62.65691514677765,989956.6,-13.932,28,896000,-22.388883373788545,-62.65691514677765
6462.892301776233,2074.9383415175043,-142.32336400388374,0.0,6462.892301776233,29,nan,2074.9383415175043,100.34026,0.0,0.0,10,21463.21305373614,-142.32336400388374,0.0,10,-27413.771,2074.938341517504,1433720.9,-16.245014,29,920000,21463.21305373614,2074.938341517504
7.852680539256777,-64.30234556649995,-76.17541339683947,0.0,7.852680539256777,30,nan,-64.30234556649995,118.70948,0.0,0.0,10,-52.928887388610896,-76.17541339683947,0.0,10,-35286.176,-64.30234556649995,1591948.1,-16.625921,30,944000,-52.928887388610896,-64.30234556649995
7.940498596673291,-65.76322415785324,-82.66789806507505,0.0,7.940498596673291,31,nan,-65.76322415785324,74.334015,0.0,0.0,10,-54.464545841977,-82.66789806507505,0.0,10,-41971.0,-65.76322415785324,1768201.6,-17.479383,31,968000,-54.464545841977,-65.76322415785324
14.286361275737132,-52.944032458751714,-76.17912785144114,0.0,14.286361275737132,32,nan,-52.944032458751714,53.587048,0.0,0.0,10,-24.9869673363644,-76.17912785144114,0.0,10,-49497.85,-52.944032458751714,1945641.2,-17.74848,32,992000,-24.9869673363644,-52.944032458751714
27.600759125832415,-35.493844739922295,-77.50222105751628,0.0,27.600759125832415,33,nan,-35.493844739922295,39.46561,0.0,0.0,10,24.594842503466467,-77.50222105751628,0.0,10,-53319.883,-35.49384473992232,2044068.6,-17.491676,33,1016000,24.594842503466467,-35.49384473992232
26.167350841305975,-51.85224613855032,-72.89042491216289,0.0,26.167350841305975,34,nan,-51.85224613855032,26.997742,0.0,0.0,10,23.329284293020436,-72.89042491216289,0.0,10,-53810.332,-51.852246138550335,1887080.1,-17.109734,34,1040000,23.329284293020436,-51.852246138550335
223.38841834020135,5.337498274421988,-86.22141159244559,0.0,223.38841834020135,35,nan,5.337498274421988,17.354256,0.0,0.0,10,674.5585406743843,-86.22141159244559,0.0,10,-53515.297,5.337498274422027,1586087.6,-16.391108,35,1064000,674.5585406743843,5.337498274422027
344.6843569896821,84.06310267687954,-64.78260269078325,0.0,344.6843569896821,36,nan,84.06310267687954,12.923701,0.0,0.0,10,1115.982736124813,-64.78260269078325,0.0,10,-51351.68,84.06310267687941,1385211.4,-15.228794,36,1088000,1115.982736124813,84.06310267687941
