MetaTest/dial-turn-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/QfLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/dial-turn-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,MetaTrain/Average/Alpha,MetaTest/Average/MaxReturn,MetaTest/dial-turn-v1/MinReturn,MetaTest/dial-turn-v1/SuccessRate,MetaTest/dial-turn-v1/Iteration,MetaTest/Average/SuccessRate,MetaTest/dial-turn-v1/NumEpisodes,MetaTest/Average/MinReturn,MetaTest/Average/NumEpisodes,MetaTrain/Average/PolicyLoss,MetaTest/dial-turn-v1/MaxReturn,MetaTest/dial-turn-v1/AverageReturn,TotalEnvSteps,MetaTest/dial-turn-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss
111.68981657654317,7.085981605977613,0.0,2.4701,9.77248,7.085981605977629,0,111.68981657654317,0.86924785,341.5659911358651,-39.72146216476655,0.0,0,0.0,10,-39.72146216476655,10,-2.879249,341.5659911358651,7.085981605977613,112000,0.0,7.085981605977629,5.8517976
18.655963087313875,-89.3824385653743,0.0,43894.664,33.274044,-89.3824385653743,1,18.655963087313875,0.6782474,-50.541235411025966,-117.26533630138941,0.0,1,0.0,10,-117.26533630138941,10,-12.513815,-50.541235411025966,-89.3824385653743,124000,0.0,-89.3824385653743,3.2938316
10.8546376587714,-81.05534666003271,0.0,42570.945,220.05338,-81.05534666003271,2,10.8546376587714,0.5394765,-64.17472520893466,-93.87511854828462,0.0,2,0.0,10,-93.87511854828462,10,-48.256554,-64.17472520893466,-81.05534666003271,136000,0.0,-81.05534666003271,2.075345
11.024683580088606,-86.43118939810468,0.0,736093.4,184.07631,-86.43118939810466,3,11.024683580088606,0.597812,-71.46235624871316,-102.66980028970056,0.0,3,0.0,10,-102.66980028970056,10,-17031.605,-71.46235624871316,-86.43118939810468,148000,0.0,-86.43118939810466,-7.9082174
8.58214323500108,-63.96969303798985,0.0,296443.75,27.704311,-63.96969303798984,4,8.58214323500108,0.88395166,-46.301532911945586,-74.11101833403923,0.0,4,0.0,10,-74.11101833403923,10,-31391.107,-46.301532911945586,-63.96969303798985,160000,0.0,-63.96969303798984,-14.498381
8.945557959627102,-40.97967072355226,0.0,233495.7,35.560448,-40.979670723552275,5,8.945557959627102,1.2436345,-26.2913359492621,-58.5031332774138,0.3,5,0.3,10,-58.5031332774138,10,-33519.953,-26.2913359492621,-40.97967072355226,172000,0.0,-40.979670723552275,-18.854778
6.300320470912373,-75.46001962674228,0.0,180463.39,133.87149,-75.46001962674225,6,6.300320470912373,1.7075051,-62.94946275807506,-83.43649914013226,0.0,6,0.0,10,-83.43649914013226,10,-32393.49,-62.94946275807506,-75.46001962674228,184000,0.0,-75.46001962674225,-20.654263
5.681234029094836,-35.43141694952144,0.0,137277.3,122.61714,-35.431416949521434,7,5.681234029094836,2.3360834,-27.676120538011364,-44.52746395837619,0.4,7,0.4,10,-44.52746395837619,10,-32290.873,-27.676120538011364,-35.43141694952144,196000,0.0,-35.431416949521434,-24.010818
609.6378270087182,245.47719710381458,0.0,110263.82,71.692276,245.47719710381472,8,609.6378270087182,3.2224154,1679.851222199704,-89.68908973449952,0.3,8,0.3,10,-89.68908973449952,10,-32771.074,1679.851222199704,245.47719710381458,208000,0.0,245.47719710381472,-29.237022
1045.5275741332641,316.76915754071223,0.0,90036.016,40.973206,316.7691575407124,9,1045.5275741332641,4.4382334,3452.930251755215,-81.59888407698682,0.2,9,0.2,10,-81.59888407698682,10,-33268.21,3452.930251755215,316.76915754071223,220000,0.0,316.7691575407124,-34.01375
945.8923831780302,285.8350900931037,0.0,84007.49,225.93379,285.83509009310353,10,945.8923831780302,5.9887576,3123.4809395014754,-35.2695344996056,0.3,10,0.3,10,-35.2695344996056,10,-29037.37,3123.4809395014754,285.8350900931037,232000,0.0,285.83509009310353,-30.260336
4.5842883751005035,-22.228885550827773,0.0,73937.17,535.9697,-22.22888555082777,11,4.5842883751005035,7.4849815,-16.594829388795425,-31.19585704613285,0.3,11,0.3,10,-31.19585704613285,10,-21740.021,-16.594829388795425,-22.228885550827773,244000,0.0,-22.22888555082777,-14.580492
20.524810773833554,-37.17831610355177,0.0,74838.56,492.4078,-37.17831610355176,12,20.524810773833554,9.17007,-22.736260900817577,-96.6544359452927,0.5,12,0.5,10,-96.6544359452927,10,-20674.057,-22.736260900817577,-37.17831610355177,256000,0.0,-37.17831610355176,-10.526858
29.904871738634444,-44.67577301841537,0.0,65657.89,517.9139,-44.67577301841537,13,29.904871738634444,10.058584,-10.985060443477545,-103.59657190843876,0.2,13,0.2,10,-103.59657190843876,10,-18897.453,-10.985060443477545,-44.67577301841537,268000,0.0,-44.67577301841537,0.8206942
33.117763729149736,-43.64189266995751,0.0,63507.99,473.62012,-43.64189266995751,14,33.117763729149736,8.849564,-18.750799315951852,-110.17159921224739,0.3,14,0.3,10,-110.17159921224739,10,-17428.352,-18.750799315951852,-43.64189266995751,280000,0.0,-43.64189266995751,4.3813205
11.459659080535424,-72.86736930333022,0.0,5097087.5,25114.572,-72.86736930333026,15,11.459659080535424,6.333372,-59.479511823851816,-96.13747007861802,0.0,15,0.0,10,-96.13747007861802,10,-3366.723,-59.479511823851816,-72.86736930333022,292000,0.0,-72.86736930333026,39.423725
