MetaTest/door-close-v1/Iteration,MetaTest/door-close-v1/SuccessRate,MetaTest/door-close-v1/MinReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/NumTrajs,MetaTest/door-close-v1/NumTrajs,MetaTest/door-close-v1/TerminationRate,MetaTest/door-close-v1/StdReturn,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/door-close-v1/AverageDiscountedReturn,MetaTest/door-close-v1/MaxReturn,MetaTest/door-close-v1/AverageReturn
0,0.5,-64.79659720946006,-64.79659720946006,0.0,-53.92895183542571,0,10,10,0.0,5.116013747668048,0.5,224000,-45.667690186890425,-53.92895183542571,5.116013747668048,-53.92895183542571,-45.667690186890425,-53.92895183542571
1,0.0,-52.14023006612369,-52.14023006612369,0.0,-45.170652285790126,1,10,10,0.0,4.2060202435096805,0.0,248000,-41.02052761454938,-45.170652285790126,4.2060202435096805,-45.170652285790126,-41.02052761454938,-45.170652285790126
2,0.0,-44.721556860211315,-44.721556860211315,0.0,-41.053179767287176,2,10,10,0.0,1.6908377462231257,0.0,272000,-38.00433515068957,-41.053179767287176,1.6908377462231257,-41.053179767287176,-38.00433515068957,-41.053179767287176
3,0.6,-87.13764712106247,-87.13764712106247,0.0,-66.19879727177533,3,10,10,0.0,19.740383495590244,0.6,296000,-26.162204162770834,-66.1987972717753,19.740383495590244,-66.1987972717753,-26.162204162770834,-66.19879727177533
4,0.0,-88.3624691173659,-88.3624691173659,0.0,-74.90608682983256,4,10,10,0.0,7.005910507314394,0.0,320000,-66.31602324983244,-74.90608682983255,7.005910507314394,-74.90608682983255,-66.31602324983244,-74.90608682983256
5,0.0,-90.32768895486278,-90.32768895486278,0.0,-72.1768610237125,5,10,10,0.0,9.240457071725993,0.0,344000,-63.380409246489876,-72.17686102371252,9.240457071725993,-72.17686102371252,-63.380409246489876,-72.1768610237125
6,0.2,-80.3022966533567,-80.3022966533567,0.0,-63.778892462752495,6,10,10,0.0,9.318092362312793,0.2,368000,-51.297184012396016,-63.77889246275247,9.318092362312793,-63.77889246275247,-51.297184012396016,-63.778892462752495
7,0.1,-85.50419074111485,-85.50419074111485,0.0,-75.77633917605992,7,10,10,0.0,8.536097305239771,0.1,392000,-52.630486741676506,-75.77633917605992,8.536097305239771,-75.77633917605992,-52.630486741676506,-75.77633917605992
8,0.0,-98.00724859010346,-98.00724859010346,0.0,-81.91488436056056,8,10,10,0.0,11.709026235786988,0.0,416000,-65.26932272028624,-81.91488436056062,11.709026235786988,-81.91488436056062,-65.26932272028624,-81.91488436056056
9,0.0,-90.28785317331668,-90.28785317331668,0.0,-73.82815243352698,9,10,10,0.0,10.260616449653165,0.0,440000,-61.372347815745876,-73.82815243352698,10.260616449653165,-73.82815243352698,-61.372347815745876,-73.82815243352698
