MetaTest/window-open-v1/TerminationRate,MetaTest/window-open-v1/SuccessRate,MetaTest/Average/StdReturn,MetaTest/window-open-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/QfLoss,MetaTest/Average/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/window-open-v1/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/window-open-v1/MinReturn,MetaTest/window-open-v1/MaxReturn,MetaTrain/Average/PolicyLoss,MetaTest/window-open-v1/NumTrajs,MetaTest/window-open-v1/AverageDiscountedReturn,MetaTest/window-open-v1/Iteration,TotalEnvSteps,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/Alpha
0.0,0.0,11.817056064252123,-52.37718977965604,-52.37718977965604,-52.37718977965604,650.30304,10,0.0,-30.297414810066087,-69.39882091148897,11.817056064252123,6.448093,-69.39882091148897,-30.297414810066087,-7.979224,10,-52.37718977965604,0,224000,0.0,0,7.914318,nan
0.0,0.0,2919.490309355893,1137.5768018302988,1137.5768018302972,1137.5768018302988,953.7018,10,0.0,9817.985968190345,-61.89407420753697,2919.490309355893,5.8534775,-61.89407420753697,9817.985968190345,-41.368557,10,1137.5768018302972,1,248000,0.0,1,11.27338,nan
0.0,0.0,17.773283631481945,-89.24705795436189,-89.2470579543619,-89.24705795436189,57133.87,10,0.0,-49.00057496810336,-107.1604277474298,17.773283631481945,-2.927236,-107.1604277474298,-49.00057496810336,-957.1852,10,-89.2470579543619,2,272000,0.0,2,21.183441,nan
0.0,0.0,766.6579430407465,264.7016452717821,264.70164527178184,264.7016452717821,251977.25,10,0.0,2292.7051402004076,-103.35195643459252,766.6579430407465,-10.942076,-103.35195643459252,2292.7051402004076,-5729.9893,10,264.70164527178184,3,296000,0.0,3,42.977577,nan
0.0,0.0,6.7355261574519885,-98.88707897786996,-98.88707897787002,-98.88707897786996,671709.4,10,0.0,-82.0848762276358,-108.2828645127199,6.7355261574519885,-12.165056,-108.2828645127199,-82.0848762276358,-11405.316,10,-98.88707897787002,4,320000,0.0,4,188.94681,nan
0.0,0.0,34.69880305423688,-62.38208765164774,-62.38208765164777,-62.38208765164774,2606802.2,10,0.0,33.493940499791194,-95.40398870044908,34.69880305423688,-13.764543,-95.40398870044908,33.493940499791194,-22649.633,10,-62.38208765164777,5,344000,0.0,5,44.207897,nan
0.0,0.1,19.560844035842454,-69.68583052870896,-69.68583052870898,-69.68583052870896,5844933.0,10,0.0,-18.369773512299155,-89.34405635233253,19.560844035842454,-15.147022,-89.34405635233253,-18.369773512299155,-34066.766,10,-69.68583052870898,6,368000,0.1,6,33.451447,nan
0.0,0.0,22.833789151968478,-55.4033921636928,-55.4033921636928,-55.4033921636928,8598831.0,10,0.0,-20.34035449128644,-82.68154692215907,22.833789151968478,-14.532972,-82.68154692215907,-20.34035449128644,-36933.973,10,-55.4033921636928,7,392000,0.0,7,60.74845,nan
0.0,0.2,33862.764409999654,13885.468356532685,13885.46835653269,13885.468356532685,23218734.0,10,0.0,112643.28167482126,-62.358192976965455,33862.764409999654,-15.333168,-62.358192976965455,112643.28167482126,-53863.08,10,13885.46835653269,8,416000,0.2,8,100.20114,nan
0.0,0.1,17.1653696088365,-43.78036836934791,-43.78036836934791,-43.78036836934791,33134952.0,10,0.0,-10.850240349428525,-74.64458970338114,17.1653696088365,-14.958854,-74.64458970338114,-10.850240349428525,-58077.04,10,-43.78036836934791,9,440000,0.1,9,112.92626,nan
0.0,0.2,37535.03228740659,12473.109067630365,12473.10906763037,12473.109067630365,47724388.0,10,0.0,125078.20001812828,-64.04476241694847,37535.03228740659,-20.143873,-64.04476241694847,125078.20001812828,-66075.125,10,12473.10906763037,10,464000,0.2,10,118.36094,nan
0.0,0.2,45187.81476514867,22341.604328113553,22341.60432811355,22341.604328113553,68604280.0,10,0.0,150320.11853757538,-84.97887358831198,45187.81476514867,-22.212767,-84.97887358831198,150320.11853757538,-81436.03,10,22341.60432811355,11,488000,0.2,11,197.29272,nan
0.0,0.0,252.5542884044019,50.67977916340718,50.679779163407204,50.67977916340718,252498480.0,10,0.0,807.5582136377247,-55.71367659037655,252.5542884044019,-26.461687,-55.71367659037655,807.5582136377247,-72269.6,10,50.679779163407204,12,512000,0.0,12,867.3572,nan
0.0,0.3,63489.31448162496,21118.504710507063,21118.50471050706,21118.504710507063,88515220.0,10,0.0,211586.44048042988,-73.67572464616332,63489.31448162496,-24.914505,-73.67572464616332,211586.44048042988,-102450.23,10,21118.50471050706,13,536000,0.3,13,164.40442,nan
0.0,0.3,24929.110802794323,8474.425291283613,8474.425291283613,8474.425291283613,119910030.0,10,0.0,83244.33925177007,-44.14792062871397,24929.110802794323,-24.557465,-44.14792062871397,83244.33925177007,-121575.73,10,8474.425291283613,14,560000,0.3,14,110.293655,nan
0.0,0.2,57319.248880946325,28957.694288927083,28957.694288927094,28957.694288927083,128014550.0,10,0.0,152989.47230112494,-77.38574170656305,57319.248880946325,-25.91064,-77.38574170656305,152989.47230112494,-125446.27,10,28957.694288927094,15,584000,0.2,15,110.92,nan
0.0,0.1,1410.3946553386734,661.411213697623,661.411213697623,661.411213697623,128100940.0,10,0.0,4046.2875493959295,-35.90505849171178,1410.3946553386734,-26.767878,-35.90505849171178,4046.2875493959295,-131020.87,10,661.411213697623,16,608000,0.1,16,100.56275,nan
0.0,0.1,22007.002137410338,7307.606570457649,7307.606570457645,7307.606570457649,137195820.0,10,0.0,73328.60860928796,-44.98013582147391,22007.002137410338,-28.877687,-44.98013582147391,73328.60860928796,-133234.48,10,7307.606570457645,17,632000,0.1,17,110.9879,nan
0.0,0.0,5.771727796442671,-26.569517767284147,-26.56951776728415,-26.569517767284147,150974530.0,10,0.0,-19.46290347241425,-37.16322712910134,5.771727796442671,-27.776474,-37.16322712910134,-19.46290347241425,-136507.98,10,-26.56951776728415,18,656000,0.0,18,130.17857,nan
0.0,0.2,27133.74440172497,13254.488527293011,13254.48852729302,13254.488527293011,151733280.0,10,0.0,78503.60397361965,-70.02937007893597,27133.74440172497,-27.14203,-70.02937007893597,78503.60397361965,-136039.88,10,13254.48852729302,19,680000,0.2,19,132.27484,nan
0.0,0.1,25582.207482486854,8487.266230024085,8487.26623002408,8487.266230024085,141604060.0,10,0.0,85233.87555665516,-68.82162883439484,25582.207482486854,-25.718485,-68.82162883439484,85233.87555665516,-135303.52,10,8487.26623002408,20,704000,0.1,20,137.91838,nan
0.0,0.1,13760.398245465281,4623.2086727186825,4623.208672718676,4623.2086727186825,130430960.0,10,0.0,45899.59489272697,-60.231995208506646,13760.398245465281,-24.418617,-60.231995208506646,45899.59489272697,-137291.81,10,4623.208672718676,21,728000,0.1,21,128.14096,nan
0.0,0.3,38480.55179801148,24209.02306117321,24209.02306117322,24209.02306117321,127735040.0,10,0.0,106487.78026993635,-72.47922414754626,38480.55179801148,-22.166851,-72.47922414754626,106487.78026993635,-139677.17,10,24209.02306117322,22,752000,0.3,22,91.019455,nan
0.0,0.2,61417.29967306389,30303.415772024928,30303.41577202491,30303.415772024928,128055300.0,10,0.0,172397.96625796767,-70.0130478906456,61417.29967306389,-20.695942,-70.0130478906456,172397.96625796767,-145016.48,10,30303.41577202491,23,776000,0.2,23,93.34584,nan
0.0,0.3,58362.478919029985,36235.987054556914,36235.987054556936,36235.987054556914,131093730.0,10,0.0,168786.35438881058,-32.745551576978144,58362.478919029985,-19.90613,-32.745551576978144,168786.35438881058,-144807.58,10,36235.987054556936,24,800000,0.3,24,93.76524,nan
0.0,0.2,47366.44635552688,23023.39763828392,23023.397638283903,23023.39763828392,146905390.0,10,0.0,139196.981890644,-58.52946911430256,47366.44635552688,-20.562132,-58.52946911430256,139196.981890644,-150016.11,10,23023.397638283903,25,824000,0.2,25,101.30552,nan
0.0,0.3,53515.23763427454,24681.689745447984,24681.689745447995,24681.689745447984,157466530.0,10,0.0,169388.14886088992,-48.07752811363067,53515.23763427454,-20.683002,-48.07752811363067,169388.14886088992,-152454.53,10,24681.689745447995,26,848000,0.3,26,90.43142,nan
