MetaTest/Average/TerminationRate,MetaTest/faucet-close-v1/Iteration,MetaTest/Average/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/faucet-close-v1/NumTrajs,TotalEnvSteps,MetaTest/faucet-close-v1/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTest/faucet-close-v1/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/Average/SuccessRate,MetaTest/faucet-close-v1/AverageReturn,MetaTest/Average/NumTrajs,MetaTest/faucet-close-v1/MinReturn,MetaTest/faucet-close-v1/SuccessRate,MetaTest/Average/StdReturn,MetaTest/faucet-close-v1/TerminationRate,MetaTrain/Average/Alpha,MetaTrain/Average/PolicyLoss,MetaTest/Average/Iteration,MetaTest/faucet-close-v1/MaxReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageDiscountedReturn
0.0,0,373.54507684887824,7.5492388454368555,10,224000,138.12473596954752,1.44492,-59.613137947163466,7.549238845436827,76175.82,0.0,7.5492388454368555,10,-59.613137947163466,0.0,138.12473596954752,0.0,nan,-441.27396,0,373.54507684887824,15.793899,7.549238845436827
0.0,1,16568.8394412958,7930.084187917775,10,248000,5714.453448566957,0.090910934,1587.695527675383,7930.084187917777,98499.42,0.0,7930.084187917775,10,1587.695527675383,0.0,5714.453448566957,0.0,nan,-1624.5272,1,16568.8394412958,72.75175,7930.084187917777
0.0,2,42838.32334089649,20836.048911920338,10,272000,10972.30048441924,-4.0458307,7388.049377737101,20836.048911920334,519128.22,0.2,20836.048911920338,10,7388.049377737101,0.2,10972.30048441924,0.0,nan,-5232.142,2,42838.32334089649,113.272705,20836.048911920334
0.0,3,149559.04681155973,31771.32840690498,10,296000,39726.971806806454,-9.624976,1042.4744235660444,31771.328406904988,1480109.9,0.1,31771.32840690498,10,1042.4744235660444,0.1,39726.971806806454,0.0,nan,-10722.571,3,149559.04681155973,503.13876,31771.328406904988
0.0,4,32097.42382361262,18072.213306613277,10,320000,5850.585878730809,-12.45526,7244.936392399251,18072.213306613274,2131622.0,0.0,18072.213306613277,10,7244.936392399251,0.0,5850.585878730809,0.0,nan,-15805.094,4,32097.42382361262,881.3281,18072.213306613274
0.0,5,20073.053045213128,15608.514376397818,10,344000,6466.514477181874,-14.75972,3064.5722912662914,15608.514376397818,3457997.0,0.0,15608.514376397818,10,3064.5722912662914,0.0,6466.514477181874,0.0,nan,-21645.73,5,20073.053045213128,898.0466,15608.514376397818
0.0,6,27412.203351354405,17322.578400415186,10,368000,6202.03970860119,-15.438786,7559.83657020617,17322.578400415186,4826675.0,0.1,17322.578400415186,10,7559.83657020617,0.1,6202.03970860119,0.0,nan,-27770.32,6,27412.203351354405,1398.3772,17322.578400415186
0.0,7,100071.02591504874,25181.865832265838,10,392000,28022.98546237947,-15.805694,2713.8017065506515,25181.865832265834,6476824.5,0.3,25181.865832265838,10,2713.8017065506515,0.3,28022.98546237947,0.0,nan,-33982.61,7,100071.02591504874,1063.3383,25181.865832265834
0.0,8,23221.743966433984,17369.61124200191,10,416000,3990.491347253198,-16.24159,11306.735450728744,17369.6112420019,8898273.0,0.0,17369.61124200191,10,11306.735450728744,0.0,3990.491347253198,0.0,nan,-39837.98,8,23221.743966433984,1374.7715,17369.6112420019
0.0,9,19704.781630653397,13411.230395735281,10,440000,4293.0878186499085,-16.67483,5251.654249111916,13411.230395735281,11432556.0,0.0,13411.230395735281,10,5251.654249111916,0.0,4293.0878186499085,0.0,nan,-44916.13,9,19704.781630653397,721.3516,13411.230395735281
0.0,10,55699.36697288497,16592.742296440072,10,464000,14507.142059866252,-16.554129,3820.8104030520567,16592.74229644007,12478566.0,0.0,16592.742296440072,10,3820.8104030520567,0.0,14507.142059866252,0.0,nan,-47834.9,10,55699.36697288497,823.56525,16592.74229644007
0.0,11,25716.866840152998,13141.365778254307,10,488000,8049.626766660096,-17.339422,519.4557845626193,13141.36577825431,16621498.0,0.1,13141.365778254307,10,519.4557845626193,0.1,8049.626766660096,0.0,nan,-54191.098,11,25716.866840152998,669.80426,13141.36577825431
0.0,12,25978.869520200056,16329.08277286519,10,512000,10675.833674365316,-18.139708,-28.09014502387532,16329.082772865197,22128840.0,0.1,16329.08277286519,10,-28.09014502387532,0.1,10675.833674365316,0.0,nan,-61251.543,12,25978.869520200056,752.862,16329.082772865197
0.0,13,166620.80103433627,28603.58763818048,10,536000,46641.84100124578,-17.863813,-82.43609875556608,28603.587638180477,23961288.0,0.2,28603.58763818048,10,-82.43609875556608,0.2,46641.84100124578,0.0,nan,-65975.56,13,166620.80103433627,606.8429,28603.587638180477
0.0,14,80565.00615528958,28288.876360917533,10,560000,27094.05656674839,-18.100002,1370.3732587398392,28288.876360917533,29360348.0,0.3,28288.876360917533,10,1370.3732587398392,0.3,27094.05656674839,0.0,nan,-71799.125,14,80565.00615528958,542.36725,28288.876360917533
0.0,15,85999.59007320931,26520.114391993782,10,584000,20446.364344382146,-18.651052,8195.987073338254,26520.11439199378,36433930.0,0.1,26520.114391993782,10,8195.987073338254,0.1,20446.364344382146,0.0,nan,-76803.586,15,85999.59007320931,714.63605,26520.11439199378
0.0,16,21586.288483533725,13330.637197236041,10,608000,8146.722645572938,-18.689562,-12.711140002430962,13330.63719723604,41351400.0,0.1,13330.637197236041,10,-12.711140002430962,0.1,8146.722645572938,0.0,nan,-79850.234,16,21586.288483533725,651.1443,13330.63719723604
0.0,17,148518.77701711602,44771.05300018702,10,632000,53232.55640090317,-18.7336,4306.465402070563,44771.05300018699,45214704.0,0.4,44771.05300018702,10,4306.465402070563,0.4,53232.55640090317,0.0,nan,-81499.055,17,148518.77701711602,495.59207,44771.05300018699
0.0,18,35799.106657773984,18368.894310657597,10,656000,9803.962959139912,-18.76392,-67.2981217461198,18368.894310657597,52100940.0,0.1,18368.894310657597,10,-67.2981217461198,0.1,9803.962959139912,0.0,nan,-85734.94,18,35799.106657773984,554.13055,18368.894310657597
0.0,19,37359.175968596406,19678.645968258894,10,680000,14603.309538312353,-19.100245,-69.33370065096351,19678.645968258894,59990984.0,0.5,19678.645968258894,10,-69.33370065096351,0.5,14603.309538312353,0.0,nan,-90325.77,19,37359.175968596406,633.7011,19678.645968258894
0.0,20,20243.07007477433,2106.058378949291,10,704000,6049.558755992342,-19.432238,-62.33132440336037,2106.0583789492935,75105390.0,0.0,2106.058378949291,10,-62.33132440336037,0.0,6049.558755992342,0.0,nan,-96457.25,20,20243.07007477433,453.71054,2106.0583789492935
0.0,21,155335.3397526418,44013.290980097154,10,728000,47430.92699142682,-18.359346,9474.907807654427,44013.29098009713,71894150.0,0.6,44013.290980097154,10,9474.907807654427,0.6,47430.92699142682,0.0,nan,-97186.85,21,155335.3397526418,510.54285,44013.29098009713
0.0,22,129844.02676382785,24067.953638585277,10,752000,36264.194033267064,-19.348183,-67.65681925434308,24067.953638585263,81997180.0,0.2,24067.953638585277,10,-67.65681925434308,0.2,36264.194033267064,0.0,nan,-101587.89,22,129844.02676382785,604.3374,24067.953638585263
0.0,23,51384.72205355703,11280.572074703454,10,776000,16073.452359875984,-20.447292,-59.28418840340145,11280.572074703461,97394920.0,0.2,11280.572074703454,10,-59.28418840340145,0.2,16073.452359875984,0.0,nan,-110361.56,23,51384.72205355703,723.0665,11280.572074703461
0.0,24,100345.13989228579,12432.580572889072,10,800000,29805.40020129777,-21.06768,-68.27482486596863,12432.580572889072,113084470.0,0.2,12432.580572889072,10,-68.27482486596863,0.2,29805.40020129777,0.0,nan,-120019.98,24,100345.13989228579,591.9136,12432.580572889072
0.0,25,2864.3069413845565,265.8474984977968,10,824000,866.1740372364521,-21.799593,-34.01250000310948,265.84749849779683,125683256.0,0.0,265.8474984977968,10,-34.01250000310948,0.0,866.1740372364521,0.0,nan,-130810.914,25,2864.3069413845565,760.4015,265.84749849779683
