MetaTest/plate-slide-v1/AverageDiscountedReturn,MetaTest/plate-slide-v1/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/plate-slide-v1/MinReturn,MetaTrain/Average/PolicyLoss,TotalEnvSteps,MetaTrain/Average/ContrastiveLoss,MetaTest/plate-slide-v1/MaxReturn,MetaTest/plate-slide-v1/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/NumEpisodes,MetaTest/plate-slide-v1/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/plate-slide-v1/NumEpisodes,MetaTrain/Average/AlphaLoss,MetaTest/plate-slide-v1/TerminationRate,MetaTrain/Average/Alpha,MetaTest/plate-slide-v1/StdReturn,MetaTrain/Average/QfLoss,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate
-25.470024040799814,0,0.0,-25.470024040799814,-39.72994732055071,-39.72994732055071,-1.1684574,56000,8.304736,-6.748988922598967,0.0,0,10,-25.470024040799814,-6.748988922598967,-25.470024040799814,10,6.264465,0.0,0.93071896,8.082234712476485,0.639797,8.082234712476485,0.0
-19.815926789951675,1,0.0,-19.81592678995169,-38.146733083357745,-38.146733083357745,1.4145566,62000,7.911085,76.14953993984389,0.0,1,10,-19.81592678995169,76.14953993984389,-19.815926789951675,10,5.437398,0.0,0.8087799,32.48745462414886,3.149696,32.48745462414886,0.0
30.003777885294447,2,0.0,30.00377788529438,-45.39968200699425,-45.39968200699425,3.547954,68000,10.043791,590.4438135080738,0.0,2,10,30.00377788529438,590.4438135080738,30.003777885294447,10,4.751452,0.0,0.7065504,186.8909481997568,0.7222038,186.8909481997568,0.0
-67.43113250078912,3,0.0,-67.4311325007891,-86.49825908533792,-86.49825908533792,10.21199,74000,25.35717,-45.68642800121181,0.0,3,10,-67.4311325007891,-45.68642800121181,-67.43113250078912,10,3.8080812,0.0,0.62155557,12.120832774729456,1667.8181,12.120832774729456,0.0
-91.456657294559,4,0.0,-91.45665729455901,-92.71728764865549,-92.71728764865549,8.155508,80000,35.202526,-90.31221308599758,0.0,4,10,-91.45665729455901,-90.31221308599758,-91.456657294559,10,3.1408398,0.0,0.550783,0.8378883837025138,1333.5217,0.8378883837025138,0.0
-47.01814263328965,5,0.0,-47.01814263328965,-70.51329405243662,-70.51329405243662,-57.697086,86000,127.01201,-33.491301641294264,0.0,5,10,-47.01814263328965,-33.491301641294264,-47.01814263328965,10,2.112018,0.0,0.49265257,10.212850657088774,2447.6125,10.212850657088774,0.0
-57.167545317397824,6,0.0,-57.167545317397796,-89.80647277375176,-89.80647277375176,-54.12951,92000,119.2323,-44.87239825106955,0.0,6,10,-57.167545317397796,-44.87239825106955,-57.167545317397824,10,1.601829,0.0,0.4475584,11.940411078178888,2632.417,11.940411078178888,0.0
-69.70511387423568,7,0.0,-69.70511387423566,-92.57724211367523,-92.57724211367523,-59.689304,98000,140.77344,-32.6512478432897,0.0,7,10,-69.70511387423566,-32.6512478432897,-69.70511387423568,10,1.4165022,0.0,0.4019412,21.764181845179063,2354.6377,21.764181845179063,0.0
16.47222054986413,8,0.0,16.47222054986408,-99.90395240601971,-99.90395240601971,-86.47358,104000,133.50381,365.1439455070108,0.0,8,10,16.47222054986408,365.1439455070108,16.47222054986413,10,0.9892638,0.0,0.3619137,173.24063343837585,3033.6355,173.24063343837585,0.0
-28.198677292118305,9,0.0,-28.19867729211826,-81.81105184153516,-81.81105184153516,-211.778,110000,206.68047,146.9710812573671,0.0,9,10,-28.19867729211826,146.9710812573671,-28.198677292118305,10,-0.06536235,0.0,0.34545287,84.82879015815222,5073.495,84.82879015815222,0.0
-51.158468775538694,10,0.0,-51.158468775538694,-94.21934116964452,-94.21934116964452,-98.40554,116000,226.04576,-36.58818454620583,0.0,10,10,-51.158468775538694,-36.58818454620583,-51.158468775538694,10,0.4935809,0.0,0.33543098,16.96150574589874,3493.6096,16.96150574589874,0.0
-72.35395288487352,11,0.0,-72.35395288487355,-111.82115515395435,-111.82115515395435,-210.81026,122000,363.7602,-37.808684955188596,0.0,11,10,-72.35395288487355,-37.808684955188596,-72.35395288487352,10,0.23490073,0.0,0.31940246,20.00779564046436,5646.4067,20.00779564046436,0.0
-58.470906733689375,12,0.0,-58.470906733689375,-77.27775391937014,-77.27775391937014,-26.702223,128000,316.40332,-42.3854486569478,0.0,12,10,-58.470906733689375,-42.3854486569478,-58.470906733689375,10,0.8580569,0.0,0.29097143,13.474139232050707,7693.4976,13.474139232050707,0.0
-56.78937614916124,13,0.0,-56.78937614916125,-91.28352494822126,-91.28352494822126,-177.5935,134000,254.76978,-29.162796637152493,0.0,13,10,-56.78937614916125,-29.162796637152493,-56.78937614916124,10,0.05527707,0.0,0.2690103,19.29548572812695,4976.104,19.29548572812695,0.0
