MetaTest/button-press-v1/SuccessRate,MetaTest/button-press-v1/AverageDiscountedReturn,MetaTest/button-press-v1/MinReturn,MetaTest/button-press-v1/TerminationRate,MetaTest/Average/NumTrajs,MetaTest/Average/AverageReturn,MetaTest/button-press-v1/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/MinReturn,MetaTest/button-press-v1/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/button-press-v1/NumTrajs,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/button-press-v1/StdReturn,MetaTest/button-press-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn
0.1,9631.90032052527,-107.61743924676105,0.0,10,9631.900320525268,26,28002.077270512502,-107.61743924676105,93581.34697450085,93581.34697450085,0.1,848000,10,26,0.0,28002.077270512502,9631.900320525268,9631.90032052527
0.1,1816.6542296733382,-105.69879610702522,0.0,10,1816.6542296733373,27,2161.292358765991,-105.69879610702522,5138.712586155244,5138.712586155244,0.1,872000,10,27,0.0,2161.292358765991,1816.6542296733373,1816.6542296733382
0.1,20636.730707361137,-107.78930738492048,0.0,10,20636.73070736114,28,56429.06332839328,-107.78930738492048,189798.34459827878,189798.34459827878,0.1,896000,10,28,0.0,56429.06332839328,20636.73070736114,20636.730707361137
0.2,38924.08040633386,-102.89450836148315,0.0,10,38924.08040633383,29,107593.42238898134,-102.89450836148315,361639.31314456713,361639.31314456713,0.2,920000,10,29,0.0,107593.42238898134,38924.08040633383,38924.08040633386
0.0,2279.670214477064,-104.00455796943903,0.0,10,2279.670214477061,30,2402.2898238716907,-104.00455796943903,7198.470030816485,7198.470030816485,0.0,944000,10,30,0.0,2402.2898238716907,2279.670214477061,2279.670214477064
0.0,780.8567645869991,-102.7450501808469,0.0,10,780.8567645869981,31,1343.1950483991743,-102.7450501808469,3387.908705291646,3387.908705291646,0.0,968000,10,31,0.0,1343.1950483991743,780.8567645869981,780.8567645869991
0.1,37961.189510746306,-106.49880219938954,0.0,10,37961.189510746335,32,92755.54067490883,-106.49880219938954,313322.7155017764,313322.7155017764,0.1,992000,10,32,0.0,92755.54067490883,37961.189510746335,37961.189510746306
0.3,64372.58682550148,-101.47283238650937,0.0,10,64372.586825501465,33,119107.53067189472,-101.47283238650937,370403.8447272362,370403.8447272362,0.3,1016000,10,33,0.0,119107.53067189472,64372.586825501465,64372.58682550148
0.0,2157.0812161153017,-107.16320359980854,0.0,10,2157.081216115306,34,2063.775971654264,-107.16320359980854,5121.224277060222,5121.224277060222,0.0,1040000,10,34,0.0,2063.775971654264,2157.081216115306,2157.0812161153017
0.1,25311.05444394663,-107.01423879406855,0.0,10,25311.05444394662,35,70390.95592489323,-107.01423879406855,236378.47716523492,236378.47716523492,0.1,1064000,10,35,0.0,70390.95592489323,25311.05444394662,25311.05444394663
0.0,1571.7902107202322,-103.17956760991395,0.0,10,1571.7902107202337,36,2114.1401295288415,-103.17956760991395,5130.893461734712,5130.893461734712,0.0,1088000,10,36,0.0,2114.1401295288415,1571.7902107202337,1571.7902107202322
0.0,247.76907670227948,-107.590889862152,0.0,10,247.76907670227996,37,1039.7046157124491,-107.590889862152,3366.828716447785,3366.828716447785,0.0,1112000,10,37,0.0,1039.7046157124491,247.76907670227996,247.76907670227948
0.2,8274.57254376345,-107.99356606569827,0.0,10,8274.572543763454,38,17101.852215150742,-107.99356606569827,58401.50433511,58401.50433511,0.2,1136000,10,38,0.0,17101.852215150742,8274.572543763454,8274.57254376345
0.0,2006.680872759678,-104.15146435498228,0.0,10,2006.6808727596774,39,3055.20392789007,-104.15146435498228,7390.51130404468,7390.51130404468,0.0,1160000,10,39,0.0,3055.20392789007,2006.6808727596774,2006.680872759678
0.1,3118.8022380922444,-109.85737720044196,0.0,10,3118.8022380922393,40,2609.9602745357397,-109.85737720044196,7586.28508320579,7586.28508320579,0.1,1184000,10,40,0.0,2609.9602745357397,3118.8022380922393,3118.8022380922444
0.5,107743.72918688526,-104.48815164621132,0.0,10,107743.72918688526,41,133890.11856628305,-104.48815164621132,364405.5002623983,364405.5002623983,0.5,1208000,10,41,0.0,133890.11856628305,107743.72918688526,107743.72918688526
0.1,1555.6125015961015,-107.09067288401413,0.0,10,1555.6125015961004,42,2907.305150181479,-107.09067288401413,7343.863267672035,7343.863267672035,0.1,1232000,10,42,0.0,2907.305150181479,1555.6125015961004,1555.6125015961015
0.1,8983.337569280415,-107.47370121184468,0.0,10,8983.337569280417,43,24918.70719654641,-107.47370121184468,83652.77641457258,83652.77641457258,0.1,1256000,10,43,0.0,24918.70719654641,8983.337569280417,8983.337569280415
0.1,33746.89531442303,-108.01944471348,0.0,10,33746.895314423025,44,96201.43188730747,-108.01944471348,322267.4202715659,322267.4202715659,0.1,1280000,10,44,0.0,96201.43188730747,33746.895314423025,33746.89531442303
0.1,44008.04003021804,-106.51928159590987,0.0,10,44008.04003021802,45,99045.06408029914,-106.51928159590987,324068.7357206159,324068.7357206159,0.1,1304000,10,45,0.0,99045.06408029914,44008.04003021802,44008.04003021804
0.1,11344.157039711607,-106.91498727293661,0.0,10,11344.157039711597,46,33190.42932668114,-106.91498727293661,110867.24849722814,110867.24849722814,0.1,1328000,10,46,0.0,33190.42932668114,11344.157039711597,11344.157039711607
0.0,-98.73542896077379,-103.6025149915984,0.0,10,-98.73542896077365,47,3.7286490743832297,-103.6025149915984,-90.6963074166092,-90.6963074166092,0.0,1352000,10,47,0.0,3.7286490743832297,-98.73542896077365,-98.73542896077379
0.0,1565.0443267118285,-109.08937447434292,0.0,10,1565.0443267118287,48,2133.268933676283,-109.08937447434292,5231.740960613637,5231.740960613637,0.0,1376000,10,48,0.0,2133.268933676283,1565.0443267118287,1565.0443267118285
0.0,1156.0011989790582,-102.84928763780204,0.0,10,1156.0011989790592,49,2051.700536339961,-102.84928763780204,6118.828671590441,6118.828671590441,0.0,1400000,10,49,0.0,2051.700536339961,1156.0011989790592,1156.0011989790582
0.1,7633.753729292332,-106.28605237725658,0.0,10,7633.753729292313,50,16804.994032159306,-106.28605237725658,57521.11623890436,57521.11623890436,0.1,1424000,10,50,0.0,16804.994032159306,7633.753729292313,7633.753729292332
0.1,2052.855025940259,-106.82563936952376,0.0,10,2052.8550259402577,51,2532.1122683215326,-106.82563936952376,7432.759266409144,7432.759266409144,0.1,1448000,10,51,0.0,2532.1122683215326,2052.8550259402577,2052.855025940259
0.5,240103.28896938887,115349.58512270756,0.0,10,240103.28896938893,52,83606.27433233788,115349.58512270756,352563.41441564675,352563.41441564675,0.5,1472000,10,52,0.0,83606.27433233788,240103.28896938893,240103.28896938887
0.8,265960.96028303483,18064.627716464733,0.0,10,265960.96028303483,53,112317.89750988579,18064.627716464733,365373.40758320276,365373.40758320276,0.8,1496000,10,53,0.0,112317.89750988579,265960.96028303483,265960.96028303483
0.8,261917.2677427256,-16.72369270941433,0.0,10,261917.26774272564,54,112273.71145007387,-16.72369270941433,364559.616362399,364559.616362399,0.8,1520000,10,54,0.0,112273.71145007387,261917.26774272564,261917.2677427256
0.7,271357.32179315574,85319.97787896171,0.0,10,271357.3217931557,55,75201.52836094116,85319.97787896171,354623.68996346893,354623.68996346893,0.7,1544000,10,55,0.0,75201.52836094116,271357.3217931557,271357.32179315574
0.8,278839.14849402395,14253.534003346827,0.0,10,278839.14849402406,56,101779.18765944087,14253.534003346827,352820.62946909346,352820.62946909346,0.8,1568000,10,56,0.0,101779.18765944087,278839.14849402406,278839.14849402395
0.9,276396.45739974687,3441.0648815148757,0.0,10,276396.45739974687,57,110760.18168894887,3441.0648815148757,363471.43300048634,363471.43300048634,0.9,1592000,10,57,0.0,110760.18168894887,276396.45739974687,276396.45739974687
0.7,229883.7475773843,60713.24449069554,0.0,10,229883.7475773843,58,95272.94111761743,60713.24449069554,363163.342730232,363163.342730232,0.7,1616000,10,58,0.0,95272.94111761743,229883.7475773843,229883.7475773843
0.1,1080.5766253586426,-99.93242497156861,0.0,10,1080.576625358639,59,1812.7584913785984,-99.93242497156861,4505.3301521086105,4505.3301521086105,0.1,1640000,10,59,0.0,1812.7584913785984,1080.576625358639,1080.5766253586426
0.5,75477.77718614899,-53.23405480439355,0.0,10,75477.77718614895,60,142535.50118692644,-53.23405480439355,364537.16161946877,364537.16161946877,0.5,1664000,10,60,0.0,142535.50118692644,75477.77718614895,75477.77718614899
0.3,118819.33026760134,-60.327296744987144,0.0,10,118819.33026760134,61,147230.25296488026,-60.327296744987144,354682.7376934773,354682.7376934773,0.3,1688000,10,61,0.0,147230.25296488026,118819.33026760134,118819.33026760134
0.6,159370.28466437355,848.7770926247346,0.0,10,159370.2846643736,62,146037.19920032006,848.7770926247346,363541.26444214385,363541.26444214385,0.6,1712000,10,62,0.0,146037.19920032006,159370.2846643736,159370.28466437355
0.7,226878.64226320107,3429.937149802783,0.0,10,226878.64226320107,63,142363.7105498282,3429.937149802783,360963.7639231702,360963.7639231702,0.7,1736000,10,63,0.0,142363.7105498282,226878.64226320107,226878.64226320107
1.0,344765.3299792233,324489.2481236294,0.0,10,344765.32997922326,64,15282.165162126723,324489.2481236294,368168.7098367221,368168.7098367221,1.0,1760000,10,64,0.0,15282.165162126723,344765.32997922326,344765.3299792233
1.0,341741.03252102336,304227.71967856673,0.0,10,341741.0325210235,65,23893.731879363633,304227.71967856673,368049.8670164806,368049.8670164806,1.0,1784000,10,65,0.0,23893.731879363633,341741.0325210235,341741.03252102336
0.9,289442.06231269334,91719.02869815762,0.0,10,289442.06231269345,66,83829.8708463648,91719.02869815762,373681.2364350494,373681.2364350494,0.9,1808000,10,66,0.0,83829.8708463648,289442.06231269345,289442.06231269334
1.0,340659.62206261884,294173.99720260786,0.0,10,340659.62206261896,67,21688.201379378155,294173.99720260786,366926.58507396077,366926.58507396077,1.0,1832000,10,67,0.0,21688.201379378155,340659.62206261896,340659.62206261884
1.0,338430.946270596,300250.0971714267,0.0,10,338430.94627059594,68,17906.49252516464,300250.0971714267,359059.3371776739,359059.3371776739,1.0,1856000,10,68,0.0,17906.49252516464,338430.94627059594,338430.946270596
0.4,127804.2398973587,-17.84519722060456,0.0,10,127804.2398973587,69,158821.3213482163,-17.84519722060456,362068.2855849679,362068.2855849679,0.4,1880000,10,69,0.0,158821.3213482163,127804.2398973587,127804.2398973587
1.0,302897.143501438,187616.24910621348,0.0,10,302897.143501438,70,47159.24825522182,187616.24910621348,361547.18687930406,361547.18687930406,1.0,1904000,10,70,0.0,47159.24825522182,302897.143501438,302897.143501438
0.9,308064.343107981,-26.274798025845946,0.0,10,308064.34310798085,71,103494.8308886763,-26.274798025845946,359136.9499433079,359136.9499433079,0.9,1928000,10,71,0.0,103494.8308886763,308064.34310798085,308064.343107981
0.9,315893.7367495282,206592.202605159,0.0,10,315893.7367495283,72,47563.345297585074,206592.202605159,363041.39880867803,363041.39880867803,0.9,1952000,10,72,0.0,47563.345297585074,315893.7367495283,315893.7367495282
1.0,338628.4900785305,306885.1864505929,0.0,10,338628.49007853045,73,16958.327146161493,306885.1864505929,363825.65683532646,363825.65683532646,1.0,1976000,10,73,0.0,16958.327146161493,338628.49007853045,338628.4900785305
0.9,280418.52278155973,10014.55930515563,0.0,10,280418.5227815596,74,136413.42957556804,10014.55930515563,368378.22978191846,368378.22978191846,0.9,2000000,10,74,0.0,136413.42957556804,280418.5227815596,280418.52278155973
0.9,324184.98719386186,233223.62583457175,0.0,10,324184.9871938618,75,43115.993425158624,233223.62583457175,363083.3107374325,363083.3107374325,0.9,2024000,10,75,0.0,43115.993425158624,324184.9871938618,324184.98719386186
0.9,329383.83975917136,280372.7191585193,0.0,10,329383.8397591714,76,23610.63987464678,280372.7191585193,364572.2555409067,364572.2555409067,0.9,2048000,10,76,0.0,23610.63987464678,329383.8397591714,329383.83975917136
0.5,117505.1775162225,-105.49164120873901,0.0,10,117505.17751622247,77,145874.32041424667,-105.49164120873901,350107.04496064194,350107.04496064194,0.5,2072000,10,77,0.0,145874.32041424667,117505.17751622247,117505.1775162225
0.8,109904.31012047594,-11.13459409156315,0.0,10,109904.3101204759,78,133338.03349325998,-11.13459409156315,356456.6626006694,356456.6626006694,0.8,2096000,10,78,0.0,133338.03349325998,109904.3101204759,109904.31012047594
1.0,320749.82700748334,181632.7640597016,0.0,10,320749.8270074834,79,55344.2047924231,181632.7640597016,365888.9303731833,365888.9303731833,1.0,2120000,10,79,0.0,55344.2047924231,320749.8270074834,320749.82700748334
1.0,293367.0534558847,20127.083522623096,0.0,10,293367.05345588457,80,106053.03033604342,20127.083522623096,364957.9380645674,364957.9380645674,1.0,2144000,10,80,0.0,106053.03033604342,293367.05345588457,293367.0534558847
0.9,285464.2841560224,120119.51669992403,0.0,10,285464.2841560223,81,87120.31099743208,120119.51669992403,363155.5528330907,363155.5528330907,0.9,2168000,10,81,0.0,87120.31099743208,285464.2841560223,285464.2841560224
1.0,344544.53272823605,322657.79079997237,0.0,10,344544.53272823605,82,12590.819999773625,322657.79079997237,359358.84234719595,359358.84234719595,1.0,2192000,10,82,0.0,12590.819999773625,344544.53272823605,344544.53272823605
0.9,276609.6103711377,52165.74618291156,0.0,10,276609.6103711377,83,96631.05767350059,52165.74618291156,367684.77244405163,367684.77244405163,0.9,2216000,10,83,0.0,96631.05767350059,276609.6103711377,276609.6103711377
0.9,285497.2311758807,12706.157801174877,0.0,10,285497.2311758807,84,104958.50734945745,12706.157801174877,368209.2404540028,368209.2404540028,0.9,2240000,10,84,0.0,104958.50734945745,285497.2311758807,285497.2311758807
0.8,306229.71602515085,145054.2526159968,0.0,10,306229.71602515073,85,69277.98180247242,145054.2526159968,357717.04322385835,357717.04322385835,0.8,2264000,10,85,0.0,69277.98180247242,306229.71602515073,306229.71602515085
0.8,263351.9261059459,18171.897728180502,0.0,10,263351.92610594595,86,129439.62890109015,18171.897728180502,370339.87753539934,370339.87753539934,0.8,2288000,10,86,0.0,129439.62890109015,263351.92610594595,263351.9261059459
0.2,34659.5812793358,-106.79960016635766,0.0,10,34659.58127933581,87,97796.65061234917,-106.79960016635766,327947.0960249409,327947.0960249409,0.2,2312000,10,87,0.0,97796.65061234917,34659.58127933581,34659.5812793358
0.5,9497.821749152161,-61.49108995125276,0.0,10,9497.821749152161,88,19543.763808982298,-61.49108995125276,67507.96099980646,67507.96099980646,0.5,2336000,10,88,0.0,19543.763808982298,9497.821749152161,9497.821749152161
0.9,41989.0650660674,1709.1428660483577,0.0,10,41989.06506606738,89,110866.33785833491,1709.1428660483577,374548.5212644502,374548.5212644502,0.9,2360000,10,89,0.0,110866.33785833491,41989.06506606738,41989.0650660674
0.3,64555.367831347234,-61.95767891595651,0.0,10,64555.367831347205,90,127490.91245827399,-61.95767891595651,326883.42538748245,326883.42538748245,0.3,2384000,10,90,0.0,127490.91245827399,64555.367831347205,64555.367831347234
0.4,94872.9663239377,-25.037432532098087,0.0,10,94872.96632393767,91,141513.28601257413,-25.037432532098087,356171.84259197605,356171.84259197605,0.4,2408000,10,91,0.0,141513.28601257413,94872.96632393767,94872.9663239377
0.4,122173.52303650176,-21.64669276202603,0.0,10,122173.52303650175,92,138593.39185643976,-21.64669276202603,330063.14628920687,330063.14628920687,0.4,2432000,10,92,0.0,138593.39185643976,122173.52303650175,122173.52303650176
0.4,128892.66936532738,-17.52701555683625,0.0,10,128892.66936532741,93,151868.8970852605,-17.52701555683625,340048.4495034565,340048.4495034565,0.4,2456000,10,93,0.0,151868.8970852605,128892.66936532741,128892.66936532738
0.3,150715.3595262798,-16.983375136698132,0.0,10,150715.35952627985,94,147590.3862233732,-16.983375136698132,347100.5563183369,347100.5563183369,0.3,2480000,10,94,0.0,147590.3862233732,150715.35952627985,150715.3595262798
0.4,116632.34511447581,-42.356225315008444,0.0,10,116632.34511447584,95,145545.0091061146,-42.356225315008444,324189.7082844195,324189.7082844195,0.4,2504000,10,95,0.0,145545.0091061146,116632.34511447584,116632.34511447581
0.7,103547.76859936112,-16.009676723504946,0.0,10,103547.76859936112,96,146288.75576259685,-16.009676723504946,346847.2192211057,346847.2192211057,0.7,2528000,10,96,0.0,146288.75576259685,103547.76859936112,103547.76859936112
0.8,151479.35243052832,-11.593447435412715,0.0,10,151479.35243052838,97,164519.20694317837,-11.593447435412715,373095.9164369463,373095.9164369463,0.8,2552000,10,97,0.0,164519.20694317837,151479.35243052838,151479.35243052832
0.6,230730.88228522046,-14.763511609276147,0.0,10,230730.88228522046,98,138926.45593841872,-14.763511609276147,370205.68358753086,370205.68358753086,0.6,2576000,10,98,0.0,138926.45593841872,230730.88228522046,230730.88228522046
0.7,180241.36567882219,6401.2866129362255,0.0,10,180241.36567882227,99,146670.36072745096,6401.2866129362255,360997.51339316467,360997.51339316467,0.7,2600000,10,99,0.0,146670.36072745096,180241.36567882227,180241.36567882219
0.2,63994.88931615889,-106.00592076806205,0.0,10,63994.889316158835,100,129883.91076106101,-106.00592076806205,367852.7916235478,367852.7916235478,0.2,2624000,10,100,0.0,129883.91076106101,63994.889316158835,63994.88931615889
0.9,332335.0355643701,281434.67440227926,0.0,10,332335.0355643701,101,26246.01308178311,281434.67440227926,365371.05424839,365371.05424839,0.9,2648000,10,101,0.0,26246.01308178311,332335.0355643701,332335.0355643701
1.0,327857.8185742324,284904.0247803041,0.0,10,327857.8185742325,102,31870.009397880705,284904.0247803041,364590.3207030513,364590.3207030513,1.0,2672000,10,102,0.0,31870.009397880705,327857.8185742325,327857.8185742324
1.0,345419.46524176776,315972.77318981325,0.0,10,345419.4652417677,103,17615.397807512396,315972.77318981325,369229.51030673966,369229.51030673966,1.0,2696000,10,103,0.0,17615.397807512396,345419.4652417677,345419.46524176776
0.5,164943.02621524906,-75.50143812237158,0.0,10,164943.026215249,104,164310.7179672288,-75.50143812237158,352446.07627445785,352446.07627445785,0.5,2720000,10,104,0.0,164310.7179672288,164943.026215249,164943.02621524906
0.5,174566.0014529024,-66.59119601025914,0.0,10,174566.00145290233,105,174846.4246852825,-66.59119601025914,362677.4840237742,362677.4840237742,0.5,2744000,10,105,0.0,174846.4246852825,174566.00145290233,174566.0014529024
0.7,173768.4960763022,-16.2032960003352,0.0,10,173768.49607630214,106,171099.42464706048,-16.2032960003352,353013.82356622594,353013.82356622594,0.7,2768000,10,106,0.0,171099.42464706048,173768.49607630214,173768.4960763022
0.9,312812.49243240576,4297.667079536182,0.0,10,312812.49243240576,107,107503.11172345675,4297.667079536182,371361.60896142916,371361.60896142916,0.9,2792000,10,107,0.0,107503.11172345675,312812.49243240576,312812.49243240576
0.9,297260.0812382213,-23.394117385147464,0.0,10,297260.0812382213,108,102205.71943191007,-23.394117385147464,364313.59486290795,364313.59486290795,0.9,2816000,10,108,0.0,102205.71943191007,297260.0812382213,297260.0812382213
1.0,357113.1213444451,331212.6743857904,0.0,10,357113.1213444451,109,11569.974677683087,331212.6743857904,369602.9037307872,369602.9037307872,1.0,2840000,10,109,0.0,11569.974677683087,357113.1213444451,357113.1213444451
0.8,327310.4767128505,258992.69266981294,0.0,10,327310.47671285033,110,38952.82164345426,258992.69266981294,365856.22040441964,365856.22040441964,0.8,2864000,10,110,0.0,38952.82164345426,327310.47671285033,327310.4767128505
0.9,306281.4877144461,240776.0193336388,0.0,10,306281.48771444603,111,42264.04739194339,240776.0193336388,358333.768260304,358333.768260304,0.9,2888000,10,111,0.0,42264.04739194339,306281.48771444603,306281.4877144461
1.0,342591.0480657298,272527.28986506566,0.0,10,342591.04806572973,112,27030.18907555234,272527.28986506566,367599.43437395414,367599.43437395414,1.0,2912000,10,112,0.0,27030.18907555234,342591.04806572973,342591.0480657298
1.0,342314.7916716576,315496.49835782277,0.0,10,342314.7916716574,113,13471.495353407428,315496.49835782277,359174.2952441234,359174.2952441234,1.0,2936000,10,113,0.0,13471.495353407428,342314.7916716574,342314.7916716576
0.9,322094.35542296147,165395.03105780156,0.0,10,322094.35542296123,114,55048.68046638424,165395.03105780156,359137.95743813587,359137.95743813587,0.9,2960000,10,114,0.0,55048.68046638424,322094.35542296123,322094.35542296147
1.0,350087.4479354835,333631.60117517144,0.0,10,350087.4479354834,115,8657.688497187573,333631.60117517144,362431.6265699904,362431.6265699904,1.0,2984000,10,115,0.0,8657.688497187573,350087.4479354834,350087.4479354835
1.0,341039.5101151565,326358.50028861396,0.0,10,341039.51011515653,116,11493.333055764811,326358.50028861396,362105.46873109415,362105.46873109415,1.0,3008000,10,116,0.0,11493.333055764811,341039.51011515653,341039.5101151565
1.0,322657.25420105876,285544.4835121695,0.0,10,322657.25420105876,117,24419.700226357487,285544.4835121695,362605.7301887738,362605.7301887738,1.0,3032000,10,117,0.0,24419.700226357487,322657.25420105876,322657.25420105876
