MetaTrain/Average/ContrastiveLoss,MetaTest/pick-place-wall-v1/Iteration,MetaTest/Average/NumEpisodes,MetaTest/pick-place-wall-v1/NumEpisodes,MetaTrain/Average/PolicyLoss,MetaTest/pick-place-wall-v1/AverageReturn,MetaTest/Average/StdReturn,MetaTrain/Average/QfLoss,MetaTest/Average/AverageReturn,MetaTest/pick-place-wall-v1/TerminationRate,MetaTest/pick-place-wall-v1/MaxReturn,MetaTest/pick-place-wall-v1/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/Alpha,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/pick-place-wall-v1/StdReturn,MetaTest/pick-place-wall-v1/AverageDiscountedReturn,MetaTest/pick-place-wall-v1/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/SuccessRate
8.157745,13,10,10,127.94309,299.66029578285753,260.3457229560749,119.76409,299.66029578285753,0.0,576.8989925737046,-274.6795436562154,13,576.8989925737046,299.66029578285753,0.0,0.06753593,-274.6795436562154,536000,260.3457229560749,299.66029578285753,0.0,-0.27544582,0.0
12.002793,14,10,10,-10.4865,277.8631642403487,286.6498270176447,1846.0709,277.8631642403487,0.0,964.0289273841297,-35.38224763767978,14,964.0289273841297,277.8631642403487,0.0,0.14528039,-35.38224763767978,560000,286.6498270176447,277.8631642403487,0.0,-0.9300937,0.0
31.011688,15,10,10,-196.64882,509.1120062394672,811.4225863191481,4153.0474,509.1120062394672,0.0,2050.6579988879457,-89.22120857839218,15,2050.6579988879457,509.1120062394672,0.0,0.2886444,-89.22120857839218,584000,811.4225863191481,509.1120062394672,0.0,-1.7443666,0.0
76.88141,16,10,10,-407.5988,-71.97812030960215,62.320023195368286,10061.084,-71.97812030960215,0.0,99.98397603751373,-119.4081441485809,16,99.98397603751373,-71.97812030960215,0.0,0.5610314,-119.4081441485809,608000,62.320023195368286,-71.97812030960215,0.0,-2.8763978,0.0
40.317127,17,10,10,-1477.0122,112.23061850997487,142.56837475489732,21191.82,112.23061850997487,0.0,395.5291267459153,-27.276548283418013,17,395.5291267459153,112.23061850997487,0.0,1.0962617,-27.276548283418013,632000,142.56837475489732,112.23061850997487,0.0,-5.222425,0.0
44.91803,18,10,10,-2268.2844,-35.05742520372031,136.19017683602866,25401.545,-35.05742520372031,0.0,350.5520124304337,-111.14457388552161,18,350.5520124304337,-35.057425203720314,0.0,2.0304449,-111.14457388552161,656000,136.19017683602866,-35.057425203720314,0.0,-5.461815,0.0
74.0171,19,10,10,-2272.5447,-86.65699205528016,12.943362104439297,26583.8,-86.65699205528016,0.0,-49.69043272289909,-97.41749661786409,19,-49.69043272289909,-86.65699205528016,0.0,2.7478597,-97.41749661786409,680000,12.943362104439297,-86.65699205528016,0.0,-0.94193983,0.0
110.06064,20,10,10,-2628.0437,-62.35847980920803,49.47356900550482,35039.88,-62.35847980920803,0.0,44.013304619912674,-117.72110181448417,20,44.013304619912674,-62.35847980920803,0.0,3.2913,-117.72110181448417,704000,49.47356900550482,-62.35847980920803,0.0,-0.08515726,0.0
74.54184,21,10,10,-2701.331,125.36959291755946,166.84831015175698,36522.734,125.36959291755946,0.0,447.3026483679035,-92.18826350693412,21,447.3026483679035,125.36959291755943,0.0,2.880394,-92.18826350693412,728000,166.84831015175698,125.36959291755943,0.0,1.3466183,0.0
143.01413,22,10,10,-3097.085,162.13469389359483,435.7128377486884,44741.28,162.13469389359483,0.0,1414.250352304671,-80.81709486702346,22,1414.250352304671,162.1346938935946,0.0,2.656365,-80.81709486702346,752000,435.7128377486884,162.1346938935946,0.0,-0.6336613,0.0
85.30493,23,10,10,-3076.2275,253.1148202822173,419.81725146648887,37916.516,253.1148202822173,0.0,1402.5826466411697,-88.8925955736378,23,1402.5826466411697,253.1148202822172,0.0,2.7727177,-88.8925955736378,776000,419.81725146648887,253.1148202822172,0.0,0.15628602,0.0
50.58309,24,10,10,-3032.9058,73.21950064225729,226.70835735904117,38489.594,73.21950064225729,0.0,493.8347196355217,-102.06592494055484,24,493.8347196355217,73.21950064225737,0.0,2.6548448,-102.06592494055484,800000,226.70835735904117,73.21950064225737,0.0,0.12187438,0.0
133.8426,25,10,10,-2488.5486,1348.0811444195547,2137.8049325777197,32410.273,1348.0811444195547,0.0,5871.896612144621,-34.1855989481684,25,5871.896612144621,1348.0811444195556,0.0,2.0320113,-34.1855989481684,824000,2137.8049325777197,1348.0811444195556,0.0,1.6548103,0.0
75.05021,26,10,10,-3087.898,285.24570282773817,311.44006507658474,38613.6,285.24570282773817,0.0,916.6355355673782,-89.30676037352028,26,916.6355355673782,285.2457028277382,0.0,1.9849917,-89.30676037352028,848000,311.44006507658474,285.2457028277382,0.0,-0.18165877,0.0
58.376728,27,10,10,-2821.3032,-9.576067760824795,88.45133979897729,42576.848,-9.576067760824795,0.0,213.4941525531638,-101.55868800936116,27,213.4941525531638,-9.576067760824793,0.0,2.0011654,-101.55868800936116,872000,88.45133979897729,-9.576067760824793,0.0,0.00590102,0.0
104.9539,28,10,10,-2422.4402,200.5935812537507,545.7503561573596,39835.54,200.5935812537507,0.0,1780.6397216148287,-85.00942939103153,28,1780.6397216148287,200.59358125375064,0.0,1.8201196,-85.00942939103153,896000,545.7503561573596,200.59358125375064,0.0,0.20361513,0.0
113.45707,29,10,10,-2162.074,19.428094665844952,139.8624860302824,54850.383,19.428094665844952,0.0,333.1637645482647,-100.56496917133884,29,333.1637645482647,19.428094665845006,0.0,1.7884309,-100.56496917133884,920000,139.8624860302824,19.428094665845006,0.0,-0.058556505,0.0
136.5545,30,10,10,-2496.573,211.2727324830877,274.4029980763657,99435.66,211.2727324830877,0.0,745.3666526564946,-74.58160516367563,30,745.3666526564946,211.2727324830878,0.0,2.3908868,-74.58160516367563,944000,274.4029980763657,211.2727324830878,0.0,-1.3293447,0.0
293.78122,31,10,10,-3902.9832,647.0918265994585,821.5719926324994,189825.25,647.0918265994585,0.0,2582.055858220829,-70.16587255239888,31,2582.055858220829,647.0918265994584,0.0,3.8718083,-70.16587255239888,968000,821.5719926324994,647.0918265994584,0.0,-1.5950747,0.0
318.59995,32,10,10,-5147.541,259.22955625171846,718.8562286514125,237711.69,259.22955625171846,0.0,2294.9362151290975,-115.50393131223882,32,2294.9362151290975,259.22955625171846,0.0,5.1068497,-115.50393131223882,992000,718.8562286514125,259.22955625171846,0.0,-1.0723314,0.0
256.12836,33,10,10,-5199.2324,9.951182620356704,119.14059417838418,227653.61,9.951182620356704,0.0,340.7756076443181,-99.7401782079135,33,340.7756076443181,9.951182620356656,0.0,5.325271,-99.7401782079135,1016000,119.14059417838418,9.951182620356656,0.0,0.3261117,0.0
400.05814,34,10,10,-4628.6157,295.07671268189654,569.9893497530308,214848.78,295.07671268189654,0.0,1841.5689698900228,-92.27424826522328,34,1841.5689698900228,295.07671268189654,0.0,4.612805,-92.27424826522328,1040000,569.9893497530308,295.07671268189654,0.0,0.550084,0.0
318.55835,35,10,10,-4890.6265,2299.125828118613,5537.911331084056,253175.33,2299.125828118613,0.0,18825.898569673547,-45.51490758700391,35,18825.898569673547,2299.1258281186138,0.0,4.7370954,-45.51490758700391,1064000,5537.911331084056,2299.1258281186138,0.0,-0.23157766,0.0
511.2788,36,10,10,-4894.368,391.89025824643034,552.2286218906137,328192.8,391.89025824643034,0.0,1868.0953697450673,-114.25527414743334,36,1868.0953697450673,391.89025824643016,0.0,5.1246552,-114.25527414743334,1088000,552.2286218906137,391.89025824643016,0.0,-0.5056506,0.0
738.20636,37,10,10,-5653.291,203.3336455787552,235.67076003558802,448859.3,203.3336455787552,0.0,616.3172874997861,-94.51202126253317,37,616.3172874997861,203.33364557875515,0.0,5.829754,-94.51202126253317,1112000,235.67076003558802,203.33364557875515,0.0,-0.2312675,0.0
590.5558,38,10,10,-6219.762,213.96823062735726,503.4980016897861,569405.56,213.96823062735726,0.0,1279.6342657531527,-96.84226904614872,38,1279.6342657531527,213.96823062735717,0.0,5.719777,-96.84226904614872,1136000,503.4980016897861,213.96823062735717,0.0,0.033828,0.0
625.81775,39,10,10,-6594.89,422.21155952208346,869.0258111882204,661578.5,422.21155952208346,0.0,2850.534657000402,-91.38708154725471,39,2850.534657000402,422.21155952208346,0.0,5.937462,-91.38708154725471,1160000,869.0258111882204,422.21155952208346,0.0,-0.037133344,0.0
485.9645,40,10,10,-6713.627,845.5348417233563,2070.0016638419843,670740.25,845.5348417233563,0.0,7022.981194412073,-62.86705512278526,40,7022.981194412073,845.5348417233565,0.0,5.5262547,-62.86705512278526,1184000,2070.0016638419843,845.5348417233565,0.0,0.27610645,0.0
450.91174,41,10,10,-6558.175,57.83183166411841,140.71330910936888,675748.75,57.83183166411841,0.0,374.2494270932267,-86.45365364270731,41,374.2494270932267,57.83183166411842,0.0,5.196838,-86.45365364270731,1208000,140.71330910936888,57.83183166411842,0.0,0.38740125,0.0
664.03577,42,10,10,-5965.403,137.78193022042586,361.07965492918896,654543.4,137.78193022042586,0.0,1114.804828766121,-96.17227036060692,42,1114.804828766121,137.78193022042583,0.0,4.6661015,-96.17227036060692,1232000,361.07965492918896,137.78193022042583,0.0,0.565371,0.0
687.7744,43,10,10,-6035.606,64.78617448507472,137.42051489757645,722072.44,64.78617448507472,0.0,325.7225008724149,-155.82968386181759,43,325.7225008724149,64.78617448507467,0.0,4.7191787,-155.82968386181759,1256000,137.42051489757645,64.78617448507467,0.0,-0.5685119,0.0
564.15955,44,10,10,-8034.8486,781.9288179767443,1442.055952162764,1137894.9,781.9288179767443,0.0,4330.484345254153,-152.6853226149893,44,4330.484345254153,781.9288179767436,0.0,5.9526973,-152.6853226149893,1280000,1442.055952162764,781.9288179767436,0.1,-1.2578164,0.1
2296.526,45,10,10,-6854.129,1166.2981385466173,3320.00340186766,1022142.3,1166.2981385466173,0.0,11111.941785833766,-117.8428990764511,45,11111.941785833766,1166.2981385466178,0.0,5.8617387,-117.8428990764511,1304000,3320.00340186766,1166.2981385466178,0.0,2.4763894,0.0
1214.7035,46,10,10,-8838.865,982.6385755597897,1728.1318913470961,1253526.5,982.6385755597897,0.0,5111.371371719596,-87.62125497327916,46,5111.371371719596,982.6385755597896,0.0,5.614076,-87.62125497327916,1328000,1728.1318913470961,982.6385755597896,0.0,-2.2373073,0.0
789.75305,47,10,10,-10647.91,356.72735454690417,444.1472634478477,1413836.2,356.72735454690417,0.0,1323.8428717359682,-93.26840852483907,47,1323.8428717359682,356.72735454690394,0.0,7.377001,-93.26840852483907,1352000,444.1472634478477,356.72735454690394,0.0,-0.7828449,0.0
963.6066,48,10,10,-10624.54,2864.1535957979368,6369.1065570747905,1343547.6,2864.1535957979368,0.0,21612.704140653525,-86.40548890113008,48,21612.704140653525,2864.1535957979363,0.0,7.490264,-86.40548890113008,1376000,6369.1065570747905,2864.1535957979363,0.1,0.26701024,0.1
886.7138,49,10,10,-10955.076,2302.9265004557833,3742.335936545466,1320723.2,2302.9265004557833,0.0,11963.920823206132,-8.227064477277688,49,11963.920823206132,2302.9265004557838,0.0,7.0501523,-8.227064477277688,1400000,3742.335936545466,2302.9265004557838,0.0,0.22401816,0.0
