MetaTest/soccer-v1/NumTrajs,MetaTrain/Average/AlphaLoss,MetaTrain/Average/PolicyLoss,MetaTest/soccer-v1/SuccessRate,MetaTest/Average/NumTrajs,TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/Alpha,MetaTest/Average/Iteration,MetaTest/soccer-v1/StdReturn,MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTest/soccer-v1/MinReturn,MetaTest/soccer-v1/AverageReturn,MetaTest/soccer-v1/Iteration,MetaTest/soccer-v1/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/soccer-v1/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/soccer-v1/TerminationRate
10,6.7294483,-1.4464735,0.0,10,224000,1373.198234955751,8.214383,0.0,319.39629254330146,nan,0,502.475767659761,3.6477063,-23.101391905407688,-23.101391905407688,319.39629254330134,0,319.39629254330146,0.0,1373.198234955751,319.39629254330134,502.475767659761,0.0
10,6.658258,-7.665587,0.0,10,248000,340.48482161855986,8.084964,0.0,69.57641757102922,nan,1,124.20745529101927,185.97215,-21.404045067977357,-21.404045067977357,69.57641757102924,1,69.57641757102922,0.0,340.48482161855986,69.57641757102924,124.20745529101927,0.0
10,5.384541,-85.34039,0.0,10,272000,7492.343631855276,8.117005,0.0,825.9860478036668,nan,2,2236.211669065208,6872.5693,-32.49858584712452,-32.49858584712452,825.9860478036666,2,825.9860478036668,0.0,7492.343631855276,825.9860478036666,2236.211669065208,0.0
10,0.95834,-905.6766,0.0,10,296000,6340.113348718403,9.104957,0.0,1040.2170647787632,nan,3,2018.579385956652,70746.96,-110.04210399431346,-110.04210399431346,1040.2170647787632,3,1040.2170647787632,0.0,6340.113348718403,1040.2170647787632,2018.579385956652,0.0
10,-3.2510629,-2940.51,0.0,10,320000,-20.569463792338464,23.555027,0.0,-32.63554774585093,nan,4,9.352557231107467,181945.3,-49.65783825737725,-49.65783825737725,-32.63554774585092,4,-32.63554774585093,0.0,-20.569463792338464,-32.63554774585092,9.352557231107467,0.0
10,-8.196436,-11756.642,0.0,10,344000,178.2299469863967,19.566835,0.0,17.60243359205442,nan,5,76.78758155449988,691759.75,-52.24914069028085,-52.24914069028085,17.60243359205442,5,17.60243359205442,0.0,178.2299469863967,17.60243359205442,76.78758155449988,0.0
10,-7.2261395,-16014.13,0.0,10,368000,11.338179084898417,50.82571,0.0,-47.64979573033211,nan,6,34.645409906605934,848630.25,-92.10790276301634,-92.10790276301634,-47.64979573033211,6,-47.64979573033211,0.0,11.338179084898417,-47.64979573033211,34.645409906605934,0.0
10,-11.252643,-25684.115,0.0,10,392000,99428.31679203545,157.12761,0.0,9921.735242933813,nan,7,29835.554022296983,1066881.1,-72.3465684136493,-72.3465684136493,9921.735242933823,7,9921.735242933813,0.0,99428.31679203545,9921.735242933823,29835.554022296983,0.0
10,-17.046293,-46471.723,0.0,10,416000,13788.011986462798,13.213715,0.0,1357.2503154916008,nan,8,4143.596861616639,1197283.1,-33.674436586920095,-33.674436586920095,1357.2503154916014,8,1357.2503154916008,0.0,13788.011986462798,1357.2503154916014,4143.596861616639,0.0
10,-18.479584,-54808.55,0.0,10,440000,29621.824815141594,13.951904,0.0,2992.048240291732,nan,9,8877.523738244807,1543830.2,-35.47439120702002,-35.47439120702002,2992.048240291729,9,2992.048240291732,0.0,29621.824815141594,2992.048240291729,8877.523738244807,0.0
10,-19.218803,-66552.13,0.0,10,464000,172.24969035996176,13.464168,0.0,8.104902628836184,nan,10,73.64718511462489,2260206.5,-40.11169999822902,-40.11169999822902,8.104902628836191,10,8.104902628836184,0.0,172.24969035996176,8.104902628836191,73.64718511462489,0.0
10,-18.826979,-81339.26,0.0,10,488000,67176.8403975243,14.351142,0.0,7843.859952968851,nan,11,20075.289146938867,2685344.2,-53.87439082214825,-53.87439082214825,7843.859952968855,11,7843.859952968851,0.0,67176.8403975243,7843.859952968855,20075.289146938867,0.0
10,-16.085264,-64292.598,0.0,10,512000,22768.086702669705,11.1557255,0.0,4057.0989208663,nan,12,7124.058127418116,2575425.5,-54.981743064886984,-54.981743064886984,4057.0989208662977,12,4057.0989208663,0.0,22768.086702669705,4057.0989208662977,7124.058127418116,0.0
10,-14.805881,-63137.605,0.0,10,536000,96793.38352845237,11.413642,0.0,9662.215281786785,nan,13,29043.775436305263,3130507.2,-92.30928956000895,-92.30928956000895,9662.215281786788,13,9662.215281786785,0.0,96793.38352845237,9662.215281786788,29043.775436305263,0.0
10,-14.775285,-64187.48,0.0,10,560000,85124.2714183687,63.86298,0.0,44205.89212408267,nan,14,35552.465122339694,3843330.0,-32.53221224941195,-32.53221224941195,44205.89212408267,14,44205.89212408267,0.0,85124.2714183687,44205.89212408267,35552.465122339694,0.0
10,-14.711413,-65287.293,0.1,10,584000,17429.396006470066,19.088078,0.0,1843.7700641743345,nan,15,5200.697838507386,4607133.5,-57.98852842673278,-57.98852842673278,1843.7700641743363,15,1843.7700641743345,0.1,17429.396006470066,1843.7700641743363,5200.697838507386,0.0
10,-14.315004,-65067.895,0.4,10,608000,1195.2951102727902,29.39464,0.0,111.21967276159498,nan,16,362.82904825662877,5371649.0,-45.65308214030189,-45.65308214030189,111.21967276159494,16,111.21967276159498,0.4,1195.2951102727902,111.21967276159494,362.82904825662877,0.0
