MetaTest/Average/Iteration,TotalEnvSteps,MetaTest/coffee-push-v1/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/coffee-push-v1/AverageReturn,MetaTest/coffee-push-v1/TerminationRate,MetaTest/Average/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/coffee-push-v1/MaxReturn,MetaTest/coffee-push-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/coffee-push-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTest/coffee-push-v1/NumTrajs,MetaTest/coffee-push-v1/StdReturn,MetaTrain/Average/Alpha,MetaTest/Average/StdReturn,MetaTest/coffee-push-v1/MinReturn
20,704000,0.1,0.0,-30.766518339673667,337.36694,-14.6698110225419,0.1,-30.766518339673667,0.0,10,-154565.22,-14.6698110225419,-30.766518339673677,-21.104567,20,-30.766518339673677,19598938.0,-49.4154714007975,10,12.206101726899297,nan,12.206101726899297,-49.4154714007975
21,728000,0.2,0.0,1978.3896042949,551.8062,20086.158562377877,0.2,1978.3896042949,0.0,10,-164374.72,20086.158562377877,1978.3896042948977,-23.904793,21,1978.3896042948977,19149620.0,-41.31051515753088,10,6035.928972627096,nan,6035.928972627096,-41.31051515753088
22,752000,0.4,0.0,25052.2809753236,501.04425,123214.85153417714,0.4,25052.2809753236,0.0,10,-173401.73,123214.85153417714,25052.2809753236,-24.83012,22,25052.2809753236,19557606.0,-49.87803614643465,10,38577.46844417007,nan,38577.46844417007,-49.87803614643465
23,776000,0.1,0.0,639.6520273387848,914.4679,7019.809507521705,0.1,639.6520273387848,0.0,10,-151381.53,7019.809507521705,639.6520273387853,-23.206675,23,639.6520273387853,19097738.0,-108.63389523365765,10,2126.9651573103793,nan,2126.9651573103793,-108.63389523365765
24,800000,0.0,0.0,93.56344858224065,518.0125,1152.9045696553412,0.0,93.56344858224065,0.0,10,-162855.17,1152.9045696553412,93.56344858224053,-21.628853,24,93.56344858224053,14980229.0,-49.39401314692317,10,354.9491323110499,nan,354.9491323110499,-49.39401314692317
25,824000,0.2,0.0,19819.66342805856,530.2833,105600.03411257053,0.2,19819.66342805856,0.0,10,-161597.17,105600.03411257053,19819.663428058564,-21.862673,25,19819.663428058564,13765147.0,-59.5260223162766,10,39414.691423720746,nan,39414.691423720746,-59.5260223162766
26,848000,0.0,0.0,243.2956676754781,39521.566,1098.2149785971699,0.0,243.2956676754781,0.0,10,-125559.78,1098.2149785971699,243.295667675478,-23.253128,26,243.295667675478,23155558.0,-90.64492263189675,10,414.9314507891009,nan,414.9314507891009,-90.64492263189675
27,872000,0.0,0.0,-27.599557443464427,29308.592,102.81827416356086,0.0,-27.599557443464427,0.0,10,-110199.82,102.81827416356086,-27.599557443464448,-20.760553,27,-27.599557443464448,12302062.0,-80.6976109670334,10,47.11340793066077,nan,47.11340793066077,-80.6976109670334
28,896000,0.4,0.0,35068.11852050441,3612.8735,186181.24266927227,0.4,35068.11852050441,0.0,10,-134851.4,186181.24266927227,35068.118520504395,-20.007084,28,35068.118520504395,14441626.0,-86.05760052360098,10,57895.40384473846,nan,57895.40384473846,-86.05760052360098
29,920000,0.5,0.0,8960.2150136514,971.1357,72769.13828279143,0.5,8960.2150136514,0.0,10,-178155.11,72769.13828279143,8960.215013651394,-21.446653,29,8960.215013651394,18270082.0,-62.58322010557191,10,21872.165892785848,nan,21872.165892785848,-62.58322010557191
30,944000,0.6,0.0,27008.455568224035,485.02118,92007.99336523171,0.6,27008.455568224035,0.0,10,-194483.27,92007.99336523171,27008.455568224028,-22.065332,30,27008.455568224028,19743772.0,-53.69893098308862,10,27837.543652933393,nan,27837.543652933393,-53.69893098308862
31,968000,0.2,0.0,12894.579373827462,465.86407,115125.87327354701,0.2,12894.579373827462,0.0,10,-201754.84,115125.87327354701,12894.579373827473,-22.285664,31,12894.579373827473,22281744.0,-39.28216113554063,10,34156.87066805291,nan,34156.87066805291,-39.28216113554063
32,992000,0.6,0.0,41668.0110354614,587.43616,158792.86488049474,0.6,41668.0110354614,0.0,10,-202574.69,158792.86488049474,41668.01103546143,-23.484674,32,41668.01103546143,24991262.0,-33.6304946253106,10,61625.620910877005,nan,61625.620910877005,-33.6304946253106
33,1016000,0.6,0.0,67570.58404597023,776.2889,167943.9979223572,0.6,67570.58404597023,0.0,10,-207421.83,167943.9979223572,67570.58404597023,-24.582067,33,67570.58404597023,26814624.0,-17.921777020450254,10,55616.825108564706,nan,55616.825108564706,-17.921777020450254
34,1040000,0.3,0.0,96172.78381059816,463.3775,215643.6836177399,0.3,96172.78381059816,0.0,10,-221898.08,215643.6836177399,96172.78381059816,-26.148901,34,96172.78381059816,29989072.0,2011.6922423887295,10,65639.46815480082,nan,65639.46815480082,2011.6922423887295
35,1064000,0.6,0.0,75640.2458945456,508.29712,197915.31063288267,0.6,75640.2458945456,0.0,10,-237930.2,197915.31063288267,75640.24589454557,-27.167576,35,75640.24589454557,33362756.0,-22.39177776592534,10,65467.34889522871,nan,65467.34889522871,-22.39177776592534
36,1088000,0.5,0.0,52721.28108491708,7114.221,143373.49402491687,0.5,52721.28108491708,0.0,10,-211173.7,143373.49402491687,52721.28108491708,-27.794579,36,52721.28108491708,33057614.0,-18.317364884261156,10,55675.17942614219,nan,55675.17942614219,-18.317364884261156
37,1112000,0.3,0.0,4720.550710639962,5381.1094,22483.533160880495,0.3,4720.550710639962,0.0,10,-234512.89,22483.533160880495,4720.55071063996,-29.295212,37,4720.55071063996,44265744.0,-80.78552040734584,10,7155.286344627757,nan,7155.286344627757,-80.78552040734584
38,1136000,0.3,0.0,16882.826690028873,9867.158,167646.0806083415,0.3,16882.826690028873,0.0,10,-231216.58,167646.0806083415,16882.826690028887,-28.539349,38,16882.826690028887,37867230.0,-41.94346350416927,10,50255.70817829887,nan,50255.70817829887,-41.94346350416927
39,1160000,0.2,0.0,51045.32850288074,8689.758,273023.36587086343,0.2,51045.32850288074,0.0,10,-232026.75,273023.36587086343,51045.32850288072,-27.78032,39,51045.32850288072,38015490.0,-42.065584295371764,10,85611.60917175637,nan,85611.60917175637,-42.065584295371764
40,1184000,0.8,0.0,135415.24059732194,3776.0454,265037.04576806555,0.8,135415.24059732194,0.0,10,-273705.12,265037.04576806555,135415.2405973219,-27.975687,40,135415.2405973219,46805176.0,-16.01086005610833,10,101399.35184788264,nan,101399.35184788264,-16.01086005610833
41,1208000,0.5,0.0,54205.684234355205,1046.4681,179645.46605168167,0.5,54205.684234355205,0.0,10,-320618.16,179645.46605168167,54205.684234355205,-28.376015,41,54205.684234355205,61735630.0,-16.46656387471607,10,78482.1324682931,nan,78482.1324682931,-16.46656387471607
42,1232000,0.7,0.0,161781.6012223982,1118.1077,314207.23809148895,0.7,161781.6012223982,0.0,10,-351395.4,314207.23809148895,161781.60122239814,-27.429157,42,161781.60122239814,71726230.0,-16.27143219431435,10,127161.19575988896,nan,127161.19575988896,-16.27143219431435
43,1256000,0.7,0.0,134597.65470878145,901.4473,329025.9624842997,0.7,134597.65470878145,0.0,10,-377273.47,329025.9624842997,134597.65470878145,-26.66129,43,134597.65470878145,79968600.0,66.77488817867098,10,130827.17815878769,nan,130827.17815878769,66.77488817867098
44,1280000,0.8,0.0,146389.68408008246,991.04956,308961.18895960506,0.8,146389.68408008246,0.0,10,-404295.75,308961.18895960506,146389.68408008243,-26.875986,44,146389.68408008243,88063690.0,-16.277138566517664,10,121130.06213510984,nan,121130.06213510984,-16.277138566517664
45,1304000,0.7,0.0,109682.01628500786,657.9801,322926.9747885053,0.7,109682.01628500786,0.0,10,-418342.88,322926.9747885053,109682.01628500786,-26.375658,45,109682.01628500786,95697350.0,-21.871071551770147,10,127034.79039718595,nan,127034.79039718595,-21.871071551770147
46,1328000,0.9,0.0,21457.306958004938,610.80054,214731.34152861507,0.9,21457.306958004938,0.0,10,-421654.72,214731.34152861507,21457.306958004952,-26.16156,46,21457.306958004952,103787976.0,-22.67742016742526,10,64424.67823387864,nan,64424.67823387864,-22.67742016742526
47,1352000,0.7,0.0,66850.1926660057,830.58185,230664.26474298225,0.7,66850.1926660057,0.0,10,-388365.2,230664.26474298225,66850.1926660057,-26.233948,47,66850.1926660057,98179330.0,-42.62018654893736,10,93147.59609800759,nan,93147.59609800759,-42.62018654893736
48,1376000,0.8,0.0,124666.31224921858,790.96686,282638.5439868165,0.8,124666.31224921858,0.0,10,-383856.16,282638.5439868165,124666.31224921858,-27.41277,48,124666.31224921858,100264200.0,-24.638029743944855,10,98566.36822531991,nan,98566.36822531991,-24.638029743944855
49,1400000,0.8,0.0,101184.37195150857,1249.1862,299638.6447739217,0.8,101184.37195150857,0.0,10,-367489.78,299638.6447739217,101184.3719515086,-28.183676,49,101184.3719515086,101335096.0,-20.140105189277946,10,123614.00304691284,nan,123614.00304691284,-20.140105189277946
50,1424000,1.0,0.0,108024.4954663052,1036.9114,336068.2139607193,1.0,108024.4954663052,0.0,10,-380121.88,336068.2139607193,108024.49546630518,-27.732033,50,108024.49546630518,105069940.0,-17.358158777154788,10,133161.92028149663,nan,133161.92028149663,-17.358158777154788
51,1448000,1.0,0.0,100535.07912797906,828.05664,264355.4989434118,1.0,100535.07912797906,0.0,10,-408909.62,264355.4989434118,100535.07912797906,-28.009691,51,100535.07912797906,114231330.0,-16.18713851559123,10,105419.056228415,nan,105419.056228415,-16.18713851559123
52,1472000,0.9,0.0,59921.11715699616,950.65063,221451.11390578514,0.9,59921.11715699616,0.0,10,-476348.03,221451.11390578514,59921.117156996144,-28.190527,52,59921.117156996144,137066830.0,-17.602854994171004,10,86509.31285207944,nan,86509.31285207944,-17.602854994171004
53,1496000,1.0,0.0,161989.581994603,842.0168,315719.45521919464,1.0,161989.581994603,0.0,10,-517272.03,315719.45521919464,161989.581994603,-28.13636,53,161989.581994603,145776740.0,-16.563365622440173,10,114474.6701372321,nan,114474.6701372321,-16.563365622440173
54,1520000,0.9,0.0,123510.18388774437,672.9129,323180.75994648086,0.9,123510.18388774437,0.0,10,-516140.44,323180.75994648086,123510.18388774435,-28.118675,54,123510.18388774435,148382220.0,-25.344685235806462,10,128728.50582837324,nan,128728.50582837324,-25.344685235806462
55,1544000,0.7,0.0,141525.1176105666,522.3848,313116.08138768823,0.7,141525.1176105666,0.0,10,-515495.53,313116.08138768823,141525.11761056658,-27.574263,55,141525.11761056658,147773580.0,108.5062224227716,10,120676.05662863563,nan,120676.05662863563,108.5062224227716
56,1568000,1.0,0.0,132307.87765178946,469.20276,285010.61301434855,1.0,132307.87765178946,0.0,10,-498324.38,285010.61301434855,132307.87765178952,-27.270376,56,132307.87765178952,147500300.0,-27.01068387767453,10,103462.14142842025,nan,103462.14142842025,-27.01068387767453
57,1592000,1.0,0.0,114969.10633671994,490.594,301172.0180546777,1.0,114969.10633671994,0.0,10,-469676.97,301172.0180546777,114969.10633672001,-27.260914,57,114969.10633672001,150906580.0,-16.67159005346677,10,123169.01638328694,nan,123169.01638328694,-16.67159005346677
58,1616000,1.0,0.0,163231.80710802734,439.84387,314113.61817194615,1.0,163231.80710802734,0.0,10,-458358.9,314113.61817194615,163231.80710802734,-26.013863,58,163231.80710802734,149601330.0,-25.510566116008665,10,125952.02896481112,nan,125952.02896481112,-25.510566116008665
59,1640000,0.7,0.0,138951.72427444902,409.11246,324957.16210671794,0.7,138951.72427444902,0.0,10,-448577.34,324957.16210671794,138951.724274449,-25.657896,59,138951.724274449,147260640.0,-47.047602230078226,10,125004.48698740872,nan,125004.48698740872,-47.047602230078226
60,1664000,0.9,0.0,172351.80152448255,407.6132,262439.94997730886,0.9,172351.80152448255,0.0,10,-427113.28,262439.94997730886,172351.80152448258,-25.588886,60,172351.80152448258,143835490.0,6373.790747713303,10,84099.50459961529,nan,84099.50459961529,6373.790747713303
61,1688000,1.0,0.0,155453.24539218945,306.16415,285751.6967068759,1.0,155453.24539218945,0.0,10,-410479.16,285751.6967068759,155453.24539218948,-25.905832,61,155453.24539218948,144981390.0,25687.25480237935,10,90728.94060245818,nan,90728.94060245818,25687.25480237935
62,1712000,0.8,0.0,188926.75791164226,241.79535,320375.0088364717,0.8,188926.75791164226,0.0,10,-402193.16,320375.0088364717,188926.75791164223,-25.984188,62,188926.75791164223,152422260.0,1231.0511490232154,10,106985.23438430637,nan,106985.23438430637,1231.0511490232154
63,1736000,0.7,0.0,127103.4455212357,245.28023,221984.28423755371,0.7,127103.4455212357,0.0,10,-404585.06,221984.28423755371,127103.44552123566,-26.525093,63,127103.44552123566,170490020.0,-22.78344008409128,10,94281.50676443687,nan,94281.50676443687,-22.78344008409128
64,1760000,0.8,0.0,136750.08501253973,303.70236,293759.0451424396,0.8,136750.08501253973,0.0,10,-409001.6,293759.0451424396,136750.08501253973,-26.719719,64,136750.08501253973,187621150.0,1321.8760386266429,10,106866.22056004932,nan,106866.22056004932,1321.8760386266429
65,1784000,0.4,0.0,76914.26833045113,326.86758,243924.0648991489,0.4,76914.26833045113,0.0,10,-396773.94,243924.0648991489,76914.26833045113,-27.2665,65,76914.26833045113,207280180.0,-94.79935223834225,10,96631.86550886247,nan,96631.86550886247,-94.79935223834225
66,1808000,0.9,0.0,153914.28679248688,335.1278,329359.6429960166,0.9,153914.28679248688,0.0,10,-422803.72,329359.6429960166,153914.28679248682,-27.2647,66,153914.28679248682,204249800.0,-12.745265864053172,10,123371.87387164903,nan,123371.87387164903,-12.745265864053172
67,1832000,0.9,0.0,199918.60495532939,303.42728,321404.6113259676,0.9,199918.60495532939,0.0,10,-451659.3,321404.6113259676,199918.60495532939,-27.267754,67,199918.60495532939,232031300.0,41277.283797433105,10,78683.02889506405,nan,78683.02889506405,41277.283797433105
68,1856000,0.8,0.0,124665.48282433503,367.20187,293603.56221969187,0.8,124665.48282433503,0.0,10,-474934.22,293603.56221969187,124665.48282433503,-27.29174,68,124665.48282433503,244620370.0,-19.559778724769146,10,117449.93123646856,nan,117449.93123646856,-19.559778724769146
69,1880000,0.8,0.0,160534.47701735358,182.39027,320628.4769799025,0.8,160534.47701735358,0.0,10,-499110.94,320628.4769799025,160534.47701735352,-28.056599,69,160534.47701735352,259940160.0,-21.296850170547284,10,109226.66615253233,nan,109226.66615253233,-21.296850170547284
70,1904000,0.9,0.0,179143.74954928557,178.86874,314389.1924515186,0.9,179143.74954928557,0.0,10,-496675.4,314389.1924515186,179143.74954928557,-28.405447,70,179143.74954928557,267189900.0,-26.14585936367267,10,98293.2222688795,nan,98293.2222688795,-26.14585936367267
71,1928000,0.9,0.0,202018.3920458481,313.51785,339234.91402810893,0.9,202018.3920458481,0.0,10,-495818.7,339234.91402810893,202018.392045848,-28.249086,71,202018.392045848,267340450.0,-18.745138409555178,10,122532.90488245735,nan,122532.90488245735,-18.745138409555178
72,1952000,1.0,0.0,182663.11004864617,298.39456,298052.9197959626,1.0,182663.11004864617,0.0,10,-505904.97,298052.9197959626,182663.1100486461,-28.064028,72,182663.1100486461,275946660.0,1179.8965018489441,10,97554.55908977603,nan,97554.55908977603,1179.8965018489441
73,1976000,0.9,0.0,182622.2239995079,335.59686,296617.7616950734,0.9,182622.2239995079,0.0,10,-487807.44,296617.7616950734,182622.22399950796,-27.917631,73,182622.22399950796,274380540.0,-19.91974009312308,10,93724.14787010298,nan,93724.14787010298,-19.91974009312308
74,2000000,0.9,0.0,136445.36747083362,219.43683,243698.3352858819,0.9,136445.36747083362,0.0,10,-467626.9,243698.3352858819,136445.36747083356,-27.601313,74,136445.36747083356,269658780.0,-20.904671134821978,10,80137.42610540711,nan,80137.42610540711,-20.904671134821978
75,2024000,0.9,0.0,173377.17473507696,203.49036,344770.8519476736,0.9,173377.17473507696,0.0,10,-467510.12,344770.8519476736,173377.174735077,-27.748415,75,173377.174735077,258291100.0,-22.57313990721799,10,115984.6849743235,nan,115984.6849743235,-22.57313990721799
76,2048000,0.9,0.0,164335.1849691112,241.20279,289306.3754925304,0.9,164335.1849691112,0.0,10,-457736.72,289306.3754925304,164335.18496911117,-27.754204,76,164335.18496911117,252547890.0,-39.55912215637669,10,109250.03537255691,nan,109250.03537255691,-39.55912215637669
77,2072000,0.9,0.0,214024.90784469148,313.42624,325346.4984697645,0.9,214024.90784469148,0.0,10,-462334.6,325346.4984697645,214024.9078446916,-27.956566,77,214024.9078446916,267315000.0,2475.7462233725882,10,87753.88471232633,nan,87753.88471232633,2475.7462233725882
78,2096000,1.0,0.0,253517.73768543388,358.2132,323036.43438390945,1.0,253517.73768543388,0.0,10,-458359.06,323036.43438390945,253517.73768543397,-28.009016,78,253517.73768543397,250350020.0,75559.95184858107,10,64085.72919497354,nan,64085.72919497354,75559.95184858107
79,2120000,0.6,0.0,161230.26483608928,355.5136,343879.8892544069,0.6,161230.26483608928,0.0,10,-460336.56,343879.8892544069,161230.26483608925,-27.8522,79,161230.26483608925,246968300.0,-93.53260715601249,10,133448.23679797017,nan,133448.23679797017,-93.53260715601249
80,2144000,0.9,0.0,189651.47315479137,200.33696,313915.2340757014,0.9,189651.47315479137,0.0,10,-462876.22,313915.2340757014,189651.47315479143,-27.820696,80,189651.47315479143,246444910.0,-32.25519810234865,10,86570.6701452758,nan,86570.6701452758,-32.25519810234865
81,2168000,0.9,0.0,161925.89552174683,188.62163,269397.6576609407,0.9,161925.89552174683,0.0,10,-485081.03,269397.6576609407,161925.89552174677,-27.443928,81,161925.89552174677,257896200.0,2250.8413529042214,10,95598.73721598832,nan,95598.73721598832,2250.8413529042214
82,2192000,0.8,0.0,191104.0807239379,221.4726,342337.2964664894,0.8,191104.0807239379,0.0,10,-500295.7,342337.2964664894,191104.0807239379,-27.559732,82,191104.0807239379,298727070.0,651.0829675973914,10,120571.01253722589,nan,120571.01253722589,651.0829675973914
83,2216000,1.0,0.0,214376.51894664616,229.95909,336443.5541940927,1.0,214376.51894664616,0.0,10,-493448.72,336443.5541940927,214376.51894664616,-28.049637,83,214376.51894664616,300221660.0,24764.368652672318,10,77732.85853944893,nan,77732.85853944893,24764.368652672318
84,2240000,0.5,0.0,111721.30449397382,840.44116,298872.6860258572,0.5,111721.30449397382,0.0,10,-412511.7,298872.6860258572,111721.30449397388,-29.522268,84,111721.30449397388,438231420.0,-120.14383845650579,10,132641.83920350618,nan,132641.83920350618,-120.14383845650579
85,2264000,0.5,0.0,114997.61863138646,1035.1187,311927.6103487256,0.5,114997.61863138646,0.0,10,-425159.38,311927.6103487256,114997.61863138643,-29.031918,85,114997.61863138643,252929540.0,-62.73796029408881,10,120070.95456909938,nan,120070.95456909938,-62.73796029408881
86,2288000,1.0,0.0,240486.37167689242,396.53052,331170.31738803844,1.0,240486.37167689242,0.0,10,-473277.38,331170.31738803844,240486.37167689242,-28.82741,86,240486.37167689242,305350720.0,45289.35717346436,10,88261.37691185005,nan,88261.37691185005,45289.35717346436
87,2312000,0.7,0.0,92722.98594995696,301.26624,329798.82734808314,0.7,92722.98594995696,0.0,10,-497144.88,329798.82734808314,92722.98594995696,-28.74186,87,92722.98594995696,299960420.0,-25.039030737507687,10,100744.60622145636,nan,100744.60622145636,-25.039030737507687
88,2336000,0.9,0.0,244875.68758431394,752.9635,333901.42725994415,0.9,244875.68758431394,0.0,10,-507325.7,333901.42725994415,244875.68758431374,-29.160357,88,244875.68758431374,328846940.0,31023.961956564897,10,93196.11678228244,nan,93196.11678228244,31023.961956564897
89,2360000,0.5,0.0,80986.43501457809,529.33765,307876.5970095134,0.5,80986.43501457809,0.0,10,-525554.56,307876.5970095134,80986.43501457808,-29.168785,89,80986.43501457808,312637470.0,-48.81699133525262,10,117516.52369550102,nan,117516.52369550102,-48.81699133525262
90,2384000,0.9,0.0,231194.22191465058,658.6156,343300.06913607765,0.9,231194.22191465058,0.0,10,-431979.16,343300.06913607765,231194.2219146507,-30.112814,90,231194.2219146507,334352220.0,14909.243497844565,10,112273.0892287366,nan,112273.0892287366,14909.243497844565
91,2408000,0.3,0.0,61368.57188683987,604.6361,293605.7892887605,0.3,61368.57188683987,0.0,10,-202191.06,293605.7892887605,61368.57188683991,-27.247547,91,61368.57188683991,183510270.0,-104.68843747758274,10,100979.9525117659,nan,100979.9525117659,-104.68843747758274
92,2432000,0.7,0.0,124300.70049483771,350.51376,289250.2337312068,0.7,124300.70049483771,0.0,10,-282679.38,289250.2337312068,124300.70049483771,-29.274483,92,124300.70049483771,263120980.0,-63.70254838913348,10,112685.13826011492,nan,112685.13826011492,-63.70254838913348
