MetaTest/push-wall-v1/AverageReturn,MetaTest/push-wall-v1/TerminationRate,MetaTest/push-wall-v1/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/push-wall-v1/SuccessRate,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/push-wall-v1/MinReturn,MetaTest/push-wall-v1/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/push-wall-v1/StdReturn,MetaTest/push-wall-v1/Iteration,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumTrajs,MetaTest/push-wall-v1/AverageDiscountedReturn
-11.238442363529469,0.0,10,19.55354754008756,0.0,13.925733161957993,224000,-21.939388477584682,-21.939388477584682,19.55354754008756,0.0,13.925733161957993,0,0,-11.238442363529462,-11.238442363529469,0.0,10,-11.238442363529462
-24.97372377013999,0.0,10,36.09900370586826,0.0,27.77871174913715,248000,-53.932100926992625,-53.932100926992625,36.09900370586826,0.0,27.77871174913715,1,1,-24.97372377013999,-24.97372377013999,0.0,10,-24.97372377013999
-43.14147996702783,0.0,10,-37.49851529261854,0.0,3.2804691211583847,272000,-47.153036663981865,-47.153036663981865,-37.49851529261854,0.0,3.2804691211583847,2,2,-43.14147996702782,-43.14147996702783,0.0,10,-43.14147996702782
3337.1378278132834,0.0,10,25342.596468996664,0.0,7649.182204130991,296000,-151.55439988383492,-151.55439988383492,25342.596468996664,0.0,7649.182204130991,3,3,3337.1378278132843,3337.1378278132834,0.0,10,3337.1378278132843
8081.044591050833,0.0,10,80328.73898036398,0.1,24083.584382243465,320000,-54.588768828047094,-54.588768828047094,80328.73898036398,0.1,24083.584382243465,4,4,8081.044591050833,8081.044591050833,0.0,10,8081.044591050833
-71.56107709664487,0.0,10,-14.33027569539608,0.0,43.70312953484725,344000,-127.64007703399928,-127.64007703399928,-14.33027569539608,0.0,43.70312953484725,5,5,-71.56107709664492,-71.56107709664487,0.0,10,-71.56107709664492
84.47181421588493,0.0,10,1272.159986248748,0.0,397.344525603626,368000,-127.18139459670506,-127.18139459670506,1272.159986248748,0.0,397.344525603626,6,6,84.47181421588509,84.47181421588493,0.0,10,84.47181421588509
4523.701927502209,0.0,10,45471.04430001509,0.0,13649.124335764114,392000,-54.00587518510493,-54.00587518510493,45471.04430001509,0.0,13649.124335764114,7,7,4523.701927502214,4523.701927502209,0.0,10,4523.701927502214
2558.38456812395,0.0,10,14369.91152606386,0.2,5268.723200275484,416000,-159.17373378842188,-159.17373378842188,14369.91152606386,0.2,5268.723200275484,8,8,2558.3845681239504,2558.38456812395,0.0,10,2558.3845681239504
58643.842976077925,0.0,10,277945.6861364457,0.5,101315.72678679768,440000,-136.82263654913888,-136.82263654913888,277945.6861364457,0.5,101315.72678679768,9,9,58643.84297607789,58643.842976077925,0.0,10,58643.84297607789
3566.9645109782296,0.0,10,36155.389849117266,0.0,10862.836038411035,464000,-84.33437943108504,-84.33437943108504,36155.389849117266,0.0,10862.836038411035,10,10,3566.9645109782264,3566.9645109782296,0.0,10,3566.9645109782264
578.5755676473608,0.0,10,5859.589484896718,0.0,1762.5818261761328,488000,-66.95651376635128,-66.95651376635128,5859.589484896718,0.0,1762.5818261761328,11,11,578.5755676473608,578.5755676473608,0.0,10,578.5755676473608
960.3558443185241,0.0,10,10088.101019435684,0.2,3042.6641136989197,512000,-83.74364011053251,-83.74364011053251,10088.101019435684,0.2,3042.6641136989197,12,12,960.3558443185239,960.3558443185241,0.0,10,960.3558443185239
13689.491545747991,0.0,10,104443.75612126781,0.3,31781.455065139424,536000,-57.172915328846116,-57.172915328846116,104443.75612126781,0.3,31781.455065139424,13,13,13689.491545748004,13689.491545747991,0.0,10,13689.491545748004
12746.7627756355,0.0,10,127870.99733870226,0.3,38374.75177047658,560000,-83.9364535882028,-83.9364535882028,127870.99733870226,0.3,38374.75177047658,14,14,12746.762775635505,12746.7627756355,0.0,10,12746.762775635505
-37.48073248532482,0.0,10,-16.047125219930113,0.1,11.396633762428891,584000,-49.37147656765312,-49.37147656765312,-16.047125219930113,0.1,11.396633762428891,15,15,-37.480732485324815,-37.48073248532482,0.0,10,-37.480732485324815
5200.79701278917,0.0,10,31849.824857231044,0.2,10790.616914623319,608000,-109.89817178648083,-109.89817178648083,31849.824857231044,0.2,10790.616914623319,16,16,5200.797012789166,5200.79701278917,0.0,10,5200.797012789166
-128.11999060022092,0.0,10,-112.88519870297469,0.0,6.290105092468483,632000,-135.2555224320062,-135.2555224320062,-112.88519870297469,0.0,6.290105092468483,17,17,-128.1199906002209,-128.11999060022092,0.0,10,-128.1199906002209
458.8774764113112,0.0,10,4960.123409847935,0.0,1501.0411890928922,656000,-125.61940891332529,-125.61940891332529,4960.123409847935,0.0,1501.0411890928922,18,18,458.87747641131153,458.8774764113112,0.0,10,458.87747641131153
1469.7077806601073,0.0,10,15279.165879765173,0.0,4603.259487960096,680000,-115.2144327046408,-115.2144327046408,15279.165879765173,0.0,4603.259487960096,19,19,1469.707780660107,1469.7077806601073,0.0,10,1469.707780660107
120.1167277650417,0.0,10,1771.444840075646,0.0,555.2622194669707,704000,-120.56636191596326,-120.56636191596326,1771.444840075646,0.0,555.2622194669707,20,20,120.1167277650417,120.1167277650417,0.0,10,120.1167277650417
22.832142038005628,0.0,10,591.4798148471284,0.0,210.05528136129493,728000,-93.50205890310203,-93.50205890310203,591.4798148471284,0.0,210.05528136129493,21,21,22.83214203800561,22.832142038005628,0.0,10,22.83214203800561
