MetaTest/Average/NumTrajs,MetaTest/Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/coffee-pull-v1/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/coffee-pull-v1/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,MetaTest/coffee-pull-v1/NumTrajs,MetaTest/coffee-pull-v1/AverageReturn,MetaTest/coffee-pull-v1/StdReturn,MetaTest/Average/MaxReturn,MetaTest/coffee-pull-v1/AverageDiscountedReturn,MetaTest/coffee-pull-v1/SuccessRate,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/coffee-pull-v1/MinReturn,MetaTest/coffee-pull-v1/Iteration
10,-27.253181590911588,-27.253181590911588,0.0,0.0,0.0,-25.255378320281295,0,1.4392174295002274,10,-27.253181590911588,1.4392174295002274,-25.255378320281295,-27.253181590911588,0.0,-29.282619319182146,224000,-29.282619319182146,0
10,-32.28351911130826,-32.28351911130825,0.0,0.0,0.0,-19.884226571528455,1,9.524694184576488,10,-32.28351911130826,9.524694184576488,-19.884226571528455,-32.28351911130825,0.0,-43.61055067893405,248000,-43.61055067893405,1
10,-21.20480637367291,-21.204806373672913,0.0,0.0,0.0,219.60823939668404,2,80.86447753343914,10,-21.20480637367291,80.86447753343914,219.60823939668404,-21.204806373672913,0.0,-63.371936397110524,272000,-63.371936397110524,2
10,397.3921960966324,397.3921960966326,0.0,0.0,0.0,949.2310498230588,3,408.24373513292926,10,397.3921960966324,408.24373513292926,949.2310498230588,397.3921960966326,0.0,-38.11650649554759,296000,-38.11650649554759,3
10,439.09185002548077,439.09185002548077,0.0,0.0,0.0,3335.8154570443553,4,1017.3973013428832,10,439.09185002548077,1017.3973013428832,3335.8154570443553,439.09185002548077,0.0,-38.1885812162966,320000,-38.1885812162966,4
10,5049.290100175591,5049.290100175594,0.0,0.0,0.0,47691.26793812229,5,14232.117528339973,10,5049.290100175591,14232.117528339973,47691.26793812229,5049.290100175594,0.0,-40.19028004467828,344000,-40.19028004467828,5
10,-26.63825585445387,-26.638255854453877,0.0,0.0,0.0,103.42943202982124,6,43.598233433857736,10,-26.63825585445387,43.598233433857736,103.42943202982124,-26.638255854453877,0.0,-48.92477619869672,368000,-48.92477619869672,6
10,116.18316369563487,116.18316369563486,0.0,0.0,0.0,456.02231850021695,7,163.75102991598789,10,116.18316369563487,163.75102991598789,456.02231850021695,116.18316369563486,0.0,-28.920971754696712,392000,-28.920971754696712,7
10,1007.898658555389,1007.898658555389,0.0,0.0,0.0,3386.7796268523657,8,1175.3739297403658,10,1007.898658555389,1175.3739297403658,3386.7796268523657,1007.898658555389,0.0,-21.26703321576347,416000,-21.26703321576347,8
10,44.07409312794975,44.07409312794975,0.0,0.0,0.0,596.0570618746015,9,184.04137336118853,10,44.07409312794975,184.04137336118853,596.0570618746015,44.07409312794975,0.0,-24.48876337775375,440000,-24.48876337775375,9
10,254.61398187614046,254.61398187614054,0.0,0.0,0.0,1731.3435805761874,10,509.91413790198294,10,254.61398187614046,509.91413790198294,1731.3435805761874,254.61398187614054,0.0,-39.44281695753962,464000,-39.44281695753962,10
10,1048.5161007368356,1048.5161007368356,0.0,0.0,0.0,3736.413597996577,11,1329.721361312724,10,1048.5161007368356,1329.721361312724,3736.413597996577,1048.5161007368356,0.0,-45.908140598524945,488000,-45.908140598524945,11
10,22.96810462563391,22.96810462563389,0.0,0.0,0.0,375.2050034696523,12,129.23696295686386,10,22.96810462563391,129.23696295686386,375.2050034696523,22.96810462563389,0.0,-42.452196579768106,512000,-42.452196579768106,12
10,481.92626641998623,481.92626641998595,0.0,0.0,0.0,2002.3947234338298,13,639.8702384801325,10,481.92626641998623,639.8702384801325,2002.3947234338298,481.92626641998595,0.0,-34.90679840073133,536000,-34.90679840073133,13
10,-6.266923521164858,-6.266923521164872,0.0,0.0,0.0,305.85336481910184,14,107.89171779214799,10,-6.266923521164858,107.89171779214799,305.85336481910184,-6.266923521164872,0.0,-83.29673080291465,560000,-83.29673080291465,14
10,-25.756583701378645,-25.756583701378634,0.0,0.0,0.0,32.76940457244299,15,38.65272715272892,10,-25.756583701378645,38.65272715272892,32.76940457244299,-25.756583701378634,0.0,-82.16199641600733,584000,-82.16199641600733,15
10,487.4526183123606,487.45261831236047,0.0,0.0,0.0,5269.6609893520235,16,1594.2639388072967,10,487.4526183123606,1594.2639388072967,5269.6609893520235,487.45261831236047,0.0,-112.9935095164033,608000,-112.9935095164033,16
10,-51.01295926041539,-51.012959260415386,0.0,0.0,0.0,-24.686112137390726,17,26.023420727908775,10,-51.01295926041539,26.023420727908775,-24.686112137390726,-51.012959260415386,0.0,-91.57291132849099,632000,-91.57291132849099,17
10,288.59284757353674,288.5928475735367,0.0,0.0,0.0,2766.756102544732,18,838.856116307431,10,288.59284757353674,838.856116307431,2766.756102544732,288.5928475735367,0.0,-56.49295705993145,656000,-56.49295705993145,18
10,637.4628208614494,637.4628208614497,0.0,0.0,0.0,2850.3204628559915,19,1033.000872445539,10,637.4628208614494,1033.000872445539,2850.3204628559915,637.4628208614497,0.0,-47.65147809200734,680000,-47.65147809200734,19
10,173.57054770192138,173.57054770192144,0.0,0.0,0.0,1944.7380557725194,20,590.4472623740606,10,173.57054770192138,590.4472623740606,1944.7380557725194,173.57054770192144,0.0,-36.842171605009476,704000,-36.842171605009476,20
