MetaTest/coffee-button-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/Average/Iteration,MetaTrain/Average/QfLoss,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/coffee-button-v1/Iteration,MetaTest/coffee-button-v1/AverageReturn,MetaTest/coffee-button-v1/MaxReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/Alpha,MetaTest/Average/NumEpisodes,MetaTest/coffee-button-v1/MinReturn,MetaTest/coffee-button-v1/AverageDiscountedReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/coffee-button-v1/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/coffee-button-v1/TerminationRate,MetaTrain/Average/PolicyLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/coffee-button-v1/NumEpisodes
9446.560760919734,9446.560760919734,0,10312264.0,3078.0628745803992,224000,-97.54459692318025,0,3078.0628745803992,31417.667012519563,0.2,0.99757934,10,-97.54459692318025,3078.0628745803974,2881.9678,0.2,0.38216227,0.0,-2156.8591,3078.0628745803974,0.0,31417.667012519563,10
19.6405642543006,19.6405642543006,1,8513890.0,-36.474476140278156,248000,-74.7164567301365,1,-36.474476140278156,-15.747687584238417,0.8,1.2163066,10,-74.7164567301365,-36.47447614027817,7947.7773,0.8,-3.941034,0.0,-7984.2173,-36.47447614027817,0.0,-15.747687584238417,10
143134.70082914564,143134.70082914564,2,11484799.0,92959.01938004566,272000,-80.09644587912666,2,92959.01938004566,351914.3730458073,0.6,2.2441988,10,-80.09644587912666,92959.01938004562,6281.1387,0.6,-5.9773684,0.0,-16911.396,92959.01938004562,0.0,351914.3730458073,10
628.6449566877134,628.6449566877134,3,27726850.0,176.03045212999098,296000,-89.04070021741322,3,176.03045212999098,2060.3374156027944,0.5,4.3188305,10,-89.04070021741322,176.0304521299912,5923.832,0.5,-14.361135,0.0,-34187.008,176.0304521299912,0.0,2060.3374156027944,10
8.835042866600787,8.835042866600787,4,40588610.0,-63.31892127498062,320000,-86.59856297166891,4,-63.31892127498062,-52.75581535368505,0.8,8.214043,10,-86.59856297166891,-63.31892127498063,63518.027,0.8,-15.25107,0.0,-37563.336,-63.31892127498063,0.0,-52.75581535368505,10
63875.045849115784,63875.045849115784,5,37154810.0,21260.383371707354,344000,-49.64681900923112,5,21260.383371707354,212885.51846305953,0.9,10.268074,10,-49.64681900923112,21260.383371707347,33349.895,0.9,-23.114555,0.0,-38537.504,21260.383371707347,0.0,212885.51846305953,10
34451.30190108715,34451.30190108715,6,42468660.0,19137.72202837462,368000,-57.01273747243161,6,19137.72202837462,98404.23941262007,0.6,16.875664,10,-57.01273747243161,19137.72202837463,14651.433,0.6,-44.364853,0.0,-60500.473,19137.72202837463,0.0,98404.23941262007,10
87067.49699122961,87067.49699122961,7,72827960.0,46896.81341472641,392000,-65.44686354983915,7,46896.81341472641,222676.06889369484,0.5,29.123219,10,-65.44686354983915,46896.813414726406,57264.28,0.5,-50.370117,0.0,-97668.33,46896.813414726406,0.0,222676.06889369484,10
122254.34049000255,122254.34049000255,8,163890050.0,89677.02312030506,416000,-61.40752044931475,8,89677.02312030506,310002.6044965916,0.6,55.102257,10,-61.40752044931475,89677.02312030504,14353.144,0.6,-128.68259,0.0,-207631.39,89677.02312030504,0.0,310002.6044965916,10
4.517792251026165,4.517792251026165,9,161164660.0,-62.584795489302714,440000,-70.17838982343223,9,-62.584795489302714,-56.85871000893442,0.7,86.36305,10,-70.17838982343223,-62.584795489302714,30687.348,0.7,25.638552,0.0,-208229.66,-62.584795489302714,0.0,-56.85871000893442,10
97117.75998508914,97117.75998508914,10,47897230.0,53334.40092607174,464000,-60.09653169740178,10,53334.40092607174,273105.57142443274,0.4,61.15303,10,-60.09653169740178,53334.400926071765,30995.367,0.4,154.8424,0.0,-55148.72,53334.400926071765,0.0,273105.57142443274,10
71959.78362557567,71959.78362557567,11,126975470.0,58544.241715811426,488000,-63.08558407579522,11,58544.241715811426,176846.63837388402,0.6,70.36498,10,-63.08558407579522,58544.241715811426,58639.105,0.6,-90.23569,0.0,-198353.88,58544.241715811426,0.0,176846.63837388402,10
8186.579981190424,8186.579981190424,12,163782830.0,3922.722328730551,512000,-66.85196112976877,12,3922.722328730551,27380.972333550704,0.1,119.01817,10,-66.85196112976877,3922.7223287305496,43010.043,0.1,-114.24366,0.0,-278622.97,3922.7223287305496,0.0,27380.972333550704,10
136166.1497644936,136166.1497644936,13,198708110.0,122011.2640846388,536000,-86.65766709086557,13,122011.2640846388,323879.0197970721,0.5,149.80537,10,-86.65766709086557,122011.2640846388,83927.74,0.5,-5.4743986,0.0,-283938.62,122011.2640846388,0.0,323879.0197970721,10
126613.02390411418,126613.02390411418,14,231620780.0,114871.34854402198,560000,-61.035225454236596,14,114871.34854402198,306116.4225063376,0.4,179.55496,10,-61.035225454236596,114871.34854402202,93304.03,0.4,-42.399803,0.0,-367790.6,114871.34854402202,0.0,306116.4225063376,10
115968.31466948651,115968.31466948651,15,265603310.0,164453.10882273145,584000,-60.82393051494317,15,164453.10882273145,294363.69803290884,0.8,203.71678,10,-60.82393051494317,164453.10882273145,25101.9,0.8,-16.208662,0.0,-383081.78,164453.10882273145,0.0,294363.69803290884,10
134534.32722526512,134534.32722526512,16,288725500.0,126275.99133096475,608000,-53.08942347261752,16,126275.99133096475,324101.394122041,0.6,213.92097,10,-53.08942347261752,126275.99133096475,104779.875,0.6,-1.7497181,0.0,-402630.7,126275.99133096475,0.0,324101.394122041,10
138034.98814974996,138034.98814974996,17,303255400.0,165220.82645400727,632000,-53.484996754576265,17,165220.82645400727,323200.5521702441,1.0,217.70161,10,-53.484996754576265,165220.82645400724,126679.7,1.0,1.1265837,0.0,-424442.25,165220.82645400724,0.0,323200.5521702441,10
152688.0752308487,152688.0752308487,18,288513860.0,152343.23384334327,656000,-66.69361117941014,18,152343.23384334327,327750.2243284981,0.7,210.30579,10,-66.69361117941014,152343.23384334327,63918.996,0.7,11.885001,0.0,-427644.9,152343.23384334327,0.0,327750.2243284981,10
157331.60180319936,157331.60180319936,19,308454430.0,156673.75796348596,680000,-63.10783459032591,19,156673.75796348596,349494.40584713087,0.9,212.88322,10,-63.10783459032591,156673.75796348596,43951.113,0.9,-20.065422,0.0,-447277.56,156673.75796348596,0.0,349494.40584713087,10
127663.71782037543,127663.71782037543,20,334619680.0,143080.4827775123,704000,-69.25678070002544,20,143080.4827775123,320174.5805684752,0.7,233.37892,10,-69.25678070002544,143080.48277751225,54935.617,0.7,-21.343956,0.0,-487813.53,143080.48277751225,0.0,320174.5805684752,10
