GaussianMLPPolicy/KLBefore,MetaTest/Average/StdReturn,GaussianMLPPolicy/LossAfter,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/SuccessRate,GaussianMLPPolicy/dLoss,bin-picking-v1/MinReturn,Iteration,MetaTest/bin-picking-v1/NumEpisodes,Average/Iteration,MetaTest/bin-picking-v1/TerminationRate,Average/TerminationRate,MetaTest/bin-picking-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MinReturn,MetaTest/Average/MaxReturn,bin-picking-v1/SuccessRate,bin-picking-v1/AverageReturn,bin-picking-v1/Iteration,bin-picking-v1/StdReturn,Average/StdReturn,Average/AverageDiscountedReturn,MetaTest/bin-picking-v1/AverageReturn,Average/NumEpisodes,bin-picking-v1/TerminationRate,Average/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/bin-picking-v1/MaxReturn,Average/SuccessRate,Average/MinReturn,GaussianMLPPolicy/KLAfter,GaussianMLPPolicy/Entropy,MetaTest/Average/AverageReturn,TotalEnvSteps,bin-picking-v1/AverageDiscountedReturn,MetaTest/bin-picking-v1/StdReturn,bin-picking-v1/MaxReturn,MetaTest/bin-picking-v1/MinReturn,bin-picking-v1/NumEpisodes,GaussianMLPPolicy/LossBefore,MetaTest/bin-picking-v1/Iteration,MetaTest/bin-picking-v1/SuccessRate,MetaTest/Average/Iteration,Average/AverageReturn
0.0,0.0,-0.0006980613106861711,-41.126122916786144,0.0,0.0004402769554872066,-225.61500627989096,0,1,0,0.0,0.0,-41.126122916786144,0.0,-41.12612291678618,-41.12612291678618,0.0,-78.04909081880425,0,107.45453272532073,107.45453272532073,-30.14449867435391,-41.12612291678618,200,0.0,1048.0789083132474,1,-41.12612291678618,0.0,-225.61500627989096,0.006515941116958857,5.668317794799805,-41.12612291678618,80000,-30.14449867435391,0.0,1048.0789083132474,-41.12612291678618,200,-0.0002577843551989645,0,0.0,0,-78.04909081880425
0.0,0.0,-0.0005971063510514796,-49.89806336690686,0.0,0.0004158710507908836,-225.01734371716407,1,1,1,0.0,0.0,-49.89806336690686,0.0,-49.89806336690684,-49.89806336690684,0.05,16772.415853792132,1,73608.4936217158,73608.4936217158,7252.305603432073,-49.89806336690684,200,0.0,341585.03471628425,1,-49.89806336690684,0.05,-225.01734371716407,0.007060762494802475,5.66184139251709,-49.89806336690684,160000,7252.305603432073,0.0,341585.03471628425,-49.89806336690684,200,-0.00018123530026059598,1,0.0,1,16772.415853792132
0.0,0.0,-0.0004309007781557739,-102.41999239655506,0.0,0.00040967820677906275,-216.72176345733314,2,1,2,0.0,0.0,-102.41999239655506,0.0,-102.41999239655503,-102.41999239655503,0.0,-83.75138974319412,2,91.32047683728369,91.32047683728369,-33.511797913190684,-102.41999239655503,200,0.0,494.1022224567589,1,-102.41999239655503,0.0,-216.72176345733314,0.0068605937995016575,5.6609625816345215,-102.41999239655503,240000,-33.511797913190684,0.0,494.1022224567589,-102.41999239655503,200,-2.122257137671113e-05,2,0.0,2,-83.75138974319412
0.0,0.0,-0.0018736539641395211,-67.6972214735565,0.0,0.0007320509757846594,-216.4442394710656,3,1,3,0.0,0.0,-67.6972214735565,0.0,-67.69722147355647,-67.69722147355647,0.05,16842.98339146554,3,73724.49896650435,73724.49896650435,7285.67100756897,-67.69722147355647,200,0.0,342171.17051497696,1,-67.69722147355647,0.05,-216.4442394710656,0.00702658761292696,5.630071640014648,-67.69722147355647,320000,7285.67100756897,0.0,342171.17051497696,-67.69722147355647,200,-0.0011416029883548617,3,0.0,3,16842.98339146554
0.0,0.0,-0.00209536449983716,-28.337756022740034,0.0,0.000587538699619472,-207.88718756334288,4,1,4,0.0,0.0,-28.337756022740034,0.0,-28.337756022740034,-28.337756022740034,0.0,-87.53236151585733,4,42.84352961023653,42.84352961023653,-36.63710723193981,-28.337756022740034,200,0.0,-22.77891621556945,1,-28.337756022740034,0.0,-207.88718756334288,0.006804222706705332,5.5931782722473145,-28.337756022740034,400000,-36.63710723193981,0.0,-22.77891621556945,-28.337756022740034,200,-0.001507825800217688,4,0.0,4,-87.53236151585733
0.0,0.0,-0.001746748574078083,-120.82113204366541,0.0,0.0004052228759974241,-198.3127252456287,5,1,5,0.0,0.0,-120.82113204366541,0.0,-120.8211320436654,-120.8211320436654,0.05,16851.716897085706,5,73837.4782900836,73837.4782900836,7277.3747468412,-120.8211320436654,200,0.0,343375.0436754584,1,-120.8211320436654,0.05,-198.3127252456287,0.006598565727472305,5.551122188568115,-120.8211320436654,480000,7277.3747468412,0.0,343375.0436754584,-120.8211320436654,200,-0.001341525698080659,5,0.0,5,16851.716897085706
0.0,0.0,-0.000599921855609864,-27.12486703197165,0.0,0.0006745101272827014,-166.99321247081323,6,1,6,0.0,0.0,-27.12486703197165,0.0,-27.124867031971654,-27.124867031971654,0.0,-73.85881629512416,6,37.884782070950614,37.884782070950614,-31.661534067533594,-27.124867031971654,200,0.0,-26.943424068239548,1,-27.124867031971654,0.0,-166.99321247081323,0.0067302570678293705,5.552347183227539,-27.124867031971654,560000,-31.661534067533594,0.0,-26.943424068239548,-27.124867031971654,200,7.458827167283744e-05,6,0.0,6,-73.85881629512416
0.0,0.0,-0.0018401124980300665,-27.503839354565272,0.0,0.0008149436907842755,-165.27539131932684,7,1,7,0.0,0.0,-27.503839354565272,0.0,-27.503839354565265,-27.503839354565265,0.05,16757.56824120212,7,73320.02438300844,73320.02438300844,7213.473174210671,-27.503839354565265,200,0.0,340877.97810897825,1,-27.503839354565265,0.05,-165.27539131932684,0.007099886424839497,5.52991247177124,-27.503839354565265,640000,7213.473174210671,0.0,340877.97810897825,-27.503839354565265,200,-0.001025168807245791,7,0.0,7,16757.56824120212
0.0,0.0,-0.0019148036371916533,-74.23658411507975,0.0,0.0005480693653225899,-174.75623148624987,8,1,8,0.0,0.0,-74.23658411507975,0.0,-74.23658411507974,-74.23658411507974,0.0,-79.86412900403842,8,40.754884070411435,40.754884070411435,-34.35408505156594,-74.23658411507974,200,0.0,-21.32563184427017,1,-74.23658411507974,0.0,-174.75623148624987,0.006773876957595348,5.487068176269531,-74.23658411507974,720000,-34.35408505156594,0.0,-21.32563184427017,-74.23658411507974,200,-0.0013667342718690634,8,0.0,8,-79.86412900403842
0.0,0.0,-0.0004154542984906584,-65.95299379439084,0.0,0.0006035826954757795,-149.51590239832777,9,1,9,0.0,0.0,-65.95299379439084,0.0,-65.95299379439079,-65.95299379439079,0.05,16872.64899276648,9,73830.07366311911,73830.07366311911,7304.986694642049,-65.95299379439079,200,0.0,340995.4977409601,1,-65.95299379439079,0.05,-149.51590239832777,0.0068092732690274715,5.492063045501709,-65.95299379439079,800000,7304.986694642049,0.0,340995.4977409601,-65.95299379439079,200,0.00018812839698512107,9,0.0,9,16872.64899276648
