MetaTest/Average/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/button-press-wall-v1/SuccessRate,MetaTest/button-press-wall-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/button-press-wall-v1/NumEpisodes,MetaTest/Average/NumEpisodes,MetaTest/button-press-wall-v1/StdReturn,MetaTest/button-press-wall-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/button-press-wall-v1/Iteration,MetaTest/button-press-wall-v1/AverageReturn,MetaTest/Average/Iteration,MetaTrain/Average/ContrastiveLoss,MetaTest/button-press-wall-v1/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTrain/Average/QfLoss,TotalEnvSteps,MetaTrain/Average/PolicyLoss,MetaTrain/Average/Alpha,MetaTest/button-press-wall-v1/MinReturn
-37.317756541593496,-48.53353,0.5,189339.73493234758,189339.73493234755,10,10,133055.92162073572,0.0,189339.73493234758,0.5,319083.9250733747,10,189339.73493234755,10,2139.0894,319083.9250733747,0.0,133055.92162073572,48395076.0,464000,-104681.42,111.682816,-37.317756541593496
-41.05962120704996,-35.117386,0.6,240079.51769795726,240079.51769795717,10,10,127316.31930960744,0.0,240079.51769795726,0.6,343796.8888005154,11,240079.51769795717,11,2111.035,343796.8888005154,0.0,127316.31930960744,82195784.0,488000,-134823.47,145.7662,-41.05962120704996
-56.647124096238144,1.4556289,0.7,181504.67219348805,181504.6721934881,10,10,123669.74234641127,0.0,181504.67219348805,0.7,299965.721294136,12,181504.6721934881,12,2285.077,299965.721294136,0.0,123669.74234641127,120692344.0,512000,-164157.06,162.72835,-56.647124096238144
40100.46692158568,0.7162451,0.7,266428.0199155769,266428.0199155769,10,10,75956.2256732053,0.0,266428.0199155769,0.7,309486.2978933104,13,266428.0199155769,13,3600.9353,309486.2978933104,0.0,75956.2256732053,159463940.0,536000,-189054.42,153.02988,40100.46692158568
75509.23168788014,-6.3251405,0.2,169695.99278482288,169695.99278482294,10,10,68646.89337168242,0.0,169695.99278482288,0.2,285751.94518670876,14,169695.99278482294,14,5322.442,285751.94518670876,0.0,68646.89337168242,230695200.0,560000,-231239.94,160.56522,75509.23168788014
1707.4365837071564,-9.230728,0.5,196392.95726480204,196392.95726480207,10,10,127384.86734844898,0.0,196392.95726480204,0.5,360945.99227433495,15,196392.95726480207,15,3309.49,360945.99227433495,0.0,127384.86734844898,279624450.0,584000,-268288.22,168.99973,1707.4365837071564
33741.68672536626,-3.9605439,0.3,196022.11890992167,196022.11890992164,10,10,88348.43884574449,0.0,196022.11890992167,0.3,292140.45357534365,16,196022.11890992164,16,3948.7878,292140.45357534365,0.0,88348.43884574449,334017280.0,608000,-300749.8,174.15686,33741.68672536626
-30.128600791834778,7.0503106,0.0,62863.34896015706,62863.34896015708,10,10,77212.95575803187,0.0,62863.34896015706,0.0,165396.39264231556,17,62863.34896015708,17,62107.723,165396.39264231556,0.0,77212.95575803187,417594200.0,632000,-346904.62,186.21497,-30.128600791834778
-82.9698516616311,-13.336155,0.1,51597.3811449614,51597.3811449614,10,10,79835.75439557011,0.0,51597.3811449614,0.1,188068.5687863774,18,51597.3811449614,18,118399.75,188068.5687863774,0.0,79835.75439557011,466665280.0,656000,-385553.84,187.46733,-82.9698516616311
-59.85864131746039,-1.067375,0.3,100769.44069390537,100769.44069390537,10,10,128849.22089920886,0.0,100769.44069390537,0.3,297713.7285853614,19,100769.44069390537,19,67552.29,297713.7285853614,0.0,128849.22089920886,473581400.0,680000,-398008.84,192.26059,-59.85864131746039
-24.8169064635511,-15.602618,0.4,170939.95407103337,170939.95407103337,10,10,101846.64899598007,0.0,170939.95407103337,0.4,307885.25212204555,20,170939.95407103337,20,6046.737,307885.25212204555,0.0,101846.64899598007,494294400.0,704000,-436776.56,204.64754,-24.8169064635511
-65.37162240644469,7.8812814,0.3,165471.9809784373,165471.98097843732,10,10,127797.05544137253,0.0,165471.9809784373,0.3,321241.86322217825,21,165471.98097843732,21,3263.747,321241.86322217825,0.0,127797.05544137253,469679970.0,728000,-450276.34,205.89287,-65.37162240644469
-72.76044369879071,-4.858923,0.4,164133.22520761812,164133.22520761806,10,10,125060.19744759896,0.0,164133.22520761812,0.4,291321.8471774654,22,164133.22520761806,22,2546.1335,291321.8471774654,0.0,125060.19744759896,441860860.0,752000,-445008.2,204.8809,-72.76044369879071
-73.91684567869822,-10.748308,0.3,198050.70063429867,198050.70063429867,10,10,107236.25468253971,0.0,198050.70063429867,0.3,318396.4406727555,23,198050.70063429867,23,1316.0325,318396.4406727555,0.0,107236.25468253971,444026000.0,776000,-444973.56,222.14832,-73.91684567869822
-75.06327309656966,80.006905,0.0,22619.342492533637,22619.34249253364,10,10,63689.054628350605,0.0,22619.342492533637,0.0,213503.88403697178,24,22619.34249253364,24,156137.1,213503.88403697178,0.0,63689.054628350605,441743300.0,800000,-396457.16,209.12935,-75.06327309656966
-75.93155283962327,49.62291,0.2,82040.18230992567,82040.18230992569,10,10,112700.84971620025,0.0,82040.18230992567,0.2,301024.3166233969,25,82040.18230992569,25,246155.95,301024.3166233969,0.0,112700.84971620025,409932380.0,824000,-345035.6,154.87047,-75.93155283962327
161718.21593562557,-48.276226,0.5,253887.8228504643,253887.82285046438,10,10,50324.76904401872,0.0,253887.8228504643,0.5,322356.8754263817,26,253887.82285046438,26,13118.156,322356.8754263817,0.0,50324.76904401872,519982880.0,848000,-470392.38,179.34193,161718.21593562557
-15.122248383040539,-1.0601509,0.1,194755.40918786274,194755.40918786274,10,10,127772.32573856937,0.0,194755.40918786274,0.1,314207.80696614226,27,194755.40918786274,27,57049.31,314207.80696614226,0.0,127772.32573856937,552574200.0,872000,-489475.47,196.03049,-15.122248383040539
-56.460129818205644,-15.251857,0.6,263267.4989515999,263267.49895160005,10,10,90193.92250944076,0.0,263267.4989515999,0.6,319242.61414534727,28,263267.49895160005,28,3277.5295,319242.61414534727,0.0,90193.92250944076,557860800.0,896000,-509010.62,213.92781,-56.460129818205644
-62.19074911688007,0.6647832,0.6,245622.1983594616,245622.19835946156,10,10,93333.49191140862,0.0,245622.1983594616,0.6,308733.5649165876,29,245622.19835946156,29,12965.734,308733.5649165876,0.0,93333.49191140862,561516500.0,920000,-516138.6,220.80927,-62.19074911688007
-42.25719152813308,-14.545473,0.6,230847.36468937277,230847.36468937286,10,10,118485.30501349161,0.0,230847.36468937277,0.6,315535.2290189502,30,230847.36468937286,30,2789.146,315535.2290189502,0.0,118485.30501349161,579323000.0,944000,-517591.94,227.94206,-42.25719152813308
-43.22018008551688,25.355524,0.2,143187.15472264908,143187.15472264908,10,10,127105.13910814917,0.0,143187.15472264908,0.2,314454.72211761976,31,143187.15472264908,31,3583.933,314454.72211761976,0.0,127105.13910814917,556436030.0,968000,-502650.84,218.76962,-43.22018008551688
-46.31192553687827,14.464279,0.7,241759.70109467884,241759.7010946789,10,10,122174.28671749082,0.0,241759.70109467884,0.7,321979.6753543063,32,241759.7010946789,32,3944.4563,321979.6753543063,0.0,122174.28671749082,596178940.0,992000,-505046.4,201.71349,-46.31192553687827
135267.89355106858,-10.180213,0.8,288634.9655267094,288634.96552670945,10,10,55342.53897164784,0.0,288634.9655267094,0.8,329851.60277592717,33,288634.96552670945,33,2954.4727,329851.60277592717,0.0,55342.53897164784,543852900.0,1016000,-521840.0,205.10747,135267.89355106858
-60.04708718229795,6.9074264,0.7,213474.85322738165,213474.85322738168,10,10,115040.48250627947,0.0,213474.85322738165,0.7,318528.2740295947,34,213474.85322738168,34,3345.7861,318528.2740295947,0.0,115040.48250627947,555110600.0,1040000,-533258.6,202.76874,-60.04708718229795
-42.68407585348286,8.180119,0.7,173277.30261117194,173277.30261117202,10,10,144178.91057667416,0.0,173277.30261117194,0.7,318781.1929837104,35,173277.30261117202,35,2776.501,318781.1929837104,0.0,144178.91057667416,537358700.0,1064000,-534413.8,193.49245,-42.68407585348286
34419.70150389073,-16.685349,0.8,251024.8955000312,251024.8955000313,10,10,86115.11006592895,0.0,251024.8955000312,0.8,325823.01785155194,36,251024.8955000313,36,3575.8928,325823.01785155194,0.0,86115.11006592895,559563970.0,1088000,-543289.4,201.02686,34419.70150389073
-54.62424483917888,-7.8096266,0.6,179169.01722526734,179169.0172252674,10,10,137625.208355178,0.0,179169.01722526734,0.6,311992.1611152463,37,179169.0172252674,37,2567.313,311992.1611152463,0.0,137625.208355178,635172900.0,1112000,-580577.4,220.33012,-54.62424483917888
-63.73261493087751,41.47376,0.6,113842.29825343455,113842.29825343456,10,10,130372.63560281692,0.0,113842.29825343455,0.6,326926.6369470121,38,113842.29825343456,38,1105983.4,326926.6369470121,0.0,130372.63560281692,663631300.0,1136000,-563826.6,207.65681,-63.73261493087751
-74.46911559793604,4.8423934,0.1,50502.7307228629,50502.73072286289,10,10,103460.56325022929,0.0,50502.7307228629,0.1,308274.3807826212,39,50502.73072286289,39,43063.92,308274.3807826212,0.0,103460.56325022929,698454460.0,1160000,-596115.9,180.82057,-74.46911559793604
-32.74224198016714,-15.891779,0.6,207530.67618099402,207530.67618099405,10,10,115614.53958181263,0.0,207530.67618099402,0.6,313257.4552730903,40,207530.67618099405,40,36091.824,313257.4552730903,0.0,115614.53958181263,675585150.0,1184000,-604641.25,190.86441,-32.74224198016714
-23.820182846560645,-4.990547,0.6,230118.51735447167,230118.5173544716,10,10,97465.46162387755,0.0,230118.51735447167,0.6,317983.15158610686,41,230118.5173544716,41,13029.395,317983.15158610686,0.0,97465.46162387755,675380860.0,1208000,-613289.25,200.00179,-23.820182846560645
-50.30409880477791,-6.161659,0.9,281252.1722923367,281252.1722923366,10,10,95078.17266222017,0.0,281252.1722923367,0.9,331315.2000140497,42,281252.1722923366,42,8111.149,331315.2000140497,0.0,95078.17266222017,717499140.0,1232000,-621864.4,202.02396,-50.30409880477791
-62.26135566868174,-12.4013,0.6,181521.50280432956,181521.50280432956,10,10,127913.94948324411,0.0,181521.50280432956,0.6,316128.17846697645,43,181521.50280432956,43,4926.9385,316128.17846697645,0.0,127913.94948324411,729842700.0,1256000,-641996.9,222.75188,-62.26135566868174
-51.76694698549031,2.126515,0.7,202793.0438402138,202793.0438402138,10,10,139672.60320052714,0.0,202793.0438402138,0.7,321904.38712828635,44,202793.0438402138,44,4871.9194,321904.38712828635,0.0,139672.60320052714,712939460.0,1280000,-636943.1,227.84935,-51.76694698549031
-72.36692444193538,15.825289,0.2,85989.28185592851,85989.28185592857,10,10,133274.5453049467,0.0,85989.28185592851,0.2,324879.5394679426,45,85989.28185592857,45,407976.3,324879.5394679426,0.0,133274.5453049467,750450100.0,1304000,-607158.1,221.90816,-72.36692444193538
-30.768137930294785,-25.589245,0.8,226908.82990486594,226908.82990486585,10,10,116492.07544267843,0.0,226908.82990486594,0.8,316463.2612980692,46,226908.82990486585,46,8875.03,316463.2612980692,0.0,116492.07544267843,815150660.0,1328000,-659546.5,229.77565,-30.768137930294785
-12.388590363411389,-4.7069435,0.7,218425.21147620832,218425.2114762084,10,10,142345.31141081787,0.0,218425.21147620832,0.7,332236.54922945227,47,218425.2114762084,47,2515.2024,332236.54922945227,0.0,142345.31141081787,829961540.0,1352000,-684371.3,246.63838,-12.388590363411389
-66.23914565398782,1.2190384,0.6,220394.6805764044,220394.68057640438,10,10,134429.5682137924,0.0,220394.6805764044,0.6,328686.84341523715,48,220394.68057640438,48,4986.09,328686.84341523715,0.0,134429.5682137924,860479940.0,1376000,-690835.5,249.45193,-66.23914565398782
-66.58442443483892,-8.753936,0.8,240149.84827623772,240149.84827623778,10,10,122841.95783635095,0.0,240149.84827623772,0.8,328613.0250165847,49,240149.84827623778,49,10838.327,328613.0250165847,0.0,122841.95783635095,903135500.0,1400000,-699486.9,253.63776,-66.58442443483892
