MetaTest/button-press-topdown-wall-v1/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/button-press-topdown-wall-v1/SuccessRate,MetaTest/button-press-topdown-wall-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/button-press-topdown-wall-v1/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/button-press-topdown-wall-v1/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/button-press-topdown-wall-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/button-press-topdown-wall-v1/MaxReturn,MetaTest/button-press-topdown-wall-v1/StdReturn,MetaTest/button-press-topdown-wall-v1/AverageReturn
0,5.635157957087383,10,-50.84244860019398,0.0,-57.93029994437963,0.0,10,-41.93085738622885,0.0,-50.842448600193975,-50.84244860019398,0,-57.93029994437963,0.0,224000,-41.93085738622885,5.635157957087383,-50.842448600193975
1,5.60287933494236,10,-41.087569507129,0.0,-54.529126133986715,0.0,10,-35.18955272457701,0.0,-41.08756950712899,-41.087569507129,1,-54.529126133986715,0.0,248000,-35.18955272457701,5.60287933494236,-41.08756950712899
2,29.944000359160576,10,-95.49985077421027,0.0,-129.76524456629647,0.0,10,-60.1480785901971,0.0,-95.49985077421027,-95.49985077421027,2,-129.76524456629647,0.0,272000,-60.1480785901971,29.944000359160576,-95.49985077421027
3,5.403102143210786,10,-54.69998085678742,0.0,-62.50790529004758,0.0,10,-45.942458257976774,0.0,-54.699980856787406,-54.69998085678742,3,-62.50790529004758,0.0,296000,-45.942458257976774,5.403102143210786,-54.699980856787406
4,4.986999851150001,10,-91.04078576604022,0.0,-103.27024366268415,0.0,10,-85.81764121318558,0.0,-91.0407857660402,-91.04078576604022,4,-103.27024366268415,0.0,320000,-85.81764121318558,4.986999851150001,-91.0407857660402
5,30.20213780178133,10,-91.31233417296889,0.0,-127.37338226530527,0.0,10,-56.96296126428263,0.0,-91.31233417296889,-91.31233417296889,5,-127.37338226530527,0.0,344000,-56.96296126428263,30.20213780178133,-91.31233417296889
6,23.646762310030628,10,-84.68449598079933,0.0,-117.2001642832113,0.0,10,-43.30535305821138,0.0,-84.68449598079927,-84.68449598079933,6,-117.2001642832113,0.0,368000,-43.30535305821138,23.646762310030628,-84.68449598079927
7,5.025984416013644,10,-89.18150823226904,0.0,-96.70683253131007,0.0,10,-77.05130073219877,0.0,-89.18150823226902,-89.18150823226904,7,-96.70683253131007,0.0,392000,-77.05130073219877,5.025984416013644,-89.18150823226902
8,16.27649113989312,10,-42.7059286492343,0.0,-77.53952080243761,0.0,10,-19.343596569526724,0.0,-42.705928649234316,-42.7059286492343,8,-77.53952080243761,0.0,416000,-19.343596569526724,16.27649113989312,-42.705928649234316
9,27.066106152730747,10,-74.46397150697354,0.0,-119.44823149781514,0.0,10,-24.439115223954072,0.0,-74.46397150697358,-74.46397150697354,9,-119.44823149781514,0.0,440000,-24.439115223954072,27.066106152730747,-74.46397150697358
10,12.425786577750902,10,-46.11654329302068,0.0,-82.25031288495859,0.0,10,-36.89123517843494,0.0,-46.116543293020676,-46.11654329302068,10,-82.25031288495859,0.0,464000,-36.89123517843494,12.425786577750902,-46.116543293020676
11,19.680458970501522,10,-65.06508339749722,0.0,-89.61636718834136,0.0,10,-39.704882065079886,0.0,-65.06508339749722,-65.06508339749722,11,-89.61636718834136,0.0,488000,-39.704882065079886,19.680458970501522,-65.06508339749722
12,3.632216779227554,10,-43.39591056177751,0.0,-50.47395334085593,0.0,10,-37.334863955961055,0.0,-43.39591056177753,-43.39591056177751,12,-50.47395334085593,0.0,512000,-37.334863955961055,3.632216779227554,-43.39591056177753
13,13.631894119047642,10,-49.79479276116044,0.0,-82.16370241211892,0.0,10,-34.88633443402972,0.0,-49.794792761160444,-49.79479276116044,13,-82.16370241211892,0.0,536000,-34.88633443402972,13.631894119047642,-49.794792761160444
14,9.579127002431928,10,-57.9303866402267,0.0,-73.48232183281743,0.0,10,-44.26960359778416,0.0,-57.9303866402267,-57.9303866402267,14,-73.48232183281743,0.0,560000,-44.26960359778416,9.579127002431928,-57.9303866402267
15,42.363193874891,10,-66.41766189989633,0.0,-141.74631905130505,0.0,10,-20.72747214610807,0.0,-66.4176618998963,-66.41766189989633,15,-141.74631905130505,0.0,584000,-20.72747214610807,42.363193874891,-66.4176618998963
16,26.145711985044603,10,-54.34895366018374,0.0,-89.50734420102182,0.0,10,-19.958702057206263,0.0,-54.34895366018374,-54.34895366018374,16,-89.50734420102182,0.0,608000,-19.958702057206263,26.145711985044603,-54.34895366018374
17,21.168018081513605,10,-68.18418864698947,0.0,-127.72656193852299,0.0,10,-51.147988782743695,0.0,-68.18418864698947,-68.18418864698947,17,-127.72656193852299,0.0,632000,-51.147988782743695,21.168018081513605,-68.18418864698947
18,1301.771384822919,10,380.5586965142654,0.0,-83.70184005630749,0.0,10,4285.403022181887,0.0,380.5586965142665,380.5586965142654,18,-83.70184005630749,0.0,656000,4285.403022181887,1301.771384822919,380.5586965142665
19,780.702395513646,10,218.70378984929198,0.0,-77.27376984728498,0.0,10,2560.299585841763,0.0,218.7037898492916,218.70378984929198,19,-77.27376984728498,0.0,680000,2560.299585841763,780.702395513646,218.7037898492916
20,50232.214599447085,10,16675.251598495153,0.0,-96.54574116243934,0.0,10,167371.89264484216,0.0,16675.251598495168,16675.251598495153,20,-96.54574116243934,0.0,704000,167371.89264484216,50232.214599447085,16675.251598495168
21,14.558883617805062,10,-86.0538364368188,0.0,-100.83941008728576,0.0,10,-56.54536874362902,0.0,-86.05383643681878,-86.0538364368188,21,-100.83941008728576,0.0,728000,-56.54536874362902,14.558883617805062,-86.05383643681878
22,95411.91070134267,10,43290.52344557976,0.1,-91.50968664841906,0.0,10,305751.18244115874,0.0,43290.52344557976,43290.52344557976,22,-91.50968664841906,0.1,752000,305751.18244115874,95411.91070134267,43290.52344557976
23,53906.39237158495,10,18587.152456794585,0.1,-82.51594289726582,0.0,10,180214.87260298472,0.0,18587.152456794585,18587.152456794585,23,-82.51594289726582,0.1,776000,180214.87260298472,53906.39237158495,18587.152456794585
24,122975.68980630973,10,71911.24231560246,0.3,-81.00158707265813,0.0,10,334897.3418467544,0.0,71911.24231560246,71911.24231560246,24,-81.00158707265813,0.3,800000,334897.3418467544,122975.68980630973,71911.24231560246
25,15010.989763539425,10,4919.154677913308,0.1,-94.34221731829723,0.0,10,49952.116018563036,0.0,4919.154677913307,4919.154677913308,25,-94.34221731829723,0.1,824000,49952.116018563036,15010.989763539425,4919.154677913307
26,129375.25257240662,10,81609.23350619587,0.3,-83.2791943394059,0.0,10,318013.8240902949,0.0,81609.23350619589,81609.23350619587,26,-83.2791943394059,0.3,848000,318013.8240902949,129375.25257240662,81609.23350619589
27,99472.75582719894,10,47456.31632594178,0.1,-90.75622457780923,0.0,10,303204.4986236091,0.0,47456.31632594178,47456.31632594178,27,-90.75622457780923,0.1,872000,303204.4986236091,99472.75582719894,47456.31632594178
28,121211.57178053008,10,60545.602149548984,0.2,-85.12473889251844,0.0,10,304782.4379704305,0.0,60545.60214954896,60545.602149548984,28,-85.12473889251844,0.2,896000,304782.4379704305,121211.57178053008,60545.60214954896
29,134829.72741638153,10,121221.00031329815,0.2,-88.14840415026077,0.0,10,334545.7008983591,0.0,121221.00031329815,121221.00031329815,29,-88.14840415026077,0.2,920000,334545.7008983591,134829.72741638153,121221.00031329815
30,119650.38413265371,10,59738.66627692491,0.2,-91.4413634432397,0.0,10,307257.7370356522,0.0,59738.666276924916,59738.66627692491,30,-91.4413634432397,0.2,944000,307257.7370356522,119650.38413265371,59738.666276924916
31,102669.4454930385,10,48610.12798165811,0.1,-91.47393083283283,0.0,10,316301.12673356413,0.0,48610.12798165814,48610.12798165811,31,-91.47393083283283,0.1,968000,316301.12673356413,102669.4454930385,48610.12798165814
32,126825.19734299764,10,79301.55860792057,0.3,-93.62858998362832,0.0,10,318950.26297137176,0.0,79301.55860792057,79301.55860792057,32,-93.62858998362832,0.3,992000,318950.26297137176,126825.19734299764,79301.55860792057
33,104380.78701845871,10,66366.09646870216,0.3,-53.843174791122415,0.0,10,284402.7967584155,0.0,66366.09646870215,66366.09646870216,33,-53.843174791122415,0.3,1016000,284402.7967584155,104380.78701845871,66366.09646870215
34,34271.05775997027,10,12561.276997417652,0.1,-41.219987949797364,0.0,10,114907.85630317265,0.0,12561.27699741765,12561.276997417652,34,-41.219987949797364,0.1,1040000,114907.85630317265,34271.05775997027,12561.27699741765
35,101407.03194043064,10,61234.92709291313,0.2,-54.05973162707267,0.0,10,309975.51024511235,0.0,61234.92709291309,61234.92709291313,35,-54.05973162707267,0.2,1064000,309975.51024511235,101407.03194043064,61234.92709291309
36,117140.31645375521,10,84203.02348268524,0.3,-24.200469509505893,0.0,10,287687.998044956,0.0,84203.02348268527,84203.02348268524,36,-24.200469509505893,0.3,1088000,287687.998044956,117140.31645375521,84203.02348268527
37,131038.8188605522,10,131289.42372115498,0.5,-26.3690874110268,0.0,10,296308.0952434397,0.0,131289.42372115498,131289.42372115498,37,-26.3690874110268,0.5,1112000,296308.0952434397,131038.8188605522,131289.42372115498
