MetaTest/button-press-topdown-wall-v1/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/button-press-topdown-wall-v1/SuccessRate,MetaTest/button-press-topdown-wall-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/button-press-topdown-wall-v1/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/button-press-topdown-wall-v1/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/button-press-topdown-wall-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/button-press-topdown-wall-v1/MaxReturn,MetaTest/button-press-topdown-wall-v1/StdReturn,MetaTest/button-press-topdown-wall-v1/AverageReturn
38,120033.96660372285,10,157960.74116908837,0.6,-22.573924876078646,0.0,10,320010.3941055153,0.0,157960.74116908835,157960.74116908837,38,-22.573924876078646,0.6,1136000,320010.3941055153,120033.96660372285,157960.74116908835
39,103284.42175011965,10,123174.11297746853,0.6,-23.61330301718865,0.0,10,327803.95389687165,0.0,123174.11297746855,123174.11297746853,39,-23.61330301718865,0.6,1160000,327803.95389687165,103284.42175011965,123174.11297746855
40,130171.64249944323,10,203438.08980478163,0.8,-18.8358548582606,0.0,10,338204.5218679309,0.0,203438.0898047816,203438.08980478163,40,-18.8358548582606,0.8,1184000,338204.5218679309,130171.64249944323,203438.0898047816
41,127009.27619396,10,185077.5585576221,0.8,-21.401263728548596,0.0,10,328456.31218361855,0.0,185077.55855762213,185077.5585576221,41,-21.401263728548596,0.8,1208000,328456.31218361855,127009.27619396,185077.55855762213
42,106359.114696429,10,84429.30472782895,0.4,-24.222356567220896,0.0,10,306337.6105839028,0.0,84429.30472782892,84429.30472782895,42,-24.222356567220896,0.4,1232000,306337.6105839028,106359.114696429,84429.30472782892
43,116420.68067656895,10,164514.7380608299,0.6,-23.431435690976873,0.0,10,280324.33472702146,0.0,164514.7380608299,164514.7380608299,43,-23.431435690976873,0.6,1256000,280324.33472702146,116420.68067656895,164514.7380608299
44,132620.55992404837,10,125187.21502716986,0.5,-25.816232473333415,0.0,10,291949.56666741654,0.0,125187.21502716988,125187.21502716986,44,-25.816232473333415,0.5,1280000,291949.56666741654,132620.55992404837,125187.21502716988
45,114660.6095545692,10,91302.13834627284,0.4,-25.444941304611344,0.0,10,282539.5661118133,0.0,91302.13834627284,91302.13834627284,45,-25.444941304611344,0.4,1304000,282539.5661118133,114660.6095545692,91302.13834627284
46,137818.45299075078,10,161976.4566926831,0.6,-23.57030475402341,0.0,10,299022.59867077356,0.0,161976.45669268316,161976.4566926831,46,-23.57030475402341,0.6,1328000,299022.59867077356,137818.45299075078,161976.45669268316
47,9.310421621066897,10,-63.074076644121035,0.0,-90.4025186437056,0.0,10,-58.07463749625099,0.0,-63.074076644121035,-63.074076644121035,47,-90.4025186437056,0.0,1352000,-58.07463749625099,9.310421621066897,-63.074076644121035
48,4.850101550810234,10,-95.187007183612,0.0,-101.23277045737095,0.0,10,-86.64053538080618,0.0,-95.18700718361195,-95.187007183612,48,-101.23277045737095,0.0,1376000,-86.64053538080618,4.850101550810234,-95.18700718361195
49,5.315440455165132,10,-93.01764518347846,0.0,-99.58325313728085,0.0,10,-85.0792342755677,0.0,-93.01764518347845,-93.01764518347846,49,-99.58325313728085,0.0,1400000,-85.0792342755677,5.315440455165132,-93.01764518347845
50,3.06704852058309,10,-94.45998280617702,0.0,-99.20510217339626,0.0,10,-88.84885528933465,0.0,-94.45998280617701,-94.45998280617702,50,-99.20510217339626,0.0,1424000,-88.84885528933465,3.06704852058309,-94.45998280617701
51,5.517019680187789,10,-85.41193917167641,0.0,-94.32312487936824,0.0,10,-77.41984856744676,0.0,-85.41193917167645,-85.41193917167641,51,-94.32312487936824,0.0,1448000,-77.41984856744676,5.517019680187789,-85.41193917167645
52,116612.25197562274,10,91988.3218792644,0.1,-86.43655352309705,0.0,10,308805.58220413746,0.0,91988.32187926437,91988.3218792644,52,-86.43655352309705,0.1,1472000,308805.58220413746,116612.25197562274,91988.32187926437
53,118928.83642961693,10,61191.500206238634,0.3,-28.57351412648955,0.0,10,300324.98339072557,0.0,61191.50020623865,61191.500206238634,53,-28.57351412648955,0.3,1496000,300324.98339072557,118928.83642961693,61191.50020623865
54,117127.12389273861,10,74613.55273117313,0.2,-84.90909645013302,0.0,10,328815.58389882295,0.0,74613.55273117314,74613.55273117313,54,-84.90909645013302,0.2,1520000,328815.58389882295,117127.12389273861,74613.55273117314
55,105506.03446396436,10,98994.18371504112,0.7,-23.4622744517369,0.0,10,289314.27561990975,0.0,98994.18371504113,98994.18371504112,55,-23.4622744517369,0.7,1544000,289314.27561990975,105506.03446396436,98994.18371504113
56,63609.787562541926,10,271860.6828661611,1.0,186051.15928491752,0.0,10,340778.5259749973,0.0,271860.6828661611,271860.6828661611,56,186051.15928491752,1.0,1568000,340778.5259749973,63609.787562541926,271860.6828661611
57,130786.41996062214,10,173877.9776835065,0.8,-20.555002054186645,0.0,10,339763.97189717833,0.0,173877.9776835065,173877.9776835065,57,-20.555002054186645,0.8,1592000,339763.97189717833,130786.41996062214,173877.9776835065
58,106782.37626165643,10,231623.6590593323,1.0,3069.7472217895015,0.0,10,339743.16113714915,0.0,231623.65905933228,231623.6590593323,58,3069.7472217895015,1.0,1616000,339743.16113714915,106782.37626165643,231623.65905933228
59,96861.44100650697,10,82094.3222046063,0.5,-19.19387760612502,0.0,10,271494.3991826131,0.0,82094.32220460635,82094.3222046063,59,-19.19387760612502,0.5,1640000,271494.3991826131,96861.44100650697,82094.32220460635
60,117669.87702548965,10,174421.9246611024,0.7,-15.36971418937001,0.0,10,319803.13298667816,0.0,174421.92466110236,174421.9246611024,60,-15.36971418937001,0.7,1664000,319803.13298667816,117669.87702548965,174421.92466110236
61,112925.6332869079,10,146909.35509453155,0.8,-17.249270774727876,0.0,10,314265.9538019077,0.0,146909.35509453158,146909.35509453155,61,-17.249270774727876,0.8,1688000,314265.9538019077,112925.6332869079,146909.35509453158
62,119542.44789417138,10,174438.40782427462,0.7,-21.632118111767905,0.0,10,311864.3605041984,0.0,174438.40782427468,174438.40782427462,62,-21.632118111767905,0.7,1712000,311864.3605041984,119542.44789417138,174438.40782427468
63,94749.02393833318,10,153715.8745506051,1.0,29601.124366615626,0.0,10,315126.92041260184,0.0,153715.87455060508,153715.8745506051,63,29601.124366615626,1.0,1736000,315126.92041260184,94749.02393833318,153715.87455060508
64,79082.9126557035,10,105546.38342734186,0.9,-19.47683620635987,0.0,10,251204.44271719153,0.0,105546.38342734185,105546.38342734186,64,-19.47683620635987,0.9,1760000,251204.44271719153,79082.9126557035,105546.38342734185
65,113137.47684113114,10,80908.43289386631,0.5,-19.2109658194524,0.0,10,306473.5406496567,0.0,80908.4328938663,80908.43289386631,65,-19.2109658194524,0.5,1784000,306473.5406496567,113137.47684113114,80908.4328938663
66,99408.54000615144,10,83023.4426034556,0.8,-32.32358896774479,0.0,10,280290.16291064763,0.0,83023.44260345557,83023.4426034556,66,-32.32358896774479,0.8,1808000,280290.16291064763,99408.54000615144,83023.44260345557
67,59685.649682547475,10,20288.83131517626,0.3,-45.01804623574036,0.0,10,199331.20286721722,0.0,20288.83131517625,20288.83131517626,67,-45.01804623574036,0.3,1832000,199331.20286721722,59685.649682547475,20288.83131517625
68,102336.0627401744,10,116138.6891978825,0.6,-16.63279690982637,0.0,10,301029.1861450873,0.0,116138.68919788254,116138.6891978825,68,-16.63279690982637,0.6,1856000,301029.1861450873,102336.0627401744,116138.68919788254
69,111834.96824445846,10,65933.43957277041,0.5,-19.12935945993469,0.0,10,337309.9664934542,0.0,65933.43957277043,65933.43957277041,69,-19.12935945993469,0.5,1880000,337309.9664934542,111834.96824445846,65933.43957277043
70,130245.72293169524,10,121209.11063933819,0.5,-20.254481285925316,0.0,10,339439.74785514583,0.0,121209.11063933819,121209.11063933819,70,-20.254481285925316,0.5,1904000,339439.74785514583,130245.72293169524,121209.11063933819
71,37272.96695380737,10,304548.4546385255,1.0,206202.27204862618,0.0,10,340359.7703828503,0.0,304548.45463852555,304548.4546385255,71,206202.27204862618,1.0,1928000,340359.7703828503,37272.96695380737,304548.45463852555
72,127182.8469899403,10,161217.3357920702,0.8,-17.377154142472612,0.0,10,337926.64673678327,0.0,161217.3357920702,161217.3357920702,72,-17.377154142472612,0.8,1952000,337926.64673678327,127182.8469899403,161217.3357920702
73,126582.23982721446,10,240891.1683706819,0.8,-20.353792189853802,0.0,10,337959.0428013885,0.0,240891.1683706819,240891.1683706819,73,-20.353792189853802,0.8,1976000,337959.0428013885,126582.23982721446,240891.1683706819
74,124354.24621132291,10,179479.10184885171,0.7,-18.341893883846065,0.0,10,335622.8698226459,0.0,179479.10184885177,179479.10184885171,74,-18.341893883846065,0.7,2000000,335622.8698226459,124354.24621132291,179479.10184885177
75,9.4563651754111,10,-33.77821230873231,0.0,-58.51568583329038,0.0,10,-22.63261757777504,0.0,-33.77821230873229,-33.77821230873231,75,-58.51568583329038,0.0,2024000,-22.63261757777504,9.4563651754111,-33.77821230873229
76,77362.57317991465,10,255242.2947042915,0.8,141556.5927611202,0.0,10,340010.72830366803,0.0,255242.2947042916,255242.2947042915,76,141556.5927611202,0.8,2048000,340010.72830366803,77362.57317991465,255242.2947042916
77,87584.08457511457,10,248308.02545389504,0.8,74624.46343369462,0.0,10,328780.6969309863,0.0,248308.025453895,248308.02545389504,77,74624.46343369462,0.8,2072000,328780.6969309863,87584.08457511457,248308.025453895
78,135750.9290737706,10,212510.7265759122,0.7,-18.318066609126067,0.0,10,339090.9843230928,0.0,212510.72657591215,212510.7265759122,78,-18.318066609126067,0.7,2096000,339090.9843230928,135750.9290737706,212510.72657591215
79,124845.1907271054,10,230694.96574443587,0.9,3253.173670961781,0.0,10,339913.43157662614,0.0,230694.96574443587,230694.96574443587,79,3253.173670961781,0.9,2120000,339913.43157662614,124845.1907271054,230694.96574443587
80,99374.9342445013,10,226187.45670739934,0.7,39273.020582675,0.0,10,324872.52092092345,0.0,226187.45670739934,226187.45670739934,80,39273.020582675,0.7,2144000,324872.52092092345,99374.9342445013,226187.45670739934
81,3.5425547263009856,10,-146.37294199849327,0.0,-150.9076033249388,0.0,10,-140.45735890939378,0.0,-146.3729419984933,-146.37294199849327,81,-150.9076033249388,0.0,2168000,-140.45735890939378,3.5425547263009856,-146.3729419984933
82,97511.73694711342,10,32444.331019089586,0.1,-93.36960859874496,0.0,10,324979.53125598776,0.0,32444.33101908955,32444.331019089586,82,-93.36960859874496,0.1,2192000,324979.53125598776,97511.73694711342,32444.33101908955
83,115122.07264118266,10,64407.201803781536,0.3,-93.27761118364586,0.0,10,334661.01198987797,0.0,64407.20180378154,64407.201803781536,83,-93.27761118364586,0.3,2216000,334661.01198987797,115122.07264118266,64407.20180378154
84,27.112486719568665,10,-96.7590863411979,0.0,-126.32044634763771,0.0,10,-31.537662598233812,0.0,-96.7590863411979,-96.7590863411979,84,-126.32044634763771,0.0,2240000,-31.537662598233812,27.112486719568665,-96.7590863411979
85,101709.35752037537,10,34081.61897196164,0.1,-84.88244065437023,0.0,10,339203.22362441226,0.0,34081.61897196165,34081.61897196164,85,-84.88244065437023,0.1,2264000,339203.22362441226,101709.35752037537,34081.61897196165
86,124023.16635409789,10,75396.0289500998,0.3,-97.99747719901151,0.0,10,330207.3092210711,0.0,75396.02895009988,75396.0289500998,86,-97.99747719901151,0.3,2288000,330207.3092210711,124023.16635409789,75396.02895009988
87,131090.95033349775,10,65421.44993707824,0.2,-149.19019885216272,0.0,10,328207.1266794406,0.0,65421.44993707819,65421.44993707824,87,-149.19019885216272,0.2,2312000,328207.1266794406,131090.95033349775,65421.44993707819
88,45121.44489547279,10,25560.63385374947,0.0,-90.08849119362185,0.0,10,133669.72402421775,0.0,25560.63385374949,25560.63385374947,88,-90.08849119362185,0.0,2336000,133669.72402421775,45121.44489547279,25560.63385374949
89,108985.11773019216,10,69994.22790756349,0.4,-144.40154438114845,0.0,10,282713.93857421394,0.0,69994.22790756349,69994.22790756349,89,-144.40154438114845,0.4,2360000,282713.93857421394,108985.11773019216,69994.22790756349
90,43.44349186949173,10,-94.67264386512505,0.1,-145.69585259451634,0.0,10,-27.532752092630457,0.0,-94.67264386512505,-94.67264386512505,90,-145.69585259451634,0.1,2384000,-27.532752092630457,43.44349186949173,-94.67264386512505
91,115939.70826322283,10,57288.473552967036,0.3,-134.0264389824242,0.0,10,323364.33088035893,0.0,57288.47355296705,57288.473552967036,91,-134.0264389824242,0.3,2408000,323364.33088035893,115939.70826322283,57288.47355296705
92,119527.58423352569,10,72207.18530636714,0.3,-125.65522455389613,0.0,10,331468.98585095844,0.0,72207.18530636713,72207.18530636714,92,-125.65522455389613,0.3,2432000,331468.98585095844,119527.58423352569,72207.18530636713
93,51738.198133896316,10,26913.188939173917,0.0,-151.32143490730803,0.0,10,131946.6367328161,0.0,26913.188939173928,26913.188939173917,93,-151.32143490730803,0.0,2456000,131946.6367328161,51738.198133896316,26913.188939173928
94,103895.68434061506,10,73586.28712306176,0.3,-17.557465116372423,0.0,10,274480.4022100779,0.0,73586.28712306179,73586.28712306176,94,-17.557465116372423,0.3,2480000,274480.4022100779,103895.68434061506,73586.28712306179
95,113658.34597869248,10,195551.30757991885,0.9,9905.764114872572,0.0,10,338269.1987238897,0.0,195551.30757991888,195551.30757991885,95,9905.764114872572,0.9,2504000,338269.1987238897,113658.34597869248,195551.30757991888
96,9584.587943628218,10,319770.7960935627,1.0,300446.6036615781,0.0,10,328920.5318064432,0.0,319770.7960935626,319770.7960935627,96,300446.6036615781,1.0,2528000,328920.5318064432,9584.587943628218,319770.7960935626
97,14845.237698162584,10,314834.06127033767,1.0,286890.2557213676,0.0,10,333319.412283209,0.0,314834.0612703378,314834.06127033767,97,286890.2557213676,1.0,2552000,333319.412283209,14845.237698162584,314834.0612703378
98,12709.298016882656,10,320238.82472055976,1.0,285894.71933216933,0.0,10,330996.68554718315,0.0,320238.82472055976,320238.82472055976,98,285894.71933216933,1.0,2576000,330996.68554718315,12709.298016882656,320238.82472055976
99,97754.69187394521,10,242943.84034136852,0.9,1623.756701927501,0.0,10,334915.8095346288,0.0,242943.84034136854,242943.84034136852,99,1623.756701927501,0.9,2600000,334915.8095346288,97754.69187394521,242943.84034136854
100,140281.24556404966,10,216646.20878119385,0.7,-19.32004831797964,0.0,10,336207.3051268561,0.0,216646.20878119385,216646.20878119385,100,-19.32004831797964,0.7,2624000,336207.3051268561,140281.24556404966,216646.20878119385
101,122153.69722075266,10,246367.9641454354,0.9,41939.53729134111,0.0,10,341275.9582982311,0.0,246367.96414543543,246367.9641454354,101,41939.53729134111,0.9,2648000,341275.9582982311,122153.69722075266,246367.96414543543
102,37627.34138064574,10,316160.58741997223,1.0,207000.28284936416,0.0,10,338328.85461817053,0.0,316160.5874199723,316160.58741997223,102,207000.28284936416,1.0,2672000,338328.85461817053,37627.34138064574,316160.5874199723
103,141884.7425674122,10,125155.98737096248,0.5,-112.31000478840446,0.0,10,333510.7703756101,0.0,125155.98737096244,125155.98737096248,103,-112.31000478840446,0.5,2696000,333510.7703756101,141884.7425674122,125155.98737096244
104,104891.75207065065,10,65927.93579366423,0.2,-147.33831296374754,0.0,10,262533.24665274116,0.0,65927.93579366423,65927.93579366423,104,-147.33831296374754,0.2,2720000,262533.24665274116,104891.75207065065,65927.93579366423
105,111907.34814407604,10,218916.10238124686,1.0,4769.806840795404,0.0,10,325664.8773713403,0.0,218916.10238124692,218916.10238124686,105,4769.806840795404,1.0,2744000,325664.8773713403,111907.34814407604,218916.10238124692
106,16883.923217650463,10,80633.62395609636,1.0,54142.59974216996,0.0,10,114275.23012764115,0.0,80633.62395609637,80633.62395609636,106,54142.59974216996,1.0,2768000,114275.23012764115,16883.923217650463,80633.62395609637
107,105121.14491162183,10,231437.85222185217,0.8,25449.486805969904,0.0,10,322941.51045615267,0.0,231437.85222185223,231437.85222185217,107,25449.486805969904,0.8,2792000,322941.51045615267,105121.14491162183,231437.85222185223
108,99461.24626547369,10,248875.99758094308,0.9,3804.7335382331735,0.0,10,330838.39757988637,0.0,248875.99758094302,248875.99758094308,108,3804.7335382331735,0.9,2816000,330838.39757988637,99461.24626547369,248875.99758094302
109,122620.74141862805,10,227040.0683105844,0.8,835.3407571781016,0.0,10,332331.02748874854,0.0,227040.0683105844,227040.0683105844,109,835.3407571781016,0.8,2840000,332331.02748874854,122620.74141862805,227040.0683105844
110,89834.17119504792,10,264433.57844269404,1.0,78505.53605325121,0.0,10,338404.64436950703,0.0,264433.57844269404,264433.57844269404,110,78505.53605325121,1.0,2864000,338404.64436950703,89834.17119504792,264433.57844269404
111,53922.94659125296,10,279014.3342151799,1.0,163128.34856960498,0.0,10,336739.2818280878,0.0,279014.33421517984,279014.3342151799,111,163128.34856960498,1.0,2888000,336739.2818280878,53922.94659125296,279014.33421517984
112,122331.49795529198,10,221529.577744558,0.9,42284.76099875051,0.0,10,332065.98002825637,0.0,221529.577744558,221529.577744558,112,42284.76099875051,0.9,2912000,332065.98002825637,122331.49795529198,221529.577744558
113,91599.89017113803,10,280051.9608285389,0.9,79354.66670652508,0.0,10,341470.5139192424,0.0,280051.96082853887,280051.9608285389,113,79354.66670652508,0.9,2936000,341470.5139192424,91599.89017113803,280051.96082853887
114,116831.54059370841,10,267814.8732229356,0.9,15686.103065836338,0.0,10,338831.6923637818,0.0,267814.8732229357,267814.8732229356,114,15686.103065836338,0.9,2960000,338831.6923637818,116831.54059370841,267814.8732229357
115,89519.21262676174,10,278635.84470888076,0.9,36296.1985196356,0.0,10,339247.8740823509,0.0,278635.84470888064,278635.84470888076,115,36296.1985196356,0.9,2984000,339247.8740823509,89519.21262676174,278635.84470888064
116,104061.05911733393,10,268187.4131410081,0.9,16199.456816917764,0.0,10,338220.7791429154,0.0,268187.41314100806,268187.4131410081,116,16199.456816917764,0.9,3008000,338220.7791429154,104061.05911733393,268187.41314100806
117,79130.66731510802,10,253929.5329798946,0.8,127257.97188875976,0.0,10,327706.9686611983,0.0,253929.53297989472,253929.5329798946,117,127257.97188875976,0.8,3032000,327706.9686611983,79130.66731510802,253929.53297989472
118,86166.45322523845,10,264348.40795552,0.8,59633.9361159833,0.0,10,317673.1205659033,0.0,264348.40795552,264348.40795552,118,59633.9361159833,0.8,3056000,317673.1205659033,86166.45322523845,264348.40795552
