MetaTest/soccer-v1/AverageReturn,MetaTest/soccer-v1/Iteration,MetaTest/soccer-v1/StdReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/soccer-v1/NumTrajs,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/Average/StdReturn,MetaTest/Average/NumTrajs,MetaTest/soccer-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/soccer-v1/MinReturn,MetaTest/soccer-v1/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/soccer-v1/AverageDiscountedReturn,MetaTest/soccer-v1/MaxReturn
-23.167647220835782,0,3.4507596850481312,0,-31.432786549190904,10,0.0,-19.25909316360015,224000,3.4507596850481312,10,0.0,-23.167647220835782,0.0,-31.432786549190904,0.0,-23.167647220835782,-23.167647220835782,-19.25909316360015
-58.91809783554097,1,11.314765567075266,1,-80.42764683264586,10,0.0,-41.70296746894433,248000,11.314765567075266,10,0.0,-58.91809783554097,0.0,-80.42764683264586,0.0,-58.91809783554097,-58.91809783554097,-41.70296746894433
2.693622842145086,2,78.77517105917231,2,-62.68357593227715,10,0.0,214.36799763768772,272000,78.77517105917231,10,0.0,2.6936228421450927,0.0,-62.68357593227715,0.0,2.693622842145086,2.6936228421450927,214.36799763768772
170.5277893281247,3,649.1506130409399,3,-103.51104964001166,10,0.0,2116.0314015684594,296000,649.1506130409399,10,0.0,170.5277893281247,0.0,-103.51104964001166,0.0,170.5277893281247,170.5277893281247,2116.0314015684594
-28.057131748505345,4,33.097077646799264,4,-78.52428770389422,10,0.0,60.041377336304045,320000,33.097077646799264,10,0.0,-28.057131748505366,0.0,-78.52428770389422,0.0,-28.057131748505345,-28.057131748505366,60.041377336304045
3115.59970574878,5,8953.675868933617,5,-55.55927069455298,10,0.0,29957.365406321096,344000,8953.675868933617,10,0.0,3115.599705748784,0.0,-55.55927069455298,0.0,3115.59970574878,3115.599705748784,29957.365406321096
23.724851135617165,6,120.93175936567266,6,-29.296526035361474,10,0.0,385.06381391187466,368000,120.93175936567266,10,0.0,23.72485113561715,0.0,-29.296526035361474,0.0,23.724851135617165,23.72485113561715,385.06381391187466
2909.1751132637655,7,8704.113270695878,7,-87.89128685206131,10,0.0,29019.927734688474,392000,8704.113270695878,10,0.0,2909.1751132637664,0.0,-87.89128685206131,0.0,2909.1751132637655,2909.1751132637664,29019.927734688474
5691.260935353062,8,17074.62316841728,8,-42.79650324771486,10,0.0,56914.86824822615,416000,17074.62316841728,10,0.0,5691.26093535306,0.0,-42.79650324771486,0.0,5691.260935353062,5691.26093535306,56914.86824822615
83.95709883704353,9,271.89892774453534,9,-34.62946387619182,10,0.0,891.2757730823489,440000,271.89892774453534,10,0.0,83.9570988370436,0.0,-34.62946387619182,0.0,83.95709883704353,83.9570988370436,891.2757730823489
-84.81396617973736,10,24.02250113468102,10,-108.75900158391865,10,0.0,-32.00737837034755,464000,24.02250113468102,10,0.0,-84.81396617973739,0.0,-108.75900158391865,0.0,-84.81396617973736,-84.81396617973739,-32.00737837034755
