MetaTest/Average/MaxReturn,MetaTrain/Average/Alpha,MetaTest/soccer-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/soccer-v1/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/soccer-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/soccer-v1/SuccessRate,MetaTrain/Average/PolicyLoss,MetaTest/soccer-v1/TerminationRate,MetaTrain/Average/QfLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/StdReturn,MetaTest/Average/NumTrajs,MetaTest/soccer-v1/MinReturn,MetaTest/soccer-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/soccer-v1/AverageDiscountedReturn,MetaTest/soccer-v1/MaxReturn,TotalEnvSteps
-57.642721695329065,nan,-68.96760551078327,0.0,0,6.7289195,10,0.0,0,-68.96760551078329,0.0,-4.5574746,0.0,23.717009,10.1424265,5.924203654461647,10,-82.6283401986112,5.924203654461647,-68.96760551078327,-82.6283401986112,-68.96760551078329,-57.642721695329065,224000
179.36447969025284,nan,-4.4043916024577445,0.0,1,6.5613213,10,0.0,1,-4.40439160245771,0.0,-12.919962,0.0,191.97412,8.6252365,62.76631667212269,10,-33.96327187931061,62.76631667212269,-4.4043916024577445,-33.96327187931061,-4.40439160245771,179.36447969025284,248000
379.54715188482146,nan,4.606311372552415,0.0,2,5.2976055,10,0.0,2,4.606311372552394,0.0,-109.95172,0.0,1817.117,11.620927,125.8623090519614,10,-52.82910464290627,125.8623090519614,4.606311372552415,-52.82910464290627,4.606311372552394,379.54715188482146,272000
-34.706508224611,nan,-54.847295846415896,0.0,3,2.3283703,10,0.0,3,-54.84729584641592,0.0,-739.6511,0.0,32604.992,103.703186,14.554949581323378,10,-77.02349438810629,14.554949581323378,-54.847295846415896,-77.02349438810629,-54.84729584641592,-34.706508224611,296000
-0.2233677554003737,nan,-21.071231358750435,0.0,4,-6.4061885,10,0.0,4,-21.071231358750428,0.0,-5447.908,0.0,144065.86,312.60544,13.285512451830357,10,-56.741127226692434,13.285512451830357,-21.071231358750435,-56.741127226692434,-21.071231358750428,-0.2233677554003737,320000
41.264840574724346,nan,-29.872349826981928,0.0,5,-17.33404,10,0.0,5,-29.872349826981935,0.0,-30491.463,0.0,240663.02,200.19731,26.358932314427925,10,-46.426112745439774,26.358932314427925,-29.872349826981928,-46.426112745439774,-29.872349826981935,41.264840574724346,344000
79729.15105484192,nan,16328.44758012152,0.0,6,-10.747402,10,0.0,6,16328.447580121516,0.0,-29579.633,0.0,131189.47,1669.802,30248.52742663252,10,-41.71279299605823,30248.52742663252,16328.44758012152,-41.71279299605823,16328.447580121516,79729.15105484192,368000
27850.808824736177,nan,2763.972545596304,0.1,7,-10.138189,10,0.0,7,2763.972545596303,0.1,-20120.523,0.0,197188.16,2140.1157,8362.29584415427,10,-56.69974055769358,8362.29584415427,2763.972545596304,-56.69974055769358,2763.972545596303,27850.808824736177,392000
916.5870139372049,nan,123.22467464874121,0.0,8,-10.958321,10,0.0,8,123.2246746487413,0.0,-18329.533,0.0,236871.48,774.46454,328.4069216871719,10,-65.06745747952,328.4069216871719,123.22467464874121,-65.06745747952,123.2246746487413,916.5870139372049,416000
65.62339368139637,nan,-29.18509112021804,0.0,9,-11.2666645,10,0.0,9,-29.18509112021804,0.0,-20777.06,0.0,397585.06,1223.6294,38.74866528445429,10,-94.9512184684698,38.74866528445429,-29.18509112021804,-94.9512184684698,-29.18509112021804,65.62339368139637,440000
128.68385996098192,nan,-31.544977862555402,0.0,10,-12.16437,10,0.0,10,-31.544977862555402,0.0,-32144.633,0.0,593838.5,930.0757,56.409541954418465,10,-88.03780559820802,56.409541954418465,-31.544977862555402,-88.03780559820802,-31.544977862555402,128.68385996098192,464000
-34.575074289935536,nan,-87.03815246071274,0.0,11,-13.024117,10,0.0,11,-87.03815246071274,0.0,-40321.633,0.0,847364.5,528.6606,17.896277310105862,10,-99.44703796896567,17.896277310105862,-87.03815246071274,-99.44703796896567,-87.03815246071274,-34.575074289935536,488000
67960.18252062576,nan,6768.116496810786,0.0,12,-13.808531,10,0.0,12,6768.116496810787,0.0,-46392.836,0.0,1148363.9,526.7551,20397.362152517373,10,-69.94127486010062,20397.362152517373,6768.116496810786,-69.94127486010062,6768.116496810787,67960.18252062576,512000
32683.078801981967,nan,6444.541919349323,0.0,13,-15.021335,10,0.0,13,6444.5419193493235,0.0,-48805.824,0.0,1400061.8,724.4963,11462.38186084536,10,-25.80944248791271,11462.38186084536,6444.541919349323,-25.80944248791271,6444.5419193493235,32683.078801981967,536000
1757.3763651420052,nan,177.8520179699529,0.0,14,-15.71889,10,0.0,14,177.8520179699529,0.0,-54168.18,0.0,1721842.5,415.56555,528.1870001795306,10,-54.92313198934411,528.1870001795306,177.8520179699529,-54.92313198934411,177.8520179699529,1757.3763651420052,560000
56047.8954846263,nan,15883.514212496997,0.1,15,-15.895588,10,0.0,15,15883.514212496992,0.1,-56783.594,0.0,2194524.0,410.4487,24358.865107149744,10,-92.74204989050192,24358.865107149744,15883.514212496997,-92.74204989050192,15883.514212496992,56047.8954846263,584000
53695.10438057398,nan,11266.247140401963,0.1,16,-16.64443,10,0.0,16,11266.247140401963,0.1,-64003.29,0.0,2877800.8,399.585,18308.995801262892,10,-63.15803770418301,18308.995801262892,11266.247140401963,-63.15803770418301,11266.247140401963,53695.10438057398,608000
