MetaTrain/Average/PolicyLoss,MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTest/lever-pull-v1/MinReturn,MetaTest/Average/NumTrajs,MetaTest/lever-pull-v1/Iteration,MetaTest/lever-pull-v1/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,TotalEnvSteps,MetaTrain/Average/Alpha,MetaTest/Average/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/lever-pull-v1/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/lever-pull-v1/AverageReturn,MetaTest/lever-pull-v1/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/lever-pull-v1/AverageDiscountedReturn,MetaTest/lever-pull-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/lever-pull-v1/StdReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/ContrastiveLoss
-120.95501,14.775539,-8.903953369169944,-8.903953369169944,10,10,0.0,-6.625686107855974,10,464000,nan,1.0650707483617952,6.555524,0.0,-4.794991748890289,-6.625686107855974,10,0.0,-6.625686107855975,-4.794991748890289,-6.625686107855975,1.0650707483617952,0.0,7.7069983
-127.006004,16.11739,-9.010326751382808,-9.010326751382808,10,11,0.0,-6.502302355765482,11,488000,nan,1.5097544187519283,6.5408983,0.0,-4.28596020967292,-6.502302355765482,10,0.0,-6.502302355765482,-4.28596020967292,-6.502302355765482,1.5097544187519283,0.0,7.6808653
-132.21445,16.906038,-8.60220509145639,-8.60220509145639,10,12,0.0,-6.613722995514498,12,512000,nan,1.1043083693080498,6.52771,0.0,-5.17927293368393,-6.613722995514498,10,0.0,-6.613722995514496,-5.17927293368393,-6.613722995514496,1.1043083693080498,0.0,7.6738534
-138.23355,17.481256,-9.702383395681373,-9.702383395681373,10,13,0.0,-6.862130824019308,13,536000,nan,1.5902059354530542,6.518253,0.0,-4.798405997367884,-6.862130824019308,10,0.0,-6.86213082401931,-4.798405997367884,-6.86213082401931,1.5902059354530542,0.0,7.6625614
-142.05453,17.928295,-9.217944440177531,-9.217944440177531,10,14,0.0,-6.6869092389655265,14,560000,nan,1.265249540251059,6.5108037,0.0,-4.672721819135267,-6.6869092389655265,10,0.0,-6.686909238965528,-4.672721819135267,-6.686909238965528,1.265249540251059,0.0,7.674043
-145.09015,18.502695,-8.070134481095192,-8.070134481095192,10,15,0.0,-5.218048378477417,15,584000,nan,1.3104978791421396,6.503389,0.0,-3.376837206720363,-5.218048378477417,10,0.0,-5.218048378477417,-3.376837206720363,-5.218048378477417,1.3104978791421396,0.0,7.655387
-148.55222,18.614841,-8.809385714097884,-8.809385714097884,10,16,0.0,-6.155566679004325,16,608000,nan,1.4254546980216158,6.5020514,0.0,-4.205133275999097,-6.155566679004325,10,0.0,-6.155566679004323,-4.205133275999097,-6.155566679004323,1.4254546980216158,0.0,7.6525187
-151.5514,18.73461,-7.363306982307178,-7.363306982307178,10,17,0.0,-5.097858185411338,17,632000,nan,1.0913172907846969,6.499208,0.0,-3.0520743525021237,-5.097858185411338,10,0.0,-5.097858185411337,-3.0520743525021237,-5.097858185411337,1.0913172907846969,0.0,7.641328
-154.65733,18.800537,-10.083777911568104,-10.083777911568104,10,18,0.0,-6.006685357899662,18,656000,nan,2.220058600930626,6.499621,0.0,-3.110557896679291,-6.006685357899662,10,0.0,-6.006685357899661,-3.110557896679291,-6.006685357899661,2.220058600930626,0.0,7.642349
-157.23863,18.679348,-8.877981441833327,-8.877981441833327,10,19,0.0,-5.343132454531668,19,680000,nan,1.8103337300220672,6.499738,0.0,-2.9656430110332757,-5.343132454531668,10,0.0,-5.343132454531672,-2.9656430110332757,-5.343132454531672,1.8103337300220672,0.0,7.6350727
-159.73431,18.515413,-7.727374594591004,-7.727374594591004,10,20,0.0,-4.881883080491795,20,704000,nan,1.2960075433081264,6.502225,0.0,-3.4993761769514986,-4.881883080491795,10,0.0,-4.881883080491795,-3.4993761769514986,-4.881883080491795,1.2960075433081264,0.0,7.628919
-161.8189,18.527493,-9.03986323703632,-9.03986323703632,10,21,0.0,-6.00859214396259,21,728000,nan,1.869112009949898,6.503842,0.0,-3.757107209758481,-6.00859214396259,10,0.0,-6.00859214396259,-3.757107209758481,-6.00859214396259,1.869112009949898,0.0,7.627245
-163.68526,18.531096,-8.736795065878445,-8.736795065878445,10,22,0.0,-5.7063214952591,22,752000,nan,1.5331592348407994,6.5041003,0.0,-3.687736434192239,-5.7063214952591,10,0.0,-5.7063214952591,-3.687736434192239,-5.7063214952591,1.5331592348407994,0.0,7.628771
-165.5933,18.44546,-8.437252783202641,-8.437252783202641,10,23,0.0,-5.331241348225509,23,776000,nan,1.6402319992562762,6.5059724,0.0,-3.3797472279638274,-5.331241348225509,10,0.0,-5.331241348225511,-3.3797472279638274,-5.331241348225511,1.6402319992562762,0.0,7.62541
-167.30325,18.337027,-8.388286054351783,-8.388286054351783,10,24,0.0,-5.444997509522638,24,800000,nan,1.5195699222523136,6.507788,0.0,-3.4687988370353877,-5.444997509522638,10,0.0,-5.444997509522638,-3.4687988370353877,-5.444997509522638,1.5195699222523136,0.0,7.625056
-169.1594,18.28143,-7.182991666394622,-7.182991666394622,10,25,0.0,-5.331802977412725,25,824000,nan,1.282597713326911,6.50917,0.0,-3.8779487781598645,-5.331802977412725,10,0.0,-5.3318029774127265,-3.8779487781598645,-5.3318029774127265,1.282597713326911,0.0,7.624632
-170.98555,18.144238,-10.119734166333089,-10.119734166333089,10,26,0.0,-5.463304133685279,26,848000,nan,1.9151284242399456,6.511483,0.0,-3.183388409169294,-5.463304133685279,10,0.0,-5.463304133685279,-3.183388409169294,-5.463304133685279,1.9151284242399456,0.0,7.624632
-172.63818,17.92908,-8.66831208797159,-8.66831208797159,10,27,0.0,-5.607425482779854,27,872000,nan,2.1632174861123734,6.5142293,0.0,-3.0353335863824684,-5.607425482779854,10,0.0,-5.6074254827798535,-3.0353335863824684,-5.6074254827798535,2.1632174861123734,0.0,7.624632
-173.92053,17.892221,-8.086200132719801,-8.086200132719801,10,28,0.0,-5.723392601469578,28,896000,nan,1.4639913322204832,6.5161242,0.0,-3.9550616862095778,-5.723392601469578,10,0.0,-5.723392601469575,-3.9550616862095778,-5.723392601469575,1.4639913322204832,0.0,7.624632
-175.446,17.699635,-7.108198076656459,-7.108198076656459,10,29,0.0,-4.944908046253291,29,920000,nan,1.5104241739123148,6.5179477,0.0,-3.1542213356271467,-4.944908046253291,10,0.0,-4.944908046253289,-3.1542213356271467,-4.944908046253289,1.5104241739123148,0.0,7.624632
-176.73134,17.62869,-9.485885078245794,-9.485885078245794,10,30,0.0,-6.228157433185485,30,944000,nan,1.6216473278091752,6.5200634,0.0,-3.9406253970269547,-6.228157433185485,10,0.0,-6.228157433185486,-3.9406253970269547,-6.228157433185486,1.6216473278091752,0.0,7.624632
-177.92166,17.473198,-6.655548184817613,-6.655548184817613,10,31,0.0,-4.734547188172114,31,968000,nan,1.117381647052683,6.5203977,0.0,-3.145124212996423,-4.734547188172114,10,0.0,-4.734547188172116,-3.145124212996423,-4.734547188172116,1.117381647052683,0.0,7.624632
-179.19397,17.396618,-5.661319234565512,-5.661319234565512,10,32,0.0,-4.648673933699984,32,992000,nan,0.6138149987441095,6.521965,0.0,-3.683793781175909,-4.648673933699984,10,0.0,-4.648673933699984,-3.683793781175909,-4.648673933699984,0.6138149987441095,0.0,7.624632
-180.16824,17.39677,-6.397924859030746,-6.397924859030746,10,33,0.0,-4.373791041132786,33,1016000,nan,0.998380909740866,6.521885,0.0,-3.376018360410919,-4.373791041132786,10,0.0,-4.373791041132788,-3.376018360410919,-4.373791041132788,0.998380909740866,0.0,7.624632
-181.16428,17.23937,-6.934441417924723,-6.934441417924723,10,34,0.0,-4.175812288452693,34,1040000,nan,1.1311462487161026,6.5232716,0.0,-2.8801627429325616,-4.175812288452693,10,0.0,-4.175812288452692,-2.8801627429325616,-4.175812288452692,1.1311462487161026,0.0,7.624632
-182.18068,17.14842,-7.719399917640651,-7.719399917640651,10,35,0.0,-5.025729680845217,35,1064000,nan,1.5431104163320248,6.5258765,0.0,-3.34037673808985,-5.025729680845217,10,0.0,-5.025729680845217,-3.34037673808985,-5.025729680845217,1.5431104163320248,0.0,7.624632
-183.31747,17.064713,-7.879579549174617,-7.879579549174617,10,36,0.0,-5.2196388269327105,36,1088000,nan,1.703785247157757,6.527861,0.0,-2.9530663214970763,-5.2196388269327105,10,0.0,-5.219638826932712,-2.9530663214970763,-5.219638826932712,1.703785247157757,0.0,7.624632
-184.45631,16.819136,-7.015163342756814,-7.015163342756814,10,37,0.0,-4.414241308958419,37,1112000,nan,1.1859557187992142,6.52915,0.0,-3.0223662761209265,-4.414241308958419,10,0.0,-4.414241308958419,-3.0223662761209265,-4.414241308958419,1.1859557187992142,0.0,7.624632
-185.0619,16.870277,-7.702408128362116,-7.702408128362116,10,38,0.0,-4.80188952142384,38,1136000,nan,1.3344597405694576,6.5291777,0.0,-3.3529133374091673,-4.80188952142384,10,0.0,-4.801889521423841,-3.3529133374091673,-4.801889521423841,1.3344597405694576,0.0,7.624632
-185.79988,16.731121,-6.576669477296354,-6.576669477296354,10,39,0.0,-4.522354016423231,39,1160000,nan,1.1932542485785012,6.530988,0.0,-2.7340913739498616,-4.522354016423231,10,0.0,-4.52235401642323,-2.7340913739498616,-4.52235401642323,1.1932542485785012,0.0,7.624632
-186.38417,16.678387,-7.736354864788108,-7.736354864788108,10,40,0.0,-5.653026924054794,40,1184000,nan,1.4500977873574874,6.5321918,0.0,-3.4803581641784334,-5.653026924054794,10,0.0,-5.653026924054796,-3.4803581641784334,-5.653026924054796,1.4500977873574874,0.0,7.624632
-187.04982,16.565899,-7.14637097016234,-7.14637097016234,10,41,0.0,-4.645178514977248,41,1208000,nan,1.1998426790590229,6.532251,0.0,-2.8975161824680358,-4.645178514977248,10,0.0,-4.64517851497725,-2.8975161824680358,-4.64517851497725,1.1998426790590229,0.0,7.624632
-187.68849,16.526148,-6.741531484684773,-6.741531484684773,10,42,0.0,-4.913456304420329,42,1232000,nan,1.1745981667052816,6.5329094,0.0,-2.972328623939068,-4.913456304420329,10,0.0,-4.913456304420328,-2.972328623939068,-4.913456304420328,1.1745981667052816,0.0,7.624632
-188.49277,16.378359,-8.235083083237859,-8.235083083237859,10,43,0.0,-5.56557905049403,43,1256000,nan,1.5482030207489283,6.534074,0.0,-3.6949682161964295,-5.56557905049403,10,0.0,-5.565579050494028,-3.6949682161964295,-5.565579050494028,1.5482030207489283,0.0,7.624632
-189.05609,16.284204,-6.099009286194395,-6.099009286194395,10,44,0.0,-4.484197291425462,44,1280000,nan,1.1863414341254659,6.5349903,0.0,-2.7773598424558834,-4.484197291425462,10,0.0,-4.484197291425462,-2.7773598424558834,-4.484197291425462,1.1863414341254659,0.0,7.624632
-189.5645,16.258757,-6.782715141592776,-6.782715141592776,10,45,0.0,-4.124228630678409,45,1304000,nan,1.1739239338600496,6.5365047,0.0,-3.087230720461677,-4.124228630678409,10,0.0,-4.1242286306784095,-3.087230720461677,-4.1242286306784095,1.1739239338600496,0.0,7.624632
-190.07172,16.234524,-6.190268906276514,-6.190268906276514,10,46,0.0,-4.768439934657052,46,1328000,nan,0.9320669636711874,6.536393,0.0,-3.1678229508421665,-4.768439934657052,10,0.0,-4.768439934657053,-3.1678229508421665,-4.768439934657053,0.9320669636711874,0.0,7.624632
-190.7531,16.060076,-6.049419675801705,-6.049419675801705,10,47,0.0,-3.99202416011112,47,1352000,nan,0.9705182967419139,6.5377307,0.0,-2.801471084652667,-3.99202416011112,10,0.0,-3.99202416011112,-2.801471084652667,-3.99202416011112,0.9705182967419139,0.0,7.624632
-191.2016,16.054916,-7.011198870175006,-7.011198870175006,10,48,0.0,-4.890285458534232,48,1376000,nan,1.1153000896637886,6.537741,0.0,-3.126312895235247,-4.890285458534232,10,0.0,-4.890285458534232,-3.126312895235247,-4.890285458534232,1.1153000896637886,0.0,7.624632
-191.96901,16.022139,-5.950263416477029,-5.950263416477029,10,49,0.0,-4.1931952058319615,49,1400000,nan,0.9024376156688896,6.5387607,0.0,-2.8627443852875634,-4.1931952058319615,10,0.0,-4.1931952058319615,-2.8627443852875634,-4.1931952058319615,0.9024376156688896,0.0,7.624632
-192.45784,15.970771,-5.924741123108417,-5.924741123108417,10,50,0.0,-4.665451142408874,50,1424000,nan,0.7008776161324229,6.5389094,0.0,-3.6497970586587845,-4.665451142408874,10,0.0,-4.665451142408875,-3.6497970586587845,-4.665451142408875,0.7008776161324229,0.0,7.624632
-193.21951,15.9696045,-6.984949574690393,-6.984949574690393,10,51,0.0,-5.273895052384203,51,1448000,nan,0.9828510518046308,6.5413966,0.0,-4.003718904756431,-5.273895052384203,10,0.0,-5.273895052384203,-4.003718904756431,-5.273895052384203,0.9828510518046308,0.0,7.624632
-193.83147,15.870658,-5.128234536261402,-5.128234536261402,10,52,0.0,-4.435132889735366,52,1472000,nan,0.40943349644324706,6.541963,0.0,-3.9509000740614773,-4.435132889735366,10,0.0,-4.435132889735365,-3.9509000740614773,-4.435132889735365,0.40943349644324706,0.0,7.624632
-194.46886,15.8117895,-6.551643627753742,-6.551643627753742,10,53,0.0,-4.346125037326493,53,1496000,nan,0.9346837906522806,6.541137,0.0,-3.096889109026424,-4.346125037326493,10,0.0,-4.346125037326495,-3.096889109026424,-4.346125037326495,0.9346837906522806,0.0,7.624632
-195.07138,15.631704,-5.759602782809825,-5.759602782809825,10,54,0.0,-4.388801833135656,54,1520000,nan,0.8553812958531621,6.5430107,0.0,-3.2198843664004406,-4.388801833135656,10,0.0,-4.388801833135657,-3.2198843664004406,-4.388801833135657,0.8553812958531621,0.0,7.624632
-195.71526,15.574326,-6.96686976585413,-6.96686976585413,10,55,0.0,-5.020406324211826,55,1544000,nan,1.2660937417312441,6.5448337,0.0,-3.0536824014892394,-5.020406324211826,10,0.0,-5.020406324211824,-3.0536824014892394,-5.020406324211824,1.2660937417312441,0.0,7.624632
-196.40962,15.47133,-4.392374770950173,-4.392374770950173,10,56,0.0,-3.7278312248354473,56,1568000,nan,0.35180275082759066,6.5455685,0.0,-3.0393866212448843,-3.7278312248354473,10,0.0,-3.727831224835447,-3.0393866212448843,-3.727831224835447,0.35180275082759066,0.0,7.624632
-196.91153,15.495001,-6.074772740239106,-6.074772740239106,10,57,0.0,-5.158645855079963,57,1592000,nan,0.7389482286708513,6.5470867,0.0,-3.275256605161575,-5.158645855079963,10,0.0,-5.158645855079964,-3.275256605161575,-5.158645855079964,0.7389482286708513,0.0,7.624632
-197.38847,15.422725,-5.439719068983775,-5.439719068983775,10,58,0.0,-3.8429146791235667,58,1616000,nan,1.0487606983582165,6.548,0.0,-2.541400514199928,-3.8429146791235667,10,0.0,-3.8429146791235675,-2.541400514199928,-3.8429146791235675,1.0487606983582165,0.0,7.624632
-197.80324,15.25376,-5.386861196629586,-5.386861196629586,10,59,0.0,-3.951026925428386,59,1640000,nan,0.7548793217368664,6.5476055,0.0,-3.050758431960304,-3.951026925428386,10,0.0,-3.951026925428388,-3.050758431960304,-3.951026925428388,0.7548793217368664,0.0,7.624632
-198.28703,15.339389,-5.724060033476483,-5.724060033476483,10,60,0.0,-4.880651309141294,60,1664000,nan,0.9253800462994999,6.5489616,0.0,-3.226846441613396,-4.880651309141294,10,0.0,-4.880651309141293,-3.226846441613396,-4.880651309141293,0.9253800462994999,0.0,7.624632
-198.81274,15.271922,-6.0782827937235115,-6.0782827937235115,10,61,0.0,-4.5779054737581415,61,1688000,nan,0.9625494746710804,6.548923,0.0,-2.869837001161694,-4.5779054737581415,10,0.0,-4.5779054737581415,-2.869837001161694,-4.5779054737581415,0.9625494746710804,0.0,7.624632
-199.27777,15.11357,-5.805043338051344,-5.805043338051344,10,62,0.0,-4.853783377947215,62,1712000,nan,0.6288385793525169,6.549654,0.0,-3.6337998064384673,-4.853783377947215,10,0.0,-4.853783377947215,-3.6337998064384673,-4.853783377947215,0.6288385793525169,0.0,7.624632
-199.69354,15.153582,-6.998438851462145,-6.998438851462145,10,63,0.0,-5.246474540036266,63,1736000,nan,0.9785177041461504,6.5518374,0.0,-3.6155411579522734,-5.246474540036266,10,0.0,-5.246474540036264,-3.6155411579522734,-5.246474540036264,0.9785177041461504,0.0,7.624632
-200.16675,15.027713,-6.653831433427662,-6.653831433427662,10,64,0.0,-4.923892385638497,64,1760000,nan,1.1592385186964507,6.551825,0.0,-3.3459489921622523,-4.923892385638497,10,0.0,-4.923892385638496,-3.3459489921622523,-4.923892385638496,1.1592385186964507,0.0,7.624632
-200.64098,14.941164,-6.611549215965505,-6.611549215965505,10,65,0.0,-4.219357078934205,65,1784000,nan,1.1665735146331084,6.552828,0.0,-2.681375257214525,-4.219357078934205,10,0.0,-4.2193570789342045,-2.681375257214525,-4.2193570789342045,1.1665735146331084,0.0,7.624632
-201.00734,14.967609,-4.986242278166585,-4.986242278166585,10,66,0.0,-3.8635017462563988,66,1808000,nan,0.6106991056405141,6.5548983,0.0,-3.0939664734678654,-3.8635017462563988,10,0.0,-3.863501746256399,-3.0939664734678654,-3.863501746256399,0.6106991056405141,0.0,7.624632
-201.4389,14.839425,-7.0189385343403154,-7.0189385343403154,10,67,0.0,-4.919695539261938,67,1832000,nan,1.1510294258842917,6.5549984,0.0,-3.145582213584864,-4.919695539261938,10,0.0,-4.919695539261937,-3.145582213584864,-4.919695539261937,1.1510294258842917,0.0,7.624632
-201.80003,14.766482,-4.514514657545168,-4.514514657545168,10,68,0.0,-3.635589701502748,68,1856000,nan,0.4841997722134685,6.555791,0.0,-3.0613488166665945,-3.635589701502748,10,0.0,-3.6355897015027474,-3.0613488166665945,-3.6355897015027474,0.4841997722134685,0.0,7.624632
-202.22983,14.629078,-6.200020681553041,-6.200020681553041,10,69,0.0,-4.954311294730962,69,1880000,nan,0.727917830181722,6.556204,0.0,-3.6620123072226884,-4.954311294730962,10,0.0,-4.954311294730963,-3.6620123072226884,-4.954311294730963,0.727917830181722,0.0,7.624632
-202.60097,14.545283,-6.035988265706697,-6.035988265706697,10,70,0.0,-4.522314588244195,70,1904000,nan,0.7917707548867607,6.5574408,0.0,-3.485000106233118,-4.522314588244195,10,0.0,-4.522314588244194,-3.485000106233118,-4.522314588244194,0.7917707548867607,0.0,7.624632
-202.96631,14.461303,-5.262544937654637,-5.262544937654637,10,71,0.0,-4.4168541374679435,71,1928000,nan,0.6763060892973973,6.5588,0.0,-3.4106227784197,-4.4168541374679435,10,0.0,-4.416854137467944,-3.4106227784197,-4.416854137467944,0.6763060892973973,0.0,7.624632
-203.23029,14.594028,-5.405498523779939,-5.405498523779939,10,72,0.0,-3.9106179457828922,72,1952000,nan,0.7915106457302704,6.5597034,0.0,-2.9075743337333764,-3.9106179457828922,10,0.0,-3.9106179457828913,-2.9075743337333764,-3.9106179457828913,0.7915106457302704,0.0,7.624632
-203.61281,14.230174,-5.662690997188209,-5.662690997188209,10,73,0.0,-4.72690427470143,73,1976000,nan,0.6018012222257803,6.560173,0.0,-3.738148652354875,-4.72690427470143,10,0.0,-4.726904274701431,-3.738148652354875,-4.726904274701431,0.6018012222257803,0.0,7.624632
-203.98209,14.252424,-6.347480543455258,-6.347480543455258,10,74,0.0,-4.023218586912342,74,2000000,nan,1.1114280075338492,6.562258,0.0,-2.7139292268308988,-4.023218586912342,10,0.0,-4.023218586912343,-2.7139292268308988,-4.023218586912343,1.1114280075338492,0.0,7.624632
-204.25728,14.310446,-6.315900456218923,-6.315900456218923,10,75,0.0,-4.440055563950583,75,2024000,nan,0.9649546392137969,6.561624,0.0,-2.9455478095270275,-4.440055563950583,10,0.0,-4.440055563950583,-2.9455478095270275,-4.440055563950583,0.9649546392137969,0.0,7.624632
-204.5554,14.151748,-6.235235687949695,-6.235235687949695,10,76,0.0,-4.488192862033683,76,2048000,nan,0.9809238245913982,6.5622773,0.0,-2.7082911557374896,-4.488192862033683,10,0.0,-4.488192862033683,-2.7082911557374896,-4.488192862033683,0.9809238245913982,0.0,7.624632
-204.86435,14.140074,-4.887360016231506,-4.887360016231506,10,77,0.0,-3.948193407204028,77,2072000,nan,0.650675144862202,6.5639024,0.0,-2.9264757335350557,-3.948193407204028,10,0.0,-3.948193407204029,-2.9264757335350557,-3.948193407204029,0.650675144862202,0.0,7.624632
-205.08498,14.183416,-6.123482423638657,-6.123482423638657,10,78,0.0,-4.7067120332291825,78,2096000,nan,1.0643073216421715,6.564817,0.0,-3.225178159160462,-4.7067120332291825,10,0.0,-4.7067120332291825,-3.225178159160462,-4.7067120332291825,1.0643073216421715,0.0,7.624632
-205.39041,14.154001,-5.898743017083022,-5.898743017083022,10,79,0.0,-4.450227454519955,79,2120000,nan,0.7528094457072851,6.564429,0.0,-3.3862991938729237,-4.450227454519955,10,0.0,-4.450227454519954,-3.3862991938729237,-4.450227454519954,0.7528094457072851,0.0,7.624632
-205.64267,14.094432,-5.783900743156984,-5.783900743156984,10,80,0.0,-4.679275006712447,80,2144000,nan,0.885120729806199,6.5645857,0.0,-3.125965822393858,-4.679275006712447,10,0.0,-4.679275006712449,-3.125965822393858,-4.679275006712449,0.885120729806199,0.0,7.624632
-206.01439,14.011773,-5.905069362381461,-5.905069362381461,10,81,0.0,-4.84098204210427,81,2168000,nan,0.7739614779138089,6.5653477,0.0,-3.7263644026460496,-4.84098204210427,10,0.0,-4.840982042104269,-3.7263644026460496,-4.840982042104269,0.7739614779138089,0.0,7.624632
-206.30162,13.926797,-5.114809073478923,-5.114809073478923,10,82,0.0,-4.135975205255084,82,2192000,nan,0.8693103478081803,6.5675383,0.0,-2.877681578687841,-4.135975205255084,10,0.0,-4.135975205255084,-2.877681578687841,-4.135975205255084,0.8693103478081803,0.0,7.624632
-206.58362,13.8569,-5.693297411673591,-5.693297411673591,10,83,0.0,-4.14287926224794,83,2216000,nan,0.7507720092184113,6.5678663,0.0,-3.102619071004894,-4.14287926224794,10,0.0,-4.142879262247939,-3.102619071004894,-4.142879262247939,0.7507720092184113,0.0,7.624632
-206.83658,13.900175,-5.613829300401537,-5.613829300401537,10,84,0.0,-3.9306639398551377,84,2240000,nan,0.7728999355180871,6.568462,0.0,-3.0060876167173904,-3.9306639398551377,10,0.0,-3.9306639398551377,-3.0060876167173904,-3.9306639398551377,0.7728999355180871,0.0,7.624632
-207.17653,13.747838,-5.575326481096492,-5.575326481096492,10,85,0.0,-4.129642338160648,85,2264000,nan,0.8836277611897208,6.5693674,0.0,-2.8508407871277592,-4.129642338160648,10,0.0,-4.1296423381606475,-2.8508407871277592,-4.1296423381606475,0.8836277611897208,0.0,7.624632
-207.42337,13.6758,-5.787810698101982,-5.787810698101982,10,86,0.0,-3.9609154803505744,86,2288000,nan,0.7623695003455371,6.5712547,0.0,-3.1288323658177473,-3.9609154803505744,10,0.0,-3.9609154803505744,-3.1288323658177473,-3.9609154803505744,0.7623695003455371,0.0,7.624632
-207.65157,13.766855,-5.134995547582496,-5.134995547582496,10,87,0.0,-4.0448588025625325,87,2312000,nan,0.7664415233238396,6.571259,0.0,-3.073235804984274,-4.0448588025625325,10,0.0,-4.0448588025625325,-3.073235804984274,-4.0448588025625325,0.7664415233238396,0.0,7.624632
-207.87216,13.687625,-6.405777251067829,-6.405777251067829,10,88,0.0,-4.364959071821168,88,2336000,nan,0.9991890517014974,6.5715585,0.0,-3.102150173542271,-4.364959071821168,10,0.0,-4.3649590718211675,-3.102150173542271,-4.3649590718211675,0.9991890517014974,0.0,7.624632
-208.12712,13.622164,-6.10791308399402,-6.10791308399402,10,89,0.0,-4.456054092207326,89,2360000,nan,1.0448632576703696,6.572105,0.0,-3.088596503482866,-4.456054092207326,10,0.0,-4.456054092207326,-3.088596503482866,-4.456054092207326,1.0448632576703696,0.0,7.624632
-208.34619,13.584263,-5.6888921678758795,-5.6888921678758795,10,90,0.0,-4.360062630653426,90,2384000,nan,0.8495386255683526,6.5731277,0.0,-3.2396264716938483,-4.360062630653426,10,0.0,-4.360062630653428,-3.2396264716938483,-4.360062630653428,0.8495386255683526,0.0,7.624632
