MetaTrain/Average/AlphaLoss,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,MetaTest/sweep-into-v1/Iteration,MetaTrain/Average/ContrastiveLoss,MetaTest/sweep-into-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/sweep-into-v1/NumEpisodes,MetaTest/Average/MaxReturn,MetaTrain/Average/QfLoss,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/sweep-into-v1/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/sweep-into-v1/MinReturn,MetaTest/sweep-into-v1/AverageReturn,TotalEnvSteps,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn,MetaTest/sweep-into-v1/MaxReturn,MetaTest/sweep-into-v1/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/sweep-into-v1/TerminationRate,MetaTrain/Average/Alpha
6.26373,0.0,-47.05748286663781,0,8.478328,13.846454924455305,-27.70192270292451,10,9.570099199609478,0.38795745,0,0.0,0.0,-27.70192270292451,-47.05748286663781,-27.70192270292451,56000,-1.4084885,13.846454924455305,9.570099199609478,-27.70192270292451,10,0.0,0.93038553
5.4417005,0.0,-55.026798382066744,1,7.765369,22.6221276428326,-30.27226482744094,10,32.19947247287881,0.8250223,1,0.0,0.0,-30.27226482744094,-55.026798382066744,-30.27226482744094,62000,1.5014141,22.6221276428326,32.19947247287881,-30.27226482744094,10,0.0,0.8084619
4.631473,0.0,-90.6397289026131,2,51.00826,57.41713731095364,-29.04490427590033,10,136.02160342148466,856.615,2,0.0,0.0,-29.044904275900336,-90.6397289026131,-29.04490427590033,68000,5.7551017,57.41713731095364,136.02160342148466,-29.044904275900336,10,0.0,0.70717597
2.5940242,0.0,-117.40440737603764,3,20.565828,7.74499184428507,-105.53111335708113,10,-91.03868565354198,26373.492,3,0.0,0.0,-105.53111335708113,-117.40440737603764,-105.53111335708113,74000,-24.032663,7.74499184428507,-91.03868565354198,-105.53111335708113,10,0.0,0.6357312
1.5195911,0.0,-94.10612095229955,4,122.08646,21.86620036274692,-77.29647154643564,10,-14.672966191906522,24345.137,4,0.0,0.0,-77.29647154643564,-94.10612095229955,-77.29647154643564,80000,-111.230606,21.86620036274692,-14.672966191906522,-77.29647154643564,10,0.0,0.58155173
-0.084468216,0.0,-106.74414611106447,5,299.70697,8.343106092521223,-94.76785242144432,10,-80.11528380495781,32663.244,5,0.0,0.0,-94.76785242144433,-106.74414611106447,-94.76785242144432,86000,-522.1155,8.343106092521223,-80.11528380495781,-94.76785242144433,10,0.0,0.5602005
-4.02646,0.0,-80.34619338924186,6,185.14069,12.346162679357919,-54.13274497195705,10,-37.92183953892712,26911.771,6,0.0,0.0,-54.13274497195705,-80.34619338924186,-54.13274497195705,92000,-1125.5858,12.346162679357919,-37.92183953892712,-54.13274497195705,10,0.0,0.6275319
-5.299601,0.0,-81.94926089905985,7,110.42745,11.150263587141483,-56.87509876363872,10,-42.758673716245546,46765.26,7,0.0,0.0,-56.87509876363871,-81.94926089905985,-56.87509876363872,98000,-1755.4014,11.150263587141483,-42.758673716245546,-56.87509876363871,10,0.0,0.76671106
-4.203327,0.0,-62.19271461626058,8,303.90805,52.175146500099416,-35.416645734250935,10,120.3566894076417,59546.4,8,0.0,0.0,-35.41664573425092,-62.19271461626058,-35.416645734250935,104000,-1566.8239,52.175146500099416,120.3566894076417,-35.41664573425092,10,0.0,0.8920058
-0.983217,0.0,-88.41060695905755,9,467.633,95.9656924288025,-28.378239564501467,10,257.81874419861293,80326.22,9,0.0,0.0,-28.37823956450149,-88.41060695905755,-28.378239564501467,110000,-1535.682,95.9656924288025,257.81874419861293,-28.37823956450149,10,0.0,0.9664326
