MetaTest/Average/NumTrajs,MetaTest/stick-pull-v1/Iteration,MetaTest/Average/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/stick-pull-v1/SuccessRate,MetaTest/stick-pull-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/Iteration,MetaTest/stick-pull-v1/TerminationRate,MetaTrain/Average/ContrastiveLoss,MetaTest/stick-pull-v1/MinReturn,MetaTest/stick-pull-v1/NumTrajs,MetaTest/stick-pull-v1/AverageReturn,MetaTrain/Average/QfLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/stick-pull-v1/StdReturn,TotalEnvSteps,MetaTrain/Average/Alpha,MetaTest/Average/TerminationRate,MetaTest/stick-pull-v1/MaxReturn,MetaTest/Average/StdReturn,MetaTest/Average/MinReturn
10,0,0.0,6.7317376,0.0,-22.393585418293455,-22.39358541829347,-19.460265728150958,-13.16684,0,0.0,8.591765,-28.1346926929163,10,-22.39358541829347,2.603281,-22.393585418293455,2.398928255015128,224000,nan,0.0,-19.460265728150958,2.398928255015128,-28.1346926929163
10,1,0.0,6.7248626,0.0,-13.349725788921404,-13.349725788921404,-9.989518172479205,-28.235683,1,0.0,8.270054,-16.775552966630386,10,-13.349725788921404,3.820468,-13.349725788921404,1.9095555934695703,248000,nan,0.0,-9.989518172479205,1.9095555934695703,-16.775552966630386
10,2,0.0,6.709295,0.0,-10.762191232112459,-10.76219123211246,-7.9032793315236685,-39.211304,2,0.0,7.770912,-13.834953858762555,10,-10.76219123211246,4.3821745,-10.762191232112459,1.8559629913743039,272000,nan,0.0,-7.9032793315236685,1.8559629913743039,-13.834953858762555
10,3,0.0,6.6847954,0.0,-9.49440365888414,-9.494403658884139,-7.364013433271238,-51.252563,3,0.0,8.119489,-12.278637476132896,10,-9.494403658884139,6.8527045,-9.49440365888414,1.5241364264098856,296000,nan,0.0,-7.364013433271238,1.5241364264098856,-12.278637476132896
10,4,0.0,6.6545753,0.0,-7.143730196016547,-7.143730196016547,-5.6610192807134725,-63.12762,4,0.0,7.731166,-9.138013004548945,10,-7.143730196016547,8.611187,-7.143730196016547,1.0827047155872918,320000,nan,0.0,-5.6610192807134725,1.0827047155872918,-9.138013004548945
10,5,0.0,6.616636,0.0,-7.18373656813462,-7.18373656813462,-5.540097389066653,-76.40844,5,0.0,7.609088,-10.791263261782733,10,-7.18373656813462,42.31567,-7.18373656813462,1.4803517206998575,344000,nan,0.0,-5.540097389066653,1.4803517206998575,-10.791263261782733
10,6,0.0,6.5698423,0.0,-7.419559457688356,-7.419559457688356,-5.491202816944585,-91.09817,6,0.0,7.626047,-10.849052757855453,10,-7.419559457688356,129.88472,-7.419559457688356,1.6727561312047032,368000,nan,0.0,-5.491202816944585,1.6727561312047032,-10.849052757855453
10,7,0.0,6.5064807,0.0,-13.013902172858181,-13.013902172858181,-8.625914005098833,-104.42438,7,0.0,7.510511,-16.009411824232576,10,-13.013902172858181,151.91359,-13.013902172858181,2.517088907373534,392000,nan,0.0,-8.625914005098833,2.517088907373534,-16.009411824232576
10,8,0.0,6.4412174,0.0,-14.29971145437274,-14.299711454372737,-8.911284445983076,-113.52339,8,0.0,7.76976,-18.10208121902986,10,-14.299711454372737,162.07132,-14.29971145437274,3.556433395755997,416000,nan,0.0,-8.911284445983076,3.556433395755997,-18.10208121902986
10,9,0.0,6.375296,0.0,-13.75392586043092,-13.75392586043092,-8.824223649962097,-118.695335,9,0.0,7.704175,-16.759538428840973,10,-13.75392586043092,234.59468,-13.75392586043092,2.8522882999536328,440000,nan,0.0,-8.824223649962097,2.8522882999536328,-16.759538428840973
