MetaTest/window-close-v1/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/window-close-v1/AverageReturn,MetaTest/window-close-v1/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/window-close-v1/MaxReturn,MetaTest/window-close-v1/StdReturn,TotalEnvSteps,MetaTest/window-close-v1/SuccessRate,MetaTest/window-close-v1/NumTrajs,MetaTest/Average/NumTrajs,MetaTest/window-close-v1/TerminationRate,MetaTest/window-close-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn
-18.519923380136174,-12.146396044690556,0,-18.519923380136174,-18.51992338013617,0,4.790265256759012,0.0,0.0,-12.146396044690556,4.790265256759012,224000,0.0,10,10,0.0,-26.65169559997812,-18.51992338013617,-26.65169559997812
138.06350089938306,1158.8943732413773,1,138.06350089938306,138.06350089938314,1,380.5592916006943,0.0,0.0,1158.8943732413773,380.5592916006943,248000,0.0,10,10,0.0,-65.03181360800671,138.06350089938314,-65.03181360800671
915.804709673125,3311.356068842962,2,915.804709673125,915.8047096731254,2,1254.1561460034734,0.0,0.0,3311.356068842962,1254.1561460034734,272000,0.0,10,10,0.0,-41.91074024235092,915.8047096731254,-41.91074024235092
4102.187415638309,6670.343242116508,3,4102.187415638309,4102.187415638309,3,2431.9038075409203,0.0,0.0,6670.343242116508,2431.9038075409203,296000,0.0,10,10,0.0,-17.936003817259156,4102.187415638309,-17.936003817259156
130.5547056309988,948.538324152288,4,130.5547056309988,130.5547056309988,4,310.12497248857954,0.0,0.0,948.538324152288,310.12497248857954,320000,0.0,10,10,0.0,-16.900117156305026,130.5547056309988,-16.900117156305026
1318.977456216782,2732.0976897678074,5,1318.977456216782,1318.9774562167822,5,1069.3788109986206,0.0,0.0,2732.0976897678074,1069.3788109986206,344000,0.0,10,10,0.0,-15.30801831645373,1318.9774562167822,-15.30801831645373
1373.3700478812627,4231.256100304994,6,1373.3700478812627,1373.370047881263,6,1543.0223063770495,0.0,0.0,4231.256100304994,1543.0223063770495,368000,0.0,10,10,0.0,-22.59813897762179,1373.370047881263,-22.59813897762179
1637.1718357930217,4688.113331640629,7,1637.1718357930217,1637.1718357930217,7,1605.891810966679,0.0,0.0,4688.113331640629,1605.891810966679,392000,0.0,10,10,0.0,-20.90086882106405,1637.1718357930217,-20.90086882106405
5087.215281654162,16870.947047872596,8,5087.215281654162,5087.215281654164,8,5144.87315461305,0.0,0.0,16870.947047872596,5144.87315461305,416000,0.0,10,10,0.0,-15.271557913553632,5087.215281654164,-15.271557913553632
3106.2871028814343,8470.70103613527,9,3106.2871028814343,3106.287102881436,9,2243.173754312368,0.0,0.0,8470.70103613527,2243.173754312368,440000,0.0,10,10,0.0,-19.239415243858375,3106.287102881436,-19.239415243858375
4077.628129769978,21251.454723198727,10,4077.628129769978,4077.628129769979,10,6037.462822080795,0.0,0.0,21251.454723198727,6037.462822080795,464000,0.0,10,10,0.0,-25.11856245328744,4077.628129769979,-25.11856245328744
6349.936296651342,15580.371279412675,11,6349.936296651342,6349.936296651342,11,4252.475678281178,0.0,0.0,15580.371279412675,4252.475678281178,488000,0.0,10,10,0.0,-11.410416689849317,6349.936296651342,-11.410416689849317
9145.321535359004,16529.635960917505,12,9145.321535359004,9145.321535359004,12,4528.622231132821,0.0,0.0,16529.635960917505,4528.622231132821,512000,0.0,10,10,0.0,3157.471080367748,9145.321535359004,3157.471080367748
5969.243971302389,10774.074218974518,13,5969.243971302389,5969.243971302387,13,2287.3717786667194,0.0,0.0,10774.074218974518,2287.3717786667194,536000,0.0,10,10,0.0,3313.530128445144,5969.243971302387,3313.530128445144
7213.515779819861,10607.514153712518,14,7213.515779819861,7213.515779819861,14,2133.285490895627,0.0,0.0,10607.514153712518,2133.285490895627,560000,0.0,10,10,0.0,3808.93996816778,7213.515779819861,3808.93996816778
8036.776000047027,12866.313605424488,15,8036.776000047027,8036.77600004703,15,3319.844199709578,0.0,0.0,12866.313605424488,3319.844199709578,584000,0.0,10,10,0.0,3425.0234365952488,8036.77600004703,3425.0234365952488
7458.498703567486,9153.043184441902,16,7458.498703567486,7458.498703567488,16,948.2588034948969,0.0,0.0,9153.043184441902,948.2588034948969,608000,0.0,10,10,0.0,6061.173800846884,7458.498703567488,6061.173800846884
