pick-place-v1/MinReturn,pick-place-v1/NumEpisodes,TotalEnvSteps,Average/NumEpisodes,policy/LossBefore,MetaTest/Average/AverageDiscountedReturn,policy/Entropy,pick-place-v1/AverageReturn,MetaTest/pick-place-v1/MinReturn,policy/LossAfter,MetaTest/pick-place-v1/AverageReturn,MetaTest/Average/NumEpisodes,Average/StdReturn,MetaTest/Average/AverageReturn,pick-place-v1/Iteration,pick-place-v1/SuccessRate,Average/TerminationRate,MetaTest/pick-place-v1/TerminationRate,pick-place-v1/AverageDiscountedReturn,MetaTest/pick-place-v1/SuccessRate,MetaTest/pick-place-v1/AverageDiscountedReturn,MetaTest/pick-place-v1/StdReturn,MetaTest/Average/StdReturn,Average/Iteration,pick-place-v1/StdReturn,Average/AverageDiscountedReturn,Average/MinReturn,MetaTest/Average/TerminationRate,pick-place-v1/MaxReturn,MetaTest/Average/MinReturn,policy/dLoss,MetaTest/Average/Iteration,MetaTest/pick-place-v1/NumEpisodes,policy/KLBefore,pick-place-v1/TerminationRate,MetaTest/pick-place-v1/MaxReturn,LinearFeatureBaseline/ExplainedVariance,MetaTest/pick-place-v1/Iteration,Average/AverageReturn,Average/MaxReturn,policy/KL,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,Average/SuccessRate
-100.32541063450446,100,20000,100,-0.02686336,-64.01776512639586,5.682357,-65.02003639737698,-97.03940855636846,-0.05810995,-64.01776512639583,10,16.507141566451228,-64.01776512639583,0,0.0,0.0,0.0,-22.910947413053773,0.0,-64.01776512639586,15.468510166790857,15.468510166790857,0,16.507141566451228,-22.910947413053773,-100.32541063450446,0.0,-30.424700446283094,-97.03940855636846,0.03124659,0,10,0.0,0.0,-40.41838332130557,0.40306623378146444,0,-65.02003639737698,-30.424700446283094,0.0057323454,0.0,-40.41838332130557,0.0
-119.74093570054188,100,40000,100,-0.008730127,,5.677865,-56.511036636162515,,-0.025389941,,,16.449435376436046,,1,0.0,0.0,,-20.723171941347456,,,,,1,16.449435376436046,-20.723171941347456,-119.74093570054188,,-25.91048692951117,,0.016659815,,,0.0,0.0,,0.3738307399771562,,-56.511036636162515,-25.91048692951117,0.010013281,,,0.0
-81.58419749953018,100,60000,100,0.0070560426,,5.6728463,-45.54314688834506,,-0.0008695732,,,13.368696392832202,,2,0.0,0.0,,-17.821475020881017,,,,,2,13.368696392832202,-17.821475020881017,-81.58419749953018,,-24.805849673816194,,0.007925616,,,0.0,0.0,,0.3435522187478437,,-45.54314688834506,-24.805849673816194,0.010091137,,,0.0
-97.14137982958722,100,80000,100,-0.014119328,,5.6811557,-50.4781247109486,,-0.031128015,,,14.297152379424913,,3,0.0,0.0,,-18.553568627370943,,,,,3,14.297152379424913,-18.553568627370943,-97.14137982958722,,-28.584311278452784,,0.017008688,,,0.0,0.0,,0.42219998743553666,,-50.4781247109486,-28.584311278452784,0.0126541555,,,0.0
-82.38504976821706,100,100000,100,0.00053555606,,5.687419,-43.37424194780126,,-0.018204559,,,16.81148505044741,,4,0.0,0.0,,-16.87420484312835,,,,,4,16.81148505044741,-16.87420484312835,-82.38504976821706,,14.438586774339399,,0.018740114,,,0.0,0.0,,0.34928567191894366,,-43.37424194780126,14.438586774339399,0.008842139,,,0.0
-87.06614774726151,100,120000,100,-0.023570267,,5.673101,-41.547977931599725,,-0.02660697,,,13.671612681500482,,5,0.0,0.0,,-16.332933587703025,,,,,5,13.671612681500482,-16.332933587703025,-87.06614774726151,,-15.923053392469509,,0.003036702,,,0.0,0.0,,0.5473657276734325,,-41.547977931599725,-15.923053392469509,0.0067917556,,,0.0
-62.78294607929058,100,140000,100,-0.0031960572,,5.648989,-40.878930724992905,,-0.0050789034,,,10.500832060858318,,6,0.0,0.0,,-16.271746240336263,,,,,6,10.500832060858318,-16.271746240336263,-62.78294607929058,,16.626272237849527,,0.0018828462,,,0.0,0.0,,0.3958615130417614,,-40.878930724992905,16.626272237849527,0.009428758,,,0.0
-78.4303033251389,100,160000,100,-0.0051549096,,5.6278768,-40.89691560287624,,-0.013816389,,,11.869714727187429,,7,0.0,0.0,,-16.207405147335127,,,,,7,11.869714727187429,-16.207405147335127,-78.4303033251389,,-25.983069166026834,,0.00866148,,,0.0,0.0,,0.37910035962705735,,-40.89691560287624,-25.983069166026834,0.016997082,,,0.0
-78.60359256428134,100,180000,100,-0.01560938,,5.6254354,-44.472005764476634,,-0.032021437,,,11.886997635853303,,8,0.0,0.0,,-16.476011972241846,,,,,8,11.886997635853303,-16.476011972241846,-78.60359256428134,,-24.73177734784926,,0.016412057,,,0.0,0.0,,0.4218272069558535,,-44.472005764476634,-24.73177734784926,0.017761374,,,0.0
-95.21379131939513,100,200000,100,-0.0004998947,,5.622556,-41.213006228413704,,-0.016957203,,,15.417284297077318,,9,0.0,0.0,,-16.837069454580288,,,,,9,15.417284297077318,-16.837069454580288,-95.21379131939513,,17.29135475196218,,0.016457308,,,0.0,0.0,,0.49932618818485697,,-41.213006228413704,17.29135475196218,0.015409445,,,0.0
