plate-slide-v1/Iteration,plate-slide-v1/StdReturn,GaussianMLPPolicy/KLBefore,TotalEnvSteps,MetaTest/plate-slide-v1/AverageDiscountedReturn,plate-slide-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,GaussianMLPPolicy/KLAfter,Average/NumEpisodes,GaussianMLPPolicy/LossBefore,MetaTest/plate-slide-v1/MinReturn,MetaTest/Average/StdReturn,plate-slide-v1/MinReturn,Average/SuccessRate,plate-slide-v1/NumEpisodes,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/plate-slide-v1/MaxReturn,plate-slide-v1/MaxReturn,MetaTest/Average/NumEpisodes,GaussianMLPPolicy/LossAfter,Average/StdReturn,MetaTest/Average/Iteration,plate-slide-v1/TerminationRate,Iteration,plate-slide-v1/SuccessRate,MetaTest/plate-slide-v1/StdReturn,MetaTest/plate-slide-v1/NumEpisodes,Average/Iteration,Average/MaxReturn,MetaTest/plate-slide-v1/AverageReturn,Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/plate-slide-v1/Iteration,plate-slide-v1/AverageReturn,Average/AverageDiscountedReturn,MetaTest/plate-slide-v1/TerminationRate,GaussianMLPPolicy/Entropy,MetaTest/Average/MaxReturn,MetaTest/plate-slide-v1/SuccessRate,MetaTest/Average/TerminationRate,GaussianMLPPolicy/dLoss,Average/MinReturn,Average/TerminationRate
12,8161.252041507618,0.0,1040000,,1315.9104590003885,,0.00012052117381244898,200,-7.883814760134555e-06,,,-46.068681365010995,0.02,200,,,,38161.507727349155,,-8.055553735175636e-06,8161.252041507618,,0.0,12,0.02,,,12,38161.507727349155,,4935.625023442001,,,4935.625023442001,1315.9104590003885,,5.6600751876831055,,,,1.7173897504108027e-07,-46.068681365010995,0.0
13,11526.278642413557,0.0,1120000,,1598.8155448380858,,0.00041393059655092657,200,-5.66517564948299e-06,,,-39.674861603243315,0.02,200,,,,79487.14732424614,,-6.263111572479829e-06,11526.278642413557,,0.0,13,0.02,,,13,79487.14732424614,,6175.289894372741,,,6175.289894372741,1598.8155448380858,,5.650163173675537,,,,5.979359229968395e-07,-39.674861603243315,0.0
14,9914.368091748085,0.0,1200000,,1474.0367924335017,,0.002779566217213869,200,5.0880487833637744e-05,,,-39.30893588444542,0.02,200,,,,57174.37185546079,,4.590967364492826e-05,9914.368091748085,,0.0,14,0.02,,,14,57174.37185546079,,5990.156647459004,,,5990.156647459004,1474.0367924335017,,5.711175918579102,,,,4.9708141887094826e-06,-39.30893588444542,0.0
15,10265.368250445481,0.0,1280000,,1682.9044667871722,,6.881428271299228e-05,200,6.73403803830297e-07,,,-41.57460963167843,0.025,200,,,,61102.40677622815,,5.758220709140005e-07,10265.368250445481,,0.0,15,0.025,,,15,61102.40677622815,,6327.468282285582,,,6327.468282285582,1682.9044667871722,,5.711736679077148,,,,9.758173291629646e-08,-41.57460963167843,0.0
16,11117.97812825455,0.0,1360000,,1724.8452766190185,,8.802551019471139e-05,200,6.424789944503573e-07,,,-55.499889477080345,0.02,200,,,,71195.32750895974,,5.174497346160933e-07,11117.97812825455,,0.0,16,0.02,,,16,71195.32750895974,,6640.139973237518,,,6640.139973237518,1724.8452766190185,,5.7124786376953125,,,,1.2502925983426394e-07,-55.499889477080345,0.0
17,7922.260051495818,0.0,1440000,,1348.7191576372775,,3.857401679852046e-05,200,9.524701454211026e-07,,,-43.21181130549869,0.0,200,,,,42867.50547988901,,8.978213372756727e-07,7922.260051495818,,0.0,17,0.0,,,17,42867.50547988901,,5131.583547485849,,,5131.583547485849,1348.7191576372775,,5.713033676147461,,,,5.464880814542994e-08,-43.21181130549869,0.0
18,10395.730563373609,0.0,1520000,,1728.696310813735,,0.0009404724696651101,200,-1.4347776868817164e-06,,,-45.38394040575311,0.015,200,,,,49086.80394477466,,-2.836927251337329e-06,10395.730563373609,,0.0,18,0.015,,,18,49086.80394477466,,6572.801455294394,,,6572.801455294394,1728.696310813735,,5.7108025550842285,,,,1.4021495644556126e-06,-45.38394040575311,0.0
19,10440.57558959435,0.0,1600000,,1661.938557490771,,5.5197597248479724e-05,200,-1.0463962780704605e-06,,,-48.324733915508325,0.025,200,,,,50417.39814133373,,-1.124581103795208e-06,10440.57558959435,,0.0,19,0.025,,,19,50417.39814133373,,6316.714864394951,,,6316.714864394951,1661.938557490771,,5.709937572479248,,,,7.81848257247475e-08,-48.324733915508325,0.0
20,10751.369302018486,0.0,1680000,2158.598130001092,1989.4794323145516,-30.83053073690376,3.3907337638083845e-05,200,-1.9092906313744606e-06,-30.83053073690376,4145.499678456506,-41.07668927177635,0.025,200,0.1,2158.598130001092,13766.10249511611,48321.22207814529,10,-1.9573330973798875e-06,10751.369302018486,2,0.0,20,0.025,4145.499678456506,10,20,48321.22207814529,2158.598130001092,6937.729726392548,2158.598130001092,2,6937.729726392548,1989.4794323145516,0.0,5.708353519439697,13766.10249511611,0.1,0.0,4.804246600542683e-08,-41.07668927177635,0.0
21,9682.81984279742,0.0,1760000,,1564.2636339592725,,4.0872793761081994e-05,200,-3.255449598782434e-07,,,-42.81845492897848,0.03,200,,,,44885.4463204546,,-3.8344569475157186e-07,9682.81984279742,,0.0,21,0.03,,,21,44885.4463204546,,6086.553297635925,,,6086.553297635925,1564.2636339592725,,5.7080841064453125,,,,5.7900734873328474e-08,-42.81845492897848,0.0
