MetaTrain/Average/Alpha,MetaTest/hammer-v1/AverageDiscountedReturn,MetaTest/hammer-v1/TerminationRate,TotalEnvSteps,MetaTest/hammer-v1/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/hammer-v1/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/Iteration,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/PolicyLoss,MetaTest/Average/MinReturn,MetaTest/Average/AverageReturn,MetaTest/hammer-v1/MinReturn,MetaTest/hammer-v1/MaxReturn,MetaTest/hammer-v1/Iteration,MetaTest/hammer-v1/SuccessRate,MetaTest/hammer-v1/AverageReturn,MetaTest/Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/QfLoss
nan,-19.84677737267571,0.0,224000,10,0.0,3.3912153547957007,6.730283,0,8.549611,-4.7800403,-23.948782476235824,-19.84677737267571,-23.948782476235824,-12.983849765807086,0,0.0,-19.84677737267571,3.3912153547957007,-19.84677737267571,10,-12.983849765807086,0.0,1.234771
nan,-16.761516128162434,0.0,248000,10,0.0,4.126410760644029,6.7198067,1,8.020632,-7.3941154,-24.04252757076764,-16.761516128162434,-24.04252757076764,-11.612721662824855,1,0.0,-16.761516128162434,4.126410760644029,-16.761516128162434,10,-11.612721662824855,0.0,3.0215724
nan,-12.092957462358317,0.0,272000,10,0.0,1.2576447680281537,6.7035775,2,9.930701,-12.0006075,-14.644349273079833,-12.092957462358319,-14.644349273079833,-9.69881702040071,2,0.0,-12.092957462358319,1.2576447680281537,-12.092957462358317,10,-9.69881702040071,0.0,4.4369817
nan,-10.215261685484155,0.0,296000,10,0.0,1.3269175512290865,6.6793203,3,8.333899,-18.088232,-12.804091959420127,-10.21526168548416,-12.804091959420127,-8.437229366493536,3,0.0,-10.21526168548416,1.3269175512290865,-10.215261685484155,10,-8.437229366493536,0.0,6.434857
nan,-6.806425636697304,0.0,320000,10,0.0,1.2964718493004186,6.650671,4,7.9139442,-25.222502,-8.925597198433769,-6.806425636697304,-8.925597198433769,-4.950871661556362,4,0.0,-6.806425636697304,1.2964718493004186,-6.806425636697304,10,-4.950871661556362,0.0,8.833446
nan,-6.969370907641782,0.0,344000,10,0.0,0.5912097121729222,6.6167517,5,7.752787,-33.472595,-7.803155049620582,-6.96937090764178,-7.803155049620582,-5.896678492514876,5,0.0,-6.96937090764178,0.5912097121729222,-6.969370907641782,10,-5.896678492514876,0.0,11.812109
nan,-7.6949438330085105,0.0,368000,10,0.0,0.5109065218543816,6.5744267,6,7.753389,-43.043182,-8.450684932716609,-7.694943833008507,-8.450684932716609,-6.937938622586163,6,0.0,-7.694943833008507,0.5109065218543816,-7.6949438330085105,10,-6.937938622586163,0.0,15.608519
nan,-8.221796655086447,0.0,392000,10,0.0,0.994464680832822,6.5233035,7,7.6684117,-53.216045,-9.77152523295487,-8.221796655086447,-9.77152523295487,-6.678106075534786,7,0.0,-8.221796655086447,0.994464680832822,-8.221796655086447,10,-6.678106075534786,0.0,20.631832
nan,-6.193022336155204,0.0,416000,10,0.0,1.3521705192871287,6.464755,8,7.663754,-62.311176,-8.564301448404523,-6.193022336155203,-8.564301448404523,-4.378901440868074,8,0.0,-6.193022336155203,1.3521705192871287,-6.193022336155204,10,-4.378901440868074,0.0,31.502872
nan,-7.8165813929882315,0.0,440000,10,0.0,1.635539556697108,6.403993,9,7.625499,-71.88528,-11.361562552481667,-7.816581392988231,-11.361562552481667,-5.926350984708511,9,0.0,-7.816581392988231,1.635539556697108,-7.8165813929882315,10,-5.926350984708511,0.0,72.629906
nan,-7.684458629729173,0.0,464000,10,0.0,1.699328674651783,6.3512363,10,7.6269,-80.048195,-9.692594977617029,-7.6844586297291695,-9.692594977617029,-4.863309043964978,10,0.0,-7.6844586297291695,1.699328674651783,-7.684458629729173,10,-4.863309043964978,0.0,141.24123
nan,-45.41387899728079,0.0,488000,10,0.0,15.228803526349703,5.411747,11,7.624632,-103.44773,-59.20408749533343,-45.41387899728078,-59.20408749533343,-15.20856686003567,11,0.0,-45.41387899728078,15.228803526349703,-45.41387899728079,10,-15.20856686003567,0.0,4869.7007
nan,-28.951494079004455,0.0,512000,10,0.0,11.62647640286734,2.9626205,12,7.624632,-336.89777,-48.3487438970453,-28.951494079004465,-48.3487438970453,-0.23794324520229806,12,0.0,-28.951494079004465,11.62647640286734,-28.951494079004455,10,-0.23794324520229806,0.0,35997.91
nan,-48.47657952340726,0.0,536000,10,0.0,42.617939516547565,0.11836749,13,7.624632,-1113.4318,-107.25679027995466,-48.47657952340728,-107.25679027995466,43.84456217235803,13,0.0,-48.47657952340728,42.617939516547565,-48.47657952340726,10,43.84456217235803,0.0,148951.61
nan,2660.8344411395597,0.0,560000,10,0.0,7888.078851360751,-1.7969172,14,10.426525,-2844.0176,-42.69817831906605,2660.8344411395583,-42.69817831906605,26320.93221610006,14,0.0,2660.8344411395583,7888.078851360751,2660.8344411395597,10,26320.93221610006,0.0,327502.1
nan,-31.896068350505686,0.0,584000,10,0.0,4.769293843619361,-6.26305,15,8.00918,-6314.4014,-40.57876265863652,-31.896068350505676,-40.57876265863652,-25.26307939645668,15,0.0,-31.896068350505676,4.769293843619361,-31.896068350505686,10,-25.26307939645668,0.0,627801.2
nan,-25.370851611447044,0.0,608000,10,0.0,3.7500128921898077,-10.7130785,16,9.144108,-11924.63,-32.434559949917215,-25.37085161144704,-32.434559949917215,-18.9640566760082,16,0.0,-25.37085161144704,3.7500128921898077,-25.370851611447044,10,-18.9640566760082,0.0,1095595.5
nan,-22.260491990710467,0.0,632000,10,0.0,5.224026061016319,-12.960807,17,14.153522,-19128.836,-33.45181312236268,-22.26049199071047,-33.45181312236268,-16.39013656592151,17,0.0,-22.26049199071047,5.224026061016319,-22.260491990710467,10,-16.39013656592151,0.0,1560743.2
nan,263.36204778850464,0.0,656000,10,0.0,855.1456914091887,-14.732209,18,68.107155,-25743.203,-27.030474602821435,263.3620477885049,-27.030474602821435,2828.7847613710182,18,0.0,263.3620477885049,855.1456914091887,263.36204778850464,10,2828.7847613710182,0.0,2429746.0
nan,-22.84377992722413,0.0,680000,10,0.0,3.235289867183608,-15.308132,19,17.586004,-34678.76,-26.9905748168681,-22.843779927224126,-26.9905748168681,-17.621439877095927,19,0.0,-22.843779927224126,3.235289867183608,-22.84377992722413,10,-17.621439877095927,0.0,4233531.0
nan,-27.19642179176922,0.0,704000,10,0.0,1.6642273328695063,-17.50236,20,23.196165,-51122.9,-30.160553874150533,-27.19642179176923,-30.160553874150533,-24.17732363428831,20,0.0,-27.19642179176923,1.6642273328695063,-27.19642179176922,10,-24.17732363428831,0.0,6844692.5
nan,-17.779197935206312,0.0,728000,10,0.0,4.915435137221305,-19.46758,21,53.49066,-67363.555,-28.15491420332402,-17.77919793520631,-28.15491420332402,-13.090022113663329,21,0.0,-17.77919793520631,4.915435137221305,-17.779197935206312,10,-13.090022113663329,0.0,11722967.0
