MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/QfLoss,MetaTest/plate-slide-back-v1/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTrain/Average/Alpha,MetaTest/Average/SuccessRate,MetaTest/Average/StdReturn,MetaTest/plate-slide-back-v1/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/Average/NumTrajs,MetaTrain/Average/PolicyLoss,TotalEnvSteps,MetaTest/plate-slide-back-v1/AverageDiscountedReturn,MetaTest/plate-slide-back-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/plate-slide-back-v1/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/plate-slide-back-v1/Iteration,MetaTest/plate-slide-back-v1/NumTrajs,MetaTest/plate-slide-back-v1/TerminationRate,MetaTest/plate-slide-back-v1/MinReturn
9.590288,1216.0455,-36.56766480054153,6.406699,nan,0.0,0.08559361515091436,0.0,0.0,10,-20.345623,224000,-36.65503630750233,0.08559361515091436,-36.65503630750233,-36.65503630750233,-36.56766480054153,-36.87788079390217,0,-36.65503630750233,0,10,0.0,-36.87788079390217
8.750633,1523.0901,-40.72214833597501,5.793475,nan,0.0,0.21944767149880076,0.0,0.0,10,-64.97478,248000,-41.17507040128728,0.21944767149880076,-41.17507040128727,-41.17507040128727,-40.72214833597501,-41.39324805049002,1,-41.17507040128728,1,10,0.0,-41.39324805049002
8.910295,4185.6953,-22.801368831497722,5.2902822,nan,0.0,0.2752316097933916,0.0,0.0,10,-147.10857,272000,-23.43854904550922,0.2752316097933916,-23.438549045509216,-23.438549045509216,-22.801368831497722,-23.876642223471716,2,-23.43854904550922,2,10,0.0,-23.876642223471716
32.272415,12045.706,-22.940023148070537,3.2294073,nan,0.0,14.918834697926842,0.0,0.0,10,-508.40704,296000,-38.35938053770521,14.918834697926842,-38.35938053770521,-38.35938053770521,-22.940023148070537,-69.32676735884458,3,-38.35938053770521,3,10,0.0,-69.32676735884458
67.801285,36605.344,-31.25063255923117,0.5611951,nan,0.0,0.010392822841370292,0.0,0.0,10,-1236.9403,320000,-31.27381298152381,0.010392822841370292,-31.273812981523804,-31.273812981523804,-31.25063255923117,-31.289117265368485,4,-31.27381298152381,4,10,0.0,-31.289117265368485
171.69513,58119.78,-17.458393847205766,-2.9689314,nan,0.0,0.15318152304282553,0.0,0.0,10,-2646.0679,344000,-17.679710541531513,0.15318152304282553,-17.679710541531524,-17.679710541531524,-17.458393847205766,-18.018069939940474,5,-17.679710541531513,5,10,0.0,-18.018069939940474
282.839,34428.05,-32.927669271619244,-5.3327303,nan,0.0,0.09445223535769999,0.0,0.0,10,-2936.757,368000,-33.206511925221456,0.09445223535769999,-33.206511925221456,-33.206511925221456,-32.927669271619244,-33.26507851726181,6,-33.206511925221456,6,10,0.0,-33.26507851726181
127.41309,50571.13,-29.778020249831552,-6.769739,nan,0.0,0.9666654909914262,0.0,0.0,10,-5210.719,392000,-30.772655907727092,0.9666654909914262,-30.772655907727078,-30.772655907727078,-29.778020249831552,-32.21057167953436,7,-30.772655907727092,7,10,0.0,-32.21057167953436
119.14417,64561.633,-28.88140033549069,-7.7217555,nan,0.0,0.2298954425601212,0.0,0.0,10,-5755.5,416000,-29.082879791990763,0.2298954425601212,-29.08287979199077,-29.08287979199077,-28.88140033549069,-29.566004287968642,8,-29.082879791990763,8,10,0.0,-29.566004287968642
20.580496,90815.86,-23.706145582802034,-9.226193,nan,0.0,0.35053657176640285,0.0,0.0,10,-7185.972,440000,-24.087070505428066,0.35053657176640285,-24.087070505428073,-24.087070505428073,-23.706145582802034,-25.069614909410518,9,-24.087070505428066,9,10,0.0,-25.069614909410518
19.657547,123872.81,-18.396983551322162,-9.235326,nan,0.0,0.2647752067569839,0.0,0.0,10,-8561.168,464000,-18.617328367529915,0.2647752067569839,-18.617328367529907,-18.617328367529907,-18.396983551322162,-19.336811365672297,10,-18.617328367529915,10,10,0.0,-19.336811365672297
23.308332,178071.11,-19.82507494829689,-9.747544,nan,0.0,0.4171986808587473,0.0,0.0,10,-10371.106,488000,-20.31793624404206,0.4171986808587473,-20.317936244042055,-20.317936244042055,-19.82507494829689,-21.012971477586472,11,-20.31793624404206,11,10,0.0,-21.012971477586472
114.49773,213554.53,-19.403708320732964,-8.712678,nan,0.0,3.480739993114329,0.0,0.0,10,-10869.836,512000,-29.738372790560806,3.480739993114329,-29.73837279056081,-29.73837279056081,-19.403708320732964,-31.624139149089338,12,-29.738372790560806,12,10,0.0,-31.624139149089338
722.5676,212277.22,1158.7279620397744,-6.669621,nan,0.0,441.56390291326863,0.0,0.0,10,-6855.441,536000,298.7494143462771,441.56390291326863,298.74941434627704,298.74941434627704,1158.7279620397744,-96.75768546396874,13,298.7494143462771,13,10,0.0,-96.75768546396874
85.19358,529683.5,-14.734126914345762,-10.437401,nan,0.0,6.667040939505749,0.0,0.0,10,-15050.743,560000,-23.343965411687215,6.667040939505749,-23.34396541168722,-23.34396541168722,-14.734126914345762,-36.04992700024722,14,-23.343965411687215,14,10,0.0,-36.04992700024722
31.689095,803842.94,-23.487133649640697,-11.365207,nan,0.0,0.13519288876925628,0.0,0.0,10,-19859.7,584000,-23.66133415833476,0.13519288876925628,-23.66133415833476,-23.66133415833476,-23.487133649640697,-23.974919606843237,15,-23.66133415833476,15,10,0.0,-23.974919606843237
64.713776,913078.0,-23.542664132115334,-10.318811,nan,0.0,15.292975709556435,0.0,0.0,10,-22866.568,608000,-29.545072668676106,15.292975709556435,-29.545072668676106,-29.545072668676106,-23.542664132115334,-75.19940976244449,16,-29.545072668676106,16,10,0.0,-75.19940976244449
172.98318,952010.75,-35.36040552347516,-10.859783,nan,0.0,1.3569576388475557,0.0,0.0,10,-24665.922,632000,-39.15858742450238,1.3569576388475557,-39.15858742450237,-39.15858742450237,-35.36040552347516,-40.41626761743349,17,-39.15858742450238,17,10,0.0,-40.41626761743349
1051.3793,631976.7,-53.244489549462344,-10.956371,nan,0.0,3.7479742373248044,0.0,0.0,10,-20522.797,656000,-64.46880608122257,3.7479742373248044,-64.46880608122257,-64.46880608122257,-53.244489549462344,-66.23815780782785,18,-64.46880608122257,18,10,0.0,-66.23815780782785
4543.901,167653.31,1795.1217864392356,-1.618683,nan,0.0,547.2039075646233,0.0,0.0,10,-4253.4126,680000,155.07181532969994,547.2039075646233,155.07181532970003,155.07181532970003,1795.1217864392356,-51.51173730223139,19,155.07181532969994,19,10,0.0,-51.51173730223139
1397.7452,35731.48,3192.0994247130116,3.3792422,nan,0.0,1072.0623110623571,0.0,0.0,10,427.90668,704000,493.3951378948095,1072.0623110623571,493.3951378948094,493.3951378948094,3192.0994247130116,-58.700989192569835,20,493.3951378948095,20,10,0.0,-58.700989192569835
1535.976,7818.179,-102.96601658842047,3.5761242,nan,0.0,6.361099786259821,0.0,0.0,10,514.39484,728000,-109.46491662558655,6.361099786259821,-109.46491662558651,-109.46491662558651,-102.96601658842047,-116.8121769523654,21,-109.46491662558655,21,10,0.0,-116.8121769523654
233.68217,4567.3755,-12.87888867485555,1.6746187,nan,0.0,7.545451498425209,0.0,0.0,10,12.921713,752000,-24.097104689657776,7.545451498425209,-24.097104689657776,-24.097104689657776,-12.87888867485555,-34.883570489638196,22,-24.097104689657776,22,10,0.0,-34.883570489638196
193.70885,6068.319,12245.4210667361,0.70561445,nan,0.0,3676.9535724217603,0.0,0.0,10,-110.39011,776000,1215.1779350495906,3676.9535724217603,1215.1779350495895,1215.1779350495895,12245.4210667361,-33.90575276302786,23,1215.1779350495906,23,10,0.0,-33.90575276302786
350.47974,22999.836,-18.799855722055046,0.382709,nan,0.0,5.1628306908044275,0.0,0.0,10,-688.6865,800000,-24.565223523978325,5.1628306908044275,-24.56522352397833,-24.56522352397833,-18.799855722055046,-30.598564067943588,24,-24.565223523978325,24,10,0.0,-30.598564067943588
327.43625,121349.22,-22.8337267753325,-1.5742446,nan,0.0,1.0337483509575265,0.0,0.0,10,-1777.9,824000,-24.28448244882714,1.0337483509575265,-24.28448244882714,-24.28448244882714,-22.8337267753325,-26.47708050994134,25,-24.28448244882714,25,10,0.0,-26.47708050994134
920.8675,178606.12,-22.52261155255604,-0.7847512,nan,0.0,0.39576991399484407,0.0,0.0,10,-1617.9852,848000,-23.53284976902155,0.39576991399484407,-23.53284976902155,-23.53284976902155,-22.52261155255604,-23.864230677234204,26,-23.53284976902155,26,10,0.0,-23.864230677234204
1528.6918,69891.97,-20.692522842443946,2.399784,nan,0.0,12.787389614651051,0.0,0.0,10,-227.43094,872000,-31.384415469070866,12.787389614651051,-31.38441546907087,-31.38441546907087,-20.692522842443946,-53.33460971527995,27,-31.384415469070866,27,10,0.0,-53.33460971527995
191.49887,5482.344,1092.378163109606,1.1234945,nan,0.0,378.28070815327425,0.0,0.0,10,-185.43935,896000,272.9238250643009,378.28070815327425,272.923825064301,272.923825064301,1092.378163109606,-25.389509258318885,28,272.9238250643009,28,10,0.0,-25.389509258318885
31382.227,1278582.1,267.46514400422484,2.0631084,nan,0.0,87.55423651937525,0.0,0.0,10,1022.3546,920000,20.09781200356928,87.55423651937525,20.097812003569295,20.097812003569295,267.46514400422484,-35.88088348728528,29,20.09781200356928,29,10,0.0,-35.88088348728528
262.6896,3968.753,2363.1255675054804,3.3148835,nan,0.0,979.6988507430658,0.0,0.0,10,182.15924,944000,913.9236209321796,979.6988507430658,913.9236209321796,913.9236209321796,2363.1255675054804,-82.05224220243295,30,913.9236209321796,30,10,0.0,-82.05224220243295
965.90936,26471.691,-57.561680683248966,1.0063385,nan,0.0,8.62614551686548,0.0,0.0,10,-329.61166,968000,-81.13609582168795,8.62614551686548,-81.13609582168793,-81.13609582168793,-57.561680683248966,-87.79579108530383,31,-81.13609582168795,31,10,0.0,-87.79579108530383
1249.964,8962.917,2579.2956953353646,3.4561172,nan,0.0,881.8559622871076,0.0,0.0,10,241.42181,992000,758.6943690473674,881.8559622871076,758.6943690473672,758.6943690473672,2579.2956953353646,-22.47916173023239,32,758.6943690473674,32,10,0.0,-22.47916173023239
507.5031,6390.269,1975.689232785051,3.888457,nan,0.0,598.9828791229882,0.0,0.0,10,0.44608203,1016000,178.740917425658,598.9828791229882,178.74091742565818,178.74091742565818,1975.689232785051,-21.650717191364823,33,178.740917425658,33,10,0.0,-21.650717191364823
302.27493,10373.634,3064.5583647139747,3.143292,nan,0.0,892.7541195068358,0.0,0.0,10,-78.58587,1040000,2078.5391571025507,892.7541195068358,2078.5391571025507,2078.5391571025507,3064.5583647139747,-15.974630294296848,34,2078.5391571025507,34,10,0.0,-15.974630294296848
377.4292,23473.72,13153.808984181287,1.3788671,nan,0.0,3884.5692179568596,0.0,0.0,10,-1020.2345,1064000,2139.6121203911694,3884.5692179568596,2139.6121203911694,2139.6121203911694,13153.808984181287,-22.72018299562696,35,2139.6121203911694,35,10,0.0,-22.72018299562696
292.63287,94879.3,346.04015237987653,-0.6879803,nan,0.0,138.6514450560871,0.0,0.0,10,-1810.743,1088000,68.05581093745823,138.6514450560871,68.0558109374582,68.0558109374582,346.04015237987653,-26.38730278025828,36,68.05581093745823,36,10,0.0,-26.38730278025828
582.5966,300254.66,6807.375315868835,-3.2965083,nan,0.0,2596.291293484154,0.0,0.0,10,-3372.5386,1112000,2368.351407865309,2596.291293484154,2368.3514078653097,2368.3514078653097,6807.375315868835,-14.284027679694667,37,2368.351407865309,37,10,0.0,-14.284027679694667
724.1251,432798.53,-29.49926394264192,-6.4350643,nan,0.0,14.698588592391078,0.0,0.0,10,-5446.446,1136000,-54.847331611457285,14.698588592391078,-54.847331611457285,-54.847331611457285,-29.49926394264192,-79.24780503089657,38,-54.847331611457285,38,10,0.0,-79.24780503089657
2244.4387,367312.5,1778.285299026502,-4.3606577,nan,0.0,622.9915880145934,0.0,0.0,10,-4863.459,1160000,250.9362783404907,622.9915880145934,250.936278340491,250.936278340491,1778.285299026502,-71.60537333705427,39,250.9362783404907,39,10,0.0,-71.60537333705427
4877.753,61284.44,-30.982102527044404,2.259349,nan,0.0,1.494618129198951,0.0,0.0,10,124.09703,1184000,-32.51757244020132,1.494618129198951,-32.51757244020132,-32.51757244020132,-30.982102527044404,-36.85414522181148,40,-32.51757244020132,40,10,0.0,-36.85414522181148
721.6015,51273.062,-21.036209914190156,1.8612139,nan,0.0,3.3354138020808697,0.0,0.0,10,-185.6635,1208000,-29.622688836425134,3.3354138020808697,-29.622688836425134,-29.622688836425134,-21.036209914190156,-32.7786693980663,41,-29.622688836425134,41,10,0.0,-32.7786693980663
2067.642,188575.39,-17.84606270896467,-0.3484411,nan,0.0,10.157450544341378,0.0,0.0,10,-1950.9675,1232000,-28.272016420238867,10.157450544341378,-28.272016420238856,-28.272016420238856,-17.84606270896467,-39.3518545741494,42,-28.272016420238867,42,10,0.0,-39.3518545741494
