LinearFeatureBaseline/ExplainedVariance,push-back-v1/MinReturn,Average/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/push-back-v1/SuccessRate,policy/KLBefore,TotalEnvSteps,Average/TerminationRate,push-back-v1/Iteration,MetaTest/push-back-v1/NumEpisodes,Average/MaxReturn,Average/MinReturn,MetaTest/Average/Iteration,MetaTest/push-back-v1/MinReturn,MetaTest/Average/SuccessRate,MetaTest/Average/StdReturn,MetaTest/push-back-v1/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/push-back-v1/AverageDiscountedReturn,Average/StdReturn,MetaTest/Average/MaxReturn,policy/LossAfter,MetaTest/push-back-v1/TerminationRate,push-back-v1/NumEpisodes,Average/AverageDiscountedReturn,Average/NumEpisodes,MetaTest/push-back-v1/Iteration,push-back-v1/SuccessRate,MetaTest/push-back-v1/AverageReturn,push-back-v1/MaxReturn,push-back-v1/StdReturn,push-back-v1/TerminationRate,Average/SuccessRate,policy/LossBefore,policy/Entropy,policy/KL,MetaTest/push-back-v1/StdReturn,Average/AverageReturn,MetaTest/Average/NumEpisodes,policy/dLoss,push-back-v1/AverageReturn,push-back-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn
0.4208441603704389,-138.3379280777623,0,-130.80715873661796,0.0,0.0,0.0,20000,0.0,0,10,-57.257097404938655,-138.3379280777623,0,-130.80715873661796,0.0,18.43246726926016,-72.25921849813497,-97.93919399837387,-97.9391939983739,16.83299181415734,-72.25921849813497,-0.062324446,0.0,100,-35.5240364965418,100,0,0.0,-97.93919399837387,-57.257097404938655,16.83299181415734,0.0,0.0,-0.03506819,5.672292,0.0048901075,18.43246726926016,-93.21663958428358,10,0.027256254,-93.21663958428358,-35.5240364965418,-97.9391939983739
0.41448925991188346,-126.01226146760762,1,,,,0.0,40000,0.0,1,,-50.29851807894355,-126.01226146760762,,,,,,,,15.858863352847916,,-0.053043354,,100,-32.25768502145691,100,,0.0,,-50.29851807894355,15.858863352847916,0.0,0.0,-0.02995288,5.6641436,0.012305845,,-82.27805515038186,,0.023090474,-82.27805515038186,-32.25768502145691,
0.556478335824311,-121.48934934376479,2,,,,0.0,60000,0.0,2,,-40.14628877494636,-121.48934934376479,,,,,,,,15.832442228634564,,-0.042103153,,100,-27.771499393481953,100,,0.0,,-40.14628877494636,15.832442228634564,0.0,0.0,-0.023663858,5.6451926,0.02090943,,-68.54119092370044,,0.018439295,-68.54119092370044,-27.771499393481953,
0.5253292700101397,-104.21025443596629,3,,,,0.0,80000,0.0,3,,-32.23487803397915,-104.21025443596629,,,,,,,,15.433770923590505,,-0.0316028,,100,-25.28981004751587,100,,0.0,,-32.23487803397915,15.433770923590505,0.0,0.0,-0.00992314,5.629049,0.022849679,,-59.320531044825046,,0.02167966,-59.320531044825046,-25.28981004751587,
0.525665183894259,-87.85425151022856,4,,,,0.0,100000,0.0,4,,-30.83821513331663,-87.85425151022856,,,,,,,,11.882170096265934,,-0.015881376,,100,-22.368019645988294,100,,0.0,,-30.83821513331663,11.882170096265934,0.0,0.0,-0.0035349487,5.6159644,0.018432815,,-56.142825173960475,,0.012346428,-56.142825173960475,-22.368019645988294,
0.15696865031658525,-86.01972817381836,5,,,,0.0,120000,0.0,5,,5.309447322065493,-86.01972817381836,,,,,,,,13.7506858676323,,-0.024980878,,100,-21.522660091269298,100,,0.0,,5.309447322065493,13.7506858676323,0.0,0.0,-0.016405499,5.602053,0.009130921,,-48.83457052728886,,0.00857538,-48.83457052728886,-21.522660091269298,
0.11062337937223288,-100.53371377686973,6,,,,0.0,140000,0.0,6,,170.79400354134523,-100.53371377686973,,,,,,,,25.984437581621428,,0.025831275,,100,-20.652062460285844,100,,0.0,,170.79400354134523,25.984437581621428,0.0,0.0,0.05029834,5.5922723,0.010279268,,-47.48493561857651,,0.024467066,-47.48493561857651,-20.652062460285844,
0.43805599866824296,-67.22422607718235,7,,,,0.0,160000,0.0,7,,-34.1377339275516,-67.22422607718235,,,,,,,,7.462205117263829,,-0.008189398,,100,-20.769953714420108,100,,0.0,,-34.1377339275516,7.462205117263829,0.0,0.0,-0.002678839,5.5889206,0.01029987,,-47.93899695577057,,0.005510559,-47.93899695577057,-20.769953714420108,
0.5349791330119729,-107.20151844345742,8,,,,0.0,180000,0.0,8,,-32.998914194056596,-107.20151844345742,,,,,,,,13.567907299671361,,-0.025266739,,100,-21.8966374344488,100,,0.0,,-32.998914194056596,13.567907299671361,0.0,0.0,-0.012370073,5.580175,0.01373009,,-52.70962474969805,,0.012896665,-52.70962474969805,-21.8966374344488,
0.0722362570461661,-83.19268361891456,9,,,,0.0,200000,0.0,9,,510.5368605680162,-83.19268361891456,,,,,,,,79.18915029094255,,-0.052903663,,100,-15.479842499756105,100,,0.0,,510.5368605680162,79.18915029094255,0.0,0.0,0.03977273,5.5957713,0.006340593,,-37.07568718603426,,0.09267639,-37.07568718603426,-15.479842499756105,
