MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/shelf-place-v1/TerminationRate,MetaTest/shelf-place-v1/AverageDiscountedReturn,MetaTest/shelf-place-v1/Iteration,TotalEnvSteps,MetaTrain/Average/Alpha,MetaTest/shelf-place-v1/MinReturn,MetaTest/shelf-place-v1/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/shelf-place-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/shelf-place-v1/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,MetaTest/shelf-place-v1/StdReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/PolicyLoss,MetaTest/Average/MinReturn,MetaTest/shelf-place-v1/NumEpisodes,MetaTest/Average/AverageReturn
-19.28711171749994,10,0.0,-19.28711171749994,28,448000,0.02291544,-20.978345930931734,0.0,7.6248713,-19.287111717499936,0.0,0.0,-16.831313050434716,-0.00071849214,28,-16.831313050434716,1.2966241267528793,1.2966241267528793,15.521979,146.90125,-20.978345930931734,10,-19.287111717499936
-21.228440175860854,10,0.0,-21.228440175860854,29,460000,0.024058294,-23.625046794478912,0.0,7.6262226,-21.22844017586085,0.0,0.0,-19.60170201707675,-0.0011793014,29,-19.60170201707675,1.5475098341009774,1.5475098341009774,14.998891,145.8507,-23.625046794478912,10,-21.22844017586085
-20.414299418649513,10,0.0,-20.414299418649513,30,472000,0.024285026,-24.059921049187626,0.0,7.6343265,-20.414299418649506,0.0,0.0,-18.181947332953683,0.00027173158,30,-18.181947332953683,1.7760966999234078,1.7760966999234078,15.070056,144.46404,-24.059921049187626,10,-20.414299418649506
-21.52356798880019,10,0.0,-21.52356798880019,31,484000,0.023290882,-23.285254862848213,0.0,7.625916,-21.523567988800185,0.0,0.0,-18.835125485324873,0.0015279762,31,-18.835125485324873,1.4510804968945212,1.4510804968945212,14.799464,142.93025,-23.285254862848213,10,-21.523567988800185
-19.52417315442012,10,0.0,-19.52417315442012,32,496000,0.022974959,-22.11556046964256,0.0,7.628646,-19.52417315442012,0.0,0.0,-17.533573041706646,-4.4825367e-05,32,-17.533573041706646,1.3233676833570118,1.3233676833570118,14.510364,141.67255,-22.11556046964256,10,-19.52417315442012
-19.110138923356256,10,0.0,-19.110138923356256,33,508000,0.023040665,-20.542867002711954,0.0,7.6252756,-19.110138923356256,0.0,0.0,-16.55864890314888,-0.00044326705,33,-16.55864890314888,1.3174541691413912,1.3174541691413912,13.196114,139.82504,-20.542867002711954,10,-19.110138923356256
-17.93298458836925,10,0.0,-17.93298458836925,34,520000,0.022200773,-18.654762508943634,0.0,7.62489,-17.93298458836925,0.0,0.0,-17.039729825893403,0.0025331953,34,-17.039729825893403,0.520611679655334,0.520611679655334,13.149526,138.43532,-18.654762508943634,10,-17.93298458836925
-20.280257296282475,10,0.0,-20.280257296282475,35,532000,0.020914337,-22.21086021759734,0.0,7.625426,-20.280257296282485,0.0,0.0,-17.152243021900446,0.00067821046,35,-17.152243021900446,1.4819268040458335,1.4819268040458335,12.80472,137.08815,-22.21086021759734,10,-20.280257296282485
-20.436656815844653,10,0.0,-20.436656815844653,36,544000,0.02027767,-22.11246826746273,0.0,7.6246915,-20.43665681584465,0.0,0.0,-18.42791737726093,-0.0002686919,36,-18.42791737726093,1.3044176012985464,1.3044176012985464,12.826746,135.66226,-22.11246826746273,10,-20.43665681584465
-17.715572644746903,10,0.0,-17.715572644746903,37,556000,0.020250278,-17.970440580088876,0.0,7.6270037,-17.71557264474691,0.0,0.0,-16.96418936342512,0.0002787938,37,-16.96418936342512,0.2839113847308173,0.2839113847308173,12.235652,134.1499,-17.970440580088876,10,-17.71557264474691
-19.00391448671141,10,0.0,-19.00391448671141,38,568000,0.020545453,-21.904358221308733,0.0,7.62516,-19.003914486711416,0.0,0.0,-17.255576465842413,0.00048799932,38,-17.255576465842413,1.3493396015323282,1.3493396015323282,11.64427,132.71283,-21.904358221308733,10,-19.003914486711416
-19.559201719497807,10,0.0,-19.559201719497807,39,580000,0.02043378,-28.13576507205491,0.0,7.624684,-19.559201719497814,0.0,0.0,-17.613599552618343,-0.0005156081,39,-17.613599552618343,2.8860123991011015,2.8860123991011015,10.947801,131.16884,-28.13576507205491,10,-19.559201719497814
-17.477740777489018,10,0.0,-17.477740777489018,40,592000,0.020515809,-18.50535835671114,0.0,7.62485,-17.47774077748902,0.0,0.0,-15.990863751841509,0.00073097437,40,-15.990863751841509,0.6202075502463333,0.6202075502463333,10.750905,129.76736,-18.50535835671114,10,-17.47774077748902
-17.20533889792362,10,0.0,-17.20533889792362,41,604000,0.020246722,-17.96393142804498,0.0,7.625163,-17.20533889792362,0.0,0.0,-16.31821773096541,-0.0008162403,41,-16.31821773096541,0.5595309957640908,0.5595309957640908,10.360697,128.27644,-17.96393142804498,10,-17.20533889792362
-19.00204586302225,10,0.0,-19.00204586302225,42,616000,0.021168118,-21.443131331057323,0.0,7.626326,-19.00204586302225,0.0,0.0,-17.84666824374282,-0.0015138426,42,-17.84666824374282,1.0250198948984628,1.0250198948984628,10.295716,126.99772,-21.443131331057323,10,-19.00204586302225
-17.181619374620688,10,0.0,-17.181619374620688,43,628000,0.022560019,-18.635383086008442,0.0,7.6247616,-17.181619374620688,0.0,0.0,-13.916030925324897,-0.00016587864,43,-13.916030925324897,1.2751660042854642,1.2751660042854642,10.255536,125.90932,-18.635383086008442,10,-17.181619374620688
-17.479135901494182,10,0.0,-17.479135901494182,44,640000,0.02249739,-22.123392575415018,0.0,7.6260285,-17.479135901494182,0.0,0.0,-15.620904035609888,-0.0008482799,44,-15.620904035609888,1.7476320298854542,1.7476320298854542,10.046856,124.6215,-22.123392575415018,10,-17.479135901494182
-16.85671172853466,10,0.0,-16.85671172853466,45,652000,0.023362143,-18.227287001879205,0.0,7.624708,-16.856711728534663,0.0,0.0,-16.02051518413643,0.00036489486,45,-16.02051518413643,0.6526100173184383,0.6526100173184383,9.869147,123.31417,-18.227287001879205,10,-16.856711728534663
-17.121374333220267,10,0.0,-17.121374333220267,46,664000,0.022845725,-18.561819525601063,0.0,7.624677,-17.121374333220267,0.0,0.0,-16.23106457322783,-0.0005452721,46,-16.23106457322783,0.6098434557099858,0.6098434557099858,9.854451,121.974556,-18.561819525601063,10,-17.121374333220267
-18.00238040167188,10,0.0,-18.00238040167188,47,676000,0.023772396,-19.36551366178816,0.0,7.6249285,-18.00238040167188,0.0,0.0,-17.268133938440396,-0.0004585279,47,-17.268133938440396,0.6848702674481303,0.6848702674481303,10.039014,120.93166,-19.36551366178816,10,-18.00238040167188
-17.315991713052043,10,0.0,-17.315991713052043,48,688000,0.023030227,-18.99565023279218,0.0,7.624702,-17.315991713052036,0.0,0.0,-16.034574476392805,0.001675278,48,-16.034574476392805,0.8748809272831467,0.8748809272831467,10.028274,119.86325,-18.99565023279218,10,-17.315991713052036
-18.22014195004057,10,0.0,-18.22014195004057,49,700000,0.022126278,-20.46625659463983,0.0,7.6246934,-18.220141950040578,0.0,0.0,-17.070648042460157,0.00041279633,49,-17.070648042460157,0.969806473279364,0.969806473279364,10.109462,119.160126,-20.46625659463983,10,-18.220141950040578
-17.46221357594822,10,0.0,-17.46221357594822,50,712000,0.02230402,-19.142531589317866,0.0,7.6247573,-17.462213575948212,0.0,0.0,-16.215848418685738,-0.0011925487,50,-16.215848418685738,1.0061894197795294,1.0061894197795294,10.431695,118.25695,-19.142531589317866,10,-17.462213575948212
-19.005460727772153,10,0.0,-19.005460727772153,51,724000,0.022856062,-23.936555747103426,0.0,7.624692,-19.00546072777215,0.0,0.0,-16.715498295713846,0.00021090689,51,-16.715498295713846,1.9770178970930188,1.9770178970930188,10.190889,117.50591,-23.936555747103426,10,-19.00546072777215
-17.09808424434774,10,0.0,-17.09808424434774,52,736000,0.023517653,-18.96791981620054,0.0,7.6247263,-17.098084244347746,0.0,0.0,-16.382347617258326,-0.0021103323,52,-16.382347617258326,0.7963633924842419,0.7963633924842419,9.880536,116.634476,-18.96791981620054,10,-17.098084244347746
-17.3863924159698,10,0.0,-17.3863924159698,53,748000,0.02446495,-18.550245675388172,0.0,7.624774,-17.386392415969798,0.0,0.0,-16.110464736918825,-0.00073105586,53,-16.110464736918825,0.636529298555892,0.636529298555892,9.883837,115.72311,-18.550245675388172,10,-17.386392415969798
-17.066870769094454,10,0.0,-17.066870769094454,54,760000,0.025341118,-18.211321828740314,0.0,8.706431,-17.06687076909445,0.0,0.0,-15.714924017012628,-0.0012730815,54,-15.714924017012628,0.9066317426493568,0.9066317426493568,9.823821,114.852516,-18.211321828740314,10,-17.06687076909445
-17.29728668731276,10,0.0,-17.29728668731276,55,772000,0.0259055,-18.333832421403347,0.0,7.624831,-17.29728668731276,0.0,0.0,-15.219784957255971,-0.00091530674,55,-15.219784957255971,0.8141744599592845,0.8141744599592845,10.295879,114.035164,-18.333832421403347,10,-17.29728668731276
-17.271268226889184,10,0.0,-17.271268226889184,56,784000,0.02631317,-18.888767027451753,0.0,7.624707,-17.271268226889177,0.0,0.0,-15.94162426815234,-0.00030503032,56,-15.94162426815234,0.8525800762225696,0.8525800762225696,9.966193,113.20223,-18.888767027451753,10,-17.271268226889177
-18.20643767532236,10,0.0,-18.20643767532236,57,796000,0.026307113,-20.192701133023974,0.0,7.624862,-18.206437675322363,0.0,0.0,-16.30778839121711,-2.1799564e-05,57,-16.30778839121711,1.1654061434654097,1.1654061434654097,10.283942,112.362816,-20.192701133023974,10,-18.206437675322363
-17.222055797029505,10,0.0,-17.222055797029505,58,808000,0.026480535,-18.470015958197557,0.0,7.626424,-17.222055797029505,0.0,0.0,-15.976027569675994,0.0001808828,58,-15.976027569675994,0.8029608828429251,0.8029608828429251,10.346137,111.64523,-18.470015958197557,10,-17.222055797029505
-18.37060875489398,10,0.0,-18.37060875489398,59,820000,0.026812106,-20.908315120840026,0.0,7.6256437,-18.370608754893972,0.0,0.0,-15.912564800725207,0.0007004099,59,-15.912564800725207,1.889888034209891,1.889888034209891,10.514739,110.96905,-20.908315120840026,10,-18.370608754893972
-16.680743708424288,10,0.0,-16.680743708424288,60,832000,0.02624903,-18.857343515511786,0.0,7.624674,-16.680743708424295,0.0,0.0,-15.141287609724905,0.00032598161,60,-15.141287609724905,0.9639323918231552,0.9639323918231552,10.632472,110.45788,-18.857343515511786,10,-16.680743708424295
-20.539598863701034,10,0.0,-20.539598863701034,61,844000,0.026015762,-28.23924139663527,0.0,7.6246805,-20.539598863701038,0.0,0.0,-17.455350207113884,-0.0004995419,61,-17.455350207113884,2.986488228843586,2.986488228843586,11.300791,109.998405,-28.23924139663527,10,-20.539598863701038
-51.67708543466084,10,0.0,-51.67708543466084,62,856000,0.029375466,-116.70927806491744,0.0,7.624632,-51.67708543466084,0.0,0.0,-20.724693276359734,-0.016037319,62,-20.724693276359734,27.601124030261236,27.601124030261236,31.551868,108.00553,-116.70927806491744,10,-51.67708543466084
-94.17512461290922,10,0.0,-94.17512461290922,63,868000,0.033868108,-104.98139069148007,0.0,7.624632,-94.17512461290923,0.0,0.0,-73.28883282980071,-0.021269808,63,-73.28883282980071,7.723912742698495,7.723912742698495,47.862617,102.84056,-104.98139069148007,10,-94.17512461290923
-69.83280774767589,10,0.0,-69.83280774767589,64,880000,0.05156406,-88.13735741972985,0.0,7.624632,-69.83280774767587,0.0,0.0,-40.75646424865462,-0.37739253,64,-40.75646424865462,16.215796530399302,16.215796530399302,143.98807,73.58793,-88.13735741972985,10,-69.83280774767587
-69.69832262003891,10,0.0,-69.69832262003891,65,892000,0.080846496,-105.69772669507664,0.0,7.624632,-69.69832262003894,0.0,0.0,-6.5011844360732916,-0.8391252,65,-6.5011844360732916,41.49957087148514,41.49957087148514,332.82245,-16.805742,-105.69772669507664,10,-69.69832262003894
-28.785883944933374,10,0.0,-28.785883944933374,66,904000,0.11344284,-92.24333333109372,0.0,7.624632,-28.785883944933374,0.0,0.0,-11.642873411184274,-0.8483767,66,-11.642873411184274,30.251458674497325,30.251458674497325,363.28073,-98.15333,-92.24333333109372,10,-28.785883944933374
-24.77503613653456,10,0.0,-24.77503613653456,67,916000,0.15036485,-71.37124807632955,0.0,7.6571035,-24.775036136534563,0.0,0.0,-1.6455776842144283,-0.80758977,67,-1.6455776842144283,25.052123012592368,25.052123012592368,350.07068,-149.36797,-71.37124807632955,10,-24.775036136534563
-33.75595448300215,10,0.0,-33.75595448300215,68,928000,0.1997848,-74.48001126301541,0.0,8.411038,-33.75595448300214,0.0,0.0,-1.2458061085526841,-0.71122044,68,-1.2458061085526841,26.933088210032846,26.933088210032846,309.49747,-176.46512,-74.48001126301541,10,-33.75595448300214
-15.321134948723133,10,0.0,-15.321134948723133,69,940000,0.2538323,-64.65505267188952,0.0,9.102081,-15.321134948723124,0.0,0.0,156.768808008407,-0.3829517,69,156.768808008407,60.419749966555685,60.419749966555685,266.88422,-182.29073,-64.65505267188952,10,-15.321134948723124
-34.89268602237537,10,0.0,-34.89268602237537,70,952000,0.27098623,-81.75640447295554,0.0,9.72126,-34.89268602237539,0.0,0.0,30.126244352267307,0.077925056,70,30.126244352267307,30.742591716975397,30.742591716975397,208.59698,-170.72356,-81.75640447295554,10,-34.89268602237539
-33.97961614940335,10,0.0,-33.97961614940335,71,964000,0.22196834,-52.60229809495322,0.0,8.72316,-33.979616149403356,0.0,0.0,-17.505121439646093,0.17637508,71,-17.505121439646093,10.399385614791614,10.399385614791614,236.88847,-157.6287,-52.60229809495322,10,-33.979616149403356
-41.46142702560726,10,0.0,-41.46142702560726,72,976000,0.18311895,-87.37453570671389,0.0,12.800938,-41.46142702560726,0.0,0.0,-15.905519575389595,0.081807114,72,-15.905519575389595,27.19680590420479,27.19680590420479,239.59927,-140.75816,-87.37453570671389,10,-41.46142702560726
-43.61228608253694,10,0.0,-43.61228608253694,73,988000,0.16647486,-75.33928818669102,0.0,12.223767,-43.61228608253695,0.0,0.0,-14.336045136885222,0.052604027,73,-14.336045136885222,20.93791053241818,20.93791053241818,192.70428,-131.42027,-75.33928818669102,10,-43.61228608253695
-14.525326264772692,10,0.0,-14.525326264772692,74,1000000,0.15950938,-27.108680633078272,0.0,11.523236,-14.525326264772696,0.0,0.0,-9.15654148494795,-0.016077995,74,-9.15654148494795,5.455369739845571,5.455369739845571,237.66595,-112.19521,-27.108680633078272,10,-14.525326264772696
-38.675489656592944,10,0.0,-38.675489656592944,75,1012000,0.15348437,-73.82712417670983,0.0,11.173189,-38.67548965659295,0.0,0.0,-18.806513849742096,0.03545077,75,-18.806513849742096,17.946630591887956,17.946630591887956,267.5338,-94.929245,-73.82712417670983,10,-38.67548965659295
