MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/shelf-place-v1/TerminationRate,MetaTest/shelf-place-v1/AverageDiscountedReturn,MetaTest/shelf-place-v1/Iteration,TotalEnvSteps,MetaTrain/Average/Alpha,MetaTest/shelf-place-v1/MinReturn,MetaTest/shelf-place-v1/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/shelf-place-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/shelf-place-v1/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,MetaTest/shelf-place-v1/StdReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/PolicyLoss,MetaTest/Average/MinReturn,MetaTest/shelf-place-v1/NumEpisodes,MetaTest/Average/AverageReturn
-37.94144699604293,10,0.0,-37.94144699604293,0,112000,0.86939156,-64.33025973630072,0.0,8.16553,-37.941446996042934,0.0,0.0,-19.19721060642848,5.850625,0,-19.19721060642848,13.110144947246974,13.110144947246974,1.4072071,-0.36965796,-64.33025973630072,10,-37.941446996042934
-32.75028613291811,10,0.0,-32.75028613291811,1,124000,0.66260314,-45.78674767143086,0.0,8.239198,-32.75028613291812,0.0,0.0,-25.273300378933918,4.4479785,1,-25.273300378933918,5.796655500278102,5.796655500278102,3.2058227,7.58769,-45.78674767143086,10,-32.75028613291812
-28.851950996385348,10,0.0,-28.851950996385348,2,136000,0.5108235,-36.16347598014844,0.0,8.196377,-28.851950996385348,0.0,0.0,-19.534074012920932,3.4073036,2,-19.534074012920932,4.304074583886986,4.304074583886986,4.203439,20.134895,-36.16347598014844,10,-28.851950996385348
-26.728986649579486,10,0.0,-26.728986649579486,3,148000,0.39551407,-31.74186675471321,0.0,7.629442,-26.728986649579486,0.0,0.0,-20.664024303686052,2.6021402,3,-20.664024303686052,2.939570055452906,2.939570055452906,5.606704,34.091003,-31.74186675471321,10,-26.728986649579486
-27.363646793546042,10,0.0,-27.363646793546042,4,160000,0.30682555,-30.265031261713776,0.0,7.8541083,-27.363646793546042,0.0,0.0,-20.331028178367006,1.9653425,4,-20.331028178367006,2.6594367343069063,2.6594367343069063,6.793751,48.10719,-30.265031261713776,10,-27.363646793546042
-28.043430534750268,10,0.0,-28.043430534750268,5,172000,0.23846027,-37.38560161073218,0.0,7.645536,-28.043430534750264,0.0,0.0,-25.404194541804934,1.4668821,5,-25.404194541804934,3.6865029521483157,3.6865029521483157,8.158082,61.997757,-37.38560161073218,10,-28.043430534750264
-26.41804988991796,10,0.0,-26.41804988991796,6,184000,0.18586825,-30.577310904789535,0.0,7.669064,-26.418049889917956,0.0,0.0,-22.168458162103235,1.0729824,6,-22.168458162103235,2.8514995881213556,2.8514995881213556,9.312733,74.89006,-30.577310904789535,10,-26.418049889917956
-27.761647276259954,10,0.0,-27.761647276259954,7,196000,0.14524879,-32.34830201584099,0.0,7.6850185,-27.761647276259954,0.0,0.0,-20.722056909353174,0.77297807,7,-20.722056909353174,3.6466016954796405,3.6466016954796405,10.527845,86.81939,-32.34830201584099,10,-27.761647276259954
-29.61318722138456,10,0.0,-29.61318722138456,8,208000,0.11376485,-33.893229618129766,0.0,7.691968,-29.61318722138456,0.0,0.0,-21.868956514539093,0.55430365,8,-21.868956514539093,3.3872895615245593,3.3872895615245593,11.078474,96.13586,-33.893229618129766,10,-29.61318722138456
-29.47102209032758,10,0.0,-29.47102209032758,9,220000,0.089307584,-34.5247190680315,0.0,7.6506233,-29.47102209032759,0.0,0.0,-21.270647731440736,0.39174482,9,-21.270647731440736,4.0893485747634815,4.0893485747634815,11.6068125,105.54933,-34.5247190680315,10,-29.47102209032759
-29.215616042080153,10,0.0,-29.215616042080153,10,232000,0.07015576,-33.29442738195804,0.0,7.640408,-29.21561604208015,0.0,0.0,-23.465934756795413,0.27727795,10,-23.465934756795413,3.8880543946055326,3.8880543946055326,12.328813,113.26564,-33.29442738195804,10,-29.21561604208015
-27.380494832222176,10,0.0,-27.380494832222176,11,244000,0.055151854,-33.79125941912296,0.0,7.6341796,-27.380494832222176,0.0,0.0,-19.84265820190085,0.1947349,11,-19.84265820190085,5.107241984734406,5.107241984734406,12.705717,120.20652,-33.79125941912296,10,-27.380494832222176
-26.681694958356708,10,0.0,-26.681694958356708,12,256000,0.04348122,-35.14358628891891,0.0,7.634958,-26.68169495835672,0.0,0.0,-18.146328356803103,0.1331098,12,-18.146328356803103,6.388736373730577,6.388736373730577,13.200931,126.05758,-35.14358628891891,10,-26.68169495835672
-25.06060111797079,10,0.0,-25.06060111797079,13,268000,0.034383006,-32.812151607273734,0.0,7.660757,-25.060601117970787,0.0,0.0,-17.449260497020955,0.090334915,13,-17.449260497020955,5.650434782306639,5.650434782306639,13.521656,131.26584,-32.812151607273734,10,-25.060601117970787
-24.92594445416593,10,0.0,-24.92594445416593,14,280000,0.027300538,-32.54696974648168,0.0,7.6258245,-24.925944454165926,0.0,0.0,-18.045008537454116,0.06040693,14,-18.045008537454116,5.480864394781861,5.480864394781861,13.50052,136.14592,-32.54696974648168,10,-24.925944454165926
-20.65943237244833,10,0.0,-20.65943237244833,15,292000,0.021952724,-23.097134859455917,0.0,7.630006,-20.659432372448325,0.0,0.0,-19.34142534200166,0.033460047,15,-19.34142534200166,1.0604647302771097,1.0604647302771097,13.531753,139.69019,-23.097134859455917,10,-20.659432372448325
-20.664631873555198,10,0.0,-20.664631873555198,16,304000,0.018489743,-23.33156377117044,0.0,7.6324024,-20.664631873555198,0.0,0.0,-17.247008700339407,0.014205756,16,-17.247008700339407,2.1574569248617834,2.1574569248617834,14.042812,142.07312,-23.33156377117044,10,-20.664631873555198
-22.71866543497023,10,0.0,-22.71866543497023,17,316000,0.01568971,-28.205185531055655,0.0,7.633192,-22.718665434970227,0.0,0.0,-19.091196161819873,0.007585458,17,-19.091196161819873,2.927875353699915,2.927875353699915,14.204944,144.48238,-28.205185531055655,10,-22.718665434970227
-26.65264238836326,10,0.0,-26.65264238836326,18,328000,0.013796245,-32.870684466974716,0.0,7.6663876,-26.65264238836327,0.0,0.0,-16.342170255739394,0.00319813,18,-16.342170255739394,5.99857349452844,5.99857349452844,14.34123,145.5435,-32.870684466974716,10,-26.65264238836327
-18.490329204127136,10,0.0,-18.490329204127136,19,340000,0.012639433,-20.6705971387511,0.0,7.6470833,-18.49032920412713,0.0,0.0,-17.13799932224801,0.00060020044,19,-17.13799932224801,1.2514761795899263,1.2514761795899263,14.281946,147.61322,-20.6705971387511,10,-18.49032920412713
-19.5293300730309,10,0.0,-19.5293300730309,20,352000,0.012893164,-23.189041398470064,0.0,7.674875,-19.5293300730309,0.0,0.0,-16.928906508896812,-0.0006456628,20,-16.928906508896812,2.0603125439317296,2.0603125439317296,13.860373,148.90767,-23.189041398470064,10,-19.5293300730309
-19.395216135537478,10,0.0,-19.395216135537478,21,364000,0.013634392,-26.627310105419088,0.0,7.6434464,-19.395216135537474,0.0,0.0,-17.381285695588208,-0.0008634935,21,-17.381285695588208,2.558295272864519,2.558295272864519,13.675578,149.71913,-26.627310105419088,10,-19.395216135537474
-20.800718627199267,10,0.0,-20.800718627199267,22,376000,0.014349415,-22.854315401918143,0.0,7.6300917,-20.800718627199267,0.0,0.0,-18.274728506819397,-0.00065551983,22,-18.274728506819397,1.5043198750035247,1.5043198750035247,13.746292,149.58832,-22.854315401918143,10,-20.800718627199267
-22.888362997560442,10,0.0,-22.888362997560442,23,388000,0.016153805,-24.6813253012537,0.0,7.6346917,-22.888362997560446,0.0,0.0,-20.95815535631302,-0.0020514068,23,-20.95815535631302,1.3096759184169684,1.3096759184169684,13.475513,149.74518,-24.6813253012537,10,-22.888362997560446
-20.138595915225924,10,0.0,-20.138595915225924,24,400000,0.018530093,-23.34972568714809,0.0,7.6247363,-20.138595915225917,0.0,0.0,-18.032247371915332,-0.0020019356,24,-18.032247371915332,1.9131449750062561,1.9131449750062561,14.106706,149.75708,-23.34972568714809,10,-20.138595915225917
-20.451365100389687,10,0.0,-20.451365100389687,25,412000,0.020445906,-22.543231540481926,0.0,7.625383,-20.451365100389687,0.0,0.0,-17.834143529404702,-0.0018161967,25,-17.834143529404702,1.6122839833358107,1.6122839833358107,13.893041,148.7042,-22.543231540481926,10,-20.451365100389687
-20.408623135765858,10,0.0,-20.408623135765858,26,424000,0.020509893,-24.288482281177995,0.0,7.625031,-20.408623135765858,0.0,0.0,-16.922417804690046,0.0008538447,26,-16.922417804690046,2.5665818503935602,2.5665818503935602,15.546474,148.33191,-24.288482281177995,10,-20.408623135765858
-21.19817870023227,10,0.0,-21.19817870023227,27,436000,0.021780804,-24.089444682794742,0.0,7.626177,-21.19817870023227,0.0,0.0,-17.535783405047482,-0.0020833488,27,-17.535783405047482,1.938405181562996,1.938405181562996,16.301825,148.03838,-24.089444682794742,10,-21.19817870023227
