MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTrain/Average/Alpha,MetaTest/pick-place-v1/StdReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/pick-place-v1/SuccessRate,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/pick-place-v1/TerminationRate,TotalEnvSteps,MetaTest/pick-place-v1/AverageDiscountedReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,MetaTest/pick-place-v1/MaxReturn,MetaTest/pick-place-v1/MinReturn,MetaTest/pick-place-v1/NumEpisodes,MetaTest/pick-place-v1/AverageReturn,MetaTrain/Average/PolicyLoss,MetaTest/pick-place-v1/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn
10,7.296767025566512,0.7660781,7.296767025566512,0.0,2.8289335,0.0,-47.29394626963055,0.0,0.0,224000,-37.94613643531287,8.209463,0,-24.68807275347726,-24.68807275347726,-47.29394626963055,10,-37.94613643531287,8.441389,0,5.1441317,-37.94613643531287,-37.94613643531287
10,3.014663438975804,0.4537246,3.014663438975804,0.0,5.8451886,0.0,-30.36353268592723,0.0,0.0,248000,-25.89257407288445,7.9577928,1,-21.47202557340434,-21.47202557340434,-30.36353268592723,10,-25.89257407288445,41.260963,1,2.947351,-25.89257407288445,-25.89257407288445
10,2.3019067089362673,0.274636,2.3019067089362673,0.0,8.968405,0.0,-33.322383903756325,0.0,0.0,272000,-29.399692368629058,7.6424394,2,-24.882262378936353,-24.882262378936353,-33.322383903756325,10,-29.399692368629065,77.80491,2,1.61126,-29.399692368629065,-29.399692368629058
10,2.53710500085358,0.16805477,2.53710500085358,0.0,11.890215,0.0,-32.605410100667555,0.0,0.0,296000,-29.881625692977064,7.6465173,3,-25.005353107405057,-25.005353107405057,-32.605410100667555,10,-29.88162569297706,110.46344,3,0.83147585,-29.88162569297706,-29.881625692977064
10,3.7449741493524957,0.10407085,3.7449741493524957,0.0,13.654789,0.0,-29.98704742850018,0.0,0.0,320000,-24.865173531589278,7.885517,4,-19.526522448348995,-19.526522448348995,-29.98704742850018,10,-24.865173531589278,135.06065,4,0.4018066,-24.865173531589278,-24.865173531589278
10,1.279687116205278,0.065319076,1.279687116205278,0.0,15.126944,0.0,-23.91432226998762,0.0,0.0,344000,-21.352085936218703,7.6277966,5,-19.376204366819252,-19.376204366819252,-23.91432226998762,10,-21.352085936218703,154.45656,5,0.18007411,-21.352085936218703,-21.352085936218703
10,1.0088495121128795,0.04171145,1.0088495121128795,0.0,15.502926,0.0,-22.667345638413128,0.0,0.0,368000,-20.22724344977043,7.62947,6,-19.082485935966517,-19.082485935966517,-22.667345638413128,10,-20.22724344977043,166.35762,6,0.07288873,-20.22724344977043,-20.22724344977043
10,1.6263353017332753,0.02812927,1.6263353017332753,0.0,15.868459,0.0,-22.835704422012757,0.0,0.0,392000,-20.40805412139195,7.628892,7,-18.270653829931295,-18.270653829931295,-22.835704422012757,10,-20.408054121391945,173.89159,7,0.021804906,-20.408054121391945,-20.40805412139195
10,1.6590734588035876,0.021053467,1.6590734588035876,0.0,15.863065,0.0,-23.19429546042918,0.0,0.0,416000,-19.368197057857113,7.63902,8,-16.645726274521696,-16.645726274521696,-23.19429546042918,10,-19.368197057857117,178.63818,8,0.0041414876,-19.368197057857117,-19.368197057857113
10,2.0865948037854922,0.019286193,2.0865948037854922,0.0,15.856821,0.0,-21.963050780818268,0.0,0.0,440000,-19.50626741316135,7.6420183,9,-15.665469760397508,-15.665469760397508,-21.963050780818268,10,-19.506267413161357,181.49828,9,0.00012844878,-19.506267413161357,-19.50626741316135
