MetaTest/dial-turn-v1/NumTrajs,MetaTest/Average/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/dial-turn-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTest/dial-turn-v1/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/dial-turn-v1/TerminationRate,MetaTest/Average/MaxReturn,MetaTrain/Average/Alpha,MetaTest/dial-turn-v1/SuccessRate,MetaTrain/Average/PolicyLoss,MetaTest/dial-turn-v1/Iteration,MetaTest/Average/NumTrajs,MetaTest/dial-turn-v1/AverageReturn,MetaTest/dial-turn-v1/StdReturn,MetaTest/dial-turn-v1/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn
10,0.0,8.511377,6.693526406254222,224000,-28.441400355085882,-28.441400355085882,30.293304,-41.63591789097137,-41.63591789097137,6.7286553,0.0,-15.028609328291436,nan,0.0,-5.4522185,0,10,-28.441400355085875,6.693526406254222,-15.028609328291436,0,0.0,-28.441400355085875
10,0.3,7.7371054,196.8089509444224,248000,40.28926029996728,40.28926029996728,202.57434,-44.15348140433403,-44.15348140433403,6.6834607,0.0,630.105660279353,nan,0.3,-13.8448715,1,10,40.289260299967324,196.8089509444224,630.105660279353,1,0.0,40.289260299967324
10,0.0,7.5685105,16.228405919307164,272000,-41.44424031276696,-41.44424031276696,1963.584,-60.82734007028601,-60.82734007028601,6.268858,0.0,-17.486652047711292,nan,0.0,-46.98466,2,10,-41.44424031276696,16.228405919307164,-17.486652047711292,2,0.0,-41.44424031276696
10,0.0,7.8416886,6.999268251299338,296000,-11.723484228911392,-11.723484228911392,18378.197,-31.638756761033193,-31.638756761033193,5.6343317,0.0,-6.183413346062462,nan,0.0,-111.47659,3,10,-11.723484228911394,6.999268251299338,-6.183413346062462,3,0.0,-11.723484228911394
10,0.0,496.2978,5.797736329164525,320000,-60.0539135143433,-60.0539135143433,442604.3,-72.11564968223942,-72.11564968223942,1.3627722,0.0,-51.994597289261264,nan,0.0,-952.55786,4,10,-60.053913514343286,5.797736329164525,-51.994597289261264,4,0.0,-60.053913514343286
10,1.0,1481.6875,884.4416255526223,344000,541.7854469414254,541.7854469414254,464058.9,-39.790832265832115,-39.790832265832115,-0.16041009,0.0,2029.1561694166946,nan,1.0,-2418.6362,5,10,541.7854469414256,884.4416255526223,2029.1561694166946,5,0.0,541.7854469414256
10,0.0,2350.493,10.706177563535803,368000,-78.6587748251283,-78.6587748251283,522481.72,-104.78547349830606,-104.78547349830606,-0.7615438,0.0,-65.71629153270926,nan,0.0,-3376.9175,6,10,-78.65877482512833,10.706177563535803,-65.71629153270926,6,0.0,-78.65877482512833
10,0.0,1113.761,10.357648386587508,392000,-86.5678535626301,-86.5678535626301,470699.28,-98.68407724763503,-98.68407724763503,0.93086123,0.0,-69.75797316009769,nan,0.0,-1428.2605,7,10,-86.56785356263002,10.357648386587508,-69.75797316009769,7,0.0,-86.56785356263002
10,0.5,787.8819,960.5368965439748,416000,398.68002286596453,398.68002286596453,995736.94,-22.736251290513046,-22.736251290513046,-11.477607,0.0,3217.0987416558605,nan,0.5,-40240.1,8,10,398.6800228659646,960.5368965439748,3217.0987416558605,8,0.0,398.6800228659646
10,0.0,563.33673,7.566046245335013,440000,-47.76169948253212,-47.76169948253212,21965616.0,-59.759780416973385,-59.759780416973385,-24.019472,0.0,-34.48853782331147,nan,0.0,-42161.023,9,10,-47.76169948253214,7.566046245335013,-34.48853782331147,9,0.0,-47.76169948253214
