TotalEnvSteps,MetaTest/coffee-push-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/coffee-push-v1/MaxReturn,MetaTest/coffee-push-v1/MinReturn,MetaTest/coffee-push-v1/NumTrajs,MetaTest/coffee-push-v1/StdReturn,MetaTest/Average/SuccessRate,MetaTest/coffee-push-v1/SuccessRate,MetaTest/coffee-push-v1/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/coffee-push-v1/AverageReturn,MetaTest/coffee-push-v1/TerminationRate
224000,128.1074998438112,0,645.097565063927,-94.14183267576627,10,227.28479974863873,0.0,0.0,0,227.28479974863873,10,128.1074998438112,-94.14183267576627,645.097565063927,128.1074998438112,0.0,128.1074998438112,0.0
248000,1515.4587850944959,1,6338.631829837234,-33.934995218229744,10,2437.07956263477,0.0,0.0,1,2437.07956263477,10,1515.4587850944959,-33.934995218229744,6338.631829837234,1515.4587850944954,0.0,1515.4587850944954,0.0
272000,121.43387757047238,2,1007.0500211860938,-50.47804058729487,10,313.6503688488775,0.0,0.0,2,313.6503688488775,10,121.43387757047238,-50.47804058729487,1007.0500211860938,121.43387757047235,0.0,121.43387757047235,0.0
296000,-55.128037086511995,3,-34.8037170623565,-72.04318440649688,10,12.141358986219835,0.0,0.0,3,12.141358986219835,10,-55.128037086511995,-72.04318440649688,-34.8037170623565,-55.12803708651198,0.0,-55.12803708651198,0.0
320000,13505.846946940484,4,126838.84645536635,-34.88085535714792,10,37807.92303575043,0.1,0.1,4,37807.92303575043,10,13505.846946940484,-34.88085535714792,126838.84645536635,13505.846946940484,0.0,13505.846946940484,0.0
344000,35.81103783586509,5,308.61740644756003,-26.77543294919603,10,101.91045568573941,0.0,0.0,5,101.91045568573941,10,35.81103783586509,-26.77543294919603,308.61740644756003,35.81103783586504,0.0,35.81103783586504,0.0
368000,119.16339795136446,6,1740.2906305021072,-100.62414514457947,10,540.9411320573089,0.0,0.0,6,540.9411320573089,10,119.16339795136446,-100.62414514457947,1740.2906305021072,119.16339795136454,0.0,119.16339795136454,0.0
392000,-74.2294318716317,7,-23.287500849102727,-124.5761602227527,10,38.39215413411726,0.0,0.0,7,38.39215413411726,10,-74.2294318716317,-124.5761602227527,-23.287500849102727,-74.2294318716317,0.0,-74.2294318716317,0.0
416000,-32.11865468612238,8,9.348769773305357,-110.56270784920984,10,30.13001554269229,0.0,0.0,8,30.13001554269229,10,-32.11865468612238,-110.56270784920984,9.348769773305357,-32.11865468612237,0.0,-32.11865468612237,0.0
440000,7396.7774940783465,9,74320.39415242765,-112.31326928465907,10,22307.899618772997,0.1,0.1,9,22307.899618772997,10,7396.7774940783465,-112.31326928465907,74320.39415242765,7396.777494078345,0.0,7396.777494078345,0.0
464000,-29.305250413950482,10,84.30796426281101,-55.41538933097131,10,38.68996648603265,0.0,0.0,10,38.68996648603265,10,-29.305250413950482,-55.41538933097131,84.30796426281101,-29.305250413950468,0.0,-29.305250413950468,0.0
488000,-51.860752271640536,11,-23.28884583703094,-104.49505579031982,10,25.834487188790906,0.0,0.0,11,25.834487188790906,10,-51.860752271640536,-104.49505579031982,-23.28884583703094,-51.860752271640536,0.0,-51.860752271640536,0.0
