TotalEnvSteps,MetaTest/coffee-push-v1/AverageDiscountedReturn,MetaTest/coffee-push-v1/MinReturn,MetaTest/coffee-push-v1/StdReturn,MetaTest/coffee-push-v1/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageReturn,MetaTrain/Average/QfLoss,MetaTest/coffee-push-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/coffee-push-v1/TerminationRate,MetaTest/Average/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/NumTrajs,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/coffee-push-v1/NumTrajs,MetaTest/coffee-push-v1/MaxReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn,MetaTest/coffee-push-v1/Iteration,MetaTrain/Average/Alpha
1016000,11751.448224067832,-27.962010227343164,34100.83122537071,0.0,-9.55616,11751.448224067828,2602037.2,11751.448224067828,33,0.0,0.0,22479.32,10,-27.962010227343164,11751.448224067832,0.0,10,114001.25376655231,114001.25376655231,-8325.611,34100.83122537071,33,nan
1040000,10517.624415137516,-43.159247482574266,31634.231404360777,0.0,-11.197785,10517.62441513752,2662869.5,10517.62441513752,34,0.0,0.0,13362.828,10,-43.159247482574266,10517.624415137516,0.0,10,105420.31553552789,105420.31553552789,-15739.593,31634.231404360777,34,nan
1064000,1820.9769102104547,-55.94354064013063,5070.655842572575,0.0,-12.275,1820.9769102104553,3746624.8,1820.9769102104553,35,0.0,0.0,12719.014,10,-55.94354064013063,1820.9769102104547,0.0,10,16986.25923807942,16986.25923807942,-18977.852,5070.655842572575,35,nan
1088000,9875.919212653824,-34.12178333461853,18285.461250876608,0.0,-12.240412,9875.919212653833,2934220.5,9875.919212653833,36,0.0,0.0,17277.979,10,-34.12178333461853,9875.919212653824,0.0,10,60653.75919298366,60653.75919298366,-21598.213,18285.461250876608,36,nan
1112000,210.1284673158347,-53.47253879792723,479.62269629089417,0.0,-11.203988,210.12846731583454,3258821.0,210.12846731583454,37,0.0,0.0,18147.549,10,-53.47253879792723,210.1284673158347,0.0,10,1227.209642529052,1227.209642529052,-23110.52,479.62269629089417,37,nan
1136000,-33.64768903199471,-106.97325947498844,61.35175197079679,0.0,-13.947189,-33.647689031994695,5231404.5,-33.647689031994695,38,0.0,0.0,32383.691,10,-106.97325947498844,-33.64768903199471,0.0,10,132.2178785143959,132.2178785143959,-20397.465,61.35175197079679,38,nan
1160000,3940.532241573398,-110.52517908715461,11565.840463354263,0.1,-11.067036,3940.532241573395,3290753.0,3940.532241573395,39,0.0,0.1,22631.203,10,-110.52517908715461,3940.532241573398,0.0,10,38632.907422182325,38632.907422182325,-13316.784,11565.840463354263,39,nan
1184000,22302.769868374766,-32.294857495621,24235.02810725707,0.3,-12.100602,22302.76986837476,3599377.2,22302.76986837476,40,0.0,0.3,34588.62,10,-32.294857495621,22302.769868374766,0.0,10,70090.60890406944,70090.60890406944,-19087.11,24235.02810725707,40,nan
1208000,23109.928914818585,-114.36353509245599,64051.5003938385,0.3,-12.849173,23109.9289148186,4201765.5,23109.9289148186,41,0.0,0.3,20133.984,10,-114.36353509245599,23109.928914818585,0.0,10,215034.02785999136,215034.02785999136,-27811.31,64051.5003938385,41,nan
1232000,24169.955547491194,-51.43641005538573,37976.73156068456,0.1,-13.582147,24169.955547491194,4478542.0,24169.955547491194,42,0.0,0.1,9301.436,10,-51.43641005538573,24169.955547491194,0.0,10,94105.33694360504,94105.33694360504,-34256.598,37976.73156068456,42,nan
1256000,25030.279876619144,-44.658924007179216,60871.17262285704,0.3,-14.152582,25030.279876619155,4986623.0,25030.279876619155,43,0.0,0.3,14126.013,10,-44.658924007179216,25030.279876619144,0.0,10,202624.63374167396,202624.63374167396,-39298.016,60871.17262285704,43,nan
1280000,32130.19485143545,-67.38162541653382,55788.57458568992,0.3,-13.785084,32130.19485143543,5399739.5,32130.19485143543,44,0.0,0.3,6553.247,10,-67.38162541653382,32130.19485143545,0.0,10,172997.2032594224,172997.2032594224,-35241.043,55788.57458568992,44,nan
1304000,17611.247834593472,-28.507145006633632,32745.64712854718,0.4,-14.496035,17611.247834593465,5735119.0,17611.247834593465,45,0.0,0.4,10302.133,10,-28.507145006633632,17611.247834593472,0.0,10,104499.53066349932,104499.53066349932,-43177.055,32745.64712854718,45,nan
1328000,41693.62905524646,-16.503815690732715,55025.07455880123,0.4,-13.934867,41693.62905524646,6002871.0,41693.62905524646,46,0.0,0.4,9229.126,10,-16.503815690732715,41693.62905524646,0.0,10,157979.21457598786,157979.21457598786,-41727.137,55025.07455880123,46,nan
1352000,18377.63681536263,-51.14688779873907,52988.3913780894,0.2,-11.567228,18377.63681536264,6104505.5,18377.63681536264,47,0.0,0.2,13522.21,10,-51.14688779873907,18377.63681536263,0.0,10,177277.2330108166,177277.2330108166,-17085.691,52988.3913780894,47,nan
1376000,13830.79754753694,-59.22126607931119,18500.28872773779,0.2,-10.500697,13830.797547536946,3850844.8,13830.797547536946,48,0.0,0.2,2193.7385,10,-59.22126607931119,13830.79754753694,0.0,10,50089.088424902555,50089.088424902555,-21584.797,18500.28872773779,48,nan
1400000,47751.69656608122,-20.596837147096487,84439.96009405996,0.5,-10.574141,47751.69656608123,4593503.0,47751.69656608123,49,0.0,0.5,1355.1024,10,-20.596837147096487,47751.69656608122,0.0,10,265937.8831883014,265937.8831883014,-31296.629,84439.96009405996,49,nan
1424000,35983.77338632893,-19.42420038602089,63292.94640462629,0.5,-11.927327,35983.773386328925,6227788.0,35983.773386328925,50,0.0,0.5,1247.7003,10,-19.42420038602089,35983.77338632893,0.0,10,207674.98380489688,207674.98380489688,-41970.87,63292.94640462629,50,nan
1448000,14234.123253459704,-37.43965327492943,19715.096309962537,0.6,-14.842855,14234.123253459702,8805642.0,14234.123253459702,51,0.0,0.6,1412.5028,10,-37.43965327492943,14234.123253459704,0.0,10,58615.232307305756,58615.232307305756,-53560.8,19715.096309962537,51,nan
1472000,42211.201675096796,-18.98386091700055,76805.53971428507,0.5,-16.523062,42211.2016750968,12804676.0,42211.2016750968,52,0.0,0.5,1351.9523,10,-18.98386091700055,42211.201675096796,0.0,10,253474.56227657138,253474.56227657138,-62686.625,76805.53971428507,52,nan
1496000,61342.82703335186,-38.39594622563022,65860.5915149349,0.7,-16.737625,61342.82703335189,14666662.0,61342.82703335189,53,0.0,0.7,653.7161,10,-38.39594622563022,61342.82703335186,0.0,10,162610.5088408062,162610.5088408062,-74207.51,65860.5915149349,53,nan
1520000,48054.06887678457,-27.44405962428357,60009.898325563016,0.5,-16.71475,48054.068876784586,19042672.0,48054.068876784586,54,0.0,0.5,696.3705,10,-27.44405962428357,48054.06887678457,0.0,10,172553.83783878037,172553.83783878037,-85254.06,60009.898325563016,54,nan
1544000,51284.694664977935,-123.56686673199872,89257.54680805777,0.3,-17.31805,51284.694664977964,26156346.0,51284.694664977964,55,0.0,0.3,15118.379,10,-123.56686673199872,51284.694664977935,0.0,10,289056.57950210926,289056.57950210926,-81141.52,89257.54680805777,55,nan
1568000,55969.249849334396,-58.676962528848065,111846.63647038517,0.9,-16.825882,55969.249849334345,26681890.0,55969.249849334345,56,0.0,0.9,3347.6953,10,-58.676962528848065,55969.249849334396,0.0,10,310370.24404264824,310370.24404264824,-95444.88,111846.63647038517,56,nan
1592000,62520.838487851994,-81.72372540453662,99155.34469559311,0.5,-16.415846,62520.83848785197,32627632.0,62520.83848785197,57,0.0,0.5,822.37573,10,-81.72372540453662,62520.838487851994,0.0,10,304867.4133285749,304867.4133285749,-108351.98,99155.34469559311,57,nan
1616000,61353.00657978705,-16.20740343048467,93982.11610504515,0.7,-16.756836,61353.00657978706,45416390.0,61353.00657978706,58,0.0,0.7,921.0471,10,-16.20740343048467,61353.00657978705,0.0,10,264463.79180130403,264463.79180130403,-122109.84,93982.11610504515,58,nan
1640000,36285.7180231063,-110.43131594325995,80161.99732473948,0.2,-16.936625,36285.718023106325,56521636.0,36285.718023106325,59,0.0,0.2,382885.88,10,-110.43131594325995,36285.7180231063,0.0,10,272300.4725719287,272300.4725719287,-47567.367,80161.99732473948,59,nan
1664000,93017.2627678196,-15.949879303619662,105746.88308351251,0.5,-16.942196,93017.26276781961,47545996.0,93017.26276781961,60,0.0,0.5,11244.496,10,-15.949879303619662,93017.2627678196,0.0,10,318659.41885927157,318659.41885927157,-120200.75,105746.88308351251,60,nan
1688000,54762.15501193465,-16.80768215422355,97937.4163329144,0.4,-16.970844,54762.15501193465,55689356.0,54762.15501193465,61,0.0,0.4,1434.272,10,-16.80768215422355,54762.15501193465,0.0,10,323610.74351854535,323610.74351854535,-139993.22,97937.4163329144,61,nan
1712000,56377.5129902376,-90.68075170506896,102590.42859487493,0.4,-17.108362,56377.5129902376,54474652.0,56377.5129902376,62,0.0,0.4,10720.597,10,-90.68075170506896,56377.5129902376,0.0,10,328092.9981129978,328092.9981129978,-130893.02,102590.42859487493,62,nan
1736000,79648.68857909493,-30.127420737463197,90826.04222449723,0.4,-16.850706,79648.68857909495,53952520.0,79648.68857909495,63,0.0,0.4,5169.079,10,-30.127420737463197,79648.68857909493,0.0,10,209081.0157455908,209081.0157455908,-133781.03,90826.04222449723,63,nan
1760000,152166.44817182972,-13.680760370736657,124672.59255307112,0.8,-16.073107,152166.4481718297,58809990.0,152166.4481718297,64,0.0,0.8,880.9297,10,-13.680760370736657,152166.44817182972,0.0,10,292794.9469822073,292794.9469822073,-138530.06,124672.59255307112,64,nan
1784000,34884.7126402703,-18.454890820669878,78684.87439549797,0.4,-16.2387,34884.712640270285,62967810.0,34884.712640270285,65,0.0,0.4,632.8262,10,-18.454890820669878,34884.7126402703,0.0,10,264608.0791789443,264608.0791789443,-134706.4,78684.87439549797,65,nan
1808000,56740.1277508816,-103.11713513248733,90671.32260824936,0.3,-17.450863,56740.12775088156,68481016.0,56740.12775088156,66,0.0,0.3,57900.844,10,-103.11713513248733,56740.1277508816,0.0,10,264350.33454894536,264350.33454894536,-111970.65,90671.32260824936,66,nan
1832000,20731.741049623968,-86.23965344747228,40080.0899280715,0.1,-18.501448,20731.741049623964,66696080.0,20731.741049623964,67,0.0,0.1,24517.057,10,-86.23965344747228,20731.741049623968,0.0,10,133187.207878748,133187.207878748,-116635.52,40080.0899280715,67,nan
1856000,38698.25370680027,-99.2923220897086,75861.98650590466,0.2,-19.417896,38698.25370680027,75482664.0,38698.25370680027,68,0.0,0.2,149492.42,10,-99.2923220897086,38698.25370680027,0.0,10,211359.75056592043,211359.75056592043,-96321.73,75861.98650590466,68,nan
1880000,-80.64911754867833,-120.53899872258039,31.77609402690169,0.0,-18.164276,-80.64911754867833,38692120.0,-80.64911754867833,69,0.0,0.0,40453.438,10,-120.53899872258039,-80.64911754867833,0.0,10,-21.95560810812378,-21.95560810812378,-11151.176,31.77609402690169,69,nan
1904000,122526.3426536357,-0.8482161649190736,120205.50243376901,0.5,-24.176952,122526.34265363563,751660540.0,122526.34265363563,70,0.0,0.5,6123.253,10,-0.8482161649190736,122526.3426536357,0.0,10,304016.6026751526,304016.6026751526,-88313.45,120205.50243376901,70,nan
1928000,133798.81871772013,-14.967871130382173,111644.98757873892,0.6,-20.219847,133798.8187177201,102398960.0,133798.8187177201,71,0.0,0.6,17120.576,10,-14.967871130382173,133798.81871772013,0.0,10,297141.9184851391,297141.9184851391,-143051.95,111644.98757873892,71,nan
1952000,45923.0772575015,-104.04823472562504,84290.51718867026,0.3,-20.117256,45923.07725750149,105143490.0,45923.07725750149,72,0.0,0.3,30407.557,10,-104.04823472562504,45923.0772575015,0.0,10,215529.24266541383,215529.24266541383,-141901.56,84290.51718867026,72,nan
1976000,86451.32020210449,-118.9977475288701,110294.15750362226,0.4,-19.11215,86451.32020210451,100436200.0,86451.32020210451,73,0.0,0.4,47758.09,10,-118.9977475288701,86451.32020210449,0.0,10,275395.1958065081,275395.1958065081,-119127.73,110294.15750362226,73,nan
2000000,91631.70416928927,-39.491642593043416,100474.31580904077,0.5,-17.987196,91631.70416928924,93549624.0,91631.70416928924,74,0.0,0.5,20918.004,10,-39.491642593043416,91631.70416928927,0.0,10,270171.4635913906,270171.4635913906,-111447.02,100474.31580904077,74,nan
2024000,126336.50423604801,7436.637074098065,102688.7920044462,0.6,-18.530188,126336.50423604797,113684900.0,126336.50423604797,75,0.0,0.6,6982.421,10,7436.637074098065,126336.50423604801,0.0,10,280513.2722531158,280513.2722531158,-148003.06,102688.7920044462,75,nan
2048000,184251.79598866942,-19.243663907269916,119577.1980974321,0.8,-19.13393,184251.79598866944,132124480.0,184251.79598866944,76,0.0,0.8,1152.027,10,-19.243663907269916,184251.79598866942,0.0,10,304833.49519315094,304833.49519315094,-180342.31,119577.1980974321,76,nan
2072000,68291.5119110205,-20.12697034965343,83555.65664699471,0.6,-19.651773,68291.51191102051,142887150.0,68291.51191102051,77,0.0,0.6,5596.711,10,-20.12697034965343,68291.5119110205,0.0,10,225213.2452866644,225213.2452866644,-196682.62,83555.65664699471,77,nan
2096000,117894.60672805613,-44.84246055349306,122555.1566570965,0.6,-19.985903,117894.6067280561,186684510.0,117894.6067280561,78,0.0,0.6,1830.179,10,-44.84246055349306,117894.60672805613,0.0,10,305745.3119211418,305745.3119211418,-200800.28,122555.1566570965,78,nan
2120000,13525.41238684599,-133.96219792074777,31000.137381192817,0.2,-20.518335,13525.412386845992,146557820.0,13525.412386845992,79,0.0,0.2,39121.848,10,-133.96219792074777,13525.41238684599,0.0,10,101980.5145249999,101980.5145249999,-171945.53,31000.137381192817,79,nan
2144000,-52.72857199924776,-118.20753183070937,78.72723408913531,0.0,-19.922455,-52.728571999247755,319133440.0,-52.728571999247755,80,0.0,0.0,172661.1,10,-118.20753183070937,-52.72857199924776,0.0,10,122.01139706948643,122.01139706948643,-160660.72,78.72723408913531,80,nan
2168000,20327.770447803974,-87.75702319636392,46373.19836889809,0.1,-22.707832,20327.770447804003,117466290.0,20327.770447804003,81,0.0,0.1,425415.22,10,-87.75702319636392,20327.770447803974,0.0,10,157751.77395768106,157751.77395768106,-113633.95,46373.19836889809,81,nan
2192000,88241.614154613,-55.574052755214176,98148.91904296914,0.5,-19.662178,88241.61415461302,144940060.0,88241.61415461302,82,0.0,0.5,92849.49,10,-55.574052755214176,88241.614154613,0.0,10,224850.39852618022,224850.39852618022,-147361.28,98148.91904296914,82,nan
2216000,107506.489177508,-2.685916503643422,105968.69564697813,0.9,-19.066338,107506.48917750796,152757890.0,107506.48917750796,83,0.0,0.9,5780.441,10,-2.685916503643422,107506.489177508,0.0,10,280509.78382069746,280509.78382069746,-160040.89,105968.69564697813,83,nan
2240000,144560.27274131874,8.509297922915763,124850.4792608333,0.8,-19.34284,144560.27274131868,167982560.0,144560.27274131868,84,0.0,0.8,69975.94,10,8.509297922915763,144560.27274131874,0.0,10,310873.697450898,310873.697450898,-163508.69,124850.4792608333,84,nan
2264000,163239.8435934972,-1.6445071270805496,115719.31258800684,0.9,-19.073307,163239.84359349724,193798910.0,163239.84359349724,85,0.0,0.9,2079.2825,10,-1.6445071270805496,163239.8435934972,0.0,10,325067.13304175774,325067.13304175774,-206405.05,115719.31258800684,85,nan
2288000,97105.80781038024,-19.50688140155685,98107.17874311448,0.8,-19.922777,97105.80781038018,205631040.0,97105.80781038018,86,0.0,0.8,42222.426,10,-19.50688140155685,97105.80781038024,0.0,10,277682.9628793876,277682.9628793876,-226922.5,98107.17874311448,86,nan
2312000,159378.5471989145,8442.199162245526,116616.35895997893,0.7,-20.616566,159378.5471989145,211660820.0,159378.5471989145,87,0.0,0.7,140337.23,10,8442.199162245526,159378.5471989145,0.0,10,313134.5037080095,313134.5037080095,-228466.83,116616.35895997893,87,nan
2336000,126163.5658676493,17857.773422522147,100611.6094843064,0.7,-20.956379,126163.5658676493,229438180.0,126163.5658676493,88,0.0,0.7,1995.3086,10,17857.773422522147,126163.5658676493,0.0,10,274292.0400937499,274292.0400937499,-257958.75,100611.6094843064,88,nan
2360000,104641.76252399583,14.778316869354747,105520.27976003986,0.7,-21.539804,104641.76252399579,244021550.0,104641.76252399579,89,0.0,0.7,1656.8326,10,14.778316869354747,104641.76252399583,0.0,10,257796.0233820517,257796.0233820517,-275250.6,105520.27976003986,89,nan
2384000,96663.31250434235,10.426966628064394,107633.84444098707,0.6,-21.858898,96663.3125043423,255235710.0,96663.3125043423,90,0.0,0.6,2091.9216,10,10.426966628064394,96663.31250434235,0.0,10,334034.472200044,334034.472200044,-284470.4,107633.84444098707,90,nan
2408000,148510.7727629539,-40.82722842269283,112957.86473432647,0.9,-22.735262,148510.77276295386,271268220.0,148510.77276295386,91,0.0,0.9,1617.0623,10,-40.82722842269283,148510.7727629539,0.0,10,316379.41279285646,316379.41279285646,-290576.78,112957.86473432647,91,nan
2432000,79306.47289952514,35.23375657042869,75907.29838604218,0.5,-23.308325,79306.47289952514,278346900.0,79306.47289952514,92,0.0,0.5,6556.0044,10,35.23375657042869,79306.47289952514,0.0,10,268974.99192704476,268974.99192704476,-297201.97,75907.29838604218,92,nan
2456000,89224.97167113252,683.0301412265479,98717.76149767244,0.6,-23.427961,89224.97167113247,285498850.0,89224.97167113247,93,0.0,0.6,2395.386,10,683.0301412265479,89224.97167113252,0.0,10,325261.8382807252,325261.8382807252,-275573.03,98717.76149767244,93,nan
2480000,166331.67851781778,1062.57251402702,88766.96501397186,0.8,-23.12986,166331.6785178178,303152930.0,166331.6785178178,94,0.0,0.8,2442.4587,10,1062.57251402702,166331.67851781778,0.0,10,297515.80404777057,297515.80404777057,-286465.7,88766.96501397186,94,nan
