LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/TerminationRate,Average/MinReturn,policy/LossAfter,policy/LossBefore,Average/AverageReturn,MetaTest/push-back-v1/AverageDiscountedReturn,push-back-v1/AverageReturn,MetaTest/Average/StdReturn,Average/Iteration,MetaTest/push-back-v1/MinReturn,policy/Entropy,MetaTest/push-back-v1/AverageReturn,push-back-v1/MaxReturn,push-back-v1/NumEpisodes,MetaTest/push-back-v1/Iteration,push-back-v1/TerminationRate,Average/SuccessRate,MetaTest/Average/AverageReturn,Average/NumEpisodes,Average/MaxReturn,policy/KL,push-back-v1/StdReturn,MetaTest/push-back-v1/TerminationRate,policy/KLBefore,MetaTest/push-back-v1/StdReturn,MetaTest/Average/Iteration,TotalEnvSteps,push-back-v1/SuccessRate,push-back-v1/Iteration,MetaTest/Average/NumEpisodes,MetaTest/Average/MinReturn,MetaTest/push-back-v1/MaxReturn,MetaTest/push-back-v1/NumEpisodes,Average/AverageDiscountedReturn,push-back-v1/MinReturn,MetaTest/Average/SuccessRate,push-back-v1/AverageDiscountedReturn,policy/dLoss,MetaTest/push-back-v1/SuccessRate,Average/StdReturn,Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn
0.4589483293436374,0.0,-139.91167568124484,-0.07581064,-0.038583394,-92.17448276581287,-97.53286463400678,-92.17448276581287,14.035479543428092,0,-123.32799366618617,5.692001,-97.53286463400678,-52.20597413452769,100,0,0.0,0.0,-97.53286463400678,100,-52.20597413452769,0.0049164537,17.5522886447417,0.0,0.0,14.035479543428092,0,20000,0.0,0,10,-123.32799366618617,-77.27327647218948,10,-35.66943589024767,-139.91167568124484,0.0,-35.66943589024767,0.037227247,0.0,17.5522886447417,0.0,-77.27327647218948,-97.53286463400678
0.4555884837597812,,-139.46660697143443,-0.044964477,-0.022525074,-81.50969061211083,,-81.50969061211083,,1,,5.683884,,-34.46264886597642,100,,0.0,0.0,,100,-34.46264886597642,0.012426691,16.282334833684637,,0.0,,,40000,0.0,1,,,,,-32.288229327406114,-139.46660697143443,,-32.288229327406114,0.022439403,,16.282334833684637,0.0,,
0.4410108545798058,,-104.89108380406493,-0.014145108,-0.00063080445,-67.53089607316973,,-67.53089607316973,,2,,5.672127,,-32.60540942244892,100,,0.0,0.0,,100,-32.60540942244892,0.017607357,12.878424556448373,,0.0,,,60000,0.0,2,,,,,-28.23558296084663,-104.89108380406493,,-28.23558296084663,0.013514304,,12.878424556448373,0.0,,
0.403596086225425,,-86.90110615420436,-0.028139282,-0.009288788,-57.857489867423986,,-57.857489867423986,,3,,5.674451,,-38.705727611321905,100,,0.0,0.0,,100,-38.705727611321905,0.01846518,10.992260470109679,,0.0,,,80000,0.0,3,,,,,-23.98274802123183,-86.90110615420436,,-23.98274802123183,0.018850494,,10.992260470109679,0.0,,
0.12952565589127163,,-98.62063939256635,-0.02441366,0.025705408,-38.73257768318603,,-38.73257768318603,,4,,5.6442266,,369.8497414590776,100,,0.0,0.0,,100,369.8497414590776,0.009868354,67.09510887105641,,0.0,,,100000,0.0,4,,,,,-18.023229002369817,-98.62063939256635,,-18.023229002369817,0.05011907,,67.09510887105641,0.0,,
0.11221219243965064,,-98.90665410705381,-0.08054497,-0.04486848,-44.33870460344129,,-44.33870460344129,,5,,5.6159205,,158.09274317368414,100,,0.0,0.0,,100,158.09274317368414,0.014061005,48.33091299451459,,0.0,,,120000,0.0,5,,,,,-20.663864820609955,-98.90665410705381,,-20.663864820609955,0.03567649,,48.33091299451459,0.0,,
0.19461758707227605,,-134.77200424467972,-0.00076262205,0.073627844,-56.280763340131124,,-56.280763340131124,,6,,5.598081,,418.1043012917241,100,,0.0,0.0,,100,418.1043012917241,0.006605673,74.61955390020665,,0.0,,,140000,0.0,6,,,,,-23.415365577745842,-134.77200424467972,,-23.415365577745842,0.07439046,,74.61955390020665,0.0,,
0.11424374686222749,,-99.0764063848857,-0.034310374,0.1352378,3.1565645507620217,,3.1565645507620217,,7,,5.558535,,513.3708239792677,100,,0.0,0.0,,100,513.3708239792677,0.004958969,128.14640029015308,,0.0,,,160000,0.0,7,,,,,-6.810542394047518,-99.0764063848857,,-6.810542394047518,0.16954817,,128.14640029015308,0.0,,
0.12755950760874446,,-108.47204291165451,-0.16794045,-0.0868249,-31.558528846770887,,-31.558528846770887,,8,,5.542211,,286.36267047911883,100,,0.0,0.0,,100,286.36267047911883,0.0043783286,74.48975156195594,,0.0,,,180000,0.0,8,,,,,-15.911327192413886,-108.47204291165451,,-15.911327192413886,0.08111555,,74.48975156195594,0.0,,
0.11850895537482509,,-117.80781257896075,-0.07091836,-0.0014930664,-43.60593806455264,,-43.60593806455264,,9,,5.5355296,,204.31426641210925,100,,0.0,0.0,,100,204.31426641210925,0.00595187,66.99870335644013,,0.0,,,200000,0.0,9,,,,,-17.083526306001918,-117.80781257896075,,-17.083526306001918,0.06942529,,66.99870335644013,0.0,,
0.1765264202654634,0.0,-99.72654900634481,-0.26169938,-0.08615454,18.880777503628277,-4.893911519110788,18.880777503628277,140.79066822707546,10,-87.28408941603843,5.5167384,-4.893911519110803,701.0869753905644,100,1,0.0,0.0,-4.893911519110803,100,701.0869753905644,0.006507695,148.47418730751158,0.0,0.0,140.79066822707546,1,220000,0.0,10,10,-87.28408941603843,399.96599154136635,10,6.1037794454240215,-99.72654900634481,0.0,6.1037794454240215,0.17554483,0.0,148.47418730751158,0.0,399.96599154136635,-4.893911519110788
0.16725055386483023,,-89.10468501477385,-0.278763,-0.07645603,-2.6064944184475287,,-2.6064944184475287,,11,,5.473214,,1177.4523324817892,100,,0.0,0.0,,100,1177.4523324817892,0.0066923704,178.98845994783184,,0.0,,,240000,0.0,11,,,,,3.471076510671925,-89.10468501477385,,3.471076510671925,0.20230696,,178.98845994783184,0.0,,
0.08794588209018195,,-102.811238280569,-0.28445283,-0.053920705,56.205426433326785,,56.205426433326785,,12,,5.442695,,1407.9150564551414,100,,0.0,0.0,,100,1407.9150564551414,0.004763331,234.95547904317897,,0.0,,,260000,0.0,12,,,,,27.2744709043251,-102.811238280569,,27.2744709043251,0.23053212,,234.95547904317897,0.0,,
0.1723399691911539,,-90.00276281131562,-0.18896623,-0.024510205,-13.463492275360139,,-13.463492275360139,,13,,5.430478,,1333.009930022574,100,,0.0,0.0,,100,1333.009930022574,0.010867796,170.46731593770394,,0.0,,,280000,0.0,13,,,,,-7.563534813794469,-90.00276281131562,,-7.563534813794469,0.16445602,,170.46731593770394,0.0,,
0.11408800356779891,,-95.16339079286719,-0.19650449,-0.08748193,-4.958494556938617,,-4.958494556938617,,14,,5.4157968,,343.79538029427016,100,,0.0,0.0,,100,343.79538029427016,0.005457974,102.50404911441844,,0.0,,,300000,0.0,14,,,,,-4.9114074825808425,-95.16339079286719,,-4.9114074825808425,0.10902256,,102.50404911441844,0.0,,
0.16794398075289485,,-88.44816481919689,-0.4500879,0.25306183,172.1726815769685,,172.1726815769685,,15,,5.378219,,4178.853869412124,100,,0.0,0.0,,100,4178.853869412124,0.010557011,512.9332764574771,,0.0,,,320000,0.0,15,,,,,53.3286259277518,-88.44816481919689,,53.3286259277518,0.70314974,,512.9332764574771,0.0,,
0.1818953824954075,,-89.5365652692028,-0.9503666,-0.04016338,280.63820213444774,,280.63820213444774,,16,,5.370504,,3485.8702892082306,100,,0.0,0.0,,100,3485.8702892082306,0.0078157075,655.3975050761605,,0.0,,,340000,0.0,16,,,,,87.43288019184763,-89.5365652692028,,87.43288019184763,0.9102032,,655.3975050761605,0.0,,
0.17884607212751702,,-85.32698509955459,-0.8714006,0.26828593,453.77882534453335,,453.77882534453335,,17,,5.3361382,,4726.806611340799,100,,0.0,0.0,,100,4726.806611340799,0.006822678,934.0373388112655,,0.0,,,360000,0.0,17,,,,,136.81645556135695,-85.32698509955459,,136.81645556135695,1.1396866,,934.0373388112655,0.0,,
0.20929246060720275,,-86.25102272895683,-0.25651485,1.5542718,763.6787897117081,,763.6787897117081,,18,,5.34163,,11539.036034221137,100,,0.0,0.0,,100,11539.036034221137,0.005348004,1684.8721904171903,,0.0,,,380000,0.0,18,,,,,232.19855939056666,-86.25102272895683,,232.19855939056666,1.8107867,,1684.8721904171903,0.0,,
0.29253419921709267,,-86.18487908408581,-1.8837765,-0.5377555,700.810584471938,,700.810584471938,,19,,5.3459926,,5963.684880480031,100,,0.0,0.0,,100,5963.684880480031,0.0058877715,1298.3539501378298,,0.0,,,400000,0.0,19,,,,,213.2892986275744,-86.18487908408581,,213.2892986275744,1.346021,,1298.3539501378298,0.0,,
0.193919131241147,0.0,-91.21937491058574,-2.05485,-0.5480914,671.1500856436847,440.1777665514513,671.1500856436847,533.7126234199451,20,-76.28940039683714,5.308109,440.17776655145127,8213.848581055621,100,2,0.0,0.0,440.17776655145127,100,8213.848581055621,0.006268672,1456.854143441813,0.0,0.0,533.7126234199451,2,420000,0.0,20,10,-76.28940039683714,1445.891700497524,10,193.1755726125856,-91.21937491058574,0.0,193.1755726125856,1.5067587,0.0,1456.854143441813,0.0,1445.891700497524,440.1777665514513
0.2089803437764428,,-86.15543144181159,-1.3056124,0.6806844,1126.0808021633377,,1126.0808021633377,,21,,5.2547827,,5613.861202716384,100,,0.0,0.0,,100,5613.861202716384,0.0076132948,1424.0584788834283,,0.0,,,440000,0.0,21,,,,,287.7256102519361,-86.15543144181159,,287.7256102519361,1.9862969,,1424.0584788834283,0.0,,
0.3774333310317467,,-93.53538690049723,-1.6098554,0.03689375,803.0660927522756,,803.0660927522756,,22,,5.2029905,,10223.090110791147,100,,0.0,0.0,,100,10223.090110791147,0.0065421667,1743.969333999948,,0.0,,,460000,0.0,22,,,,,239.54621184268169,-93.53538690049723,,239.54621184268169,1.6467491,,1743.969333999948,0.0,,
0.17942746202324233,,-86.47507797851839,-0.6434969,1.0548977,896.3209868369927,,896.3209868369927,,23,,5.180651,,11315.149103873135,100,,0.0,0.0,,100,11315.149103873135,0.007123089,1703.2589978508877,,0.0,,,480000,0.0,23,,,,,247.43671925747128,-86.47507797851839,,247.43671925747128,1.6983945,,1703.2589978508877,0.0,,
0.23103746432584604,,-81.65947981956175,-1.9231648,-0.4574,976.3250205058608,,976.3250205058608,,24,,5.151559,,8303.554935125532,100,,0.0,0.0,,100,8303.554935125532,0.00413295,1529.4452923260876,,0.0,,,500000,0.0,24,,,,,259.2167226643037,-81.65947981956175,,259.2167226643037,1.4657649,,1529.4452923260876,0.0,,
0.3117198628513461,,-88.15922455974624,-2.2796535,-0.15204453,1350.2490002718012,,1350.2490002718012,,25,,5.135312,,8073.788415882662,100,,0.0,0.01,,100,8073.788415882662,0.0052101463,1856.5654717945094,,0.0,,,520000,0.01,25,,,,,423.3532405539608,-88.15922455974624,,423.3532405539608,2.127609,,1856.5654717945094,0.0,,
0.14533546023283883,,-88.04903516362405,-2.4009335,0.7439789,1977.025266071499,,1977.025266071499,,26,,5.1485987,,10228.225186003994,100,,0.0,0.01,,100,10228.225186003994,0.004997301,2501.4614525289517,,0.0,,,540000,0.01,26,,,,,581.2881640175531,-88.04903516362405,,581.2881640175531,3.1449125,,2501.4614525289517,0.0,,
0.24885298872631867,,-88.66096565999034,-0.9866873,-0.22593662,373.0741665238491,,373.0741665238491,,27,,5.1405916,,5499.691946564467,100,,0.0,0.0,,100,5499.691946564467,0.0042754915,986.9885075461814,,0.0,,,560000,0.0,27,,,,,82.85147881878707,-88.66096565999034,,82.85147881878707,0.76075065,,986.9885075461814,0.0,,
