MetaTest/stick-push-v1/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/stick-push-v1/Iteration,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageReturn,MetaTest/stick-push-v1/StdReturn,MetaTrain/Average/AlphaLoss,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn,MetaTest/stick-push-v1/SuccessRate,MetaTest/stick-push-v1/AverageReturn,MetaTest/stick-push-v1/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/stick-push-v1/MaxReturn,TotalEnvSteps,MetaTest/Average/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/stick-push-v1/TerminationRate,MetaTest/stick-push-v1/MinReturn,MetaTrain/Average/Alpha
-18.319477292291385,1.7530626,-18.319477292291385,0,0.0,0,-21.52114822504503,8.462897,-18.31947729229139,2.382696037698798,6.730856,-6.1010704,2.382696037698798,0.0,-18.31947729229139,10,-14.192318759976922,-14.192318759976922,224000,10,0.0,0.0,-21.52114822504503,nan
-18.11586437507311,2.739126,-18.11586437507311,1,0.0,1,-21.840944977297298,8.160373,-18.115864375073112,2.2118232653975554,6.7189107,-10.959062,2.2118232653975554,0.0,-18.115864375073112,10,-15.56979201530118,-15.56979201530118,248000,10,0.0,0.0,-21.840944977297298,nan
-15.936893978341368,3.732268,-15.936893978341368,2,0.0,2,-17.644302609289657,7.8946996,-15.936893978341374,1.3846016314772325,6.702852,-14.9487705,1.3846016314772325,0.0,-15.936893978341374,10,-13.45438588668318,-13.45438588668318,272000,10,0.0,0.0,-17.644302609289657,nan
-11.98047263291258,5.643753,-11.98047263291258,3,0.0,3,-13.891843280262124,7.855742,-11.980472632912578,1.6576253430132353,6.679964,-21.286543,1.6576253430132353,0.0,-11.980472632912578,10,-9.361414639785838,-9.361414639785838,296000,10,0.0,0.0,-13.891843280262124,nan
-10.515102598488532,8.048428,-10.515102598488532,4,0.0,4,-12.852740668697749,7.744533,-10.51510259848853,1.5459444412105687,6.6498613,-27.646095,1.5459444412105687,0.0,-10.51510259848853,10,-8.709046809364006,-8.709046809364006,320000,10,0.0,0.0,-12.852740668697749,nan
-9.68701304148202,10.154217,-9.68701304148202,5,0.0,5,-12.042495719094553,7.7413797,-9.687013041482022,1.4939305845271351,6.614979,-33.65502,1.4939305845271351,0.0,-9.687013041482022,10,-7.253259680930719,-7.253259680930719,344000,10,0.0,0.0,-12.042495719094553,nan
-7.868495047581618,13.159288,-7.868495047581618,6,0.0,6,-10.945302578397294,7.9484687,-7.868495047581618,1.7901894679277806,6.576991,-40.24931,1.7901894679277806,0.0,-7.868495047581618,10,-5.809404852536023,-5.809404852536023,368000,10,0.0,0.0,-10.945302578397294,nan
-7.374765630329333,21.51261,-7.374765630329333,7,0.0,7,-9.827968062244947,12.91676,-7.374765630329333,1.6881280562584435,6.540027,-49.21521,1.6881280562584435,0.0,-7.374765630329333,10,-4.773890361134754,-4.773890361134754,392000,10,0.0,0.0,-9.827968062244947,nan
-7.07816421872962,74.16738,-7.07816421872962,8,0.0,8,-9.613470996532264,3753.7385,-7.078164218729621,1.331534368276322,6.521878,-47.105846,1.331534368276322,0.0,-7.078164218729621,10,-5.79559555978164,-5.79559555978164,416000,10,0.0,0.0,-9.613470996532264,nan
-7.592913088180536,45.124798,-7.592913088180536,9,0.0,9,-10.469860165024999,57.47463,-7.5929130881805325,1.7305392694496347,6.532707,-40.747665,1.7305392694496347,0.0,-7.5929130881805325,10,-5.243739080117346,-5.243739080117346,440000,10,0.0,0.0,-10.469860165024999,nan
-5.971199181312631,87.618866,-5.971199181312631,10,0.0,10,-8.964570968147086,20.906584,-5.971199181312632,1.1845121961088863,6.5125523,-46.12153,1.1845121961088863,0.0,-5.971199181312632,10,-4.845336478518314,-4.845336478518314,464000,10,0.0,0.0,-8.964570968147086,nan
