TotalEnvSteps,MetaTest/Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss,MetaTrain/Average/Alpha,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/plate-slide-v1/AverageReturn,MetaTest/plate-slide-v1/StdReturn,MetaTest/plate-slide-v1/NumEpisodes,MetaTest/plate-slide-v1/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTest/plate-slide-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MinReturn,MetaTest/plate-slide-v1/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/plate-slide-v1/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/plate-slide-v1/Iteration,MetaTest/Average/TerminationRate,MetaTest/plate-slide-v1/MaxReturn
848000,7658.942405503072,2514.3672203899946,-59825.953,27.592445,10,25491.15082584752,-0.5526428,2514.3672203899932,7658.942405503072,10,2514.3672203899946,0.3,26,-60.96323755368181,7770.0854,-60.96323755368181,0.0,2514.3672203899932,0.3,11577078.0,26,0.0,25491.15082584752
872000,822.0980916637354,226.17292365071603,-66452.57,32.011135,10,2691.6256467366647,-2.215739,226.1729236507162,822.0980916637354,10,226.17292365071603,0.2,27,-98.15740798355161,3521.8887,-98.15740798355161,0.0,226.1729236507162,0.2,12701876.0,27,0.0,2691.6256467366647
896000,1725.5564173935425,725.6660115515223,-70532.19,33.95865,10,5525.1374484963035,-1.2962503,725.6660115515226,1725.5564173935425,10,725.6660115515223,0.4,28,-85.48006120177084,3557.4536,-85.48006120177084,0.0,725.6660115515226,0.4,13378598.0,28,0.0,5525.1374484963035
920000,20229.360638247366,6710.703698475222,-73452.26,34.493134,10,67398.73095834574,0.2548267,6710.703698475214,20229.360638247366,10,6710.703698475222,0.3,29,-64.76343131999413,4796.5117,-64.76343131999413,0.0,6710.703698475214,0.3,12989791.0,29,0.0,67398.73095834574
944000,21734.39202031708,12983.996570915831,-78492.445,35.310314,10,62128.14750918099,0.038276184,12983.996570915831,21734.39202031708,10,12983.996570915831,0.3,30,-78.33631137027434,9095.608,-78.33631137027434,0.0,12983.996570915831,0.3,12406516.0,30,0.0,62128.14750918099
968000,25209.62880102056,16209.212195882355,-80144.01,35.78037,10,84580.68243219817,-0.57400125,16209.212195882359,25209.62880102056,10,16209.212195882355,0.6,31,-25.973829457693835,12016.229,-25.973829457693835,0.0,16209.212195882359,0.6,11134446.0,31,0.0,84580.68243219817
992000,55439.000241379756,44053.718471940614,-80838.13,35.3585,10,144176.7952236184,0.53019863,44053.718471940614,55439.000241379756,10,44053.718471940614,0.5,32,-84.37141928765129,8715.779,-84.37141928765129,0.0,44053.718471940614,0.5,10700696.0,32,0.0,144176.7952236184
1016000,62225.04638821218,69243.79309396447,-77914.67,33.728855,10,175998.59273995413,0.9382557,69243.79309396449,62225.04638821218,10,69243.79309396447,0.4,33,5407.625650315375,5981.149,5407.625650315375,0.0,69243.79309396449,0.4,10444304.0,33,0.0,175998.59273995413
1040000,35821.335944040795,19583.931638420232,-75105.63,32.062096,10,101929.23779183322,1.3293306,19583.93163842023,35821.335944040795,10,19583.931638420232,0.1,34,-116.39750623328733,28654.031,-116.39750623328733,0.0,19583.93163842023,0.1,10303061.0,34,0.0,101929.23779183322
1064000,45542.54604598492,33996.28579464593,-76073.57,30.90412,10,147989.92316899414,-0.666871,33996.28579464594,45542.54604598492,10,33996.28579464593,0.3,35,6087.090024962936,14901.574,6087.090024962936,0.0,33996.28579464594,0.3,11747211.0,35,0.0,147989.92316899414
1088000,26050.2946542332,43305.94584534853,-81403.805,33.22894,10,82619.9602482507,-0.23313677,43305.945845348535,26050.2946542332,10,43305.94584534853,0.3,36,11934.009342143056,23416.775,11934.009342143056,0.0,43305.945845348535,0.3,14087840.0,36,0.0,82619.9602482507
1112000,41944.55079987855,83039.01199444485,-83076.42,33.78118,10,140405.85334096124,-0.53239226,83039.01199444487,41944.55079987855,10,83039.01199444485,0.4,37,20512.70455935847,16991.521,20512.70455935847,0.0,83039.01199444487,0.4,15563146.0,37,0.0,140405.85334096124
1136000,51015.28302647381,80772.12177033923,-86128.08,36.379448,10,145787.97056696852,-2.190766,80772.12177033926,51015.28302647381,10,80772.12177033923,0.6,38,5946.4457727169565,7596.211,5946.4457727169565,0.0,80772.12177033926,0.6,17273362.0,38,0.0,145787.97056696852
1160000,41207.32062750132,53813.96924445996,-89133.24,40.503666,10,142426.30170375653,-1.6120267,53813.96924445996,41207.32062750132,10,53813.96924445996,0.1,39,6193.512932126393,16766.184,6193.512932126393,0.0,53813.96924445996,0.1,19152402.0,39,0.0,142426.30170375653
1184000,36996.317907574754,63303.890039276135,-94234.695,43.386333,10,116137.81273572009,-0.54418635,63303.89003927614,36996.317907574754,10,63303.890039276135,0.2,40,13572.496945040599,38860.715,13572.496945040599,0.0,63303.89003927614,0.2,21864798.0,40,0.0,116137.81273572009
1208000,48077.54048000914,69585.67823499198,-96337.9,42.897923,10,173553.47212575396,0.18995568,69585.67823499197,48077.54048000914,10,69585.67823499198,0.5,41,5531.654812582291,14970.22,5531.654812582291,0.0,69585.67823499197,0.5,23097956.0,41,0.0,173553.47212575396
1232000,20003.07107725326,84413.88963110806,-101424.91,43.718784,10,118022.51123882156,-1.3262681,84413.88963110806,20003.07107725326,10,84413.88963110806,0.2,42,59837.48917453993,5466.475,59837.48917453993,0.0,84413.88963110806,0.2,24947528.0,42,0.0,118022.51123882156
1256000,17720.66757401916,45345.304852088106,-101036.37,43.698524,10,66970.12276551512,1.4927795,45345.30485208812,17720.66757401916,10,45345.304852088106,0.1,43,13283.64899807874,15723.421,13283.64899807874,0.0,45345.30485208812,0.1,25629118.0,43,0.0,66970.12276551512
1280000,39015.51980763798,31149.80085753303,-75021.375,40.193405,10,99253.96934585721,6.9135528,31149.80085753303,39015.51980763798,10,31149.80085753303,0.0,44,-94.22256478853193,51548.77,-94.22256478853193,0.0,31149.80085753303,0.0,36639708.0,44,0.0,99253.96934585721
1304000,20544.673876259727,14675.721984734084,-82130.35,37.28404,10,60981.44565581748,-0.68265724,14675.721984734084,20544.673876259727,10,14675.721984734084,0.0,45,-59.55345635444946,28920.977,-59.55345635444946,0.0,14675.721984734084,0.0,25031070.0,45,0.0,60981.44565581748
1328000,41537.68535182724,31055.41859105117,-83554.32,36.525024,10,111672.45572017504,1.9517063,31055.41859105118,41537.68535182724,10,31055.41859105117,0.1,46,-69.41378593334872,24324.703,-69.41378593334872,0.0,31055.41859105118,0.1,24046796.0,46,0.0,111672.45572017504
1352000,42879.18170382286,20479.837173714717,-73564.23,33.78493,10,130404.61495760616,5.2350535,20479.83717371472,42879.18170382286,10,20479.837173714717,0.1,47,-58.695624286669805,41395.07,-58.695624286669805,0.0,20479.83717371472,0.1,21347630.0,47,0.0,130404.61495760616
1376000,31065.674143310698,24515.779131820484,-24897.797,22.720715,10,93994.78374529585,25.053799,24515.779131820473,31065.674143310698,10,24515.779131820484,0.0,48,-59.23819891270458,27981.746,-59.23819891270458,0.0,24515.779131820473,0.0,8054507.5,48,0.0,93994.78374529585
1400000,39785.82318724121,55644.69851168302,-71481.555,26.515242,10,118852.80606433429,-17.082956,55644.69851168302,39785.82318724121,10,55644.69851168302,0.2,49,6023.3474962225155,8616.004,6023.3474962225155,0.0,55644.69851168302,0.2,21460816.0,49,0.0,118852.80606433429
