MetaTest/button-press-v1/MinReturn,MetaTest/button-press-v1/StdReturn,MetaTest/button-press-v1/Iteration,MetaTest/button-press-v1/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/StdReturn,MetaTest/button-press-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/button-press-v1/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTest/button-press-v1/NumTrajs,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/button-press-v1/MaxReturn,MetaTest/button-press-v1/SuccessRate
-111.3269927634351,72189.80963791396,0,0.0,201622.1576595219,-111.3269927634351,72189.80963791396,46719.810755864375,0,0.3,46719.81075586436,10,10,46719.810755864375,224000,0.0,46719.81075586436,201622.1576595219,0.3
-108.68687737956597,43743.41884164617,1,0.0,111751.88948804929,-108.68687737956597,43743.41884164617,28857.391889266342,1,0.4,28857.39188926632,10,10,28857.391889266342,248000,0.0,28857.39188926632,111751.88948804929,0.4
-98.97161021336879,109529.75085560928,2,0.0,360320.93931513565,-98.97161021336879,109529.75085560928,50400.27704568581,2,0.3,50400.27704568581,10,10,50400.27704568581,272000,0.0,50400.27704568581,360320.93931513565,0.3
-29.198967677411215,1407.9096292293386,3,0.0,4309.565779040971,-29.198967677411215,1407.9096292293386,1358.7449493145755,3,0.2,1358.7449493145757,10,10,1358.7449493145755,296000,0.0,1358.7449493145757,4309.565779040971,0.2
-35.63594878363987,1766.030705226476,4,0.0,5143.387638873121,-35.63594878363987,1766.030705226476,835.1669736806878,4,0.4,835.1669736806882,10,10,835.1669736806878,320000,0.0,835.1669736806882,5143.387638873121,0.4
-21.404547606447885,3314.903694019632,5,0.0,9637.036604752371,-21.404547606447885,3314.903694019632,2614.884816076235,5,0.3,2614.8848160762363,10,10,2614.884816076235,344000,0.0,2614.8848160762363,9637.036604752371,0.3
847.903232064652,70418.1582576943,6,0.0,234596.22788796012,847.903232064652,70418.1582576943,36119.60458011936,6,0.8,36119.60458011938,10,10,36119.60458011936,368000,0.0,36119.60458011938,234596.22788796012,0.8
-13.082321200128229,65086.25436361407,7,0.0,221970.95309767165,-13.082321200128229,65086.25436361407,26905.38129542438,7,0.7,26905.38129542438,10,10,26905.38129542438,392000,0.0,26905.38129542438,221970.95309767165,0.7
-56.70966585037746,119548.44122153166,8,0.0,308685.53637392056,-56.70966585037746,119548.44122153166,70634.01218167551,8,0.6,70634.01218167548,10,10,70634.01218167551,416000,0.0,70634.01218167548,308685.53637392056,0.6
-53.387164581054975,110674.69721077954,9,0.0,357909.39609275217,-53.387164581054975,110674.69721077954,84066.19460793717,9,0.2,84066.19460793714,10,10,84066.19460793717,440000,0.0,84066.19460793714,357909.39609275217,0.2
