push-v1/Iteration,GaussianMLPPolicy/LossAfter,MetaTest/push-v1/Iteration,GaussianMLPPolicy/KLAfter,GaussianMLPPolicy/Entropy,MetaTest/push-v1/MaxReturn,MetaTest/push-v1/NumEpisodes,Average/MaxReturn,push-v1/NumEpisodes,MetaTest/push-v1/TerminationRate,MetaTest/Average/SuccessRate,Average/NumEpisodes,Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/TerminationRate,Average/MinReturn,push-v1/AverageReturn,push-v1/MinReturn,push-v1/AverageDiscountedReturn,push-v1/SuccessRate,Iteration,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,GaussianMLPPolicy/LossBefore,Average/StdReturn,push-v1/StdReturn,GaussianMLPPolicy/dLoss,MetaTest/push-v1/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,Average/SuccessRate,push-v1/MaxReturn,MetaTest/push-v1/StdReturn,MetaTest/push-v1/MinReturn,MetaTest/push-v1/AverageDiscountedReturn,Average/TerminationRate,MetaTest/Average/Iteration,Average/Iteration,MetaTest/push-v1/SuccessRate,MetaTest/Average/MaxReturn,Average/AverageReturn,push-v1/TerminationRate,GaussianMLPPolicy/KLBefore
0,-0.0011291706468909979,0,0.008895570412278175,5.677762508392334,6733.145814335715,50,2581.4560895175314,200,0.0,0.0,200,10.158232181287167,50,0.0,-59.12570327314899,37.04738145935998,-59.12570327314899,10.158232181287167,0.0,0,-41.227382663276536,80000,416.4546849249467,6.904592737555504e-05,337.0227968332455,337.0227968332455,0.001198216574266553,416.4546849249467,416.4546849249467,1267.3722195978492,0.0,2581.4560895175314,1267.3722195978492,-41.227382663276536,416.4546849249467,0.0,0,0,0.0,6733.145814335715,37.04738145935998,0.0,0.0
1,-0.001078733941540122,1,0.007056431379169226,5.657940864562988,7326.993702913495,50,43163.65658613123,200,0.0,0.0,200,131.4795065782893,50,0.0,-44.67710262959971,575.6510730400735,-44.67710262959971,131.4795065782893,0.005,1,-29.26112790237227,160000,695.4809328110663,-0.000652841932605952,3284.512263347615,3284.512263347615,0.00042589200893417,695.4809328110663,695.4809328110663,1515.085368121505,0.005,43163.65658613123,1515.085368121505,-29.26112790237227,695.4809328110663,0.0,1,1,0.0,7326.993702913495,575.6510730400735,0.0,0.0
2,0.00018516190175432712,2,0.007322745863348246,5.702588081359863,20655.329932900815,50,18559.516151523567,200,0.0,0.02,200,153.33730353593802,50,0.0,-40.76434624273452,588.2252331771289,-40.76434624273452,153.33730353593802,0.005,2,-31.584849133734618,240000,1318.890592799584,0.00028146320255473256,2089.5565249787473,2089.5565249787473,9.630130080040544e-05,1318.890592799584,1318.890592799584,3326.80596290776,0.005,18559.516151523567,3326.80596290776,-31.584849133734618,1318.890592799584,0.0,2,2,0.02,20655.329932900815,588.2252331771289,0.0,0.0
