push-v1/AverageDiscountedReturn,TotalEnvSteps,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/LossAfter,Average/NumEpisodes,MetaTest/push-v1/TerminationRate,Average/MinReturn,MetaTest/push-v1/StdReturn,MetaTest/push-v1/MaxReturn,Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/Average/MinReturn,GaussianMLPPolicy/KLAfter,MetaTest/Average/TerminationRate,push-v1/MaxReturn,push-v1/SuccessRate,MetaTest/Average/Iteration,GaussianMLPPolicy/LossBefore,MetaTest/Average/SuccessRate,push-v1/StdReturn,Average/TerminationRate,Average/SuccessRate,push-v1/AverageReturn,MetaTest/push-v1/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v1/SuccessRate,push-v1/NumEpisodes,push-v1/TerminationRate,push-v1/Iteration,Average/Iteration,MetaTest/push-v1/MinReturn,Average/MaxReturn,GaussianMLPPolicy/Entropy,MetaTest/push-v1/NumEpisodes,MetaTest/Average/MaxReturn,Iteration,push-v1/MinReturn,Average/AverageReturn,GaussianMLPPolicy/KLBefore,MetaTest/push-v1/Iteration,MetaTest/push-v1/AverageReturn
140.63271455331656,80000,0.0007581109312013723,-0.0008784206584095955,200,0.0,-75.08067701855873,1090.0623792309698,5547.602890958902,140.63271455331656,246.21880497146495,1090.0623792309698,-59.606969259410356,0.006501469761133194,0.0,52799.27228520446,0.015,0,-0.0001203097272082232,0.02,3855.390970257378,0.0,0.015,396.7289924424192,246.2188049714649,50,3855.390970257378,246.2188049714649,0.02,200,0.0,0,0,-59.606969259410356,52799.27228520446,5.673781871795654,50,5547.602890958902,0,-75.08067701855873,396.7289924424192,0.0,0,246.21880497146495
117.35561070404877,160000,0.00017030643357429653,0.00014621175068896264,200,,-61.59930364037217,,,117.35561070404877,,,,0.006715543568134308,,24063.14392823057,0.01,,0.00031651818426325917,,1815.1926713939945,0.0,0.01,312.8676802854295,,,1815.1926713939945,,,200,0.0,1,1,,24063.14392823057,5.698112964630127,,,1,-61.59930364037217,312.8676802854295,0.0,,
418.0760257697958,240000,0.00010512530059259007,-1.7546793742440059e-06,200,,-60.73155474541153,,,418.0760257697958,,,,0.007214483805000782,,36685.03420812592,0.005,,0.00010337062121834606,,3873.075206675256,0.0,0.005,1244.968782661312,,,3873.075206675256,,,200,0.0,2,2,,36685.03420812592,5.7128190994262695,,,2,-60.73155474541153,1244.968782661312,0.0,,
412.10718932814945,320000,1.2944262209657609e-05,6.55544852179446e-07,200,,-52.26586953773088,,,412.10718932814945,,,,0.006732659880071878,,25837.66043958426,0.01,,1.3599807061837055e-05,,2595.3070534716226,0.0,0.01,1142.2970279370782,,,2595.3070534716226,,,200,0.0,3,3,,25837.66043958426,5.725486755371094,,,3,-52.26586953773088,1142.2970279370782,0.0,,
519.5292638963141,400000,9.866833352134563e-06,1.0501755241421051e-05,200,,-40.44749779058781,,,519.5292638963141,,,,0.006522028241306543,,38952.93939410775,0.015,,2.0368588593555614e-05,,3611.6003719727564,0.0,0.015,1493.1784549884005,,,3611.6003719727564,,,200,0.0,4,4,,38952.93939410775,5.745512962341309,,,4,-40.44749779058781,1493.1784549884005,0.0,,
805.3944254459244,480000,2.1648459096468287e-05,-1.8390992408967577e-05,200,,-36.666426673695575,,,805.3944254459244,,,,0.007407610770314932,,22176.973153971823,0.03,,3.2574666875007097e-06,,3446.5598258958776,0.0,0.03,1779.9889045080686,,,3446.5598258958776,,,200,0.0,5,5,,22176.973153971823,5.748077392578125,,,5,-36.666426673695575,1779.9889045080686,0.0,,
1248.7637775798667,560000,6.614389349124394e-06,-8.239780072472058e-06,200,,-30.14127894468791,,,1248.7637775798667,,,,0.003633896354585886,,38239.654506354185,0.02,,-1.6253907233476639e-06,,7256.425265872724,0.0,0.02,3524.631974795875,,,7256.425265872724,,,200,0.0,6,6,,38239.654506354185,5.7462029457092285,,,6,-30.14127894468791,3524.631974795875,0.0,,
2221.2369252461385,640000,9.772543307917658e-08,1.5772906181155122e-06,200,,-23.5812244294263,,,2221.2369252461385,,,,6.894368561916053e-05,,115022.43713303105,0.035,,1.6750160511946888e-06,,11988.466907984875,0.0,0.035,6929.640665306007,,,11988.466907984875,,,200,0.0,7,7,,115022.43713303105,5.747710227966309,,,7,-23.5812244294263,6929.640665306007,0.0,,
1668.0716982523047,720000,1.489471515014884e-07,1.2078641020707437e-06,200,,-32.748743663737876,,,1668.0716982523047,,,,0.00010463451326359063,,83433.97087147336,0.03,,1.356811253572232e-06,,10987.96215565727,0.0,0.03,5149.211942833291,,,10987.96215565727,,,200,0.0,8,8,,83433.97087147336,5.748619079589844,,,8,-32.748743663737876,5149.211942833291,0.0,,
2328.5854004882444,800000,7.945568540890235e-07,6.7393507379165385e-06,200,,-23.87675615200605,,,2328.5854004882444,,,,0.0005085801822133362,,99759.09238568616,0.045,,7.533907592005562e-06,,14390.635660281589,0.0,0.045,6909.660241259573,,,14390.635660281589,,,200,0.0,9,9,,99759.09238568616,5.759241104125977,,,9,-23.87675615200605,6909.660241259573,0.0,,
