handle-press-side-v1/Iteration,MetaTest/Average/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,handle-press-side-v1/AverageReturn,handle-press-side-v1/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,handle-press-side-v1/TerminationRate,MetaTest/handle-press-side-v1/TerminationRate,Average/AverageReturn,MetaTest/handle-press-side-v1/AverageDiscountedReturn,Average/AverageDiscountedReturn,handle-press-side-v1/MinReturn,MetaTest/handle-press-side-v1/SuccessRate,MetaTest/Average/MinReturn,policy/KLBefore,policy/LossAfter,MetaTest/Average/AverageDiscountedReturn,MetaTest/handle-press-side-v1/MaxReturn,MetaTest/handle-press-side-v1/StdReturn,Average/Iteration,MetaTest/handle-press-side-v1/Iteration,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,Average/TerminationRate,handle-press-side-v1/MaxReturn,policy/Entropy,MetaTest/handle-press-side-v1/NumEpisodes,policy/KL,handle-press-side-v1/SuccessRate,MetaTest/handle-press-side-v1/AverageReturn,LinearFeatureBaseline/ExplainedVariance,policy/LossBefore,Average/StdReturn,handle-press-side-v1/NumEpisodes,handle-press-side-v1/AverageDiscountedReturn,Average/NumEpisodes,Average/SuccessRate,Average/MinReturn,policy/dLoss,Average/MaxReturn,TotalEnvSteps,MetaTest/handle-press-side-v1/MinReturn
0,0.0,0.0,9.704928253019565,-63.80986978979827,8.568258877627914,-43.832971207654026,0,0.0,0.0,-63.80986978979827,-59.970249343665486,-23.679534978980655,-82.64835779898388,0.0,-77.19035755388651,0.0,-0.040324196,-59.970249343665486,-43.832971207654026,9.704928253019565,0,0,-59.970249343665486,10,0.0,-40.293877871158315,5.6745825,10,0.0052161673,0.0,-59.970249343665486,0.5024442889371522,-0.023273738,8.568258877627914,100,-23.679534978980655,100,0.0,-82.64835779898388,0.017050458,-40.293877871158315,20000,-77.19035755388651
1,,,,-54.536589029355476,9.589070099956912,,,0.0,,-54.536589029355476,,-20.857626456195053,-84.90105808754545,,,0.0,-0.030575104,,,,1,,,,0.0,-30.500094245061447,5.6810765,,0.019009307,0.0,,0.4860931367606194,-0.012007819,9.589070099956912,100,-20.857626456195053,100,0.0,-84.90105808754545,0.018567286,-30.500094245061447,40000,
2,,,,3.0832062250546652,261.3078933042651,,,0.0,,3.0832062250546652,,-4.032317973339239,-59.02354581870382,,,0.0,-0.5091203,,,,2,,,,0.0,1921.0137652570409,5.6813283,,0.015801886,0.0,,0.13565338422150064,-0.13665195,261.3078933042651,100,-4.032317973339239,100,0.0,-59.02354581870382,0.37246835,1921.0137652570409,60000,
3,,,,737.8251494668039,1367.7093746473613,,,0.0,,737.8251494668039,,265.1077693918327,-52.58962971019951,,,0.0,-1.4531032,,,,3,,,,0.0,8732.390985284952,5.663635,,0.006376734,0.0,,0.14667532195437083,0.49363026,1367.7093746473613,100,265.1077693918327,100,0.0,-52.58962971019951,1.9467335,8732.390985284952,80000,
4,,,,533.997343504875,938.7168241041516,,,0.0,,533.997343504875,,197.0335579972551,-44.166827780781716,,,0.0,0.016469726,,,,4,,,,0.0,4125.475263132024,5.6349587,,0.0061506853,0.0,,0.15245550313438583,1.1172855,938.7168241041516,100,197.0335579972551,100,0.0,-44.166827780781716,1.1008158,4125.475263132024,100000,
5,,,,1091.6360610895242,1562.2228414941774,,,0.0,,1091.6360610895242,,492.755593640057,-43.72809253141244,,,0.0,-0.59113514,,,,5,,,,0.0,8026.577043386812,5.6217494,,0.006119644,0.0,,0.24178440487142183,1.1859379,1562.2228414941774,100,492.755593640057,100,0.0,-43.72809253141244,1.777073,8026.577043386812,120000,
6,,,,1774.740442851118,2663.471966179851,,,0.0,,1774.740442851118,,804.6023096029198,-42.63824315537098,,,0.0,-4.6721983,,,,6,,,,0.0,13146.470020446466,5.5945716,,0.0065040565,0.0,,0.16075492793484025,-1.1566094,2663.471966179851,100,804.6023096029198,100,0.0,-42.63824315537098,3.5155888,13146.470020446466,140000,
7,,,,2380.9112118996954,3205.9373619540165,,,0.0,,2380.9112118996954,,1060.238089263035,-45.174440745106445,,,0.0,-3.1908116,,,,7,,,,0.0,15339.223060030445,5.577723,,0.0047371667,0.0,,0.2289322567719293,0.5736644,3205.9373619540165,100,1060.238089263035,100,0.0,-45.174440745106445,3.764476,15339.223060030445,160000,
8,,,,2555.982867684377,3068.8678230553915,,,0.0,,2555.982867684377,,1103.3089792344927,-41.816637692667896,,,0.0,-2.5517197,,,,8,,,,0.0,12415.054127048834,5.582074,,0.0039545577,0.0,,0.21272172486419805,1.1448039,3068.8678230553915,100,1103.3089792344927,100,0.0,-41.816637692667896,3.6965237,12415.054127048834,180000,
9,,,,3685.792428004518,4522.304933752664,,,0.0,,3685.792428004518,,1441.8391599834501,-47.117747176318794,,,0.0,-6.3516374,,,,9,,,,0.0,16069.342601142138,5.5507045,,0.0041868547,0.0,,0.18426839442209608,-1.9295641,4522.304933752664,100,1441.8391599834501,100,0.0,-47.117747176318794,4.4220734,16069.342601142138,200000,
