MetaTrain/Average/Alpha,MetaTest/Average/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/coffee-pull-v1/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/coffee-pull-v1/Iteration,MetaTrain/Average/QfLoss,MetaTest/coffee-pull-v1/MinReturn,MetaTest/coffee-pull-v1/StdReturn,MetaTrain/Average/PolicyLoss,MetaTest/coffee-pull-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageReturn,MetaTest/coffee-pull-v1/MaxReturn,MetaTest/coffee-pull-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/coffee-pull-v1/NumTrajs,MetaTest/coffee-pull-v1/AverageReturn,MetaTest/Average/NumTrajs,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn
nan,10,-15.665118,0.0,-17.859727710762648,10,1907831.9,-88.9901487120912,25.19680526288809,-39304.855,-49.949451216287514,0.0,324.27057,-49.94945121628753,-17.859727710762648,0.0,25.19680526288809,0.0,464000,10,-49.94945121628753,10,-88.9901487120912,-49.949451216287514
nan,11,-17.57675,0.0,-69.2835155403284,11,7104300.5,-125.32561994892338,21.291091802144305,-20176.66,-90.60078323558683,0.0,2360.6985,-90.60078323558686,-69.2835155403284,0.0,21.291091802144305,0.0,488000,10,-90.60078323558686,10,-125.32561994892338,-90.60078323558683
nan,12,-14.074142,0.0,-22.74111078561437,12,1484691.2,-123.19144253034034,30.023741574926458,-47378.457,-101.5235414535579,0.0,3787.6316,-101.52354145355791,-22.74111078561437,0.0,30.023741574926458,0.0,512000,10,-101.52354145355791,10,-123.19144253034034,-101.5235414535579
nan,13,-12.732423,0.0,1501.221277238347,13,1457142.5,-75.90246115820716,449.96531940198923,-43575.312,216.94038508834325,0.0,2540.1565,216.94038508834336,1501.221277238347,0.0,449.96531940198923,0.0,536000,10,216.94038508834336,10,-75.90246115820716,216.94038508834325
nan,14,-13.297438,0.0,-103.78960009813457,14,3070742.2,-126.74219781000208,6.065817845200942,-17645.682,-115.51642175782911,0.0,544.88385,-115.51642175782914,-103.78960009813457,0.0,6.065817845200942,0.0,560000,10,-115.51642175782914,10,-126.74219781000208,-115.51642175782911
nan,15,-9.023524,0.0,1178.874077953628,15,373574.12,-67.48216171203315,371.8343487045227,-2496.587,63.41563044870129,0.0,593.0085,63.41563044870129,1178.874077953628,0.0,371.8343487045227,0.0,584000,10,63.41563044870129,10,-67.48216171203315,63.41563044870129
nan,16,-11.01508,0.0,-77.91551228718154,16,1645718.9,-99.52970408112394,7.241122773866405,-10027.612,-90.74281084411905,0.0,758.6455,-90.74281084411908,-77.91551228718154,0.0,7.241122773866405,0.0,608000,10,-90.74281084411908,10,-99.52970408112394,-90.74281084411905
nan,17,-9.382004,0.0,-40.98772913774731,17,411248.62,-78.80955954830138,12.051013038260121,-1365.3596,-49.80230978550766,0.0,899.3395,-49.80230978550766,-40.98772913774731,0.0,12.051013038260121,0.0,632000,10,-49.80230978550766,10,-78.80955954830138,-49.80230978550766
nan,18,-8.4841585,0.0,-21.28684143926094,18,923125.94,-71.14737953875407,17.029097634070006,-933.10974,-53.699973691265086,0.0,1202.4396,-53.699973691265086,-21.28684143926094,0.0,17.029097634070006,0.0,656000,10,-53.699973691265086,10,-71.14737953875407,-53.699973691265086
nan,19,-5.625256,0.0,-14.25463529945564,19,176138.02,-59.59846178813146,14.66670013719205,-270.17792,-37.99156559165973,0.0,826.99615,-37.99156559165973,-14.25463529945564,0.0,14.66670013719205,0.0,680000,10,-37.99156559165973,10,-59.59846178813146,-37.99156559165973
nan,20,-0.87228954,0.0,-20.355830239253585,20,194147.58,-125.56707055583571,28.746674167331943,639.5336,-104.09043356756736,0.0,297.2425,-104.09043356756736,-20.355830239253585,0.0,28.746674167331943,0.0,704000,10,-104.09043356756736,10,-125.56707055583571,-104.09043356756736
nan,21,-0.2550349,0.0,9947.51459482588,21,476252.8,-79.37771541587823,3514.3423954329264,-74.15078,1686.0349193458558,0.0,312.71002,1686.0349193458562,9947.51459482588,0.0,3514.3423954329264,0.0,728000,10,1686.0349193458562,10,-79.37771541587823,1686.0349193458558
nan,22,-2.9559147,0.0,77.1681115452722,22,978026.4,-87.81203510231579,45.29189708100716,-1500.3022,-38.01282254071112,0.0,265.93536,-38.0128225407111,77.1681115452722,0.0,45.29189708100716,0.0,752000,10,-38.0128225407111,10,-87.81203510231579,-38.01282254071112
nan,23,-5.450721,0.0,-117.47218266422009,23,4576006.0,-130.55606014670445,4.439655638567358,-2880.4675,-124.51097282221733,0.0,278.795,-124.51097282221731,-117.47218266422009,0.0,4.439655638567358,0.0,776000,10,-124.51097282221731,10,-130.55606014670445,-124.51097282221733
nan,24,-2.703969,0.0,-38.0437610027714,24,288723.97,-92.94449853226754,20.234733259627383,2597.3997,-68.03180566966697,0.0,3439.2993,-68.03180566966697,-38.0437610027714,0.0,20.234733259627383,0.0,800000,10,-68.03180566966697,10,-92.94449853226754,-68.03180566966697
nan,25,-2.983859,0.0,-84.21617170199605,25,291000.0,-122.35900290462642,10.825798574245534,862.89105,-90.49823071105298,0.0,379.05682,-90.498230711053,-84.21617170199605,0.0,10.825798574245534,0.0,824000,10,-90.498230711053,10,-122.35900290462642,-90.49823071105298
nan,26,0.24604382,0.0,-67.49542528227714,26,355407.28,-108.19828340083647,10.23413838542145,1627.9836,-80.63413017554335,0.0,1377.704,-80.63413017554336,-67.49542528227714,0.0,10.23413838542145,0.0,848000,10,-80.63413017554336,10,-108.19828340083647,-80.63413017554335
nan,27,-5.520083,0.0,-42.10109157606576,27,193578.23,-91.94487251726726,15.251427958106252,2671.4253,-62.97406278670862,0.0,2424.37,-62.97406278670862,-42.10109157606576,0.0,15.251427958106252,0.0,872000,10,-62.97406278670862,10,-91.94487251726726,-62.97406278670862
nan,28,-12.590137,0.1,13347.53690947067,28,498135.5,-120.26380884529212,3995.923808184454,-5347.653,1458.570266867542,0.0,350.82883,1458.5702668675412,13347.53690947067,0.0,3995.923808184454,0.1,896000,10,1458.5702668675412,10,-120.26380884529212,1458.570266867542
nan,29,-11.897693,0.0,1683.6795905216247,29,1102594.9,-87.33316403277425,524.2448962043692,-10447.068,112.02670269879964,0.0,87.79484,112.02670269879968,1683.6795905216247,0.0,524.2448962043692,0.0,920000,10,112.02670269879968,10,-87.33316403277425,112.02670269879964
nan,30,-13.584424,0.0,2199.064278209517,30,2358684.8,-87.39976542935823,754.3412792043395,-14600.803,328.9692000076026,0.0,53.842384,328.9692000076026,2199.064278209517,0.0,754.3412792043395,0.0,944000,10,328.9692000076026,10,-87.39976542935823,328.9692000076026
nan,31,-17.383303,0.0,19499.12552232777,31,4831199.0,-41.08195028631018,5838.560497537388,-26092.088,3386.7162629460668,0.0,68.80651,3386.716262946069,19499.12552232777,0.0,5838.560497537388,0.0,968000,10,3386.716262946069,10,-41.08195028631018,3386.7162629460668
nan,32,-20.284733,0.0,2930.9726819176235,32,6409442.0,-110.18656871862669,1221.774124645254,-36522.613,763.1904908073474,0.0,117.481415,763.190490807347,2930.9726819176235,0.0,1221.774124645254,0.0,992000,10,763.190490807347,10,-110.18656871862669,763.1904908073474
nan,33,-20.537918,0.0,4461.981556913157,33,7110524.0,-94.82405831607836,1533.1695575527353,-44485.047,1284.8630413206552,0.0,72.43517,1284.8630413206556,4461.981556913157,0.0,1533.1695575527353,0.0,1016000,10,1284.8630413206556,10,-94.82405831607836,1284.8630413206552
nan,34,-19.8719,0.1,2241.4063429331522,34,7347091.5,-45.79644053272189,814.3872343837511,-46505.875,476.09508514581165,0.0,102.70812,476.0950851458116,2241.4063429331522,0.0,814.3872343837511,0.1,1040000,10,476.0950851458116,10,-45.79644053272189,476.09508514581165
nan,35,-20.49834,0.0,3402.7820648112265,35,7602320.5,-39.54676304489763,1274.9627313169437,-49211.04,1061.3413830826798,0.0,226.12369,1061.3413830826796,3402.7820648112265,0.0,1274.9627313169437,0.0,1064000,10,1061.3413830826796,10,-39.54676304489763,1061.3413830826798
nan,36,-20.86159,0.1,6438.991218706027,36,8341984.5,-56.273082553287416,2092.559292905019,-47260.754,1751.8200103322292,0.0,105.42205,1751.8200103322292,6438.991218706027,0.0,2092.559292905019,0.1,1088000,10,1751.8200103322292,10,-56.273082553287416,1751.8200103322292
nan,37,-22.305655,0.1,7025.026108388595,37,9275281.0,-42.683344165721905,2090.586992727779,-53893.277,1026.2864272910824,0.0,70.513855,1026.2864272910824,7025.026108388595,0.0,2090.586992727779,0.1,1112000,10,1026.2864272910824,10,-42.683344165721905,1026.2864272910824
nan,38,-25.537407,0.0,10071.960488045796,38,11984908.0,-33.5811725868359,3012.1336199765997,-68303.2,1127.192409823809,0.0,54.46722,1127.1924098238073,10071.960488045796,0.0,3012.1336199765997,0.0,1136000,10,1127.1924098238073,10,-33.5811725868359,1127.192409823809
nan,39,-26.85707,0.0,5630.305072369316,39,10789112.0,-29.713605896910583,1661.2490926022726,-69851.55,1111.573206483921,0.0,56.9006,1111.5732064839215,5630.305072369316,0.0,1661.2490926022726,0.0,1160000,10,1111.5732064839215,10,-29.713605896910583,1111.573206483921
nan,40,-26.576258,0.0,607.0348534947008,40,9187851.0,-74.3878826514458,194.31210761680452,-60738.83,70.40134499505058,0.0,58.48536,70.40134499505061,607.0348534947008,0.0,194.31210761680452,0.0,1184000,10,70.40134499505061,10,-74.3878826514458,70.40134499505058
nan,41,-25.242641,0.0,707.4222859253238,41,9742670.0,-83.11699441589131,245.52254678102227,-54379.773,91.63960697469061,0.0,52.847446,91.63960697469062,707.4222859253238,0.0,245.52254678102227,0.0,1208000,10,91.63960697469062,10,-83.11699441589131,91.63960697469061
nan,42,-24.95266,0.1,11542.152240947993,42,11950868.0,-26.065144492837543,3569.048383587949,-58286.13,2030.8484154066646,0.0,49.54153,2030.848415406666,11542.152240947993,0.0,3569.048383587949,0.1,1232000,10,2030.848415406666,10,-26.065144492837543,2030.8484154066646
nan,43,-24.664875,0.0,-68.33443667346425,43,12095128.0,-75.54269980471038,2.3842796800152533,-60425.12,-72.25610326326614,0.0,64.586006,-72.25610326326617,-68.33443667346425,0.0,2.3842796800152533,0.0,1256000,10,-72.25610326326617,10,-75.54269980471038,-72.25610326326614
nan,44,-23.329817,0.3,98418.5088718354,44,14576070.0,-104.48499674905125,28940.041105240463,-64979.473,13354.460884668137,0.0,66.3816,13354.460884668126,98418.5088718354,0.0,28940.041105240463,0.3,1280000,10,13354.460884668126,10,-104.48499674905125,13354.460884668137
nan,45,-22.72018,0.0,2960.058848642804,45,15151233.0,-96.28987554880888,1141.5398104646113,-66950.75,795.895823421853,0.0,52.920147,795.8958234218534,2960.058848642804,0.0,1141.5398104646113,0.0,1304000,10,795.8958234218534,10,-96.28987554880888,795.895823421853
nan,46,-21.177284,0.2,14098.889363057977,46,14946706.0,-97.24622652995679,4950.87000599592,-64845.96,3543.544666739027,0.0,63.433807,3543.544666739027,14098.889363057977,0.0,4950.87000599592,0.2,1328000,10,3543.544666739027,10,-97.24622652995679,3543.544666739027
nan,47,-21.239214,0.0,20795.947971140613,47,17555086.0,-43.796531869274894,7028.74070334446,-71958.8,7242.979092429241,0.0,60.244335,7242.9790924292365,20795.947971140613,0.0,7028.74070334446,0.0,1352000,10,7242.9790924292365,10,-43.796531869274894,7242.979092429241
nan,48,-21.253345,0.2,27288.18527873166,48,22335598.0,1361.5542964508727,6884.205662766403,-88451.516,7676.991958048445,0.0,61.950798,7676.991958048444,27288.18527873166,0.0,6884.205662766403,0.2,1376000,10,7676.991958048444,10,1361.5542964508727,7676.991958048445
nan,49,-20.94999,0.3,44998.46288863333,49,23825056.0,-43.67897495855573,14674.520474453127,-91893.89,15449.069337933275,0.0,160.06793,15449.06933793327,44998.46288863333,0.0,14674.520474453127,0.3,1400000,10,15449.06933793327,10,-43.67897495855573,15449.069337933275
nan,50,-21.946867,0.6,57497.98021382976,50,26111330.0,-80.40779244961986,21227.923587993275,-93706.98,18049.019967858643,0.0,204.08647,18049.019967858647,57497.98021382976,0.0,21227.923587993275,0.6,1424000,10,18049.019967858647,10,-80.40779244961986,18049.019967858643
nan,51,-23.74672,0.3,136345.54223868315,51,32413414.0,2007.1468029942425,44749.83889705026,-108403.13,28405.74280329812,0.0,117.31579,28405.742803298122,136345.54223868315,0.0,44749.83889705026,0.3,1448000,10,28405.742803298122,10,2007.1468029942425,28405.74280329812
nan,52,-24.460493,0.5,73535.63871251648,52,38056216.0,2586.486911749507,22293.189298338126,-122219.42,19375.45586913162,0.0,133.67531,19375.455869131627,73535.63871251648,0.0,22293.189298338126,0.5,1472000,10,19375.455869131627,10,2586.486911749507,19375.45586913162
nan,53,-23.963312,0.3,129773.32431390758,53,42893880.0,472.44790236515337,37862.26329808502,-130121.59,22608.38927072638,0.0,113.28909,22608.38927072637,129773.32431390758,0.0,37862.26329808502,0.3,1496000,10,22608.38927072637,10,472.44790236515337,22608.38927072638
nan,54,-22.872269,0.4,151343.99594541595,54,45284190.0,-23.206721545071098,57796.585605559725,-131335.16,46341.58273597506,0.0,68.45238,46341.58273597506,151343.99594541595,0.0,57796.585605559725,0.4,1520000,10,46341.58273597506,10,-23.206721545071098,46341.58273597506
nan,55,-23.044632,0.3,208385.41987333502,55,51542548.0,-75.97763096544837,62078.0383670513,-134076.5,36962.28618394023,0.0,114.91853,36962.28618394024,208385.41987333502,0.0,62078.0383670513,0.3,1544000,10,36962.28618394024,10,-75.97763096544837,36962.28618394023
nan,56,-24.12862,0.2,117104.40868664662,56,61401360.0,863.7798526507743,33900.202081752366,-147025.1,24453.47031710566,0.0,109.32843,24453.47031710567,117104.40868664662,0.0,33900.202081752366,0.2,1568000,10,24453.47031710567,10,863.7798526507743,24453.47031710566
nan,57,-24.4612,0.2,149505.27267164635,57,75228310.0,-29.271188536608523,56339.19294136862,-164893.08,33462.80359003563,0.0,110.38309,33462.80359003565,149505.27267164635,0.0,56339.19294136862,0.2,1592000,10,33462.80359003565,10,-29.271188536608523,33462.80359003563
nan,58,-24.899805,0.3,178038.4468849612,58,82288530.0,-74.32540263070854,55051.020014058675,-172587.25,29976.17492693686,0.0,144.93982,29976.17492693685,178038.4468849612,0.0,55051.020014058675,0.3,1616000,10,29976.17492693685,10,-74.32540263070854,29976.17492693686
nan,59,-25.038942,0.3,88615.99993526985,59,90280490.0,323.9128253715989,28647.377606479655,-191098.25,22619.243755619224,0.0,182.81407,22619.243755619216,88615.99993526985,0.0,28647.377606479655,0.3,1640000,10,22619.243755619216,10,323.9128253715989,22619.243755619224
nan,60,-24.478773,0.2,78052.31154831771,60,97197140.0,590.5934164291737,27869.07011242761,-200233.56,25660.83223105323,0.0,303.31442,25660.832231053246,78052.31154831771,0.0,27869.07011242761,0.2,1664000,10,25660.832231053246,10,590.5934164291737,25660.83223105323
nan,61,-24.214628,0.2,95287.78171583345,61,107141870.0,1603.5145009785429,31050.944052271185,-213513.56,35643.49453936831,0.0,160.56096,35643.4945393683,95287.78171583345,0.0,31050.944052271185,0.2,1688000,10,35643.4945393683,10,1603.5145009785429,35643.49453936831
nan,62,-24.87777,0.2,113536.01107547207,62,119042360.0,445.8227402884651,34358.93557872137,-231539.61,47422.06828886734,0.0,77.76381,47422.06828886734,113536.01107547207,0.0,34358.93557872137,0.2,1712000,10,47422.06828886734,10,445.8227402884651,47422.06828886734
nan,63,-23.921076,0.1,151159.16113682298,63,132629540.0,602.6534771040043,46596.43792917988,-251566.17,38236.854417526905,0.0,66.61743,38236.854417526934,151159.16113682298,0.0,46596.43792917988,0.1,1736000,10,38236.854417526934,10,602.6534771040043,38236.854417526905
nan,64,-23.784756,0.1,78064.97167425652,64,137700980.0,1925.4489117006628,22051.563768491225,-259985.98,20797.652910238034,0.0,79.254,20797.652910238037,78064.97167425652,0.0,22051.563768491225,0.1,1760000,10,20797.652910238037,10,1925.4489117006628,20797.652910238034
nan,65,-23.727036,0.2,70456.31138562257,65,138483260.0,-49.32488546162349,22017.45308131854,-270843.56,21690.122708513714,0.0,74.8853,21690.122708513718,70456.31138562257,0.0,22017.45308131854,0.2,1784000,10,21690.122708513718,10,-49.32488546162349,21690.122708513714
nan,66,-23.623566,0.1,84811.00320066349,66,137127220.0,-25.887792250630536,31487.739545145687,-277316.2,33332.71991544081,0.0,70.70003,33332.7199154408,84811.00320066349,0.0,31487.739545145687,0.1,1808000,10,33332.7199154408,10,-25.887792250630536,33332.71991544081
nan,67,-23.625145,0.1,134032.62276067844,67,142098370.0,6316.247005050179,34203.46534021711,-293843.47,42471.4643278662,0.0,58.01482,42471.46432786619,134032.62276067844,0.0,34203.46534021711,0.1,1832000,10,42471.46432786619,10,6316.247005050179,42471.4643278662
nan,68,-23.729198,0.0,80135.50308149203,68,142883740.0,2830.556213392463,29507.36305216244,-302268.88,36095.30870127801,0.0,55.61147,36095.308701278,80135.50308149203,0.0,29507.36305216244,0.0,1856000,10,36095.308701278,10,2830.556213392463,36095.30870127801
nan,69,-23.95771,0.3,121990.00032958941,69,136930110.0,21573.338873425975,33526.389921504924,-303772.75,58451.98689624927,0.0,60.865788,58451.98689624929,121990.00032958941,0.0,33526.389921504924,0.3,1880000,10,58451.98689624929,10,21573.338873425975,58451.98689624927
nan,70,-23.926584,0.0,83555.61537232502,70,136516560.0,3790.651383319723,26066.145164765243,-313690.5,39563.979644294486,0.0,51.162132,39563.97964429449,83555.61537232502,0.0,26066.145164765243,0.0,1904000,10,39563.97964429449,10,3790.651383319723,39563.979644294486
nan,71,-24.109,0.3,96201.46239712925,71,133413270.0,6665.189539182606,29167.817281023323,-310488.16,55108.895376760534,0.0,44.15342,55108.895376760534,96201.46239712925,0.0,29167.817281023323,0.3,1928000,10,55108.895376760534,10,6665.189539182606,55108.895376760534
nan,72,-24.143057,0.2,106167.3168571509,72,129028740.0,21208.077224511795,23686.774719908088,-312217.72,49197.69730559918,0.0,57.84948,49197.697305599184,106167.3168571509,0.0,23686.774719908088,0.2,1952000,10,49197.697305599184,10,21208.077224511795,49197.69730559918
nan,73,-24.258747,0.4,171872.29352930546,73,130989940.0,8993.540476510028,44448.76662852572,-313475.6,50761.23610283354,0.0,46.499676,50761.23610283357,171872.29352930546,0.0,44448.76662852572,0.4,1976000,10,50761.23610283357,10,8993.540476510028,50761.23610283354
nan,74,-24.391375,0.4,118328.45368223464,74,129401176.0,21000.893420018067,29243.29776054339,-311115.47,63574.78775668264,0.0,40.955727,63574.78775668264,118328.45368223464,0.0,29243.29776054339,0.4,2000000,10,63574.78775668264,10,21000.893420018067,63574.78775668264
nan,75,-24.837137,0.8,137099.34656288978,75,123274744.0,2160.6316533025574,44917.00063502572,-304511.94,66369.22629561849,0.0,196.76013,66369.2262956185,137099.34656288978,0.0,44917.00063502572,0.8,2024000,10,66369.2262956185,10,2160.6316533025574,66369.22629561849
nan,76,-24.532598,0.8,287106.5786857434,76,120130536.0,15895.6645571863,77119.21755121699,-304344.97,102848.48879636565,0.0,59.625717,102848.48879636561,287106.5786857434,0.0,77119.21755121699,0.8,2048000,10,102848.48879636561,10,15895.6645571863,102848.48879636565
nan,77,-24.427376,0.8,168675.0497401587,77,120367450.0,6156.426963811995,57037.26336918934,-303890.12,66833.08510315206,0.0,54.484444,66833.08510315206,168675.0497401587,0.0,57037.26336918934,0.8,2072000,10,66833.08510315206,10,6156.426963811995,66833.08510315206
nan,78,-24.374327,0.8,214027.01161024475,78,123456310.0,14527.252448629431,58855.873586820686,-305518.75,94467.32656936375,0.0,47.138165,94467.32656936374,214027.01161024475,0.0,58855.873586820686,0.8,2096000,10,94467.32656936374,10,14527.252448629431,94467.32656936375
nan,79,-24.38288,0.7,170554.88899858348,79,124576990.0,13295.872615569786,50516.09590087531,-301861.06,76304.09763272999,0.0,36.99319,76304.09763273,170554.88899858348,0.0,50516.09590087531,0.7,2120000,10,76304.09763273,10,13295.872615569786,76304.09763272999
nan,80,-24.344812,0.6,215042.4103625644,80,129643624.0,16609.244662796187,61479.870495887,-307509.12,74606.77498645503,0.0,41.221157,74606.77498645503,215042.4103625644,0.0,61479.870495887,0.6,2144000,10,74606.77498645503,10,16609.244662796187,74606.77498645503
nan,81,-24.650164,0.8,142521.8039450298,81,129449256.0,7055.16229682466,37764.58315112816,-310296.47,80516.51788502836,0.0,42.71304,80516.51788502836,142521.8039450298,0.0,37764.58315112816,0.8,2168000,10,80516.51788502836,10,7055.16229682466,80516.51788502836
nan,82,-24.649582,0.9,164715.1339444311,82,127481110.0,5421.504875509261,46765.42531134155,-319019.16,86127.93677273806,0.0,36.99618,86127.93677273804,164715.1339444311,0.0,46765.42531134155,0.9,2192000,10,86127.93677273804,10,5421.504875509261,86127.93677273806
nan,83,-24.891273,0.8,190014.87585844565,83,127303150.0,25333.00976024426,46368.15192807702,-321842.06,112988.89333394698,0.0,39.14421,112988.89333394698,190014.87585844565,0.0,46368.15192807702,0.8,2216000,10,112988.89333394698,10,25333.00976024426,112988.89333394698
nan,84,-24.980927,0.3,265816.2094599331,84,124887120.0,11764.744948175347,71272.10288106979,-322252.62,72702.42762032292,0.0,38.369446,72702.42762032292,265816.2094599331,0.0,71272.10288106979,0.3,2240000,10,72702.42762032292,10,11764.744948175347,72702.42762032292
nan,85,-24.977009,0.4,169716.05460165133,85,123813500.0,28096.885163806473,41364.3826271626,-324891.66,83558.29770457896,0.0,37.884735,83558.29770457896,169716.05460165133,0.0,41364.3826271626,0.4,2264000,10,83558.29770457896,10,28096.885163806473,83558.29770457896
nan,86,-24.952017,0.7,174141.28659002393,86,123358310.0,8085.695138629578,53026.320815961015,-328956.75,99378.54477209368,0.0,42.517017,99378.54477209365,174141.28659002393,0.0,53026.320815961015,0.7,2288000,10,99378.54477209365,10,8085.695138629578,99378.54477209368
nan,87,-25.004686,0.7,240386.31344721277,87,120266180.0,8422.059095721259,70368.56685043972,-332873.78,116260.35165516593,0.0,45.94725,116260.3516551659,240386.31344721277,0.0,70368.56685043972,0.7,2312000,10,116260.3516551659,10,8422.059095721259,116260.35165516593
nan,88,-25.118727,0.8,239582.84648949685,88,117784136.0,14758.213975144838,71727.44498931998,-328499.25,168350.27990869223,0.0,66.37517,168350.2799086922,239582.84648949685,0.0,71727.44498931998,0.8,2336000,10,168350.2799086922,10,14758.213975144838,168350.27990869223
nan,89,-25.350752,0.7,226722.3629039782,89,119438456.0,28184.400002877406,58591.45013419015,-335509.72,109151.95176872492,0.0,45.10325,109151.95176872495,226722.3629039782,0.0,58591.45013419015,0.7,2360000,10,109151.95176872495,10,28184.400002877406,109151.95176872492
nan,90,-25.73557,0.5,218003.57754085734,90,116816600.0,670.4875973584428,71200.42183007156,-335971.06,81579.89749935505,0.0,49.898045,81579.89749935508,218003.57754085734,0.0,71200.42183007156,0.5,2384000,10,81579.89749935508,10,670.4875973584428,81579.89749935505
nan,91,-25.842962,0.6,204058.20172580343,91,116285864.0,25720.48771150467,59824.34396928127,-336284.8,81894.9431616638,0.0,49.494453,81894.94316166377,204058.20172580343,0.0,59824.34396928127,0.6,2408000,10,81894.94316166377,10,25720.48771150467,81894.9431616638
nan,92,-25.962894,0.9,271703.66082972096,92,118426150.0,31568.58602960172,70992.71800626196,-332306.75,172631.13434642192,0.0,100.552124,172631.13434642195,271703.66082972096,0.0,70992.71800626196,0.9,2432000,10,172631.13434642195,10,31568.58602960172,172631.13434642192
nan,93,-26.24075,0.7,211450.9353428857,93,118858320.0,58939.80629110736,48096.75627783978,-337570.6,126421.02842761992,0.0,115.837395,126421.02842761995,211450.9353428857,0.0,48096.75627783978,0.7,2456000,10,126421.02842761995,10,58939.80629110736,126421.02842761992
nan,94,-26.59906,0.8,214515.30804283274,94,121273990.0,39632.36021298672,61109.13633609558,-348925.88,123508.95488042108,0.0,54.910023,123508.95488042105,214515.30804283274,0.0,61109.13633609558,0.8,2480000,10,123508.95488042105,10,39632.36021298672,123508.95488042108
