MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/push-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/push-v1/NumEpisodes,MetaTrain/Average/Alpha,MetaTest/push-v1/StdReturn,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/AlphaLoss,MetaTest/Average/TerminationRate,MetaTest/Average/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/push-v1/Iteration,MetaTest/push-v1/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v1/TerminationRate,MetaTest/push-v1/SuccessRate,MetaTest/push-v1/MaxReturn,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/push-v1/MinReturn,MetaTrain/Average/PolicyLoss
115.4505080531615,56000,115.45050805316149,0,10,0.9311737,338.7183515425185,8.481125,6.2689157,0.0,-43.85268248207726,10,0,115.4505080531615,1079.3976720246194,115.45050805316149,0.0,0.0,1079.3976720246194,338.7183515425185,0.0,0.43566534,-43.85268248207726,-1.4577042
151.96816571331402,62000,151.96816571331408,1,10,0.8094663,372.6879021348185,7.7675467,5.4472003,0.0,-45.76355526724335,10,1,151.96816571331402,930.024152166215,151.96816571331408,0.0,0.0,930.024152166215,372.6879021348185,0.0,6.7303896,-45.76355526724335,1.3302519
165.43932600465425,68000,165.43932600465433,2,10,0.7073544,593.5813925255798,9.249283,4.731368,0.0,-48.4765849026857,10,2,165.43932600465425,1945.942732904416,165.43932600465433,0.0,0.0,1945.942732904416,593.5813925255798,0.0,89.197464,-48.4765849026857,3.2729433
-43.117185136713665,74000,-43.11718513671368,3,10,0.63509035,12.950695897727895,15.167652,2.5078297,0.0,-64.44793739066202,10,3,-43.117185136713665,-28.864580670708353,-43.11718513671368,0.0,0.0,-28.864580670708353,12.950695897727895,0.0,11388.314,-64.44793739066202,-24.104746
-89.96881881260397,80000,-89.96881881260397,4,10,0.59318095,8.22612687105061,26.05598,0.5089131,0.0,-99.94249324595026,10,4,-89.96881881260397,-77.15288025486058,-89.96881881260397,0.0,0.0,-77.15288025486058,8.22612687105061,0.0,7140.496,-99.94249324595026,-67.914314
-78.6702057165099,86000,-78.67020571650991,5,10,0.5833555,16.010016557839002,47.177345,0.30797967,0.0,-97.85049867775103,10,5,-78.6702057165099,-48.97612669032437,-78.67020571650991,0.0,0.0,-48.97612669032437,16.010016557839002,0.0,6362.736,-97.85049867775103,-84.95325
-88.24907904732608,92000,-88.24907904732609,6,10,0.5783279,13.621540670185858,75.52964,-0.08986868,0.0,-109.86073923882519,10,6,-88.24907904732608,-72.41882114612015,-88.24907904732609,0.0,0.0,-72.41882114612015,13.621540670185858,0.0,8020.213,-109.86073923882519,-115.451645
-104.72230599993505,98000,-104.72230599993505,7,10,0.6222803,9.289133317030462,80.32173,-1.4158461,0.0,-115.3730978564636,10,7,-104.72230599993505,-88.19181724441498,-104.72230599993505,0.0,0.0,-88.19181724441498,9.289133317030462,0.0,13089.988,-115.3730978564636,-240.09935
-84.00665971862499,104000,-84.00665971862502,8,10,0.71908635,11.558305079122633,109.13194,-1.2013339,0.0,-103.31974406595398,10,8,-84.00665971862499,-63.25666392436613,-84.00665971862502,0.0,0.0,-63.25666392436613,11.558305079122633,0.0,12309.607,-103.31974406595398,-281.9223
-81.6161372526013,110000,-81.6161372526013,9,10,0.81342846,23.648639778174758,207.82953,-1.4537942,0.0,-113.41222654685204,10,9,-81.6161372526013,-37.00361918810451,-81.6161372526013,0.0,0.0,-37.00361918810451,23.648639778174758,0.0,32799.43,-113.41222654685204,-702.56354
