MetaTest/Average/TerminationRate,MetaTest/button-press-v1/SuccessRate,MetaTest/Average/StdReturn,MetaTest/button-press-v1/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/button-press-v1/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/button-press-v1/Iteration,MetaTest/Average/NumTrajs,MetaTest/button-press-v1/StdReturn,MetaTest/button-press-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/Alpha,TotalEnvSteps,MetaTrain/Average/QfLoss,MetaTest/button-press-v1/MaxReturn,MetaTest/button-press-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/button-press-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageReturn,MetaTrain/Average/PolicyLoss
0.0,0.0,5810.783074218694,10,19319.14574475789,0.0,0.0,20,10,5810.783074218694,1886.888968541459,1886.8889685414592,nan,704000,98685490.0,19319.14574475789,1886.8889685414592,-36.927773,20,-64.08509418573595,-64.08509418573595,14944.116,1886.888968541459,-106608.53
0.0,0.9,138988.43546469204,10,358900.28506006586,0.0,0.9,21,10,138988.43546469204,229940.89331147834,229940.89331147828,nan,728000,129993500.0,358900.28506006586,229940.89331147828,-36.97106,21,6046.573206644999,6046.573206644999,4208.4185,229940.89331147834,-166943.45
0.0,0.5,106470.61447273893,10,369356.74024336284,0.0,0.5,22,10,106470.61447273893,68886.11704321681,68886.1170432168,nan,752000,235208340.0,369356.74024336284,68886.1170432168,-36.944046,22,-17.012090947778532,-17.012090947778532,2801.942,68886.11704321681,-422956.7
0.0,0.2,92699.44615921134,10,245094.625851246,0.0,0.2,23,10,92699.44615921134,47106.3791422335,47106.3791422335,nan,776000,283720740.0,245094.625851246,47106.3791422335,-36.919544,23,-42.8709625383893,-42.8709625383893,456.67456,47106.3791422335,-554247.8
0.0,0.5,131820.5628488381,10,359765.36597988073,0.0,0.5,24,10,131820.5628488381,70159.19937251408,70159.19937251406,nan,800000,234189060.0,359765.36597988073,70159.19937251406,-36.773254,24,-17.123572599400042,-17.123572599400042,9506.563,70159.19937251408,-433483.0
0.0,0.7,159487.33837261624,10,375857.9020446644,0.0,0.7,25,10,159487.33837261624,162108.67310915637,162108.67310915625,nan,824000,253435180.0,375857.9020446644,162108.67310915625,-36.683907,25,-17.931002419086333,-17.931002419086333,804.9977,162108.67310915637,-535082.25
0.0,0.0,83234.31235550741,10,280380.5076592552,0.0,0.0,26,10,83234.31235550741,31996.364713165425,31996.364713165425,nan,848000,238461780.0,280380.5076592552,31996.364713165425,-36.655155,26,-112.48202688746571,-112.48202688746571,148369.36,31996.364713165425,-472643.62
0.0,0.6,133646.68164161054,10,369739.3324341092,0.0,0.6,27,10,133646.68164161054,221702.50297218803,221702.502972188,nan,872000,237732460.0,369739.3324341092,221702.502972188,-36.477764,27,12694.195470725483,12694.195470725483,19022.867,221702.50297218803,-490109.88
0.0,0.4,124686.80463519057,10,337300.0786083694,0.0,0.4,28,10,124686.80463519057,92215.46186088244,92215.4618608824,nan,896000,252614900.0,337300.0786083694,92215.4618608824,-36.58453,28,-56.034710466543466,-56.034710466543466,928.7767,92215.46186088244,-499567.03
0.0,0.5,151216.79337381362,10,363788.4784606556,0.0,0.5,29,10,151216.79337381362,166792.51040566643,166792.51040566646,nan,920000,260439340.0,363788.4784606556,166792.51040566646,-36.644,29,-16.26082525721297,-16.26082525721297,1337.902,166792.51040566643,-480603.44
0.0,0.9,135233.35016230054,10,360730.526341377,0.0,0.9,30,10,135233.35016230054,271368.564109594,271368.5641095939,nan,944000,274301470.0,360730.526341377,271368.5641095939,-36.63144,30,2533.0789349016095,2533.0789349016095,1048.0978,271368.564109594,-478950.1
0.0,0.7,152279.2859289034,10,362343.83507356996,0.0,0.7,31,10,152279.2859289034,120084.53269544322,120084.53269544322,nan,968000,282989980.0,362343.83507356996,120084.53269544322,-36.669403,31,-15.635952951054518,-15.635952951054518,968.75,120084.53269544322,-463117.3
0.0,0.6,108830.86311496711,10,347427.38047260843,0.0,0.6,32,10,108830.86311496711,242048.79163994797,242048.7916399481,nan,992000,296281700.0,347427.38047260843,242048.7916399481,-36.71871,32,2568.312348177177,2568.312348177177,887.4361,242048.79163994797,-461949.22
0.0,0.4,97460.84178518088,10,325920.4446629555,0.0,0.4,33,10,97460.84178518088,42807.299652607864,42807.29965260783,nan,1016000,321141660.0,325920.4446629555,42807.29965260783,-36.80946,33,-110.10231571304855,-110.10231571304855,185508.22,42807.299652607864,-352341.12
0.0,0.6,148343.45060162694,10,367464.02413032367,0.0,0.6,34,10,148343.45060162694,218719.1963254537,218719.19632545364,nan,1040000,305564030.0,367464.02413032367,218719.19632545364,-36.778275,34,-15.857182078559925,-15.857182078559925,4988.6,218719.1963254537,-420097.84
0.0,0.9,24759.121118549363,10,369413.12530224485,0.0,0.9,35,10,24759.121118549363,335419.731490777,335419.73149077705,nan,1064000,355008000.0,369413.12530224485,335419.73149077705,-36.67185,35,295669.28370106424,295669.28370106424,802.5842,335419.731490777,-482629.34
0.0,0.3,111605.6818455728,10,327506.11937843036,0.0,0.3,36,10,111605.6818455728,57523.92829142433,57523.92829142428,nan,1088000,365564000.0,327506.11937843036,57523.92829142428,-36.624943,36,-95.35968258238795,-95.35968258238795,16328.825,57523.92829142433,-462491.6
0.0,0.8,111332.0660248943,10,370718.0802454571,0.0,0.8,37,10,111332.0660248943,292193.4443259799,292193.4443259799,nan,1112000,384290530.0,370718.0802454571,292193.4443259799,-36.638596,37,4329.8852002699905,4329.8852002699905,7800.3657,292193.4443259799,-445274.1
0.0,0.7,133978.08735020205,10,365468.656573887,0.0,0.7,38,10,133978.08735020205,261587.24284599762,261587.24284599762,nan,1136000,421623040.0,365468.656573887,261587.24284599762,-36.6127,38,-12.627697114520437,-12.627697114520437,399.78427,261587.24284599762,-482752.25
0.0,0.9,75738.11918276796,10,371928.66686646553,0.0,0.9,39,10,75738.11918276796,326103.1490531027,326103.14905310277,nan,1160000,450514660.0,371928.66686646553,326103.14905310277,-36.668335,39,102239.94494278813,102239.94494278813,489.68512,326103.1490531027,-477926.4
0.0,0.7,129923.02260716248,10,370780.1802622098,0.0,0.7,40,10,129923.02260716248,266888.1960115482,266888.1960115483,nan,1184000,471863840.0,370780.1802622098,266888.1960115483,-36.60749,40,6214.480314478377,6214.480314478377,429.3797,266888.1960115482,-472061.84
0.0,0.8,130200.15679705274,10,376118.5863648229,0.0,0.8,41,10,130200.15679705274,272887.9674843393,272887.96748433926,nan,1208000,497593400.0,376118.5863648229,272887.96748433926,-36.661716,41,-13.442418104346496,-13.442418104346496,371.48926,272887.9674843393,-479546.97
0.0,0.7,134862.0567357756,10,363559.3998032159,0.0,0.7,42,10,134862.0567357756,250018.39410793525,250018.3941079352,nan,1232000,525122940.0,363559.3998032159,250018.3941079352,-36.674553,42,-11.606628854778005,-11.606628854778005,493.89008,250018.39410793525,-476867.47
0.0,0.5,134343.15476255555,10,374814.80304607993,0.0,0.5,43,10,134343.15476255555,76080.09793594145,76080.09793594139,nan,1256000,519085340.0,374814.80304607993,76080.09793594139,-36.704853,43,-12.446649889244524,-12.446649889244524,113727.9,76080.09793594145,-392328.5
0.0,0.6,116287.23690399852,10,355318.25783226156,0.0,0.6,44,10,116287.23690399852,265773.205792883,265773.20579288306,nan,1280000,553962430.0,355318.25783226156,265773.20579288306,-36.658382,44,3444.5969201783846,3444.5969201783846,1540.5499,265773.205792883,-435303.7
0.0,0.7,102973.25101519095,10,361116.6870270311,0.0,0.7,45,10,102973.25101519095,290589.4765793044,290589.47657930444,nan,1304000,588182850.0,361116.6870270311,290589.47657930444,-36.713715,45,2619.6425851820372,2619.6425851820372,512.2597,290589.4765793044,-454974.78
0.0,0.1,2134.403451910945,10,5369.1083478416585,0.0,0.1,46,10,2134.403451910945,1031.8929895144393,1031.8929895144404,nan,1328000,595731500.0,5369.1083478416585,1031.8929895144404,-36.789955,46,-55.79080192753854,-55.79080192753854,15190.237,1031.8929895144393,-437778.94
0.0,0.3,164291.41730704816,10,372241.783100023,0.0,0.3,47,10,164291.41730704816,110539.68624726066,110539.68624726062,nan,1352000,567586240.0,372241.783100023,110539.68624726062,-36.8169,47,-77.67466269912423,-77.67466269912423,7488.691,110539.68624726066,-392286.97
0.0,0.5,152307.19250483866,10,339797.65229885746,0.0,0.5,48,10,152307.19250483866,147238.79582404316,147238.79582404316,nan,1376000,612556400.0,339797.65229885746,147238.79582404316,-36.76523,48,-12.796214263082947,-12.796214263082947,947.682,147238.79582404316,-425133.3
0.0,0.6,148785.9901461963,10,362773.92711311515,0.0,0.6,49,10,148785.9901461963,238038.80766967993,238038.80766968,nan,1400000,625072900.0,362773.92711311515,238038.80766968,-36.785404,49,-12.911419328962573,-12.911419328962573,517.8948,238038.80766967993,-433574.9
0.0,1.0,20598.263453298452,10,365086.2717792782,0.0,1.0,50,10,20598.263453298452,341170.7208576321,341170.72085763223,nan,1424000,628533800.0,365086.2717792782,341170.72085763223,-36.76049,50,292881.0241812265,292881.0241812265,482.4947,341170.7208576321,-431898.62
0.0,0.7,131278.26192069834,10,369923.65754326765,0.0,0.7,51,10,131278.26192069834,252574.98836940053,252574.98836940047,nan,1448000,625411650.0,369923.65754326765,252574.98836940047,-36.73051,51,-13.326498204275318,-13.326498204275318,406.48175,252574.98836940053,-426050.16
0.0,0.2,137514.82008486046,10,370804.96061457356,0.0,0.2,52,10,137514.82008486046,69283.18380106175,69283.18380106174,nan,1472000,611154940.0,370804.96061457356,69283.18380106174,-36.684727,52,-101.39183699576922,-101.39183699576922,124755.81,69283.18380106175,-318785.03
0.0,0.2,141322.92999177324,10,371394.0417594848,0.0,0.2,53,10,141322.92999177324,111818.48769316154,111818.48769316151,nan,1496000,572165900.0,371394.0417594848,111818.48769316151,-36.6897,53,-17.324506472762565,-17.324506472762565,9312.02,111818.48769316154,-359834.4
0.0,0.0,2529.147080710822,10,6139.253174462318,0.0,0.0,54,10,2529.147080710822,2191.823893485679,2191.8238934856795,nan,1520000,613053630.0,6139.253174462318,2191.8238934856795,-36.65693,54,-103.02633554636138,-103.02633554636138,38069.844,2191.823893485679,-367037.2
0.0,0.6,79607.8953138828,10,372011.94938919396,0.0,0.6,55,10,79607.8953138828,288108.35003022844,288108.35003022844,nan,1544000,694293300.0,372011.94938919396,288108.35003022844,-36.54713,55,78080.31571731411,78080.31571731411,40828.3,288108.35003022844,-391127.94
0.0,0.9,70406.05859432399,10,370954.67783313524,0.0,0.9,56,10,70406.05859432399,307557.545974427,307557.5459744269,nan,1568000,706360900.0,370954.67783313524,307557.5459744269,-36.407257,56,109415.96090779419,109415.96090779419,335.90192,307557.545974427,-431157.88
0.0,0.7,124474.94745325312,10,364095.80187292997,0.0,0.7,57,10,124474.94745325312,269946.6688960724,269946.6688960725,nan,1592000,719792400.0,364095.80187292997,269946.6688960725,-36.485897,57,-12.586525337933244,-12.586525337933244,362.81686,269946.6688960724,-436884.53
0.0,0.6,145097.44291706028,10,372233.8420746841,0.0,0.6,58,10,145097.44291706028,229706.4368530737,229706.43685307377,nan,1616000,733517100.0,372233.8420746841,229706.43685307377,-36.439583,58,-11.521251562318268,-11.521251562318268,419.4839,229706.4368530737,-439039.56
0.0,0.8,107392.53577370566,10,366776.31081878766,0.0,0.8,59,10,107392.53577370566,295537.901723144,295537.901723144,nan,1640000,754821250.0,366776.31081878766,295537.901723144,-36.384853,59,-11.512445112801341,-11.512445112801341,451.53738,295537.901723144,-446399.0
0.0,1.0,31870.69688742502,10,366171.4264108663,0.0,1.0,60,10,31870.69688742502,328381.43510644225,328381.4351064422,nan,1664000,776687500.0,366171.4264108663,328381.4351064422,-36.431522,60,256034.66536772848,256034.66536772848,922.89905,328381.43510644225,-447593.75
0.0,0.8,138591.53878455464,10,366210.58301816415,0.0,0.8,61,10,138591.53878455464,275740.55758953444,275740.5575895344,nan,1688000,804831400.0,366210.58301816415,275740.5575895344,-36.418613,61,-11.933012551498386,-11.933012551498386,934.9624,275740.55758953444,-448758.88
0.0,0.5,176844.21075452497,10,366853.0737609013,0.0,0.5,62,10,176844.21075452497,176396.2537025002,176396.25370250014,nan,1712000,828617540.0,366853.0737609013,176396.25370250014,-36.44193,62,-105.32491237807214,-105.32491237807214,4185.9507,176396.2537025002,-451724.12
0.0,0.1,95779.61330079426,10,321067.879296453,0.0,0.1,63,10,95779.61330079426,33820.84583563148,33820.84583563146,nan,1736000,844415360.0,321067.879296453,33820.84583563146,-36.432816,63,-47.074198732971475,-47.074198732971475,6328.9907,33820.84583563148,-452271.5
0.0,0.1,126173.03844798623,10,340674.8302058942,0.0,0.1,64,10,126173.03844798623,64182.6576660051,64182.657666005056,nan,1760000,846263900.0,340674.8302058942,64182.657666005056,-36.442585,64,-67.9266009156443,-67.9266009156443,5846.378,64182.6576660051,-457254.12
0.0,0.2,109445.18920563067,10,348351.98637961963,0.0,0.2,65,10,109445.18920563067,51539.44121702012,51539.441217020096,nan,1784000,848023700.0,348351.98637961963,51539.441217020096,-36.371017,65,-59.531098051926435,-59.531098051926435,5006.21,51539.44121702012,-478578.2
0.0,0.3,141005.83157639214,10,339163.24653457396,0.0,0.3,66,10,141005.83157639214,93286.44807742289,93286.44807742289,nan,1808000,842736450.0,339163.24653457396,93286.44807742289,-36.351906,66,-75.02127955941104,-75.02127955941104,5191.441,93286.44807742289,-493952.12
0.0,0.1,98519.3137695115,10,328896.61926362885,0.0,0.1,67,10,98519.3137695115,33356.97074929267,33356.97074929265,nan,1832000,831187840.0,328896.61926362885,33356.97074929265,-36.36501,67,-93.45282369030808,-93.45282369030808,1384.01,33356.97074929267,-514632.97
0.0,0.2,39940.80658094399,10,134179.46270056532,0.0,0.2,68,10,39940.80658094399,14599.348931060464,14599.348931060473,nan,1856000,844767550.0,134179.46270056532,14599.348931060473,-36.391884,68,-22.87864716933538,-22.87864716933538,2619.2776,14599.348931060464,-541294.1
0.0,0.3,144393.6697379037,10,366717.7422548539,0.0,0.3,69,10,144393.6697379037,88416.32279152294,88416.32279152297,nan,1880000,844044800.0,366717.7422548539,88416.32279152297,-36.417202,69,-103.92183710734201,-103.92183710734201,2909.0242,88416.32279152294,-561574.06
0.0,0.2,139026.88579491104,10,370125.8766763234,0.0,0.2,70,10,139026.88579491104,70433.8419049371,70433.84190493713,nan,1904000,847546240.0,370125.8766763234,70433.84190493713,-36.44737,70,-106.7926688984643,-106.7926688984643,1988.3647,70433.8419049371,-580151.4
0.0,0.2,91454.86046280804,10,307247.94403663033,0.0,0.2,71,10,91454.86046280804,32977.18070363156,32977.18070363156,nan,1928000,841668860.0,307247.94403663033,32977.18070363156,-36.42523,71,-106.38589032012878,-106.38589032012878,2349.463,32977.18070363156,-594434.8
0.0,0.2,62756.03361747725,10,211074.06648456602,0.0,0.2,72,10,62756.03361747725,22899.762698392784,22899.762698392784,nan,1952000,834355600.0,211074.06648456602,22899.762698392784,-36.385773,72,-80.62509227718319,-80.62509227718319,2110.9543,22899.762698392784,-601813.1
0.0,0.1,133910.0546094827,10,372846.8903794516,0.0,0.1,73,10,133910.0546094827,67854.41192909161,67854.41192909164,nan,1976000,842032060.0,372846.8903794516,67854.41192909164,-36.374493,73,-105.44566901960536,-105.44566901960536,3270.2104,67854.41192909161,-610587.5
0.0,0.2,109807.2226067281,10,366790.5426939428,0.0,0.2,74,10,109807.2226067281,37395.819709648975,37395.819709648975,nan,2000000,839871800.0,366790.5426939428,37395.819709648975,-36.39875,74,-103.78363730237893,-103.78363730237893,1680.1117,37395.819709648975,-619098.4
0.0,0.1,106774.29407097468,10,356925.1744443245,0.0,0.1,75,10,106774.29407097468,36666.28945817777,36666.28945817775,nan,2024000,843636300.0,356925.1744443245,36666.28945817775,-36.41593,75,-103.38924708139305,-103.38924708139305,1933.324,36666.28945817777,-623966.2
0.0,0.4,106097.69658855392,10,311667.6643883244,0.0,0.4,76,10,106097.69658855392,54087.93089366831,54087.93089366834,nan,2048000,829249540.0,311667.6643883244,54087.93089366834,-36.405766,76,-105.11901453512984,-105.11901453512984,1728.526,54087.93089366831,-628437.8
0.0,0.2,90385.43297104584,10,302955.4844362862,0.0,0.2,77,10,90385.43297104584,31883.273019644275,31883.273019644304,nan,2072000,850188200.0,302955.4844362862,31883.273019644304,-36.406757,77,-99.83706951183483,-99.83706951183483,1922.013,31883.273019644275,-628310.94
0.0,0.1,110675.8664054951,10,370610.76773073047,0.0,0.1,78,10,110675.8664054951,38676.68513738795,38676.685137387954,nan,2096000,810621000.0,370610.76773073047,38676.685137387954,-36.37462,78,-103.92622931194121,-103.92622931194121,4581.322,38676.68513738795,-625228.2
0.0,0.2,85857.5252974051,10,292137.15591080097,0.0,0.2,79,10,85857.5252974051,42578.32115722567,42578.321157225684,nan,2120000,799434400.0,292137.15591080097,42578.321157225684,-36.399414,79,-107.24949888248811,-107.24949888248811,6553.224,42578.32115722567,-628773.4
0.0,0.2,94072.31112658756,10,315657.5006414517,0.0,0.2,80,10,94072.31112658756,33526.293649202584,33526.29364920258,nan,2144000,798018370.0,315657.5006414517,33526.29364920258,-36.342342,80,-101.06665235061301,-101.06665235061301,6732.421,33526.293649202584,-622435.7
0.0,0.1,100121.92146194352,10,335135.4135617979,0.0,0.1,81,10,100121.92146194352,34831.100674707675,34831.100674707675,nan,2168000,809219260.0,335135.4135617979,34831.100674707675,-36.33222,81,-105.17143091287284,-105.17143091287284,3287.4556,34831.100674707675,-629562.9
0.0,0.3,98242.4990690037,10,280189.9890669812,0.0,0.3,82,10,98242.4990690037,68255.13939946934,68255.13939946934,nan,2192000,796895900.0,280189.9890669812,68255.13939946934,-36.345234,82,-61.04156624675318,-61.04156624675318,1431.7352,68255.13939946934,-641396.4
0.0,0.1,97962.36969778966,10,326843.3930877377,0.0,0.1,83,10,97962.36969778966,32972.55889974943,32972.55889974942,nan,2216000,786210940.0,326843.3930877377,32972.55889974942,-36.340755,83,-77.59443148879575,-77.59443148879575,1172.2854,32972.55889974943,-645509.1
0.0,0.3,44278.53210713215,10,149409.93757109306,0.0,0.3,84,10,44278.53210713215,16858.667815271918,16858.667815271925,nan,2240000,790295360.0,149409.93757109306,16858.667815271925,-36.296093,84,-81.0420588868428,-81.0420588868428,3079.1082,16858.667815271918,-647108.9
0.0,0.0,2069.165505136176,10,5167.490776486354,0.0,0.0,85,10,2069.165505136176,1740.041706320989,1740.0417063209902,nan,2264000,783111200.0,5167.490776486354,1740.0417063209902,-36.312565,85,-99.0211665996711,-99.0211665996711,4384.1235,1740.041706320989,-650700.1
0.0,0.1,94677.17856888662,10,309456.95516297297,0.0,0.1,86,10,94677.17856888662,42199.881834149965,42199.881834149965,nan,2288000,777869900.0,309456.95516297297,42199.881834149965,-36.32363,86,-104.79574598811327,-104.79574598811327,4624.903,42199.881834149965,-654738.44
0.0,0.2,91601.63840877237,10,310653.9500894857,0.0,0.2,87,10,91601.63840877237,37277.612008119104,37277.6120081191,nan,2312000,762545700.0,310653.9500894857,37277.6120081191,-36.35652,87,-105.68359458558125,-105.68359458558125,2254.1553,37277.612008119104,-662377.7
0.0,0.2,125092.31262672298,10,353882.76295941125,0.0,0.2,88,10,125092.31262672298,71614.613224463,71614.61322446304,nan,2336000,772309250.0,353882.76295941125,71614.61322446304,-36.38844,88,-98.35480430585501,-98.35480430585501,3497.614,71614.613224463,-669823.6
0.0,0.1,101924.70928208658,10,342202.5684802095,0.0,0.1,89,10,101924.70928208658,39797.61509314906,39797.615093149056,nan,2360000,762817400.0,342202.5684802095,39797.615093149056,-36.38771,89,-77.96281228393693,-77.96281228393693,2960.2122,39797.61509314906,-679034.6
0.0,0.0,1443.317506075999,10,4282.970423438189,0.0,0.0,90,10,1443.317506075999,620.9533445459087,620.9533445459078,nan,2384000,759956900.0,4282.970423438189,620.9533445459078,-36.413174,90,-94.38329637869528,-94.38329637869528,2743.3096,620.9533445459087,-685036.44
0.0,0.2,98423.94342842732,10,330454.837713144,0.0,0.2,91,10,98423.94342842732,35275.09142823175,35275.09142823175,nan,2408000,762245440.0,330454.837713144,35275.09142823175,-36.449764,91,-76.3441526978546,-76.3441526978546,2821.0981,35275.09142823175,-689391.8
0.0,0.3,101676.70042907554,10,343162.61691427423,0.0,0.3,92,10,101676.70042907554,39421.77676219903,39421.77676219902,nan,2432000,772444800.0,343162.61691427423,39421.77676219902,-36.457993,92,-48.90779263946755,-48.90779263946755,1670.0935,39421.77676219903,-686463.8
