MetaTrain/Average/Alpha,MetaTrain/Average/PolicyLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/dial-turn-v1/MaxReturn,TotalEnvSteps,MetaTest/Average/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/dial-turn-v1/MinReturn,MetaTest/dial-turn-v1/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/dial-turn-v1/SuccessRate,MetaTest/dial-turn-v1/AverageReturn,MetaTest/dial-turn-v1/Iteration,MetaTest/dial-turn-v1/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/dial-turn-v1/StdReturn,MetaTest/dial-turn-v1/NumEpisodes
5.107075,-28354.426,-57.902510377921374,-15.386669289282526,896000,0.0,83345.82,-84.47454151193983,-57.902510377921374,1475347.8,-3.9256737,-57.902510377921374,10,19.865334980319716,0.0,-57.902510377921374,28,0.0,28,-84.47454151193983,0.0,-15.386669289282526,19.865334980319716,10
3.5692759,504.32043,-37.982726315370954,-22.32031714941326,920000,0.0,12813.481,-56.6342116386978,-37.982726315370954,204957.83,18.407238,-37.982726315370954,10,10.761722616314392,0.0,-37.982726315370954,29,0.0,29,-56.6342116386978,0.0,-22.32031714941326,10.761722616314392,10
2.3402598,36.78383,-46.28941661718452,-32.30903335066375,944000,0.1,3513.502,-53.57928193978184,-46.28941661718452,199523.5,5.1755214,-46.28941661718451,10,6.565139125582172,0.1,-46.28941661718451,30,0.0,30,-53.57928193978184,0.0,-32.30903335066375,6.565139125582172,10
1.7749915,-810.4281,-24.83345624757387,-15.79670179004635,968000,0.0,106535.24,-34.39332707387972,-24.83345624757387,23201790.0,2.7572918,-24.83345624757387,10,6.5129084907348975,0.0,-24.83345624757387,31,0.0,31,-34.39332707387972,0.0,-15.79670179004635,6.5129084907348975,10
1.3141279,712.59674,-21.537250722838397,-18.83180652474472,992000,0.8,17274.824,-27.49612319646191,-21.537250722838397,232029.98,2.7336245,-21.537250722838397,10,2.4900811041679076,0.8,-21.537250722838397,32,0.0,32,-27.49612319646191,0.0,-18.83180652474472,2.4900811041679076,10
1.2388904,-1617.66,-81.71131658404423,-40.64926379168623,1016000,0.0,6571.493,-101.83185476003817,-81.71131658404423,224687.69,-0.65956455,-81.71131658404423,10,15.51039694147618,0.0,-81.71131658404423,33,0.0,33,-101.83185476003817,0.0,-40.64926379168623,15.51039694147618,10
1.1851106,-7686.208,7481.284617249157,72333.58281324462,1040000,0.6,142983.39,-100.11467168029515,7481.284617249157,923312.6,-3.8314621,7481.284617249155,10,21633.899923780238,0.6,7481.284617249155,34,0.0,34,-100.11467168029515,0.0,72333.58281324462,21633.899923780238,10
2.0227222,-28193.148,-69.51426720935089,-14.802970408920052,1064000,0.0,79302.08,-118.35685092334143,-69.51426720935089,1213324.2,-13.793753,-69.5142672093509,10,40.46670149565549,0.0,-69.5142672093509,35,0.0,35,-118.35685092334143,0.0,-14.802970408920052,40.46670149565549,10
3.6310017,-23695.322,-27.030824970860998,-10.424642664520697,1088000,0.0,29302.137,-50.91637203422195,-27.030824970860998,497965.25,-14.775188,-27.030824970861005,10,13.549522651846559,0.0,-27.030824970861005,36,0.0,36,-50.91637203422195,0.0,-10.424642664520697,13.549522651846559,10
6.1448674,-381.78,-99.24059350152987,-87.80414220984906,1112000,0.0,144169.5,-118.60025906379116,-99.24059350152987,2381487.5,-4.2918773,-99.24059350152986,10,8.712322415105238,0.0,-99.24059350152986,37,0.0,37,-118.60025906379116,0.0,-87.80414220984906,8.712322415105238,10
4.6070733,23102.824,-126.96667887387176,-115.65690097115491,1136000,0.0,936992.06,-137.78150630968878,-126.96667887387176,16189110.0,12.419968,-126.96667887387173,10,6.916736228596477,0.0,-126.96667887387173,38,0.0,38,-137.78150630968878,0.0,-115.65690097115491,6.916736228596477,10
4.101524,39073.223,-70.77356609516605,-57.049103076849455,1160000,0.0,1530509.8,-74.70926863316033,-70.77356609516605,2017421.6,2.9048028,-70.77356609516602,10,4.954320994153184,0.0,-70.77356609516602,39,0.0,39,-74.70926863316033,0.0,-57.049103076849455,4.954320994153184,10
2.8790722,37160.7,-78.3465709911496,-69.46659840273139,1184000,0.0,125084.19,-88.58966637923906,-78.3465709911496,582462.4,6.595959,-78.34657099114958,10,6.864499497320712,0.0,-78.34657099114958,40,0.0,40,-88.58966637923906,0.0,-69.46659840273139,6.864499497320712,10
1.9697104,16962.951,-73.11807882416815,-44.7072598298698,1208000,0.0,21504.8,-106.4229128531986,-73.11807882416815,419095.38,5.7062006,-73.11807882416817,10,16.210038230430175,0.0,-73.11807882416817,41,0.0,41,-106.4229128531986,0.0,-44.7072598298698,16.210038230430175,10
1.5736846,1156.0992,-118.66393459888623,-99.95287376339277,1232000,0.0,25587.82,-125.9150114769097,-118.66393459888623,1217897.0,-0.46673048,-118.6639345988862,10,7.695307482026425,0.0,-118.6639345988862,42,0.0,42,-125.9150114769097,0.0,-99.95287376339277,7.695307482026425,10
1.5433314,18161.455,-64.96368837738747,-39.740744316260965,1256000,0.0,527854.25,-75.66102078036938,-64.96368837738747,834612.6,1.5668973,-64.96368837738748,10,10.229200871082227,0.0,-64.96368837738748,43,0.0,43,-75.66102078036938,0.0,-39.740744316260965,10.229200871082227,10
1.0919888,8395.389,-97.34106540526113,-74.68701012895707,1280000,0.0,82358.21,-110.81553614362025,-97.34106540526113,555315.3,1.4990413,-97.3410654052611,10,11.157358941209896,0.0,-97.3410654052611,44,0.0,44,-110.81553614362025,0.0,-74.68701012895707,11.157358941209896,10
0.89364105,4449.548,-61.09954892871673,-53.72112198554721,1304000,0.0,12351.54,-71.59238687013274,-61.09954892871673,383128.12,-0.15086469,-61.09954892871674,10,5.102378436815763,0.0,-61.09954892871674,45,0.0,45,-71.59238687013274,0.0,-53.72112198554721,5.102378436815763,10
1.1466228,4410.637,-52.842753348617705,-27.008121892384015,1328000,0.0,155734.56,-79.96487299423157,-52.842753348617705,1391745.2,-0.50763017,-52.84275334861769,10,18.656535844707896,0.0,-52.84275334861769,46,0.0,46,-79.96487299423157,0.0,-27.008121892384015,18.656535844707896,10
1.2875457,1775.1365,-53.52210879774093,-18.653478236511372,1352000,0.0,10977.996,-100.33512404605219,-53.52210879774093,408976.6,-0.3457251,-53.52210879774092,10,26.481090244260386,0.0,-53.52210879774092,47,0.0,47,-100.33512404605219,0.0,-18.653478236511372,26.481090244260386,10
1.4531606,-5370.052,-60.19748315139566,-26.39216888830441,1376000,0.0,18358.492,-109.01336436454763,-60.19748315139566,610693.4,-3.750326,-60.197483151395645,10,28.559937989467205,0.0,-60.197483151395645,48,0.0,48,-109.01336436454763,0.0,-26.39216888830441,28.559937989467205,10
2.4146929,-12603.392,-26.00283842951388,-13.498776491788139,1400000,0.0,97729.44,-42.51353277211428,-26.00283842951388,788849.1,-10.814463,-26.002838429513872,10,11.217522952467807,0.0,-26.002838429513872,49,0.0,49,-42.51353277211428,0.0,-13.498776491788139,11.217522952467807,10
