MetaTest/Average/MinReturn,policy/KLBefore,MetaTest/assembly-v1/Iteration,Average/MaxReturn,Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,assembly-v1/StdReturn,Average/StdReturn,Average/MinReturn,assembly-v1/MinReturn,Average/Iteration,Average/AverageReturn,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/Average/TerminationRate,policy/dLoss,MetaTest/assembly-v1/TerminationRate,assembly-v1/Iteration,LinearFeatureBaseline/ExplainedVariance,assembly-v1/NumEpisodes,MetaTest/assembly-v1/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,assembly-v1/TerminationRate,assembly-v1/AverageDiscountedReturn,Average/TerminationRate,MetaTest/assembly-v1/SuccessRate,assembly-v1/MaxReturn,MetaTest/Average/Iteration,MetaTest/assembly-v1/StdReturn,Average/SuccessRate,MetaTest/Average/SuccessRate,policy/Entropy,MetaTest/Average/StdReturn,policy/LossBefore,assembly-v1/AverageReturn,assembly-v1/SuccessRate,MetaTest/assembly-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/assembly-v1/AverageReturn,Average/NumEpisodes,policy/KL,MetaTest/assembly-v1/NumEpisodes,policy/LossAfter,MetaTest/assembly-v1/MaxReturn
-57.438961238361294,0.0,0,-25.858141938217546,-15.050253616736859,-28.746071007496457,9.866388899093693,9.866388899093693,-65.65784726527401,-65.65784726527401,0,-42.288826183580504,-42.82691396296273,20000,0.0,0.022215918,0.0,0,0.30461058969247334,100,-42.82691396296271,10,0.0,-15.050253616736859,0.0,0.0,-25.858141938217546,0,8.534067863116881,0.0,0.0,5.6864786,8.534067863116881,-0.011583087,-42.288826183580504,0.0,-57.438961238361294,-42.82691396296271,-42.82691396296273,100,0.0058364864,10,-0.033799004,-28.746071007496457
,0.0,,-21.144243011540485,-13.2969440549951,,8.475237129566459,8.475237129566459,-63.176777202283674,-63.176777202283674,1,-35.88849206245058,,40000,,0.0035424866,,1,0.281136718928385,100,,,0.0,-13.2969440549951,0.0,,-21.144243011540485,,,0.0,,5.6727376,,-0.003728711,-35.88849206245058,0.0,,,,100,0.008486673,,-0.0072711976,
,0.0,,-20.342345374937672,-12.25969990362331,,6.951129607869652,6.951129607869652,-52.086478793487174,-52.086478793487174,2,-31.516197961451763,,60000,,0.002935681,,2,0.23152850279127712,100,,,0.0,-12.25969990362331,0.0,,-20.342345374937672,,,0.0,,5.6677194,,0.0047258115,-31.516197961451763,0.0,,,,100,0.009596626,,0.0017901306,
,0.0,,-19.262434479734495,-12.345829161504263,,7.781888168926009,7.781888168926009,-60.01479504938482,-60.01479504938482,3,-32.68436465576905,,80000,,0.0072278255,,3,0.28988674697183725,100,,,0.0,-12.345829161504263,0.0,,-19.262434479734495,,,0.0,,5.6650853,,-0.0047556763,-32.68436465576905,0.0,,,,100,0.011830072,,-0.011983502,
,0.0,,-18.22038915860183,-11.695796395947333,,6.769408380886834,6.769408380886834,-48.126202086784346,-48.126202086784346,4,-29.918296478844578,,100000,,0.00036967173,,4,0.28512628001909557,100,,,0.0,-11.695796395947333,0.0,,-18.22038915860183,,,0.0,,5.652427,,-0.007146471,-29.918296478844578,0.0,,,,100,0.010339144,,-0.007516143,
,0.0,,26.672874478417587,-11.322661722428537,,8.292375794298225,8.292375794298225,-48.64686436131558,-48.64686436131558,5,-28.91209899381248,,120000,,0.002685431,,5,0.2462109791571182,100,,,0.0,-11.322661722428537,0.0,,26.672874478417587,,,0.0,,5.637601,,0.0070478027,-28.91209899381248,0.0,,,,100,0.013075135,,0.0043623718,
,0.0,,-12.931072602550328,-11.426324003160524,,6.624731501102504,6.624731501102504,-46.63002576389201,-46.63002576389201,6,-29.26492409953214,,140000,,-0.0034796812,,6,0.2546141316247039,100,,,0.0,-11.426324003160524,0.0,,-12.931072602550328,,,0.0,,5.606684,,-8.3737184e-05,-29.26492409953214,0.0,,,,100,0.013790216,,0.0033959441,
,0.0,,-14.950819753573997,-11.295698497095565,,6.031508642807849,6.031508642807849,-46.75339851212755,-46.75339851212755,7,-28.89651854398715,,160000,,-0.00072760164,,7,0.26093642298816977,100,,,0.0,-11.295698497095565,0.0,,-14.950819753573997,,,0.0,,5.590485,,-0.0014486145,-28.89651854398715,0.0,,,,100,0.01035393,,-0.0007210129,
,0.0,,-18.768622224463883,-11.205354646403789,,6.4447765659590575,6.4447765659590575,-49.346270249709086,-49.346270249709086,8,-28.20047099573508,,180000,,0.008556136,,8,0.3134676164400394,100,,,0.0,-11.205354646403789,0.0,,-18.768622224463883,,,0.0,,5.588738,,0.0020479553,-28.20047099573508,0.0,,,,100,0.011677032,,-0.0065081804,
,0.0,,-18.446060620531192,-10.934134438405984,,5.606805398995145,5.606805398995145,-46.738772970392006,-46.738772970392006,9,-27.46475710111869,,200000,,0.0004873306,,9,0.32091642477972204,100,,,0.0,-10.934134438405984,0.0,,-18.446060620531192,,,0.0,,5.5720224,,-0.0033709793,-27.46475710111869,0.0,,,,100,0.009062153,,-0.00385831,
