MetaTest/door-unlock-v1/StdReturn,MetaTest/door-unlock-v1/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/door-unlock-v1/SuccessRate,MetaTest/door-unlock-v1/TerminationRate,TotalEnvSteps,MetaTest/Average/NumTrajs,MetaTest/door-unlock-v1/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/door-unlock-v1/Iteration,MetaTest/door-unlock-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/door-unlock-v1/AverageReturn,MetaTest/door-unlock-v1/MinReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,MetaTest/Average/StdReturn
14.232249857610928,-70.27075307831107,-101.4978601128613,0.0,0.0,224000,10,10,0.0,-101.49786011286132,-70.27075307831107,0,-101.49786011286132,0,-101.4978601128613,-124.97289132411008,0.0,-124.97289132411008,14.232249857610928
7.285482738851353,-17.925007079381924,-25.326762037287118,0.3,0.0,248000,10,10,0.0,-25.326762037287114,-17.925007079381924,1,-25.326762037287114,1,-25.326762037287118,-39.097373564402275,0.3,-39.097373564402275,7.285482738851353
4339.249119962266,14434.20338730699,1416.4750390378656,0.2,0.0,272000,10,10,0.0,1416.4750390378658,14434.20338730699,2,1416.4750390378658,2,1416.4750390378656,-41.18555889756519,0.2,-41.18555889756519,4339.249119962266
959.291411907488,3180.6341278963996,315.1164808511399,0.2,0.0,296000,10,10,0.0,315.1164808511399,3180.6341278963996,3,315.1164808511399,3,315.1164808511399,-79.30089555911172,0.2,-79.30089555911172,959.291411907488
4573.21449580374,14217.441314526932,2678.325924612889,0.1,0.0,320000,10,10,0.0,2678.32592461289,14217.441314526932,4,2678.32592461289,4,2678.325924612889,-44.906792016338706,0.1,-44.906792016338706,4573.21449580374
5522.9187695625515,15911.26726164035,2680.693763464024,0.3,0.0,344000,10,10,0.0,2680.6937634640244,15911.26726164035,5,2680.6937634640244,5,2680.693763464024,-55.20016363708889,0.3,-55.20016363708889,5522.9187695625515
14.818312723174596,-17.391920297244045,-32.71825710253017,0.0,0.0,368000,10,10,0.0,-32.71825710253017,-17.391920297244045,6,-32.71825710253017,6,-32.71825710253017,-72.21145504007222,0.0,-72.21145504007222,14.818312723174596
3507.2906877236796,11824.075583543026,1565.601045321164,0.3,0.0,392000,10,10,0.0,1565.6010453211652,11824.075583543026,7,1565.6010453211652,7,1565.601045321164,-78.00048292278441,0.3,-78.00048292278441,3507.2906877236796
11.890977894024076,-18.70846781185569,-31.65385617011167,0.2,0.0,416000,10,10,0.0,-31.65385617011167,-18.70846781185569,8,-31.65385617011167,8,-31.65385617011167,-60.513867663968355,0.2,-60.513867663968355,11.890977894024076
423.8249776895935,1345.8687273506705,159.71739672045277,0.1,0.0,440000,10,10,0.0,159.71739672045274,1345.8687273506705,9,159.71739672045274,9,159.71739672045277,-74.02312888011083,0.1,-74.02312888011083,423.8249776895935
459.2967105229657,1498.5576274016744,148.40581299258002,0.3,0.0,464000,10,10,0.0,148.40581299258002,1498.5576274016744,10,148.40581299258002,10,148.40581299258002,-72.08808171815838,0.3,-72.08808171815838,459.2967105229657
25.395008605329554,-38.46128091170931,-85.1529798054698,0.0,0.0,488000,10,10,0.0,-85.15297980546981,-38.46128091170931,11,-85.15297980546981,11,-85.1529798054698,-107.13913945956742,0.0,-107.13913945956742,25.395008605329554
7513.024060179511,19858.62385480301,4971.607346118214,0.0,0.0,512000,10,10,0.0,4971.607346118215,19858.62385480301,12,4971.607346118215,12,4971.607346118214,-107.53407379609425,0.0,-107.53407379609425,7513.024060179511
1838.6561344462518,6118.013166759092,626.7324039640466,0.1,0.0,536000,10,10,0.0,626.7324039640469,6118.013166759092,13,626.7324039640469,13,626.7324039640466,-76.7546732084265,0.1,-76.7546732084265,1838.6561344462518
3216.426367406275,10817.891919049565,1590.032559107969,0.2,0.0,560000,10,10,0.0,1590.0325591079686,10817.891919049565,14,1590.0325591079686,14,1590.032559107969,-77.86690739391156,0.2,-77.86690739391156,3216.426367406275
5121.494390723822,15111.027376254104,3568.5646357658065,0.3,0.0,584000,10,10,0.0,3568.564635765808,15111.027376254104,15,3568.564635765808,15,3568.5646357658065,-70.86001372961569,0.3,-70.86001372961569,5121.494390723822
7392.22318973487,16447.3534327724,6204.056297680425,0.0,0.0,608000,10,10,0.0,6204.056297680424,16447.3534327724,16,6204.056297680424,16,6204.056297680425,-85.46128706815854,0.0,-85.46128706815854,7392.22318973487
8660.941518794647,25416.393970063917,4189.500302142249,0.3,0.0,632000,10,10,0.0,4189.500302142247,25416.393970063917,17,4189.500302142247,17,4189.500302142249,-46.300932628885455,0.3,-46.300932628885455,8660.941518794647
6832.593001033247,16179.678045447492,4380.74236463282,0.2,0.0,656000,10,10,0.0,4380.742364632819,16179.678045447492,18,4380.742364632819,18,4380.74236463282,-71.6617656119203,0.2,-71.6617656119203,6832.593001033247
6475.0429828354545,15988.687005654747,6287.025362696148,0.2,0.0,680000,10,10,0.0,6287.025362696144,15988.687005654747,19,6287.025362696144,19,6287.025362696148,-38.84097043186028,0.2,-38.84097043186028,6475.0429828354545
5583.8906590102515,16090.817915910065,3111.7496216940153,0.1,0.0,704000,10,10,0.0,3111.749621694014,16090.817915910065,20,3111.749621694014,20,3111.7496216940153,-41.90390888413316,0.1,-41.90390888413316,5583.8906590102515
