MetaTest/reach-v1/MinReturn,MetaTest/reach-v1/SuccessRate,TotalEnvSteps,MetaTest/reach-v1/NumEpisodes,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTrain/Average/QfLoss,MetaTest/reach-v1/StdReturn,MetaTrain/Average/Alpha,MetaTest/Average/MaxReturn,MetaTrain/Average/PolicyLoss,MetaTest/reach-v1/AverageReturn,MetaTest/reach-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/Average/NumEpisodes,MetaTest/Average/MinReturn,MetaTest/reach-v1/TerminationRate,MetaTest/reach-v1/MaxReturn,MetaTest/reach-v1/Iteration
1857.2994476415322,0.0,56000,10,5509.919576872629,0.0,102875.1,5509.9195768726295,3578.3218277385536,6189777.0,3578.3218277385536,1.0379732,14902.549235364842,-3708.534,5509.919576872629,5509.9195768726295,-3.361536,0,0.0,10,1857.2994476415322,0.0,14902.549235364842,0
274.1315689126578,0.0,62000,10,529.5116614801562,0.0,27832.98,529.5116614801562,165.02812001710205,5475405.5,165.02812001710205,1.2184285,774.8406808113626,-11428.715,529.5116614801562,529.5116614801562,-7.8932996,1,0.0,10,274.1315689126578,0.0,774.8406808113626,1
243.01914642199412,0.0,68000,10,1480.936549775,0.0,22940.137,1480.936549775,3120.8759535601293,5727529.5,3120.8759535601293,1.4528228,10831.567893017715,-18356.469,1480.936549775,1480.936549775,-9.160514,2,0.0,10,243.01914642199412,0.0,10831.567893017715,2
345.1156534213154,0.0,74000,10,648.7917036627053,0.0,11841.175,648.7917036627053,229.6623579881345,6356702.5,229.6623579881345,1.6825778,1143.7594940973872,-21819.96,648.7917036627053,648.7917036627053,-7.4991307,3,0.0,10,345.1156534213154,0.0,1143.7594940973872,3
313.52343461603004,0.0,80000,10,519.1893876757038,0.0,12462.794,519.1893876757038,230.25168636999953,6456246.5,230.25168636999953,1.8780988,954.5805770342737,-23084.271,519.1893876757038,519.1893876757038,-5.3564296,4,0.0,10,313.52343461603004,0.0,954.5805770342737,4
338.08599158301575,0.0,86000,10,483.92721671876797,0.0,14522.795,483.9272167187681,108.67781769266122,6251546.0,108.67781769266122,2.1310453,665.91677061742,-24493.596,483.92721671876797,483.9272167187681,-7.0888925,5,0.0,10,338.08599158301575,0.0,665.91677061742,5
2000.203274872457,0.0,92000,10,8508.2559063323,0.0,5319.1865,8508.255906332295,10805.185480966717,5367332.5,10805.185480966717,2.5099883,38892.651117524176,-22932.855,8508.2559063323,8508.255906332295,-8.364863,6,0.0,10,2000.203274872457,0.0,38892.651117524176,6
319.4032131178901,0.1,98000,10,37241.91666679237,0.0,2639.2593,37241.91666679237,53805.7827094521,4610777.0,53805.7827094521,2.966294,173394.60108561855,-24370.463,37241.91666679237,37241.91666679237,-12.576181,7,0.1,10,319.4032131178901,0.0,173394.60108561855,7
2359.4433447561996,0.0,104000,10,42239.95542246602,0.0,1253.5145,42239.95542246602,26293.635015175536,4416958.5,26293.635015175536,3.6965265,81946.95504391681,-31145.281,42239.95542246602,42239.95542246602,-26.956692,8,0.0,10,2359.4433447561996,0.0,81946.95504391681,8
475.85963826427434,0.1,110000,10,50053.02209462576,0.0,1147.4907,50053.02209462576,26108.551416998384,3594229.2,26108.551416998384,4.5691648,88678.85484897546,-38472.816,50053.02209462576,50053.02209462576,-40.69932,9,0.1,10,475.85963826427434,0.0,88678.85484897546,9
1954.319290722844,0.1,116000,10,53669.21009944505,0.0,1280.514,53669.21009944505,35659.59381865643,3286993.0,35659.59381865643,5.5018535,119106.9029226712,-47536.65,53669.21009944505,53669.21009944505,-48.337425,10,0.1,10,1954.319290722844,0.0,119106.9029226712,10
13043.602529687572,0.0,122000,10,39430.52658812127,0.0,1349.3435,39430.52658812127,25585.473461577403,3273942.0,25585.473461577403,6.525881,83625.25945863588,-55585.457,39430.52658812127,39430.52658812127,-52.90415,11,0.0,10,13043.602529687572,0.0,83625.25945863588,11
15179.253012180072,0.1,128000,10,38423.936149649104,0.0,1438.1488,38423.9361496491,23550.823065835277,3479991.8,23550.823065835277,7.680223,86239.15305478087,-62256.43,38423.936149649104,38423.9361496491,-58.538555,12,0.1,10,15179.253012180072,0.0,86239.15305478087,12
12843.92172931661,0.1,134000,10,40152.23478375003,0.0,1417.4137,40152.23478375002,18259.03591884325,3668854.0,18259.03591884325,9.046051,71948.8102412624,-69409.6,40152.23478375003,40152.23478375002,-66.861755,13,0.1,10,12843.92172931661,0.0,71948.8102412624,13
25164.345873895472,0.1,140000,10,88547.336580712,0.0,1335.6829,88547.33658071203,65749.96859955735,4191775.5,65749.96859955735,10.673824,261482.56630659068,-77440.67,88547.336580712,88547.33658071203,-76.77524,14,0.1,10,25164.345873895472,0.0,261482.56630659068,14
28477.040861125315,0.1,146000,10,79864.76870677498,0.0,1253.477,79864.76870677495,28743.454440448986,4560994.0,28743.454440448986,12.594297,126805.84547190019,-83817.01,79864.76870677498,79864.76870677495,-86.31641,15,0.1,10,28477.040861125315,0.0,126805.84547190019,15
4638.2860982150805,0.0,152000,10,30883.438528580307,0.0,1457.3995,30883.43852858031,17492.748641593986,4877135.0,17492.748641593986,14.893254,60418.693430812586,-90776.83,30883.438528580307,30883.43852858031,-101.078674,16,0.0,10,4638.2860982150805,0.0,60418.693430812586,16
