MetaTest/drawer-open-v1/MinReturn,MetaTest/drawer-open-v1/AverageReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/StdReturn,MetaTest/drawer-open-v1/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/Alpha,MetaTest/drawer-open-v1/MaxReturn,MetaTest/drawer-open-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/NumTrajs,MetaTest/drawer-open-v1/TerminationRate,MetaTest/drawer-open-v1/Iteration,MetaTest/Average/Iteration,TotalEnvSteps,MetaTest/Average/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/MaxReturn,MetaTrain/Average/PolicyLoss,MetaTrain/Average/QfLoss,MetaTest/drawer-open-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/drawer-open-v1/NumTrajs
-26.323182726309945,-24.999501864952858,8.333044,1.2454870765312758,0.0,-24.99950186495286,nan,-22.162519684218523,1.2454870765312758,-24.999501864952858,-26.323182726309945,10,0.0,0,0,224000,0.0,6.7294765,-22.162519684218523,1.7832127,2.014683,-24.99950186495286,0.0,10
-15.656725980981978,1140.53050896076,19.869434,1428.879634754709,0.0,1140.5305089607607,nan,3061.1231283135658,1428.879634754709,1140.53050896076,-15.656725980981978,10,0.0,1,1,248000,0.0,6.7075663,3061.1231283135658,4.5232587,28.56816,1140.5305089607607,0.0,10
-26.70139216135971,387.6355597018367,7.8056974,988.0689946832578,0.1,387.6355597018366,nan,3266.28231220293,988.0689946832578,387.6355597018367,-26.70139216135971,10,0.0,2,2,272000,0.1,6.1806426,3266.28231220293,-33.529964,533.76874,387.6355597018366,0.0,10
24.39817398169712,2739.775299861858,8.0089445,977.3757419375539,0.0,2739.7752998618575,nan,3349.6261484447396,977.3757419375539,2739.775299861858,24.39817398169712,10,0.0,3,3,296000,0.0,5.0996037,3349.6261484447396,-213.42169,1792.5411,2739.7752998618575,0.0,10
-40.00369807005193,2338.200814653973,11.885484,1554.586332361245,0.0,2338.2008146539733,nan,3369.132034517462,1554.586332361245,2338.200814653973,-40.00369807005193,10,0.0,4,4,320000,0.0,2.4398427,3369.132034517462,-755.01013,11163.702,2338.2008146539733,0.0,10
-21.670160015832366,1317.2231815557323,47.153484,1636.2979233888882,0.0,1317.2231815557327,nan,3368.1902136859735,1636.2979233888882,1317.2231815557323,-21.670160015832366,10,0.0,5,5,344000,0.0,-1.8937489,3368.1902136859735,-1978.9906,42816.848,1317.2231815557327,0.0,10
-45.911416403353776,1589.6080278561399,122.3751,1641.5227838374965,0.0,1589.6080278561399,nan,3419.992373957731,1641.5227838374965,1589.6080278561399,-45.911416403353776,10,0.0,6,6,368000,0.0,-3.326952,3419.992373957731,-3115.1794,42118.48,1589.6080278561399,0.0,10
914.126498850707,3199.715979131887,68.47555,773.0130037857455,0.0,3199.715979131886,nan,3839.7027935562032,773.0130037857455,3199.715979131887,914.126498850707,10,0.0,7,7,392000,0.0,-4.5377345,3839.7027935562032,-4301.0947,46931.71,3199.715979131886,0.0,10
3352.532228539655,3428.682152235279,66.72757,68.43047881677809,0.0,3428.6821522352775,nan,3564.130927323156,68.43047881677809,3428.682152235279,3352.532228539655,10,0.0,8,8,416000,0.0,-5.2394514,3564.130927323156,-5425.153,51410.81,3428.6821522352775,0.0,10
-18.860900371572516,2749.708825330355,54.792797,2468.2191134875743,0.0,2749.708825330355,nan,8530.343560363823,2468.2191134875743,2749.708825330355,-18.860900371572516,10,0.0,9,9,440000,0.0,-5.8222127,8530.343560363823,-6423.963,57349.395,2749.708825330355,0.0,10
