MetaTest/Average/NumEpisodes,MetaTest/plate-slide-back-side-v1/NumEpisodes,MetaTest/Average/MinReturn,MetaTest/Average/SuccessRate,MetaTest/plate-slide-back-side-v1/Iteration,MetaTest/plate-slide-back-side-v1/AverageReturn,MetaTest/plate-slide-back-side-v1/MinReturn,MetaTest/plate-slide-back-side-v1/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/plate-slide-back-side-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTrain/Average/ContrastiveLoss,MetaTest/plate-slide-back-side-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTrain/Average/PolicyLoss,MetaTest/plate-slide-back-side-v1/SuccessRate,MetaTrain/Average/Alpha,MetaTest/plate-slide-back-side-v1/StdReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/QfLoss
10,10,-39.083867027493184,0.0,0,-32.11624439040137,-39.083867027493184,0.0,-22.867502971972684,-22.867502971972684,-32.11624439040136,5.1544394,4.65419925120258,-32.11624439040137,224000,8.629236,-32.11624439040136,0,11.453133,0.0,0.76657003,4.65419925120258,0.0,1.7302605
10,10,-52.201344365652425,0.0,1,-50.10450333714092,-52.201344365652425,0.0,-48.50388626921846,-48.50388626921846,-50.10450333714091,2.7915878,1.2582383593420075,-50.10450333714092,248000,122.623024,-50.10450333714091,1,38.506157,0.0,0.45664978,1.2582383593420075,0.0,702.65533
10,10,-45.669358050701526,0.0,2,-27.823529478561834,-45.669358050701526,0.0,-16.37411612015803,-16.37411612015803,-27.82352947856183,0.1741999,13.48707969275786,-27.823529478561834,272000,31.630358,-27.82352947856183,2,-122.02266,0.0,0.33104852,13.48707969275786,0.0,2704.8125
10,10,-57.18016045744863,0.0,3,-47.730824069393975,-57.18016045744863,0.0,-36.11502778530293,-36.11502778530293,-47.730824069394,-1.5127263,8.111327040762424,-47.730824069393975,296000,46.41013,-47.730824069394,3,-585.7296,0.0,0.51267517,8.111327040762424,0.0,2856.4214
10,10,-37.58078352339754,0.0,4,-35.56862289994332,-37.58078352339754,0.0,-33.2517713735799,-33.2517713735799,-35.568622899943314,-1.2765112,1.5376536470337065,-35.56862289994332,320000,55.76358,-35.568622899943314,4,-788.59546,0.0,0.83531725,1.5376536470337065,0.0,3418.8572
10,10,-35.92583770812633,0.0,5,-27.914617382321683,-35.92583770812633,0.0,-21.012642158687058,-21.012642158687058,-27.914617382321676,-0.7832651,5.066698994777781,-27.914617382321683,344000,74.94411,-27.914617382321676,5,-862.7161,0.0,1.327974,5.066698994777781,0.0,4389.8643
10,10,-40.37767805879818,0.0,6,-33.60928570190863,-40.37767805879818,0.0,-21.22314661703306,-21.22314661703306,-33.609285701908625,0.6018253,7.419249584343251,-33.60928570190863,368000,143.39984,-33.609285701908625,6,-893.4739,0.0,1.2566999,7.419249584343251,0.0,5210.009
10,10,-42.20722499029373,0.0,7,-41.18275099080348,-42.20722499029373,0.0,-39.78951659087545,-39.78951659087545,-41.182750990803484,1.6397407,0.730939269885014,-41.18275099080348,392000,163.8361,-41.182750990803484,7,-559.29944,0.0,0.9574491,0.730939269885014,0.0,5065.492
10,10,-63.32099463314602,0.0,8,-25.210279371651957,-63.32099463314602,0.0,-17.47938841452839,-17.47938841452839,-25.210279371651957,0.8326268,12.80028294949776,-25.210279371651957,416000,348.95438,-25.210279371651957,8,-532.8051,0.0,0.6747947,12.80028294949776,0.0,7095.7524
10,10,-70.24080600236685,0.0,9,-29.008189966789114,-70.24080600236685,0.0,-21.107338717519173,-21.107338717519173,-29.00818996678912,0.754093,13.864421435220795,-29.008189966789114,440000,372.95282,-29.00818996678912,9,-274.66425,0.0,0.5359761,13.864421435220795,0.0,5203.8984
10,10,-25.915291128699003,0.0,10,-23.45962707215064,-25.915291128699003,0.0,-21.01563793851693,-21.01563793851693,-23.459627072150635,-5.758788,1.3590435348172512,-23.45962707215064,464000,52.88654,-23.459627072150635,10,-9687.483,0.0,0.67283994,1.3590435348172512,0.0,20503.19
10,10,-56.00122231756209,0.0,11,-49.62024405409095,-56.00122231756209,0.0,-41.185492209863334,-41.185492209863334,-49.620244054090946,-3.713753,4.4427118670170636,-49.62024405409095,488000,166.83182,-49.620244054090946,11,-6846.5566,0.0,1.2123076,4.4427118670170636,0.0,10370.096
10,10,-48.46268579395731,0.0,12,-46.89002081587543,-48.46268579395731,0.0,-45.532527020950205,-45.532527020950205,-46.89002081587544,-4.042921,0.7506320688647284,-46.89002081587543,512000,172.40494,-46.89002081587544,12,-5584.873,0.0,1.5835987,0.7506320688647284,0.0,16096.306
10,10,-69.82117370954835,0.0,13,-69.30902136250272,-69.82117370954835,0.0,-66.94937087019262,-66.94937087019262,-69.30902136250272,2.2577407,0.7925913702627978,-69.30902136250272,536000,439.7409,-69.30902136250272,13,-5561.852,0.0,2.0186603,0.7925913702627978,0.0,15375.845
10,10,-50.62638959911405,0.0,14,131.27405978915996,-50.62638959911405,0.0,860.6794840532393,860.6794840532393,131.27405978916005,0.41430873,289.91633701291744,131.27405978915996,560000,172.21072,131.27405978916005,14,-4681.882,0.0,1.4340525,289.91633701291744,0.0,12056.692
10,10,-137.11380017319135,0.0,15,-102.17437839552404,-137.11380017319135,0.0,-54.76576329443108,-54.76576329443108,-102.17437839552403,-0.68902963,25.423907509940218,-102.17437839552404,584000,333.3703,-102.17437839552403,15,-5232.666,0.0,1.9142705,25.423907509940218,0.0,22994.889
10,10,-39.895273922987656,0.0,16,-25.415008694455736,-39.895273922987656,0.0,-19.172851340439305,-19.172851340439305,-25.415008694455736,1.3066977,6.07192662555274,-25.415008694455736,608000,782.28076,-25.415008694455736,16,-2217.113,0.0,1.6024641,6.07192662555274,0.0,27562.57
10,10,-43.05039031296515,0.0,17,-27.348164982494588,-43.05039031296515,0.0,-14.484278374560528,-14.484278374560528,-27.34816498249458,-0.8255967,9.078370791022135,-27.348164982494588,632000,417.1956,-27.34816498249458,17,-3958.9407,0.0,1.5416591,9.078370791022135,0.0,31109.826
10,10,-74.72917539158152,0.0,18,-69.99095690694121,-74.72917539158152,0.0,-64.6409802542515,-64.6409802542515,-69.99095690694121,1.2421838,2.440600348674954,-69.99095690694121,656000,543.36,-69.99095690694121,18,-2908.336,0.0,1.7945215,2.440600348674954,0.0,45986.45
10,10,-69.12397283205424,0.0,19,344.3731990165869,-69.12397283205424,0.0,3072.042897909028,3072.042897909028,344.37319901658697,1.4823735,929.4086329218783,344.3731990165869,680000,716.67487,344.37319901658697,19,-1343.3258,0.0,1.2998782,929.4086329218783,0.0,33036.203
10,10,-32.14633176847447,0.0,20,45.20110510712166,-32.14633176847447,0.0,660.9056855999172,660.9056855999172,45.20110510712168,0.8665083,205.30521997204244,45.20110510712166,704000,1040.5271,45.20110510712168,20,-1158.9539,0.0,0.9603326,205.30521997204244,0.0,41252.47
