MetaTest/hand-insert-v1/MaxReturn,MetaTest/hand-insert-v1/MinReturn,Average/MaxReturn,policy/LossAfter,Average/StdReturn,MetaTest/hand-insert-v1/TerminationRate,policy/KL,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,Average/AverageReturn,MetaTest/hand-insert-v1/StdReturn,hand-insert-v1/StdReturn,policy/dLoss,MetaTest/hand-insert-v1/Iteration,MetaTest/hand-insert-v1/AverageDiscountedReturn,MetaTest/hand-insert-v1/AverageReturn,MetaTest/Average/MinReturn,hand-insert-v1/NumEpisodes,hand-insert-v1/MinReturn,Average/NumEpisodes,Average/SuccessRate,MetaTest/Average/NumEpisodes,TotalEnvSteps,MetaTest/Average/AverageReturn,hand-insert-v1/AverageReturn,Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/hand-insert-v1/SuccessRate,hand-insert-v1/TerminationRate,MetaTest/Average/TerminationRate,hand-insert-v1/AverageDiscountedReturn,policy/KLBefore,LinearFeatureBaseline/ExplainedVariance,MetaTest/hand-insert-v1/NumEpisodes,MetaTest/Average/SuccessRate,hand-insert-v1/Iteration,Average/Iteration,hand-insert-v1/MaxReturn,hand-insert-v1/SuccessRate,MetaTest/Average/Iteration,policy/Entropy,Average/TerminationRate,policy/LossBefore,Average/AverageDiscountedReturn
-51.98809502781814,-70.63472804006648,-45.731933945917575,-0.026844375,7.965466329141282,0.0,0.006084473,-51.98809502781814,5.592543606325497,-67.3225683272118,5.592543606325497,7.965466329141282,0.012854389,0,-64.70336431730713,-64.70336431730713,-70.63472804006648,100,-84.76436645075283,100,0.0,10,20000,-64.70336431730713,-67.3225683272118,-84.76436645075283,-64.70336431730713,0.0,0.0,0.0,-26.94370837133679,0.0,0.6022707317663012,10,0.0,0,0,-45.731933945917575,0.0,0,5.670329,0.0,-0.013989986,-26.94370837133679
,,-31.643539002460347,-0.032512616,10.532756144873549,,0.03127337,,,-53.4555129465502,,10.532756144873549,0.02479536,,,,,100,-82.39139966289827,100,0.0,,40000,,-53.4555129465502,-82.39139966289827,,,0.0,,-22.375891808351994,0.0,0.5423641706300067,,,1,1,-31.643539002460347,0.0,,5.6748424,0.0,-0.0077172546,-22.375891808351994
,,521.6093379402324,-0.13836996,74.16918334451134,,0.01574273,,,-26.022295992314074,,74.16918334451134,0.13085383,,,,,100,-55.013150345351754,100,0.21,,60000,,-26.022295992314074,-55.013150345351754,,,0.0,,-13.223050616437936,0.0,0.19286453423005867,,,2,2,521.6093379402324,0.21,,5.6672826,0.0,-0.007516138,-13.223050616437936
,,4814.22132302262,-1.3192812,757.2605673474751,,0.011577891,,,324.7882755990187,,757.2605673474751,1.4485852,,,,,100,-44.88357123296676,100,0.61,,80000,,324.7882755990187,-44.88357123296676,,,0.0,,108.42555230968087,0.0,0.26038625848239105,,,3,3,4814.22132302262,0.61,,5.6492486,0.0,0.1293039,108.42555230968087
,,86509.52898403053,-13.007502,9344.672304098976,,0.0064551407,,,2373.1690975047763,,9344.672304098976,9.95047,,,,,100,-38.14328950390245,100,0.62,,100000,,2373.1690975047763,-38.14328950390245,,,0.0,,546.02125877004,0.0,0.1469308548617616,,,4,4,86509.52898403053,0.62,,5.6495433,0.0,-3.0570312,546.02125877004
,,98900.6913162691,-4.6711717,10067.75829328322,,0.0077577345,,,2471.2500037294867,,10067.75829328322,8.496799,,,,,100,-46.68213921690811,100,0.58,,120000,,2471.2500037294867,-46.68213921690811,,,0.0,,663.3956418427093,0.0,0.107818260422331,,,5,5,98900.6913162691,0.58,,5.6432567,0.0,3.825628,663.3956418427093
,,125072.0195392588,-19.37456,16052.446129860382,,0.0049653994,,,6572.903980363384,,16052.446129860382,15.393484,,,,,100,-51.24773203102018,100,0.6,,140000,,6572.903980363384,-51.24773203102018,,,0.0,,1642.0797322446824,0.0,0.15561326632210148,,,6,6,125072.0195392588,0.6,,5.6519876,0.0,-3.981075,1642.0797322446824
,,68492.59506241606,-27.98175,13504.272612675977,,0.0054338877,,,9482.982470002467,,13504.272612675977,18.362263,,,,,100,-49.155936413114794,100,0.66,,160000,,9482.982470002467,-49.155936413114794,,,0.0,,2182.9164908976327,0.0,0.18423154384652918,,,7,7,68492.59506241606,0.66,,5.651749,0.0,-9.619488,2182.9164908976327
,,90468.22945511142,-21.054781,21060.864625840008,,0.0060252543,,,13417.489244173465,,21060.864625840008,27.58254,,,,,100,-47.272103283827114,100,0.69,,180000,,13417.489244173465,-47.272103283827114,,,0.0,,3119.526406423022,0.0,0.2700910789136518,,,8,8,90468.22945511142,0.69,,5.6405134,0.0,6.5277596,3119.526406423022
,,80686.28709604181,-12.134425,19048.12213028824,,0.005991806,,,17619.461047679408,,19048.12213028824,27.545044,,,,,100,-45.32801938596373,100,0.74,,200000,,17619.461047679408,-45.32801938596373,,,0.0,,4106.534794259131,0.0,0.19059758811898375,,,9,9,80686.28709604181,0.74,,5.615957,0.0,15.410619,4106.534794259131
