MetaTest/faucet-open-v1/NumTrajs,MetaTrain/Average/ContrastiveLoss,MetaTest/faucet-open-v1/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MinReturn,MetaTest/faucet-open-v1/SuccessRate,MetaTest/faucet-open-v1/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/faucet-open-v1/MinReturn,MetaTest/faucet-open-v1/Iteration,MetaTest/Average/AverageReturn,MetaTrain/Average/AlphaLoss,TotalEnvSteps,MetaTrain/Average/Alpha,MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/faucet-open-v1/AverageReturn,MetaTest/faucet-open-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTrain/Average/PolicyLoss,MetaTrain/Average/QfLoss,MetaTest/faucet-open-v1/MaxReturn
10,21.642937,5.071237582350251,0.0,-31.328785608871645,0.0,-24.717387159533697,-17.047998904776495,0.0,-31.328785608871645,0,-24.7173871595337,1.3702106,224000,nan,10,-24.717387159533697,0,-24.7173871595337,0.0,5.071237582350251,-501.11066,78900.914,-17.047998904776495
10,86.57306,25151.386412847423,0.0,10162.539298307734,0.3,30997.365241371153,101754.88128653064,0.3,10162.539298307734,1,30997.365241371153,-2.4233782,248000,nan,10,30997.365241371153,1,30997.365241371153,0.0,25151.386412847423,-2085.637,128554.7,101754.88128653064
10,228.85696,5681.087115234877,0.0,4111.729407553767,0.0,11360.916242404575,20864.866444421146,0.0,4111.729407553767,2,11360.91624240458,-7.561633,272000,nan,10,11360.916242404575,2,11360.91624240458,0.0,5681.087115234877,-5546.46,642045.7,20864.866444421146
10,446.8708,4896.163293049627,0.0,12734.254573172311,0.2,21454.656522345133,32206.275503255198,0.2,12734.254573172311,3,21454.65652234514,-9.767317,296000,nan,10,21454.656522345133,3,21454.65652234514,0.0,4896.163293049627,-9788.298,1155204.2,32206.275503255198
10,458.94156,7340.209707697685,0.0,-15.635421008866098,0.0,6996.831330439457,22366.355923889365,0.0,-15.635421008866098,4,6996.831330439457,-10.402977,320000,nan,10,6996.831330439457,4,6996.831330439457,0.0,7340.209707697685,-14873.966,2003423.4,22366.355923889365
10,687.6651,5669.465960399477,0.0,7347.70744639475,0.0,16079.661460840167,25877.870240491116,0.0,7347.70744639475,5,16079.661460840169,-10.706293,344000,nan,10,16079.661460840167,5,16079.661460840169,0.0,5669.465960399477,-19126.137,2725279.2,25877.870240491116
10,469.51318,9674.528904106575,0.0,-28.153060737507143,0.1,20564.236233965337,39697.92701977834,0.1,-28.153060737507143,6,20564.236233965337,-10.152874,368000,nan,10,20564.236233965337,6,20564.236233965337,0.0,9674.528904106575,-18314.766,3153890.2,39697.92701977834
10,1045.5522,9814.851171062472,0.0,-85.30322136698618,0.0,7939.592376060491,21797.474742691127,0.0,-85.30322136698618,7,7939.592376060493,-7.8747406,392000,nan,10,7939.592376060491,7,7939.592376060493,0.0,9814.851171062472,-15945.442,3577942.0,21797.474742691127
10,903.6417,8692.824558203138,0.0,-60.43995500818911,0.0,5624.808323256814,19862.25428659881,0.0,-60.43995500818911,8,5624.808323256816,-8.590373,416000,nan,10,5624.808323256814,8,5624.808323256816,0.0,8692.824558203138,-23149.54,5683826.0,19862.25428659881
10,11019.726,3545.3188673970467,0.0,-62.80359719976907,0.0,1192.342270135812,11820.44333728979,0.0,-62.80359719976907,9,1192.3422701358127,-5.240766,440000,nan,10,1192.342270135812,9,1192.3422701358127,0.0,3545.3188673970467,-7753.309,2734209.5,11820.44333728979
10,2091.5383,2.0409884535534304,0.0,-29.760327158498946,0.0,-26.5630778698903,-21.910405205866823,0.0,-29.760327158498946,10,-26.563077869890293,-3.7454026,464000,nan,10,-26.5630778698903,10,-26.563077869890293,0.0,2.0409884535534304,-5621.4346,1558112.1,-21.910405205866823
10,1541.5258,10013.794096421914,0.0,-70.12324741908272,0.2,9001.561166904781,33484.24749100965,0.2,-70.12324741908272,11,9001.561166904783,-6.8318534,488000,nan,10,9001.561166904781,11,9001.561166904783,0.0,10013.794096421914,-15027.172,472052.0,33484.24749100965
10,1999.0653,6836.061211301316,0.0,-31.13157362555568,0.0,4495.472411764659,21223.50714069159,0.0,-31.13157362555568,12,4495.472411764657,-7.9213943,512000,nan,10,4495.472411764659,12,4495.472411764657,0.0,6836.061211301316,-21885.838,598460.75,21223.50714069159
10,3054.713,8557.860096602608,0.0,-29.38940005740927,0.0,5415.858384619337,23606.60262775496,0.0,-29.38940005740927,13,5415.858384619335,-8.676303,536000,nan,10,5415.858384619337,13,5415.858384619335,0.0,8557.860096602608,-24606.064,762779.75,23606.60262775496
