MetaTest/door-unlock-v1/NumTrajs,MetaTrain/Average/Alpha,MetaTest/door-unlock-v1/TerminationRate,MetaTest/door-unlock-v1/StdReturn,MetaTest/Average/Iteration,MetaTrain/Average/QfLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/door-unlock-v1/MinReturn,MetaTest/door-unlock-v1/SuccessRate,MetaTest/door-unlock-v1/AverageReturn,MetaTest/Average/StdReturn,MetaTest/door-unlock-v1/MaxReturn,MetaTest/Average/NumTrajs,MetaTest/door-unlock-v1/AverageDiscountedReturn,TotalEnvSteps,MetaTrain/Average/AlphaLoss,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/PolicyLoss,MetaTest/Average/SuccessRate,MetaTest/door-unlock-v1/Iteration
10,nan,0.0,2738.670230902449,0,4401.947,1133.7056810248555,9144.639694029838,1133.7056810248573,-31.027500181626305,0.0,-31.027500181626305,0.0,1133.7056810248573,2738.670230902449,9144.639694029838,10,1133.7056810248555,224000,6.0138283,9.009306,-37.020912,0.0,0
10,nan,0.0,1992.5262724282857,1,5210.307,842.2475086733297,6484.801804863642,842.2475086733295,-39.84946373610125,0.0,-39.84946373610125,0.0,842.2475086733295,1992.5262724282857,6484.801804863642,10,842.2475086733297,248000,4.526467,9.979207,-140.75154,0.0,1
10,nan,0.0,7.4839433477266155,2,12808.752,-31.559125585832696,-23.332622623565978,-31.559125585832692,-49.50106061063113,0.0,-49.50106061063113,0.3,-31.559125585832692,7.4839433477266155,-23.332622623565978,10,-31.559125585832696,272000,3.6291456,66.22662,-347.08026,0.3,2
10,nan,0.0,160.1268117814298,3,64154.895,27.45721857149389,500.818761083694,27.457218571493957,-43.5207506557004,0.0,-43.5207506557004,0.5,27.457218571493957,160.1268117814298,500.818761083694,10,27.45721857149389,296000,-0.15195611,135.76562,-1479.2816,0.5,3
10,nan,0.0,5307.602271303462,4,110816.09,3817.8850277204447,15261.369705428036,3817.8850277204438,-27.73151811829154,0.0,-27.73151811829154,0.3,3817.8850277204438,5307.602271303462,15261.369705428036,10,3817.8850277204447,320000,-2.7369492,124.09633,-2848.7302,0.3,4
10,nan,0.0,6141.045069700464,5,148328.7,4170.095738193195,19483.594290830373,4170.095738193195,-50.09983885354534,0.0,-50.09983885354534,0.5,4170.095738193195,6141.045069700464,19483.594290830373,10,4170.095738193195,344000,-4.0661387,119.87849,-3620.3367,0.5,5
10,nan,0.0,5380.151985190306,6,263564.4,2847.862004799689,14751.64632827262,2847.86200479969,-38.92366807484685,0.0,-38.92366807484685,0.3,2847.86200479969,5380.151985190306,14751.64632827262,10,2847.862004799689,368000,-5.9936795,413.93668,-5178.3564,0.3,6
10,nan,0.0,41283.470176599454,7,567022.44,18381.129766480968,140752.99602291986,18381.12976648096,-92.64676223937516,0.0,-92.64676223937516,0.3,18381.12976648096,41283.470176599454,140752.99602291986,10,18381.129766480968,392000,-6.820724,281.611,-10492.88,0.3,7
10,nan,0.0,8042.257050584936,8,768235.25,5444.5434649028775,27112.924927421158,5444.54346490288,-70.10115900691378,0.0,-70.10115900691378,0.3,5444.54346490288,8042.257050584936,27112.924927421158,10,5444.5434649028775,416000,-7.476497,279.36838,-13086.138,0.3,8
10,nan,0.0,1821.8641100262594,9,910887.56,654.9984370933128,6078.741222116728,654.9984370933134,-40.36376811885394,0.0,-40.36376811885394,0.0,654.9984370933134,1821.8641100262594,6078.741222116728,10,654.9984370933128,440000,-7.1818705,245.20938,-14802.575,0.0,9
10,nan,0.0,6262.828660322236,10,1096729.9,8943.365555398526,15733.513927168333,8943.36555539852,-39.11141285358786,0.0,-39.11141285358786,0.0,8943.36555539852,6262.828660322236,15733.513927168333,10,8943.365555398526,464000,-7.4762225,242.77985,-16454.33,0.0,10
10,nan,0.0,4795.444585183553,11,1247034.5,2131.026255924039,15995.848357079109,2131.0262559240396,-46.05997396705007,0.0,-46.05997396705007,0.1,2131.0262559240396,4795.444585183553,15995.848357079109,10,2131.026255924039,488000,-8.702564,172.17882,-17905.176,0.1,11
10,nan,0.0,6317.229133558983,12,1853771.0,5070.413304232686,14679.998063126475,5070.413304232689,-36.58217622000285,0.0,-36.58217622000285,0.3,5070.413304232689,6317.229133558983,14679.998063126475,10,5070.413304232686,512000,-8.897767,194.90341,-20296.02,0.3,12
10,nan,0.0,1873.0849781308243,13,1984045.9,1163.8682332299486,5242.899138755524,1163.868233229949,-53.92014511742465,0.0,-53.92014511742465,0.2,1163.868233229949,1873.0849781308243,5242.899138755524,10,1163.8682332299486,536000,-9.854496,7626.2505,-17154.691,0.2,13
10,nan,0.0,9.248061111046185,14,1988060.4,-29.15503635215088,-17.655106832294326,-29.15503635215088,-42.430032413818495,0.0,-42.430032413818495,0.2,-29.15503635215088,9.248061111046185,-17.655106832294326,10,-29.15503635215088,560000,-6.360868,8974.852,-7620.3984,0.2,14
10,nan,0.0,9847.329707484265,15,1335329.9,7459.67857797356,28941.598885381038,7459.678577973558,-27.875615475861764,0.0,-27.875615475861764,0.0,7459.678577973558,9847.329707484265,28941.598885381038,10,7459.67857797356,584000,-6.677183,4078.4521,-10953.883,0.0,15
10,nan,0.0,4777.1395018729845,16,1792162.2,2052.3102726914485,15644.31436707068,2052.3102726914476,-28.477292861230595,0.0,-28.477292861230595,0.1,2052.3102726914476,4777.1395018729845,15644.31436707068,10,2052.3102726914485,608000,-7.9085765,3786.565,-13099.304,0.1,16
