Average/AverageReturn,Average/TerminationRate,Average/NumEpisodes,Average/MinReturn,MetaTest/handle-press-side-v1/MinReturn,TotalEnvSteps,handle-press-side-v1/Iteration,handle-press-side-v1/MaxReturn,handle-press-side-v1/NumEpisodes,MetaTest/Average/SuccessRate,Average/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,handle-press-side-v1/AverageDiscountedReturn,handle-press-side-v1/AverageReturn,MetaTest/Average/NumEpisodes,policy/LossAfter,MetaTest/Average/AverageReturn,MetaTest/handle-press-side-v1/AverageDiscountedReturn,MetaTest/handle-press-side-v1/Iteration,handle-press-side-v1/StdReturn,Average/StdReturn,MetaTest/Average/MinReturn,policy/LossBefore,handle-press-side-v1/TerminationRate,MetaTest/handle-press-side-v1/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/handle-press-side-v1/MaxReturn,policy/Entropy,MetaTest/handle-press-side-v1/AverageReturn,Average/Iteration,MetaTest/handle-press-side-v1/NumEpisodes,MetaTest/handle-press-side-v1/StdReturn,policy/KL,Average/AverageDiscountedReturn,LinearFeatureBaseline/ExplainedVariance,MetaTest/handle-press-side-v1/SuccessRate,MetaTest/Average/StdReturn,Average/MaxReturn,handle-press-side-v1/MinReturn,handle-press-side-v1/SuccessRate,policy/KLBefore,policy/dLoss,MetaTest/Average/AverageDiscountedReturn
-65.26613078787744,0.0,100,-91.01253952238653,-73.7338666057636,20000,0,-45.039101515859684,100,0.0,0.0,0,-53.03133255172703,-24.272717968827713,-65.26613078787744,10,-0.039302144,-67.27117191433675,-67.27117191433675,0,9.520497802929187,9.520497802929187,-73.7338666057636,-0.015118484,0.0,0.0,0.0,-53.03133255172703,5.6884155,-67.27117191433675,0,10,6.400054102765836,0.0060226824,-24.272717968827713,0.4712480537881696,0.0,6.400054102765836,-45.039101515859684,-91.01253952238653,0.0,0.0,0.02418366,-67.27117191433675
-54.86237036735925,0.0,100,-76.18641158117431,,40000,1,-28.7556960464357,100,,0.0,,,-21.046312099425574,-54.86237036735925,,-0.033601973,,,,9.682182056379549,9.682182056379549,,-0.017126296,0.0,,,,5.681882,,1,,,0.022430373,-21.046312099425574,0.561033984017392,,,-28.7556960464357,-76.18641158117431,0.0,0.0,0.016475677,
61.36945954281038,0.0,100,-58.610576721716505,,60000,2,2905.8341593323457,100,,0.0,,,11.958340070760135,61.36945954281038,,-0.4007335,,,,397.0736788374435,397.0736788374435,,0.23048633,0.0,,,,5.676971,,2,,,0.015785357,11.958340070760135,0.11628442884253809,,,2905.8341593323457,-58.610576721716505,0.0,0.0,0.63121986,
504.61151520074594,0.0,100,-53.73477031908718,,80000,3,6193.956989612755,100,,0.0,,,160.6166024161264,504.61151520074594,,-1.6325816,,,,1178.7495954605813,1178.7495954605813,,-0.03668125,0.0,,,,5.6626062,,3,,,0.008057981,160.6166024161264,0.15244791474358266,,,6193.956989612755,-53.73477031908718,0.0,0.0,1.5959003,
684.6659967620259,0.0,100,-53.777887446150274,,100000,4,11088.75838430294,100,,0.0,,,248.53458857126006,684.6659967620259,,-0.4547032,,,,1648.8811101371384,1648.8811101371384,,1.2173512,0.0,,,,5.636964,,4,,,0.0062764282,248.53458857126006,0.15706216504938486,,,11088.75838430294,-53.777887446150274,0.0,0.0,1.6720544,
906.3924906358772,0.0,100,-59.43550277020755,,120000,5,8846.272676718003,100,,0.0,,,346.0610344026744,906.3924906358772,,-2.2238634,,,,1784.7930494298355,1784.7930494298355,,-0.028142579,0.0,,,,5.6375575,,5,,,0.00549774,346.0610344026744,0.20849432544941027,,,8846.272676718003,-59.43550277020755,0.0,0.0,2.1957207,
1447.415970125318,0.0,100,-46.70444975004948,,140000,6,13435.653764776467,100,,0.0,,,626.5390401256127,1447.415970125318,,0.94061095,,,,2584.59519279702,2584.59519279702,,3.3001707,0.0,,,,5.622091,,6,,,0.004387559,626.5390401256127,0.139368696904561,,,13435.653764776467,-46.70444975004948,0.0,0.0,2.3595598,
2164.0351220192865,0.0,100,-51.25028044923434,,160000,7,16675.95668814022,100,,0.0,,,911.2694404122495,2164.0351220192865,,0.22795078,,,,3270.8144681904196,3270.8144681904196,,3.9999883,0.0,,,,5.59719,,7,,,0.0074816206,911.2694404122495,0.19627526077132051,,,16675.95668814022,-51.25028044923434,0.0,0.0,3.7720375,
1768.5406085812,0.0,100,-57.108668135526464,,180000,8,13925.588713084704,100,,0.0,,,854.969175192676,1768.5406085812,,-3.4300532,,,,2629.3144862061577,2629.3144862061577,,-1.307921,0.0,,,,5.56601,,8,,,0.009120555,854.969175192676,0.2739225075107977,,,13925.588713084704,-57.108668135526464,0.0,0.0,2.1221323,
2054.0228388820483,0.0,100,-50.61760349491224,,200000,9,11919.699159105132,100,,0.0,,,1065.041917796128,2054.0228388820483,,-7.577234,,,,3061.2387571410136,3061.2387571410136,,-4.191807,0.0,,,,5.5392222,,9,,,0.005587352,1065.041917796128,0.23249248319762061,,,11919.699159105132,-50.61760349491224,0.0,0.0,3.385427,
2040.8225001444184,0.0,100,-50.14169786222107,-33.02799526275609,220000,10,12521.068014488466,100,0.0,0.0,1,9712.242263195369,980.7062451180635,2040.8225001444184,10,-3.2110655,3339.5570393877397,3339.5570393877397,1,3036.2571608925587,3036.2571608925587,-33.02799526275609,0.95333123,0.0,0.0,0.0,9712.242263195369,5.501945,3339.5570393877397,10,10,3695.519184570398,0.0051377555,980.7062451180635,-4.658068637452673,0.0,3695.519184570398,12521.068014488466,-50.14169786222107,0.0,0.0,4.164397,3339.5570393877397
