pick-place-v1/Iteration,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,TotalEnvSteps,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/KLBefore,MetaTest/pick-place-v1/MinReturn,pick-place-v1/AverageDiscountedReturn,pick-place-v1/SuccessRate,Average/TerminationRate,Average/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,Average/MinReturn,pick-place-v1/MinReturn,MetaTest/pick-place-v1/StdReturn,MetaTest/pick-place-v1/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/pick-place-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,pick-place-v1/TerminationRate,MetaTest/pick-place-v1/Iteration,Iteration,MetaTest/Average/MinReturn,pick-place-v1/StdReturn,Average/AverageDiscountedReturn,MetaTest/pick-place-v1/AverageReturn,pick-place-v1/MaxReturn,MetaTest/pick-place-v1/AverageDiscountedReturn,pick-place-v1/NumEpisodes,GaussianMLPPolicy/KLAfter,Average/Iteration,MetaTest/pick-place-v1/NumEpisodes,pick-place-v1/AverageReturn,Average/StdReturn,Average/SuccessRate,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/Entropy,MetaTest/Average/SuccessRate,Average/NumEpisodes,GaussianMLPPolicy/LossAfter,MetaTest/pick-place-v1/SuccessRate,Average/AverageReturn
0,0,103.00909914435739,80000,0.00041252453229390085,0.0,-102.48997604549312,-23.859457590102,0.0,0.0,166.0341901742636,50,46.12015047660003,-41.78070954088961,-108.87809068738189,-108.87809068738189,46.12015047660003,0.0,0.0,103.00909914435739,-41.780709540889596,0.0,0,0,-102.48997604549312,37.780042754716455,-23.859457590102,-41.78070954088961,166.0341901742636,-41.780709540889596,200,0.006718773394823074,0,50,-63.334334246724595,37.780042754716455,0.0,-0.00037325950688682497,5.66561222076416,0.0,200,-0.0007857840391807258,0.0,-63.334334246724595
1,,,160000,0.0003045052581001073,0.0,,-2.1916554046817067,0.0,0.0,13918.103856321435,,,,-100.04821693745465,-100.04821693745465,,,,,,0.0,,1,,986.2222593832283,-2.1916554046817067,,13918.103856321435,,200,0.007337693125009537,1,,30.779539080032762,986.2222593832283,0.0,0.0007030499400570989,5.695061683654785,,200,0.00039854468195699155,,30.779539080032762
2,,,240000,0.000509111094288528,0.0,,-13.928685162796205,0.0,0.0,255.59527264303406,,,,-98.51955049414586,-98.51955049414586,,,,,,0.0,,2,,62.968571682495735,-13.928685162796205,,255.59527264303406,,200,0.007485517766326666,2,,-27.584658822118698,62.968571682495735,0.0,-0.0006475794361904263,5.679811954498291,,200,-0.0011566905304789543,,-27.584658822118698
3,,,320000,0.00026999699184671044,0.0,,-9.757775580613751,0.0,0.0,291.46669878026904,,,,-89.09922181702046,-89.09922181702046,,,,,,0.0,,3,,70.7575616891613,-9.757775580613751,,291.46669878026904,,200,0.007816152647137642,3,,-9.914913547016614,70.7575616891613,0.0,-0.00037897651782259345,5.6588134765625,,200,-0.0006489735096693039,,-9.914913547016614
4,,,400000,0.0002431307511869818,0.0,,12.266975042854842,0.0,0.0,8275.637543717892,,,,-79.57618698767571,-79.57618698767571,,,,,,0.0,,4,,600.89688308348,12.266975042854842,,8275.637543717892,,200,0.007807469926774502,4,,86.908751461438,600.89688308348,0.0,-0.00043968638055957854,5.629624366760254,,200,-0.0006828171317465603,,86.908751461438
5,,,480000,0.00013718855916522443,0.0,,30.52162935534995,0.005,0.0,4367.6495806095645,,,,-73.04714014898182,-73.04714014898182,,,,,,0.0,,5,,526.3267095509226,30.52162935534995,,4367.6495806095645,,200,0.007745744194835424,5,,152.17705818499425,526.3267095509226,0.005,-6.253697210922837e-05,5.6213836669921875,,200,-0.0001997255312744528,,152.17705818499425
6,,,560000,7.165809802245349e-05,0.0,,132.25757157394344,0.01,0.0,38191.4875551794,,,,-60.82477916266437,-60.82477916266437,,,,,,0.0,,6,,3270.3989204180707,132.25757157394344,,38191.4875551794,,200,0.006686162203550339,6,,581.7332675776861,3270.3989204180707,0.01,0.00025700670084916055,5.6736369132995605,,200,0.00018534860282670707,,581.7332675776861
7,,,640000,8.632538083475083e-05,0.0,,149.7287938903373,0.01,0.0,38427.45384310948,,,,-80.54090463308799,-80.54090463308799,,,,,,0.0,,7,,3568.712545787766,149.7287938903373,,38427.45384310948,,200,0.006951960269361734,7,,603.2868726041388,3568.712545787766,0.01,0.0002134600217686966,5.721590518951416,,200,0.00012713464093394578,,603.2868726041388
8,,,720000,5.4383002634494915e-05,0.0,,121.08074965751354,0.0,0.0,13168.589634329493,,,,-55.64916879674924,-55.64916879674924,,,,,,0.0,,8,,1513.2200776018085,121.08074965751354,,13168.589634329493,,200,0.007053066045045853,8,,498.8696459226587,1513.2200776018085,0.0,1.4357717645907542e-06,5.721880912780762,,200,-5.294723086990416e-05,,498.8696459226587
9,,,800000,5.6793651310727e-05,0.0,,182.2038886060881,0.005,0.0,50350.31991854906,,,,-37.12636512588794,-37.12636512588794,,,,,,0.0,,9,,4064.06993929748,182.2038886060881,,50350.31991854906,,200,0.006356090307235718,9,,714.1346031716848,4064.06993929748,0.005,-5.424136179499328e-05,5.706424236297607,,200,-0.00011103501310572028,,714.1346031716848
