Average/SuccessRate,GaussianMLPPolicy/KLBefore,MetaTest/push-v1/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/push-v1/SuccessRate,push-v1/NumEpisodes,GaussianMLPPolicy/dLoss,MetaTest/Average/Iteration,push-v1/Iteration,MetaTest/push-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,GaussianMLPPolicy/KLAfter,MetaTest/push-v1/TerminationRate,MetaTest/push-v1/StdReturn,Average/TerminationRate,MetaTest/push-v1/MinReturn,MetaTest/Average/NumEpisodes,push-v1/AverageReturn,Average/AverageDiscountedReturn,Average/MinReturn,Average/NumEpisodes,MetaTest/Average/TerminationRate,GaussianMLPPolicy/LossAfter,push-v1/MinReturn,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/Average/SuccessRate,push-v1/MaxReturn,MetaTest/push-v1/MaxReturn,push-v1/StdReturn,Average/StdReturn,push-v1/TerminationRate,Average/AverageReturn,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/Entropy,MetaTest/push-v1/AverageDiscountedReturn,push-v1/SuccessRate,Average/MaxReturn,Iteration,Average/Iteration,MetaTest/Average/MinReturn,MetaTest/push-v1/AverageReturn,push-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn
0.0,0.0,50,-27.077202689938556,0.0,200,0.0004025577800348401,0,0,0,-61.76383579548472,0.0096033476293087,0.0,12.988511533219034,0.0,-84.09746027770062,50,-76.2471956142233,-27.55722345866279,-99.51192920334476,200,0.0,0.0010627495357766747,-99.51192920334476,12.988511533219034,80000,0.0,-46.70009648119306,-27.077202689938556,8.48978475364946,8.48978475364946,0.0,-76.2471956142233,0.0014653073158115149,5.726447105407715,-61.76383579548472,0.0,-46.70009648119306,0,0,-84.09746027770062,-61.76383579548472,-27.55722345866279,-61.76383579548472
0.0,0.0,,,,200,0.0007679474219912663,,1,,,0.006976711098104715,,,0.0,,,-65.18353791623923,-23.516623898374373,-96.63456118205355,200,,0.00020491510804276913,-96.63456118205355,,160000,,-22.249684670616034,,12.142215667395442,12.142215667395442,0.0,-65.18353791623923,0.0009728625300340354,5.746155261993408,,0.0,-22.249684670616034,1,1,,,-23.516623898374373,
0.0,0.0,,,,200,0.0007490255047741812,,2,,,0.007312134839594364,,,0.0,,,-29.963011426821705,-13.631256781699115,-82.31223669272427,200,,3.8848073018016294e-05,-82.31223669272427,,240000,,2137.7421887730575,,168.45400174601767,168.45400174601767,0.0,-29.963011426821705,0.0007878735777921975,5.7638373374938965,,0.0,2137.7421887730575,2,2,,,-13.631256781699115,
0.0,0.0,,,,200,0.0006380158483807463,,3,,,0.00943718757480383,,,0.0,,,19.248244962749528,9.278124448546734,-82.49564053490599,200,,3.165572343277745e-05,-82.49564053490599,,320000,,3473.989519964809,,307.38766229246187,307.38766229246187,0.0,19.248244962749528,0.0006696715718135238,5.788978099822998,,0.0,3473.989519964809,3,3,,,9.278124448546734,
0.0,0.0,,,,200,0.00013917301839683205,,4,,,0.006754177622497082,,,0.0,,,119.37051404179132,36.54806455855523,-53.80862550737283,200,,-0.00026877637719735503,-53.80862550737283,,400000,,3149.36505944874,,449.5654015815606,449.5654015815606,0.0,119.37051404179132,-0.00012960335880052298,5.776637077331543,,0.0,3149.36505944874,4,4,,,36.54806455855523,
0.015,0.0,,,,200,0.00010239524999633431,,5,,,0.009999668225646019,,,0.0,,,691.1628426676481,205.07641485592788,-49.406785276662745,200,,0.0003404036397114396,-49.406785276662745,,480000,,50593.433305230246,,3777.0404036845352,3777.0404036845352,0.0,691.1628426676481,0.0004427988897077739,5.868081092834473,,0.015,50593.433305230246,5,5,,,205.07641485592788,
0.03,0.0,,,,200,3.568700049072504e-05,,6,,,0.007705925963819027,,,0.0,,,1354.6723054898937,403.84717428872386,-28.147354757560937,200,,-0.0001226524036610499,-28.147354757560937,,560000,,66188.75799763299,,5510.374224394808,5510.374224394808,0.0,1354.6723054898937,-8.696540317032486e-05,5.833555698394775,,0.03,66188.75799763299,6,6,,,403.84717428872386,
0.025,0.0,,,,200,9.130289981840178e-06,,7,,,0.0052278609946370125,,,0.0,,,2259.505136095983,683.5356275505567,-36.92349688760867,200,,-2.5831130187725648e-05,-36.92349688760867,,640000,,47118.139409369636,,5841.481927830596,5841.481927830596,0.0,2259.505136095983,-1.670084020588547e-05,5.814774036407471,,0.025,47118.139409369636,7,7,,,683.5356275505567,
0.09,0.0,,,,200,5.554125891649164e-06,,8,,,0.0034323346335440874,,,0.0,,,3316.0428927657335,942.1375945404378,-31.785805646379526,200,,2.1853509679203853e-05,-31.785805646379526,,720000,,66970.49922008302,,7854.821263357214,7854.821263357214,0.0,3316.0428927657335,2.7407635570853017e-05,5.847208499908447,,0.09,66970.49922008302,8,8,,,942.1375945404378,
0.085,0.0,,,,200,1.2935845916217659e-05,,9,,,0.005482634529471397,,,0.0,,,4795.742379025013,1454.914673606231,-25.172564814631926,200,,-2.1719313735957257e-05,-25.172564814631926,,800000,,64040.26764227731,,9279.206188095572,9279.206188095572,0.0,4795.742379025013,-8.783467819739599e-06,5.838163375854492,,0.085,64040.26764227731,9,9,,,1454.914673606231,
