MetaTest/dial-turn-v1/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/dial-turn-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/dial-turn-v1/Iteration,MetaTest/dial-turn-v1/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/dial-turn-v1/SuccessRate,MetaTest/Average/MinReturn,MetaTest/dial-turn-v1/StdReturn,MetaTest/Average/Iteration,MetaTest/dial-turn-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/PolicyLoss,MetaTrain/Average/QfLoss,MetaTest/Average/StdReturn,MetaTrain/Average/Alpha,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/dial-turn-v1/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/dial-turn-v1/TerminationRate,TotalEnvSteps
-31.270943065929366,10,-31.270943065929384,0.0,8.459435,0,10,-20.063201189706863,0.0,-42.71193085697708,7.150746195138377,0,-42.71193085697708,-31.270943065929384,-3.2147613,0.42977363,7.150746195138377,0.9309141,-31.270943065929366,6.2674503,-20.063201189706863,0.0,0.0,56000
-33.64469539544289,10,-33.64469539544288,0.0,10.855029,1,10,-23.967982805972447,0.0,-47.03815670531009,6.648202693191175,1,-47.03815670531009,-33.64469539544288,-2.6305106,0.8606936,6.648202693191175,0.8090325,-33.64469539544289,5.4459195,-23.967982805972447,0.0,0.0,62000
-37.81199255776642,10,-37.81199255776643,0.0,7.694779,2,10,-21.317576652970445,0.0,-59.40240654062658,10.880728320430022,2,-59.40240654062658,-37.81199255776643,-0.9373644,1.0884507,10.880728320430022,0.70688623,-37.81199255776642,4.756376,-21.317576652970445,0.0,0.0,68000
-27.516373730452734,10,-27.516373730452738,0.0,7.6435895,3,10,-17.534312380763712,0.0,-46.54444138546036,8.904067962866861,3,-46.54444138546036,-27.516373730452738,1.9810386,1.731179,8.904067962866861,0.6196324,-27.516373730452734,4.1656775,-17.534312380763712,0.0,0.0,74000
-22.2895380026956,10,-22.2895380026956,0.0,8.401822,4,10,-10.63448413018484,0.0,-32.52225702826228,6.332810080902103,4,-32.52225702826228,-22.2895380026956,5.116293,2.2815535,6.332810080902103,0.5440967,-22.2895380026956,3.6520646,-10.63448413018484,0.0,0.0,80000
-57.150986066195664,10,-57.150986066195664,0.1,853.7929,5,10,-39.92677657672824,0.1,-72.84183092264853,9.333647491359224,5,-72.84183092264853,-57.150986066195664,2.3114896,5049.797,9.333647491359224,0.48358497,-57.150986066195664,2.2262435,-39.92677657672824,0.0,0.0,86000
-33.305768248226265,10,-33.305768248226244,0.2,7.6873126,6,10,19.05255156538955,0.2,-59.04388789427448,20.301633255462654,6,-59.04388789427448,-33.305768248226244,-0.3165542,4715.5366,20.301633255462654,0.44081154,-33.305768248226265,2.0093718,19.05255156538955,0.0,0.0,92000
-85.7108298237287,10,-85.71082982372872,0.0,13.522489,7,10,-40.3150800491464,0.0,-113.93483113766386,23.315740655838347,7,-113.93483113766386,-85.71082982372872,2.1388218,4937.312,23.315740655838347,0.38916692,-85.7108298237287,1.8552452,-40.3150800491464,0.0,0.0,98000
-66.6456624379713,10,-66.64566243797128,0.0,12.911303,8,10,-48.37518190282599,0.0,-88.11164838260126,14.071926252327758,8,-88.11164838260126,-66.64566243797128,8.08217,4312.4937,14.071926252327758,0.34687293,-66.6456624379713,1.757873,-48.37518190282599,0.0,0.0,104000
-25.28182101701873,10,-25.281821017018732,0.4,20.193737,9,10,-19.45459318332459,0.4,-35.07630492264733,5.480966250753841,9,-35.07630492264733,-25.281821017018732,-0.3565166,4664.1587,5.480966250753841,0.3034911,-25.28182101701873,1.5888132,-19.45459318332459,0.0,0.0,110000
