MetaTest/Average/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/window-close-v1/MinReturn,MetaTest/window-close-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/window-close-v1/NumTrajs,TotalEnvSteps,MetaTrain/Average/ContrastiveLoss,MetaTest/window-close-v1/AverageDiscountedReturn,MetaTest/window-close-v1/MaxReturn,MetaTrain/Average/Alpha,MetaTrain/Average/QfLoss,MetaTest/Average/MaxReturn,MetaTest/window-close-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/window-close-v1/AverageReturn,MetaTest/Average/NumTrajs,MetaTest/Average/SuccessRate,MetaTrain/Average/PolicyLoss,MetaTest/window-close-v1/SuccessRate,MetaTest/Average/Iteration,MetaTest/window-close-v1/TerminationRate
5.513245115763432,6.7281795,-32.36163158896738,5.513245115763432,-21.34337957797283,10,224000,8.5035925,-21.343379577972833,-14.758115883565967,nan,5.9915776,-14.758115883565967,0,-21.343379577972833,-32.36163158896738,0.0,-21.34337957797283,10,0.0,1.8104467,0.0,0,0.0
3.6534543312455647,6.401656,-54.47032525668304,3.6534543312455647,-51.14146165915179,10,248000,8.401886,-51.1414616591518,-44.85767183283106,nan,611.9567,-44.85767183283106,1,-51.1414616591518,-54.47032525668304,0.0,-51.14146165915179,10,0.0,-1.1672728,0.0,1,0.0
4.491428245508143,4.455161,-30.742928919864475,4.491428245508143,-27.312722522637692,10,272000,7.8860207,-27.3127225226377,-18.354399450769712,nan,1900.452,-18.354399450769712,2,-27.3127225226377,-30.742928919864475,0.0,-27.312722522637692,10,0.0,-134.64407,0.0,2,0.0
5565.984398853285,2.038429,-18.175675705939394,5565.984398853285,6703.874536483358,10,296000,12.474752,6703.874536483357,12238.337289602916,nan,9271.318,12238.337289602916,3,6703.874536483357,-18.175675705939394,0.0,6703.874536483358,10,0.0,-660.8485,0.0,3,0.0
4524.950998268628,-0.02079068,1315.6864335465411,4524.950998268628,5930.511502943184,10,320000,31.81415,5930.5115029431845,16045.314335108409,nan,27567.568,16045.314335108409,4,5930.5115029431845,1315.6864335465411,0.0,5930.511502943184,10,0.0,-1756.6367,0.0,4,0.0
993.888830176889,-3.2517247,-47.19561746297198,993.888830176889,1149.1698038211225,10,344000,50.051407,1149.1698038211225,3287.1857621195463,nan,63568.266,3287.1857621195463,5,1149.1698038211225,-47.19561746297198,0.0,1149.1698038211225,10,0.0,-4276.7783,0.0,5,0.0
1909.2086663281714,-6.4266024,950.9135312001264,1909.2086663281714,2630.922432856393,10,368000,280.31732,2630.9224328563932,7514.945364780715,nan,116856.04,7514.945364780715,6,2630.9224328563932,950.9135312001264,0.0,2630.922432856393,10,0.0,-7981.0176,0.0,6,0.0
823.6987283049283,-8.651719,-17.75837440177842,823.6987283049283,277.8584096333087,10,392000,468.7507,277.8584096333087,2747.015027582717,nan,189449.33,2747.015027582717,7,277.8584096333087,-17.75837440177842,0.0,277.8584096333087,10,0.0,-11948.956,0.0,7,0.0
1098.0696992374628,-11.481953,-15.858384182752129,1098.0696992374628,2184.4012814019925,10,416000,439.95737,2184.4012814019925,3485.3697232835875,nan,423687.78,3485.3697232835875,8,2184.4012814019925,-15.858384182752129,0.0,2184.4012814019925,10,0.0,-17378.482,0.0,8,0.0
12.979375613139469,-14.357083,-62.547364417035766,12.979375613139469,-52.83978780253402,10,440000,4572.09,-52.83978780253403,-25.814758294452538,nan,1064770.2,-25.814758294452538,9,-52.83978780253403,-62.547364417035766,0.0,-52.83978780253402,10,0.0,-22694.717,0.0,9,0.0
