policy/KLBefore,MetaTest/dial-turn-v1/SuccessRate,policy/Entropy,MetaTest/Average/TerminationRate,dial-turn-v1/AverageDiscountedReturn,Average/AverageReturn,LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/MaxReturn,dial-turn-v1/MaxReturn,dial-turn-v1/TerminationRate,Average/TerminationRate,MetaTest/dial-turn-v1/MinReturn,dial-turn-v1/AverageReturn,policy/KL,dial-turn-v1/MinReturn,Average/StdReturn,MetaTest/dial-turn-v1/AverageReturn,MetaTest/dial-turn-v1/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/MinReturn,policy/LossAfter,policy/dLoss,MetaTest/dial-turn-v1/StdReturn,MetaTest/Average/SuccessRate,Average/SuccessRate,MetaTest/dial-turn-v1/MaxReturn,Average/MinReturn,MetaTest/dial-turn-v1/AverageDiscountedReturn,MetaTest/dial-turn-v1/NumEpisodes,dial-turn-v1/Iteration,Average/AverageDiscountedReturn,MetaTest/Average/Iteration,dial-turn-v1/StdReturn,Average/Iteration,Average/MaxReturn,policy/LossBefore,TotalEnvSteps,MetaTest/dial-turn-v1/Iteration,dial-turn-v1/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,Average/NumEpisodes,dial-turn-v1/SuccessRate
0.0,0.0,5.6813073,0.0,-21.212560960739783,-57.29303707024233,0.5400338407035589,-46.099460119435314,-26.779861196162692,0.0,0.0,-70.27309081846593,-57.29303707024233,0.0068832976,-76.86056876989366,9.341884881386283,-55.72109646173552,0.0,10,-70.27309081846593,-0.04355813,0.022719363,7.271650161792233,0.0,0.0,-46.099460119435314,-76.86056876989366,-55.72109646173552,10,0,-21.212560960739783,0,9.341884881386283,0,-26.779861196162692,-0.020838765,20000,0,100,-55.72109646173552,-55.72109646173552,7.271650161792233,100,0.0
0.0,,5.688706,,-18.501586303925777,-47.376496557205726,0.5399892850277221,,-18.18785626835875,0.0,0.0,,-47.376496557205726,0.023440078,-73.46154672711845,10.624247106076554,,,,,-0.040519007,0.023665128,,,0.0,,-73.46154672711845,,,1,-18.501586303925777,,10.624247106076554,1,-18.18785626835875,-0.016853878,40000,,100,,,,100,0.0
0.0,,5.682978,,-14.564704629096612,-36.44125421578488,0.5687126911882464,,-17.579176801545408,0.0,0.0,,-36.44125421578488,0.024309628,-56.252825617594056,9.522777233753597,,,,,-0.029803583,0.01361398,,,0.01,,-56.252825617594056,,,2,-14.564704629096612,,9.522777233753597,2,-17.579176801545408,-0.016189603,60000,,100,,,,100,0.01
0.0,,5.681176,,-5.157568086332999,6.517228954797185,0.10079531984164702,,3119.951212895101,0.0,0.0,,6.517228954797185,0.011758435,-51.22168281741416,313.44569410857736,,,,,-0.7282748,0.3951551,,,0.18,,-51.22168281741416,,,3,-5.157568086332999,,313.44569410857736,3,3119.951212895101,-0.33311972,80000,,100,,,,100,0.18
0.0,,5.6801577,,-9.060701224567191,-18.581007505031693,0.1288902050661308,,677.0818476441298,0.0,0.0,,-18.581007505031693,0.012427863,-45.48652530315309,70.4901490927303,,,,,-0.032412745,0.03518801,,,0.17,,-45.48652530315309,,,4,-9.060701224567191,,70.4901490927303,4,677.0818476441298,0.0027752686,100000,,100,,,,100,0.17
0.0,,5.6622086,,19.73171288573638,150.89057563894062,0.1827930538357424,,5715.25108415829,0.0,0.0,,150.89057563894062,0.0072944122,-60.531836849891995,876.4378151702566,,,,,-0.67866015,1.2402515,,,0.15,,-60.531836849891995,,,5,19.73171288573638,,876.4378151702566,5,5715.25108415829,0.5615913,120000,,100,,,,100,0.15
0.0,,5.6534033,,17.235367448207786,92.79014345788438,0.11025672913349893,,4085.9960502940644,0.0,0.0,,92.79014345788438,0.00728537,-41.15736325884758,637.0888062319481,,,,,-1.2948686,0.57241595,,,0.33,,-41.15736325884758,,,6,17.235367448207786,,637.0888062319481,6,4085.9960502940644,-0.72245264,140000,,100,,,,100,0.33
0.0,,5.6736426,,34.74761194885253,131.80163159580275,0.34583060021400724,,7530.7745526512745,0.0,0.0,,131.80163159580275,0.00740876,-51.69344476662049,1026.869745849796,,,,,-0.6691085,0.9296844,,,0.13,,-51.69344476662049,,,7,34.74761194885253,,1026.869745849796,7,7530.7745526512745,0.2605759,160000,,100,,,,100,0.13
0.0,,5.644105,,162.15421654504743,727.9716678049512,0.21174408577903225,,31273.52869435096,0.0,0.0,,727.9716678049512,0.0063786185,-42.42469634146427,3671.760972622336,,,,,-7.2807546,4.180972,,,0.17,,-42.42469634146427,,,8,162.15421654504743,,3671.760972622336,8,31273.52869435096,-3.0997827,180000,,100,,,,100,0.17
0.0,,5.602862,,47.54972144780436,278.04279387073274,0.12276886147617327,,10337.963429061065,0.0,0.0,,278.04279387073274,0.0074284594,-46.613404968090414,1517.9569048443207,,,,,-1.658693,1.4583985,,,0.22,,-46.613404968090414,,,9,47.54972144780436,,1517.9569048443207,9,10337.963429061065,-0.20029452,200000,,100,,,,100,0.22
0.0,0.0,5.5780663,0.0,331.0607134793339,1639.1125980562908,0.3821971633210438,-12.488939308013215,144765.162867811,0.0,0.0,-43.04042460083613,1639.1125980562908,0.00526021,-54.171168343107766,14527.066250126596,-27.823517803849494,0.0,10,-43.04042460083613,-20.690235,19.961548,9.3034487226536,0.0,0.11,-12.488939308013215,-54.171168343107766,-27.823517803849494,10,10,331.0607134793339,1,14527.066250126596,10,144765.162867811,-0.7286875,220000,1,100,-27.823517803849494,-27.823517803849494,9.3034487226536,100,0.11
0.0,,5.563972,,337.58357577792594,1646.3684020877447,0.2053669499812767,,64042.48888245821,0.0,0.0,,1646.3684020877447,0.008092273,-39.91146569583481,8059.1002773956825,,,,,-3.310397,7.553897,,,0.3,,-39.91146569583481,,,11,337.58357577792594,,8059.1002773956825,11,64042.48888245821,4.2435,240000,,100,,,,100,0.3
0.0,,5.55911,,-1.1992222485631903,24.490864617078223,0.11799205072907892,,3809.578774349852,0.0,0.0,,24.490864617078223,0.008365615,-44.37235039393918,388.086308335449,,,,,-0.009814941,0.03673037,,,0.21,,-44.37235039393918,,,12,-1.1992222485631903,,388.086308335449,12,3809.578774349852,0.02691543,260000,,100,,,,100,0.21
0.0,,5.5577154,,2.5491101175890534,54.89803346911774,0.25152029340125515,,6939.080795935578,0.0,0.0,,54.89803346911774,0.00089713075,-49.48375952352135,694.6742697822021,,,,,0.3651207,0.30013007,,,0.09,,-49.48375952352135,,,13,2.5491101175890534,,694.6742697822021,13,6939.080795935578,0.6652508,280000,,100,,,,100,0.09
0.0,,5.533961,,248.94922124715922,1492.798726019722,0.3045597638689298,,79740.32071249091,0.0,0.0,,1492.798726019722,0.007925125,-45.26721098758866,10629.895798465064,,,,,-16.699152,12.588558,,,0.12,,-45.26721098758866,,,14,248.94922124715922,,10629.895798465064,14,79740.32071249091,-4.110594,300000,,100,,,,100,0.12
0.0,,5.508849,,157.1502091025115,939.8179796165605,0.2630507019542332,,45358.40788453562,0.0,0.0,,939.8179796165605,0.0108726015,-50.67291896611229,5420.4471342843935,,,,,-7.138903,6.095975,,,0.19,,-50.67291896611229,,,15,157.1502091025115,,5420.4471342843935,15,45358.40788453562,-1.0429281,320000,,100,,,,100,0.19
0.0,,5.499087,,-0.5015920951569545,38.89235186692275,0.12832623338308013,,6809.47592440994,0.0,0.0,,38.89235186692275,0.009341236,-52.243928354276136,680.5229306863627,,,,,0.29531094,0.08936092,,,0.08,,-52.243928354276136,,,16,-0.5015920951569545,,680.5229306863627,16,6809.47592440994,0.38467187,340000,,100,,,,100,0.08
