MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,reach-v1/Iteration,reach-v1/StdReturn,Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/KLAfter,Iteration,Average/Iteration,MetaTest/reach-v1/SuccessRate,MetaTest/Average/MaxReturn,Average/TerminationRate,reach-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/reach-v1/Iteration,Average/SuccessRate,MetaTest/Average/StdReturn,reach-v1/TerminationRate,reach-v1/MaxReturn,MetaTest/reach-v1/NumEpisodes,GaussianMLPPolicy/Entropy,reach-v1/MinReturn,Average/AverageDiscountedReturn,Average/NumEpisodes,Average/StdReturn,Average/MaxReturn,GaussianMLPPolicy/LossBefore,reach-v1/NumEpisodes,Average/MinReturn,MetaTest/reach-v1/MinReturn,MetaTest/reach-v1/TerminationRate,reach-v1/AverageDiscountedReturn,TotalEnvSteps,GaussianMLPPolicy/KLBefore,MetaTest/reach-v1/StdReturn,MetaTest/reach-v1/MaxReturn,GaussianMLPPolicy/dLoss,MetaTest/reach-v1/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,reach-v1/SuccessRate,MetaTest/reach-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn
35406.75112094675,6130.685273484482,10,26549.73644942843,39661.45260695889,1,0.0,1.6633794075460173e-06,5.588219573837705e-05,10,10,0.02,109783.72725573175,0.0,39661.45260695889,0.02,1,0.05,20402.257929863157,0.0,177249.86096828984,50,5.681578636169434,3439.0597759080856,14158.798607825733,200,26549.73644942843,177249.86096828984,1.7426311842427822e-06,200,3439.0597759080856,6130.685273484482,0.0,14158.798607825733,880000,0.0,20402.257929863157,109783.72725573175,7.925177669676486e-08,35406.75112094675,50,0.05,35406.75112094675,35406.75112094675
,,11,30415.28796751403,41827.32905829757,,,-4.7194174612741335e-07,4.730856016976759e-05,11,11,,,0.0,41827.32905829757,,,0.07,,0.0,182663.54729905448,,5.681168079376221,4096.956633822761,14853.544453819291,200,30415.28796751403,182663.54729905448,-4.0490394326297974e-07,200,4096.956633822761,,,14853.544453819291,960000,0.0,,,6.703780286443362e-08,,,0.07,,
,,12,28187.75054749469,44849.03793793867,,,1.0161732006963575e-06,4.6902958274586126e-05,12,12,,,0.0,44849.03793793867,,,0.09,,0.0,142699.69323654677,,5.682258605957031,7463.921858465151,15595.918677011341,200,28187.75054749469,142699.69323654677,1.0826504421856953e-06,200,7463.921858465151,,,15595.918677011341,1040000,0.0,,,6.647724148933776e-08,,,0.09,,
,,13,29303.034552825142,45358.23233541302,,,2.6951570930577873e-07,4.494265158427879e-05,13,13,,,0.0,45358.23233541302,,,0.095,,0.0,152883.01301053123,,5.682587146759033,8166.575786364757,15710.619928950535,200,29303.034552825142,152883.01301053123,3.3319906833639834e-07,200,8166.575786364757,,,15710.619928950535,1120000,0.0,,,6.368335903061961e-08,,,0.095,,
,,14,32428.3436346723,49480.31297852861,,,7.414604397126823e-07,3.5557488445192575e-05,14,14,,,0.0,49480.31297852861,,,0.095,,0.0,173732.71367290904,,5.683342933654785,7023.987623549788,16968.916285789193,200,32428.3436346723,173732.71367290904,7.918649203020323e-07,200,7023.987623549788,,,16968.916285789193,1200000,0.0,,,5.040448058934999e-08,,,0.095,,
,,15,30022.35062644956,47039.979611039686,,,2.48910112077283e-07,3.4078588214470074e-05,15,15,,,0.0,47039.979611039686,,,0.1,,0.0,165436.38511919553,,5.683634281158447,4462.263377725455,16239.73796999359,200,30022.35062644956,165436.38511919553,2.972028028125351e-07,200,4462.263377725455,,,16239.73796999359,1280000,0.0,,,4.829269073525211e-08,,,0.1,,
,,16,35716.139295161025,49865.601779859884,,,-1.4676620594400447e-06,2.811527156154625e-05,16,16,,,0.0,49865.601779859884,,,0.115,,0.0,217142.0550971415,,5.682296276092529,8894.96423143467,17283.65024637414,200,35716.139295161025,217142.0550971415,-1.4278340358941932e-06,200,8894.96423143467,,,17283.65024637414,1360000,0.0,,,3.9828023545851465e-08,,,0.115,,
,,17,25445.514196002878,44824.24511357121,,,-5.624689833894081e-07,3.9533792005386204e-05,17,17,,,0.0,44824.24511357121,,,0.05,,0.0,162016.3142729266,,5.681778430938721,6395.925523538682,15677.14633488927,200,25445.514196002878,162016.3142729266,-5.064508172836213e-07,200,6395.925523538682,,,15677.14633488927,1440000,0.0,,,5.6018166105786804e-08,,,0.05,,
,,18,27218.535173196873,45897.94281328933,,,1.1307032536933548e-06,3.4890621464001015e-05,18,18,,,0.0,45897.94281328933,,,0.08,,0.0,147856.25768669302,,5.682919502258301,9477.608392073547,16115.598593002682,200,27218.535173196873,147856.25768669302,1.180170784209622e-06,200,9477.608392073547,,,16115.598593002682,1520000,0.0,,,4.946753051626729e-08,,,0.08,,
,,19,30879.68407705815,52130.21660854488,,,-2.1567862518168113e-07,2.0644965843530372e-05,19,19,,,0.0,52130.21660854488,,,0.1,,0.0,180882.3050474751,,5.682738304138184,3256.5806039445115,17735.82753131947,200,30879.68407705815,180882.3050474751,-1.8645046395704412e-07,200,3256.5806039445115,,,17735.82753131947,1600000,0.0,,,2.9228161224637006e-08,,,0.1,,
56297.315116254715,9740.608475275092,20,32992.13541939019,52981.25740037449,2,0.0,-9.341591749034706e-07,1.8887792975874618e-05,20,20,0.12,144236.04109685912,0.0,52981.25740037449,0.12,2,0.125,32211.532970075423,0.0,176771.01448809533,50,5.681856632232666,6594.276334742706,18354.082234784684,200,32992.13541939019,176771.01448809533,-9.074037734535523e-07,200,6594.276334742706,9740.608475275092,0.0,18354.082234784684,1680000,0.0,32211.532970075423,144236.04109685912,2.675540144991828e-08,56297.315116254715,50,0.125,56297.315116254715,56297.315116254715
,,21,34226.50472311894,55810.16242291395,,,-9.55220457399264e-07,1.2462488484743517e-05,21,21,,,0.0,55810.16242291395,,,0.15,,0.0,186819.60414680577,,5.680941104888916,10590.188442743796,18654.710761660433,200,34226.50472311894,186819.60414680577,-9.375853551318869e-07,200,10590.188442743796,,,18654.710761660433,1760000,0.0,,,1.763510226737708e-08,,,0.15,,
,,22,33423.032529666125,58581.29000051882,,,1.0032328745523955e-08,1.5624129446223378e-05,22,22,,,0.0,58581.29000051882,,,0.15,,0.0,170822.84847876223,,5.680972099304199,8550.998484712341,19518.601459495563,200,33423.032529666125,170822.84847876223,3.215941291045965e-08,200,8550.998484712341,,,19518.601459495563,1840000,0.0,,,2.2127084164935695e-08,,,0.15,,
,,23,29473.76405074536,51790.66665098444,,,2.4424526401389812e-08,2.3964106731000356e-05,23,23,,,0.0,51790.66665098444,,,0.08,,0.0,146989.81647197803,,5.6810302734375,9451.31151516479,17787.638821693,200,29473.76405074536,146989.81647197803,5.837014072085367e-08,200,9451.31151516479,,,17787.638821693,1920000,0.0,,,3.394561431946386e-08,,,0.08,,
,,24,36078.47844793055,59010.54115574818,,,1.0150399702979485e-06,1.2618585969903506e-05,24,24,,,0.0,59010.54115574818,,,0.15,,0.0,182598.5920006051,,5.682021617889404,8409.36113525482,19956.006307762585,200,36078.47844793055,182598.5920006051,1.0329131328035146e-06,200,8409.36113525482,,,19956.006307762585,2000000,0.0,,,1.7873162505566142e-08,,,0.15,,
,,25,29478.977020111797,55606.31203556518,,,4.0645227272761986e-07,1.0923159607045818e-05,25,25,,,0.0,55606.31203556518,,,0.13,,0.0,156298.19444150568,,5.682427406311035,7676.850666913922,19109.132263758256,200,29478.977020111797,156298.19444150568,4.2192294813503395e-07,200,7676.850666913922,,,19109.132263758256,2080000,0.0,,,1.5470675407414092e-08,,,0.13,,
,,26,31415.740788988725,54260.048784926905,,,-7.015053711256769e-07,2.2035292204236612e-05,26,26,,,0.0,54260.048784926905,,,0.14,,0.0,182000.33241258576,,5.681787967681885,12372.621592214997,18606.412656918335,200,31415.740788988725,182000.33241258576,-6.702921950818563e-07,200,12372.621592214997,,,18606.412656918335,2160000,0.0,,,3.121317604382057e-08,,,0.14,,
,,27,32230.702147944354,62998.46243344722,,,2.1412859041447518e-07,6.620649401156697e-06,27,27,,,0.0,62998.46243344722,,,0.155,,0.0,170529.88086694843,,5.682006359100342,13879.529452712472,21712.374102887312,200,32230.702147944354,170529.88086694843,2.235162526176282e-07,200,13879.529452712472,,,21712.374102887312,2240000,0.0,,,9.387662203153013e-09,,,0.155,,
,,28,32163.971606376825,58813.27561922301,,,-1.5174682630458847e-06,1.1875641575898044e-05,28,28,,,0.0,58813.27561922301,,,0.14,,0.0,186863.71805817488,,5.680544376373291,8717.078660621404,19861.069052236067,200,32163.971606376825,186863.71805817488,-1.5006517060101032e-06,200,8717.078660621404,,,19861.069052236067,2320000,0.0,,,1.6816557035781443e-08,,,0.14,,
,,29,34902.47770175739,65395.149574162264,,,-8.365574331037351e-07,6.3627508097852115e-06,29,29,,,0.0,65395.149574162264,,,0.19,,0.0,187077.9898198448,,5.679775714874268,8378.627602260518,21775.952399365524,200,34902.47770175739,187077.9898198448,-8.275461595985689e-07,200,8378.627602260518,,,21775.952399365524,2400000,0.0,,,9.011273505166173e-09,,,0.19,,
66538.38324827957,15017.281818519203,30,30115.42780186301,59420.708079139426,3,0.0,4.775043294102943e-07,8.332741344929673e-06,30,30,0.16,160766.20607850968,0.0,59420.708079139426,0.16,3,0.14,34288.17899713466,0.0,168024.1834771978,50,5.6802287101745605,10170.35060663251,20733.976954175636,200,30115.42780186301,168024.1834771978,4.893059895039187e-07,200,10170.35060663251,15017.281818519203,0.0,20733.976954175636,2480000,0.0,34288.17899713466,160766.20607850968,1.1801660093624378e-08,66538.38324827956,50,0.14,66538.38324827957,66538.38324827956
,,31,34201.68009529146,61649.204427292825,,,-3.7729449786638725e-07,8.324203008669429e-06,31,31,,,0.0,61649.204427292825,,,0.18,,0.0,185074.1586620661,,5.679869651794434,14236.50234039909,20501.922067289404,200,34201.68009529146,185074.1586620661,-3.655286491266452e-07,200,14236.50234039909,,,20501.922067289404,2560000,0.0,,,1.1765848739742069e-08,,,0.18,,
,,32,34789.332089384945,61080.337534462364,,,-1.5192287037280039e-06,8.938181963458192e-06,32,32,,,0.0,61080.337534462364,,,0.165,,0.0,176601.59372083194,,5.678443908691406,6059.1131003638375,21164.37953405463,200,34789.332089384945,176601.59372083194,-1.5065721754581318e-06,200,6059.1131003638375,,,21164.37953405463,2640000,0.0,,,1.265652826987207e-08,,,0.165,,
,,33,34876.99671005869,62600.591532630686,,,-4.0836039261193946e-07,5.688284545612987e-06,33,33,,,0.0,62600.591532630686,,,0.215,,0.0,189462.2594334347,,5.678071022033691,6877.478980349771,21096.663476966154,200,34876.99671005869,189462.2594334347,-4.003113076578302e-07,200,6877.478980349771,,,21096.663476966154,2720000,0.0,,,8.049084954109276e-09,,,0.215,,
