MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,reach-v1/Iteration,reach-v1/StdReturn,Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/KLAfter,Iteration,Average/Iteration,MetaTest/reach-v1/SuccessRate,MetaTest/Average/MaxReturn,Average/TerminationRate,reach-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/reach-v1/Iteration,Average/SuccessRate,MetaTest/Average/StdReturn,reach-v1/TerminationRate,reach-v1/MaxReturn,MetaTest/reach-v1/NumEpisodes,GaussianMLPPolicy/Entropy,reach-v1/MinReturn,Average/AverageDiscountedReturn,Average/NumEpisodes,Average/StdReturn,Average/MaxReturn,GaussianMLPPolicy/LossBefore,reach-v1/NumEpisodes,Average/MinReturn,MetaTest/reach-v1/MinReturn,MetaTest/reach-v1/TerminationRate,reach-v1/AverageDiscountedReturn,TotalEnvSteps,GaussianMLPPolicy/KLBefore,MetaTest/reach-v1/StdReturn,MetaTest/reach-v1/MaxReturn,GaussianMLPPolicy/dLoss,MetaTest/reach-v1/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,reach-v1/SuccessRate,MetaTest/reach-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn
18313.5592600944,724.0629403621967,0,10040.930687562673,12293.170751250098,0,0.0,1.8219598132418469e-06,0.0004954090109094977,0,0,0.02,95325.25217333953,0.0,12293.170751250098,0.02,0,0.0,17477.869585691013,0.0,54113.22686251063,50,5.6784772872924805,678.1625405996124,5965.790680642978,200,10040.930687562673,54113.22686251063,2.535923613322666e-06,200,678.1625405996124,724.0629403621967,0.0,5965.790680642978,80000,0.0,17477.869585691013,95325.25217333953,7.139638000808191e-07,18313.559260094396,50,0.0,18313.5592600944,18313.559260094396
,,1,12210.82215217999,14815.930293311896,,,2.203532176281442e-06,0.00046869280049577355,1,1,,,0.0,14815.930293311896,,,0.0,,0.0,111274.34881631976,,5.68156623840332,857.1214236067528,6709.419164036854,200,12210.82215217999,111274.34881631976,2.8792978810088243e-06,200,857.1214236067528,,,6709.419164036854,160000,0.0,,,6.757657047273824e-07,,,0.0,,
,,2,13312.045771275512,19451.080028521726,,,-1.443596033823269e-06,0.0003150984994135797,2,2,,,0.0,19451.080028521726,,,0.0,,0.0,83779.41251965513,,5.680490970611572,1073.68692599662,8326.359494365455,200,13312.045771275512,83779.41251965513,-9.923464858729858e-07,200,1073.68692599662,,,8326.359494365455,240000,0.0,,,4.5124954795028316e-07,,,0.0,,
,,3,15076.138578066017,20983.508783645728,,,-2.1834182462043827e-06,0.0002521193237043917,3,3,,,0.0,20983.508783645728,,,0.005,,0.0,94939.39100109937,,5.6785993576049805,991.5662037496857,8546.098244546309,200,15076.138578066017,94939.39100109937,-1.8232852880828432e-06,200,991.5662037496857,,,8546.098244546309,320000,0.0,,,3.6013295812153956e-07,,,0.005,,
,,4,17274.766837239236,23773.659458220834,,,-1.0603977216305793e-06,0.00021340616513043642,4,4,,,0.0,23773.659458220834,,,0.01,,0.0,118413.82925540602,,5.6778059005737305,1992.4849138640468,9692.06006581329,200,17274.766837239236,118413.82925540602,-7.560363997072272e-07,200,1992.4849138640468,,,9692.06006581329,400000,0.0,,,3.043613219233521e-07,,,0.01,,
,,5,15706.566270067131,24434.812807493134,,,8.344920274794276e-07,0.00016366239287890494,5,5,,,0.0,24434.812807493134,,,0.005,,0.0,89798.85336422372,,5.678921699523926,1690.3690609244345,9564.890435687197,200,15706.566270067131,89798.85336422372,1.067419589162455e-06,200,1690.3690609244345,,,9564.890435687197,480000,0.0,,,2.329275616830273e-07,,,0.005,,
,,6,21754.504014396134,31092.98126590875,,,-9.406743401996209e-07,0.00011653937690425664,6,6,,,0.0,31092.98126590875,,,0.025,,0.0,149048.64310374347,,5.678115367889404,1272.1638950471413,11653.470028350852,200,21754.504014396134,149048.64310374347,-7.752162787255656e-07,200,1272.1638950471413,,,11653.470028350852,560000,0.0,,,1.6545806147405528e-07,,,0.025,,
,,7,23064.947476380003,31426.7114032075,,,4.006857068361569e-07,0.0001155356876552105,7,7,,,0.0,31426.7114032075,,,0.03,,0.0,145679.43089837112,,5.678680896759033,2502.5436221994164,11780.028764954377,200,23064.947476380003,145679.43089837112,5.649529271067877e-07,200,2502.5436221994164,,,11780.028764954377,640000,0.0,,,1.642672202706308e-07,,,0.03,,
,,8,24370.562348553212,38833.27364680112,,,-5.077787363916286e-07,6.060770101612434e-05,8,8,,,0.0,38833.27364680112,,,0.055,,0.0,147566.9476072559,,5.67825984954834,4054.598732146712,14107.99769959359,200,24370.562348553212,147566.9476072559,-4.21839416731018e-07,200,4054.598732146712,,,14107.99769959359,720000,0.0,,,8.593931966061064e-08,,,0.055,,
,,9,18478.56346651038,29898.15467975312,,,1.4083487940297346e-06,0.00014885752170812339,9,9,,,0.0,29898.15467975312,,,0.015,,0.0,126652.12223730143,,5.6798553466796875,3034.131841584053,11269.791112091003,200,18478.56346651038,126652.12223730143,1.6203472341658198e-06,200,3034.131841584053,,,11269.791112091003,800000,0.0,,,2.1199844013608526e-07,,,0.015,,
