push-v1/StdReturn,Average/NumEpisodes,Average/MinReturn,push-v1/Iteration,push-v1/TerminationRate,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/KLBefore,MetaTest/push-v1/NumEpisodes,GaussianMLPPolicy/LossBefore,MetaTest/Average/MinReturn,TotalEnvSteps,Average/TerminationRate,Average/Iteration,MetaTest/push-v1/MinReturn,MetaTest/push-v1/TerminationRate,Average/SuccessRate,MetaTest/Average/SuccessRate,MetaTest/push-v1/AverageReturn,Average/StdReturn,MetaTest/Average/StdReturn,push-v1/NumEpisodes,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/KLAfter,MetaTest/Average/AverageDiscountedReturn,push-v1/MaxReturn,Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/push-v1/Iteration,Average/AverageReturn,Average/MaxReturn,MetaTest/push-v1/StdReturn,MetaTest/Average/MaxReturn,push-v1/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/TerminationRate,push-v1/AverageDiscountedReturn,GaussianMLPPolicy/dLoss,MetaTest/push-v1/AverageDiscountedReturn,Iteration,MetaTest/push-v1/MaxReturn,MetaTest/push-v1/SuccessRate,MetaTest/Average/Iteration,push-v1/AverageReturn,push-v1/SuccessRate
12.533816646660414,200,-82.43371131403664,0,0.0,5.680209159851074,0.0,10,0.0002967453619930893,-64.77052296034657,80000,0.0,0,-64.77052296034657,0.0,0.0,0.0,-45.224928612814224,12.533816646660414,11.168016376733505,200,-0.000987462350167334,0.009217722341418266,-45.22492861281423,-27.43326726312182,-20.50119970179667,-45.224928612814224,0,-56.34314650003199,-27.43326726312182,11.168016376733505,-26.370342722994256,-82.43371131403664,10,0.0,-20.50119970179667,0.0012842077121604234,-45.22492861281423,0,-26.370342722994256,0.0,0,-56.34314650003199,0.0
215.83565543062778,200,-74.74798053281583,1,0.0,5.737267971038818,0.0,,0.0038299623411148787,,160000,0.0,1,,,0.0,,,215.83565543062778,,200,0.0028462482150644064,0.006815931294113398,,2817.1938046453142,-5.089362515526723,,,-16.75636519979395,2817.1938046453142,,,-74.74798053281583,,,-5.089362515526723,0.0009837141260504723,,1,,,,-16.75636519979395,0.0
917.3202270911322,200,-69.36588771482786,2,0.0,5.731071472167969,0.0,,-0.00035874167224392295,,240000,0.0,2,,,0.0,,,917.3202270911322,,200,-0.0010995970806106925,0.008299527689814568,,12457.224214830065,22.808983497815657,,,94.67199104670053,12457.224214830065,,,-69.36588771482786,,,22.808983497815657,0.0007408554083667696,,2,,,,94.67199104670053,0.0
859.5694114021414,200,-39.66837941685087,3,0.0,5.733153343200684,0.0,,2.4816206860123202e-05,,320000,0.0,3,,,0.005,,,859.5694114021414,,200,-0.00014480107347480953,0.007404233328998089,,7674.249579591085,79.8808946169495,,,291.2919188948458,7674.249579591085,,,-39.66837941685087,,,79.8808946169495,0.00016961728033493273,,3,,,,291.2919188948458,0.005
895.604760209079,200,-41.79236258150455,4,0.0,5.7576775550842285,0.0,,6.015379767632112e-05,,400000,0.0,4,,,0.0,,,895.604760209079,,200,2.138667696272023e-05,0.006569953169673681,,8020.031459253914,111.48913147271789,,,367.54363570507485,8020.031459253914,,,-41.79236258150455,,,111.48913147271789,3.876712071360089e-05,,4,,,,367.54363570507485,0.0
3711.477372948977,200,-34.89650446726135,5,0.0,5.74755334854126,0.0,,-1.2502865502028726e-05,,480000,0.0,5,,,0.015,,,3711.477372948977,,200,-3.5287132050143555e-05,0.008396314457058907,,29008.731085035586,365.65826116121565,,,1413.0820572476455,29008.731085035586,,,-34.89650446726135,,,365.65826116121565,2.278426654811483e-05,,5,,,,1413.0820572476455,0.015
8118.482925425259,200,-27.127822182841218,6,0.0,5.743410110473633,0.0,,-4.573210026137531e-05,,560000,0.0,6,,,0.005,,,8118.482925425259,,200,-0.00021126307547092438,0.006737300660461187,,102777.01018342219,576.7323538382295,,,2086.901830345068,102777.01018342219,,,-27.127822182841218,,,576.7323538382295,0.00016553097520954907,,6,,,,2086.901830345068,0.005
4384.505455796335,200,-24.374929426029617,7,0.0,5.748962879180908,0.0,,5.343691555026453e-06,,640000,0.0,7,,,0.01,,,4384.505455796335,,200,-5.019445325160632e-06,0.005470957141369581,,38284.737895753526,632.2080296725427,,,2069.0400438136085,38284.737895753526,,,-24.374929426029617,,,632.2080296725427,1.0363136880187085e-05,,7,,,,2069.0400438136085,0.01
8599.591408933178,200,-22.18070172779252,8,0.0,5.769290447235107,0.0,,1.744547626003623e-05,,720000,0.0,8,,,0.02,,,8599.591408933178,,200,1.1111813364550471e-05,0.003567790612578392,,87377.42670707805,1117.714873320893,,,3886.050335258189,87377.42670707805,,,-22.18070172779252,,,1117.714873320893,6.333662895485759e-06,,8,,,,3886.050335258189,0.02
12867.985346799838,200,-24.30448331868784,9,0.0,5.765807151794434,0.0,,-2.9654424906766508e-06,,800000,0.0,9,,,0.07,,,12867.985346799838,,200,-3.90446029996383e-06,0.0005729742115363479,,124168.54709748777,1615.8453175241332,,,6157.088013568674,124168.54709748777,,,-24.30448331868784,,,1615.8453175241332,9.390178092871793e-07,,9,,,,6157.088013568674,0.07
