reach-wall-v1/Iteration,Average/AverageDiscountedReturn,reach-wall-v1/TerminationRate,Average/MaxReturn,MetaTest/reach-wall-v1/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/reach-wall-v1/MinReturn,MetaTest/reach-wall-v1/MaxReturn,MetaTest/reach-wall-v1/NumEpisodes,policy/dLoss,TotalEnvSteps,policy/KL,MetaTest/reach-wall-v1/AverageReturn,reach-wall-v1/MinReturn,Average/AverageReturn,policy/LossBefore,LinearFeatureBaseline/ExplainedVariance,policy/LossAfter,Average/StdReturn,MetaTest/Average/Iteration,Average/MinReturn,MetaTest/reach-wall-v1/StdReturn,MetaTest/Average/NumEpisodes,Average/TerminationRate,reach-wall-v1/StdReturn,MetaTest/Average/AverageDiscountedReturn,reach-wall-v1/AverageDiscountedReturn,Average/NumEpisodes,policy/KLBefore,MetaTest/reach-wall-v1/AverageDiscountedReturn,reach-wall-v1/NumEpisodes,MetaTest/reach-wall-v1/Iteration,MetaTest/Average/TerminationRate,reach-wall-v1/AverageReturn,Average/SuccessRate,policy/Entropy,MetaTest/Average/MinReturn,MetaTest/Average/SuccessRate,reach-wall-v1/SuccessRate,Average/Iteration,reach-wall-v1/MaxReturn,MetaTest/reach-wall-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn
0,2419.3472578587453,0.0,5241.728536405979,0.0,3128.0344329137765,1834.1619616523167,4636.636548149805,10,2.1818926,20000,0.0061886646,3128.0344329137765,1550.9192676908508,2827.493566713947,1.4051098,0.5750334729930926,-0.7767828,712.1134317836927,0,1550.9192676908508,905.3983933654997,10,0.0,712.1134317836927,3128.034432913777,2419.3472578587453,100,0.0,3128.034432913777,100,0,0.0,2827.493566713947,0.0,5.657838,1834.1619616523167,0.0,0.0,0,5241.728536405979,0.0,905.3983933654997,4636.636548149805
1,2919.6268696332486,0.0,6958.594976850406,,,,,,2.3576827,40000,0.0051716403,,1484.5974665409456,3458.65189083795,1.5598297,0.5490746918598945,-0.7978531,1094.0415944507038,,1484.5974665409456,,,0.0,1094.0415944507038,,2919.6268696332486,100,0.0,,100,,,3458.65189083795,0.0,5.641497,,,0.0,1,6958.594976850406,,,
2,3154.524950707543,0.0,5890.3616124149685,,,,,,1.8064969,60000,0.010651535,,1529.2030026964155,3764.4450100679333,1.5611156,0.6075528155770085,-0.24538125,777.2456130354033,,1529.2030026964155,,,0.0,777.2456130354033,,3154.524950707543,100,0.0,,100,,,3764.4450100679333,0.0,5.617637,,,0.0,2,5890.3616124149685,,,
3,3622.1501148434368,0.0,8127.066515146081,,,,,,2.065725,80000,0.0072637405,,2546.8415397947283,4380.441999485719,3.832093,0.6668950743855053,1.7663679,1087.3583562915733,,2546.8415397947283,,,0.0,1087.3583562915733,,3622.1501148434368,100,0.0,,100,,,4380.441999485719,0.0,5.5979466,,,0.0,3,8127.066515146081,,,
4,3414.3941718745755,0.0,6274.529416209515,,,,,,2.0230398,100000,0.008799075,,2138.625486882916,4102.15436484038,1.621661,0.6748754715192213,-0.4013789,898.7392457154157,,2138.625486882916,,,0.0,898.7392457154157,,3414.3941718745755,100,0.0,,100,,,4102.15436484038,0.0,5.5797935,,,0.0,4,6274.529416209515,,,
5,3582.265997937319,0.0,7391.797930392499,,,,,,2.1852655,120000,0.005753956,,2094.8214902286963,4353.741080265548,1.9377578,0.7522740668116257,-0.24750781,1103.630871062123,,2094.8214902286963,,,0.0,1103.630871062123,,3582.265997937319,100,0.0,,100,,,4353.741080265548,0.0,5.567368,,,0.0,5,7391.797930392499,,,
6,3491.8461380521876,0.0,7334.0688748055145,,,,,,1.8370571,140000,0.007196135,,1935.7897207432645,4221.713192587185,2.8993208,0.6885421959024227,1.0622637,1103.5237249276863,,1935.7897207432645,,,0.0,1103.5237249276863,,3491.8461380521876,100,0.0,,100,,,4221.713192587185,0.0,5.5643134,,,0.0,6,7334.0688748055145,,,
7,4139.059245516666,0.0,8839.087047139745,,,,,,2.5451107,160000,0.0064470544,,2847.0907827155384,5093.617734813303,1.9345711,0.6047217195768249,-0.61053944,1454.534373051916,,2847.0907827155384,,,0.0,1454.534373051916,,4139.059245516666,100,0.0,,100,,,5093.617734813303,0.0,5.5576024,,,0.0,7,8839.087047139745,,,
8,4774.312516918623,0.0,9814.224813590628,,,,,,2.8190508,180000,0.009146397,,2597.8705393980235,5960.001572756288,-0.79863125,0.6272927708842567,-3.617682,1703.0777058272938,,2597.8705393980235,,,0.0,1703.0777058272938,,4774.312516918623,100,0.0,,100,,,5960.001572756288,0.0,5.55111,,,0.0,8,9814.224813590628,,,
9,5287.516189171673,0.0,11354.523808292368,,,,,,3.1633196,200000,0.007508818,,3646.562395406541,6686.949859025673,1.0764735,0.7117758262255858,-2.086846,1827.8653049883171,,3646.562395406541,,,0.0,1827.8653049883171,,5287.516189171673,100,0.0,,100,,,6686.949859025673,0.0,5.5431237,,,0.0,9,11354.523808292368,,,
